nice 	 good value SF near Union Square . friendly staff , pet friendly . modern hotel within couple block Union Square . free breakfast , free internet , nice wine hour evening . close shopping , Metreon , restaurant . would stay . knock $ 45 valet parking smallish fitness center . 
 type hotel James Bond would stay 	 locate perfectly near Union Square shop , across Apple store , BART , Old Navy Walgreen 's ( perfect late - night snack ! ) , Hotel Palomar San Francisco exude Quality . room feature flat - screen tv , useful work desk wireless internet ( via Kimpton InTouch membership ) , plus Kimpton signature animal - print design everything carpet , sheet dress gown . take either interior room look garden exterior city - view room . it be exclusive , comfortable , pet - friendly great location . plus , often come great value deal Priceline . 
 look forward return 	 could not happy stay Hotel Palomar . hotel great location , convenient BART , trolley , incredible shopping . room quiet fantastic view . hotel modern yet comfortable staff superb . look forward many return visit . 
 Oct 14 2008 	 Super hotel super location 	 spend endless hour search online * good * price long weekend San Francisco , come across short mention Hotel Palomar Travel & amp ; leisure magazine . wonderful hotel great location . lovely room , bit small , extremely comfortable amenity .... even l'Occitane product bathroom . nice comfy bed crisp white duvet ..... much appreciate cross - country flight , lot walk fun San Francisco . face courtyard room quiet . even hallway , elevator , & amp ; public space spotlessly clean & amp ; everything smell fresh . ( , city ! ) negative snooty restaurant , lot dining option nearby .... Mel 's Diner breakfast Annabelle 's late nite dinner . can not find something eat foodie heaven ( aka San Francisco ) be something wrong ! parking expensive & amp ; agree really not need car . definitely would return . price good part ...... $ 195 night . city hotel double ! 
 Oct 9 2008 	 great trendy hotel heart SF 	 husband fan Kimpton Hotels general . room always designer look , hey , beat free wine hour ? enjoy beautiful room two night . can not beat location . block union square , trolley , ton shopping . the staff unbelievably cool helpful . the advice would get room Market Street . not anything hotel street musician , whole band one day trying take nap . 
 Oct 8 2008 	 Lovely Boutique Hotel ! ! 	 Palomar one favorite hotel SF , even though , live 10 minute outside city . enjoy lovely , modern spacious room past New Years . dog friendly hotel , 3 year old goldendoolde look forward stay , well . opinion nice boutique hotel area . location fantastic minute shop central site . be visit San Francisco , definitely stay make sure dine Fifth Floor ( one top SF restaurant ) - 's fantastic ! 
 Oct 5 2008 	 great stay Palomar 	 stay five night , excellent food service . meal resaurant must breakfast good , expensive . lovely quiet room back , view speak not need hotel central location mean time spend outside room inside ! could fault hotel , perfect place start holiday California . 
 Sep 30 2008 	 great spot 	 get great deal via Expedia suite 9th floor . room lovely spacious bathroom ( especially bath / tub ) really nice . minute away shop central site definitely stay find San Fran . staff desk always pleasant helpful advise we tour help booking , doorman always smile greet like old friend . 
 Sep 20 2008 	 Nice Hotel Good Location 	 partner stay Palomar long weekend visit friend SF . never stay , know hotel previously live SF . receive great package deal price include parking . ( Booked Kimpton 's website directly . ) level hotel , least expensive parking package could find comparable hotel city . good deal . the staff friendly , helpful , accommodation nice . would recommend hotel . sure request high floor , street noise . 8th floor issue . staff checkout issue bill charge incorrect amount . sure check bill . however , mistake new staff person . happen . give price location , would stay recommend Palomar . easy access MUNI , BART , Union Square . 
 Sep 12 2008 	 IMPROVING 	 book 3 room party five adult , check - in July 26.my partner already stay 2 year ago , monitor website package , eventually show , realistic value rack rate . check - in smooth , we . room : felt upgrade , somewhat large remember . bathroom small , like small . provide scrace L'Occitane shampoo soap . strangely , shower gel available . ask , learnt shower gel . bar joke . restaurant turn bar , sit around table . breakfast good pricey . concierge like student , whereas 2 year ago turn really good suggestion . SF insight . one morning , ask good steakhouse town . back evening , news , call , obviously forget request . , give adress , absolutely reservation whatsoever . Harris ' Van Ness deal issue professionnal way . another request meet blank stare . Valet parking still available . bring car . must go garage , wait guy bring car . sometime attendant . sometime , must call font desk get attendant . inconvenient . it still conveniently locate , like room . , well , look package ! 
 Aug 26 2008 	 would stay ! 	 enjoy stay Hotel Palomar , think location great touristy part SF . half block BART Muni , make travel neighborhood airport easy , short walk Union Sqaure , Yerba Buena garden , lot shopping , etc . staff check - in helpful , room nicely decorate , clean , quiet top floor overlook courtyard . bathroom nice , though slide door little weird ( oppose normal door lead bathroom ) , LOVED l'Occitane bath product . other mention , be nice touch wine taste daily 5 - 6 , though also never make day . really enjoy Palomar , would definitely stay get decent rate . 
 Aug 25 2008 	 Hotel Palomar - absolutely Awesome ! 	 stay short weekend trip , would definately stay long trip next time . first time stay Hotel Palomar Kimpton Hotel . decide hotel pet friendly two dog we weekend . book room hotel 's reservation directly able give we well deal travel website . would highly recommend contact hotel see good available price book room via Expedia Orbitz , etc . minute pull front , instantly greet help . also greet puppy make we felt welcome . check , people front desk even give pup doggie treat . hear great thing Thai restaurant could not remember name exactly ask gentleman help we check - in . instantly look name restaurant we , even help we make reservation night ! location hotel make go everywhere super convenient .... 's right heart downtown , Union Square . car us valet weekend . hotel park car indoor parking lot locate downstair hotel , great not worry car outdoor lot . oh , mention complimentary wine hour ! ? ! ! hotel host complimentary wine hour introduce red wine white wine guest try ! overall experience absolutely awesome . hotel super accommodating , staff professional , friendly . LOVED ! highly recommend , hand . 
 Aug 22 2008 	 wonderful ! 	 love Kimpton property general - stay business . walk distance convention center . nice update room ... flat screen tv . great service - bellman front desk . slow service breakfast waitress nice .. actuall fall middle restaurant one come see ok - 's ok since embarassing . I would stay . 
 Aug 3 2008 	 wear winter woolie dining room 	 hotel great location several reviewer state room small . big problem michelin star restaurant , locate 5th floor . food lovely table situate near air conditioning vent absolutely freezing . three time ask air conditioning turn manager eventually come table tell we aware problem unable anything . point three people table behind we actually wear jacket agree satisfactory situation . tea coffee house consider pay $ 500 meal feel least could do . 
 Jul 29 2008 	 lovely - great value - communication issue 	 great rate Travelzoo.com - $ 139.00 two double . Nick - Dal think room small , perhaps never stay NYC 85 sf shoebox & quot ; boutique & quot ; hotel $ 350 ... Palomar room HUGE ! well appoint , comfortable ( except pillow ; dislike , foam pillow bring hard rock ) . staff friendly , took forever bring bag room . ( Three call desk one personal trip look ; apparently one bellman duty could not deal several people check ... late appointment . finally deliver bag say would bottle wine deliver room trouble , wine never materialize . ) towel change daily , not bother , bother travel companion ( note bathroom indicate towel would change , ' ve see hotel ) . not eat hotel restaurant , can not comment . Annabelle 's Bistro block one good Ceasar salad ' ve ever taste . hotel offer free wine taste daily 5 - 6 , lovely idea , sightseeing day , never hotel hour . would nice end day 9 pm . overall , good experience Palomar . clean , comfortable , friendly quiet . 
 Jul 28 2008 	 closet service 	 busy Market Street , hotel sit Old Navy retail store . layout little odd main hotel start 5th floor . restaurant bar offer limited hour , otherwise dead space elevator . room small side expect San Francisco . price expect closet ( hook , rod , alcove , nothing ... closet ) . service non existant . request towel result towel , result unpleasant attitude front desk staff . travel great deal work spend 200 night year hotel . far bad ever . 
 Jul 25 2008 	 Excellent Hotel Location 	 Hotel situate perfect location right heart downtown San Francisco . 2 block Union Square , 1/2 block BART , 6 block China Town , 2 block famous Cable Cars . the hotel decorate nicely , clean service quick efficient . check take 2 minute upgrade huge room overlook market street . concern street noise , quiet great place people watch window . the room large , King bed bench front , seat area table side another seat area bedside . huge flatscreen tv wall DVD player pay movie . also hbo.the bathroom spacious lot granite counter space clean . large closet room iron board plenty storage . we use fitness room hotel , small bit crowd 2 people come . convenient though , hotel area make go outside location excercise , really hassle . my small complaint lack comfort pillow . soft mushy make sleeping bit difficult . mention online survey Kimpton Hotels , manager reply right away apologize pillow say contact next time come town would upgrade room . think excellent service . 
