fabulous 	 stay one night & amp ; great ! complimentary valet parking & amp ; would even allow car park till late evening even check , . location great we couple block great American Music Hall plan see show night town 5:30 wine reception great start evening . staff friendly , helpful , energetic , & amp ; funny check check ! fiance read reviews hand & amp ; know reserve top floor say room room noise issue - none ! room & amp ; bathroom clean & amp ; crisp feeling . love eco - friendliness hotel offer ! ! will definitely stay . already recommend Hotel Carleton everyone speak trip ! 
 A+++++ WO not DISAPPOINTED 	 stay Carlton Hotel 22 November 3 night honest try change booking follow read negative review tripadvisor . could not get booking change hold breath hope well . glad go Carlton . hotel situate Sutter Street 15 minute walk Union Square , know everyone keep go front desk staff see believe helpful friendly , really genuine really go extra mile make sure great stay . room base back hotel massive bed , room bathroom tastefully decorate . hotel near Tenderloin area good area city , staff warn checkin go near , unfortunately wonder feel threaten vulnerable , although one approach even speak we , warn pay attention go . other review also state wall paper thin hotel , categorically state light sleeper hear single sound room entire stay . certainly could hear traffic fire siren hey expect stay middle major city . I really not know negative reviewer talk , glad take chance stay wonderful hotel . 
 Brilliant hotel load character staff match 	 stay 3 night 22 - 25 November 2009 . arrive hotel , greate Theo reception , load character , professional cheery funny . Check- easy instantly ask need direction anywhere tour organise . give we map , point get Fisherman 's wharf number 47 bus Van Ness Av , short 5 min walk stop . also explain within walk distance main shopping area . miss Macy 's Westfield Shopping Centre . only slight grumble room bit noisy could hear guy next dooe cough quite loudly Theo also explain hotel 5.30 Wine reception every night , meet fellow traveller . make every night , Theo provide music play keyboard hotel . meet load people neck wood , cruise previous staying hotel , brilliant time reception everybody make point back this . the breakfast hotel expensive , load cafe 's etc around hotel , hotel recommend Wing Lum chinese dinner , much look inside , food excellent ( 1 portion 2 load ) pass knowledge 2 group also eat . also little Henry lovely italian cafe / diner typical good italian food , run chinese family reasonably price . Alcatraz miss 
 Fabulous Hotel Great location 	 Fabulous Hotel , Great locationI absolutley adore place . feel family run cosy , ideal location town , shopping , cheesecake factory ! never eat restaurant hear good thing it . stay , good hotel ' ve ever stay . 
 Sep 8 2009 	 Budget Chic - loud ! 	 want love hotel – would say end like , quite loving . other mention , staff people warm professional room clean well - appoint sort basic way . ( think new ikea furniture . ) real gripe noise . base tripadvisor review , know could issue , ask room away elevator , staff accommodate . still , wake every two three hour night , despite fact particularly light sleeper . every time someone enter left room , sound door close wake . even wear earplug , wake vibration ! build old ' sure do , definitely bummer . also wake telephone next room rang ! , totally middle road sleeper – heavy , light . ' wall thin , door really heavy . light sleeper definitely look elsewhere . that say , ' count hotel everyone . fun relaxed vibe , get lot bang buck . pay right around $ 100 / night , feel like good value . ' miss lot amenity – plush towel , robe , room service , etc – ' advertise luxury hotel . ' recommend hotel folk watch penny , hotel experience important part vacation . light sleeper look luxury , ' probably recommend hotel Joie de Vivre chain – advertise bit high end , base service Hotel Carlton , ' confident ' deliver . 
 Sep 1 2009 	 good hotel worth return ! 	 stay one night stopover Australia mid - west . book shuttle airport trouble get hotel , well really part San Francisco parking premium . the room great , reasonable size , comfortable , quiet clean . staff fairly friendly little keen get serve next person . the evening free drink fire lobby great good way meet people . all good way spend first day relax travel . hotel well place walk across Lombard Street Fisherman 's wharf area back hotel . take couple hour , need long flight . I not eat hotel find great choice nearby . really downside . fact & quot ; Australian & quot ; shop nearby could buy Aussie food ( incl Vegemite ) complete bonus . if active not mind walk great place . not like walk far cable car stop . 
 Sep 1 2009 	 great stay shame restaurant 	 choose hotel base review Trip Advisor . hotel centrally locate perfect car , able walk chinatown , union square tram museum within 30mins hotel . decide put car public carpark road 8 dollar day cheap hotel parking . car park quite small though , lucky get space , mention stay hotel in - out deal entire stay . the hotel cheap cheerful helpful staff . room good , bed comfy bathroom simple . shower ok powerful enough . visit surprisingly hot weather San Fran would like air con room - cele fan enough . free wine reception 5.30 everyday , busy occasion think worth mention . everything great except restaurant serve breakfast , service slow , seat , ask coffee refill beware add tip onto bill , vary depend server . food ok . 
 Aug 31 2009 	 clean comfortable fun ... reason look elsewhere ! 	 nothing do not like hotel . centrally locate decent neighborhood . find well location , money . vintage building , do not hide . door trim nicely paint wood . everything spotless inviting . charming . the staff exceptional . front desk go beyond make we feel welcome . international clientel , desk staff seem problem accomodate several different language . Bravo ! stay three day decide return final night SF . 
 Aug 31 2009 	 great hotel Location 	 great hotel situate six block Union Square trolley access . comfortable room homely feel . would hesitation return hotel future . great view city sixth floor . 
 Aug 30 2009 	 Fantastic hotel 	 staff extremely helpful friendly . room lovely sweet boutique feel . would recommend hotel anybody . 
 Aug 27 2009 	 Excellent hotel 	 stay 2 night initially book second ( expensive hotel ) another couple night trip Yosemite . cancel second hotel come back instead . room good value money ; clean , bright & amp ; spacious . staff ever - so helpful genuinely cheerful ; happy hour glass wine unexpected help make stay little bit special . pick hotel eco - friendly . like take time write history hotel leave room guest ( apparently strong build earthquake good know ! ! ) . definitely stay return San Francisco . 
 Aug 25 2009 	 excellent experience . 	 staff facility Hotel Carlton & quot ; real deal . & quot ; hotel great value staff great group helpful cheery professional . find dining room / restaurant Grade breakfast . hotel example excellent renovation show decorative style taste well & quot ; green & quot ; consciousness . also impress centrally locate filter water dispenser could use fill glass pitcher find room . sensible . 
 Aug 25 2009 	 Felt right home - UK reviewer 	 partner take 15 day trip California / Nevada incorporate LA , San Fran Vegas . Hotel Carlton San Francisco second stop . this first visit USA previous experience base trip upon . enjoy LA 4 night feel ready move take short internal flight coast San Francisco - disappoint ! soon arrive hotel greet front desk old friend - & quot ; wonder go show & quot ; greeting , deliver sarcasm over - friendly schmultz sometimes feel Brit meet American 's work service industry - really nice feel home straightaway . the decor whole hotel really interesting . wall decorate picture art work across globe lift ( deck massive world map ) cover post card side ( may send one Nottingham see stick lift next time visit ) . room simply beautiful . massive . television huge . palatial mean ... whose home ? Hotel Carlton feel like - home , , travel new place , sometimes exactly want ! bed really comfortable remade everyday yellow orange cover / pillow combo , might sound bit garish , actual fact make room appear really stylishly fit trendy contrast aqua colour blind fitting . safe room could program code ( must not want carry passport , iPod , traveller ' chqs , etc . , everywhere ) . bathroom ample need clean daily , towel replace often leave bath collection . we come San Francisco see site ( ie : Fisherman 's Wharf , Alcatraz , Golden Gate Bridge , etc . ) partner baffle many silly people seem come tripadvisor say & quot ; television small & quot ; & quot ; not like kettle & quot ; . seriously guy , kettles television get excited stay home save money would spend travel buy top range tv , toaster , kettle , electric back - scratcher , etc . , etc . say previous , tv kettle adequate . kettle boil water tv show tv show ( want ? ! ? ! ? - perhaps less advert , ' issue US tv network Hotel Carlton ! ) arrive San Fran Union Square , first timer perception , always feel like centre San Fran . take we 20 30 minute walk Union Square hotel ( depend luggage , amount alcohol drank , etc . ) slightly imagine would . walk , many place SF , rather hilly one , physically fit able not mind much also mean away majority noise SF offer . sound able hear night fog horn SF bay occasional cop car / fire truck ( think must depot somewhere nearby ) noise much become annoyance will get sound major city country . the daily wine reception one reason choose hotel disappoint . always try get back hotel , make sure leaving , 5.30pm 6 pm could enjoy . neither we drink red unable comment white rise , nice indeed ( rise slightly sweet two ) . lovely way end day sit foyer glass wine whilst flick one many interesting book , especially would foot lot day ! alternatively , nice way start evening go meal . also get chat guest time people mingle go enhance friendly ambience place . although lot main attraction restaurant locate fair walk away Carlton excellent busy ( probably due excellence ) little pub next door call Fly Bar ( memory serve ) great happy hour serve drink pizza fairly inexpensively ( check local ale " Anchor steam " ) useful want cheap night away centre sf.internet access available require payment first free 20 minute easily avoid use separate debit / credit card every time want log - stay 4 day never become problem use internet quickly check essential ( onward reservation rental car , flight , etc . ) really enjoy time SF . Hotel Carlton home away home love . would heartily recommend anyone really want experience San Francisco enjoy spirit amazing city . slight downside distance Union Square area find short walk allow we take true atmosphere city really fall love . time seriously consider implication up stick UK move - feel comfortable know place like Carlton stay , know , play major part perception . some tip sightsee SF : * find decent map ( ask front desk - one give we exactly need ) * Alcatraz - book online , advance take chance queue * take good pair trainer - lot walking ( tram always busy cheap ) * Use & quot ; citysight - see & quot ; bus tour make SF . use LA really enjoy choose different firm tour SF regret . ( ' m sorry say can not recall name present - will post find ticket remember name ) ) whilst wait tour bus 45 minute Fisherman 's Wharf area city sight - see bus pass grow crowd clientele look comfortable . bus arrive late , overcrowd we sit stair cross GG Bridge . ( rubbish service ! ) * Golden Gate Bridge clear fog ... GO ! spend clear day Alcatraz assume day would clear bridge ... morning , within 15 minute thick , thick fog cover even though sunny day - still go even foggy ... still worth ! * ask Carlton staff restaurant tip - know area . * visit Starlight room great view SF * take walk chinatown - not stop gate ... begin ! * clothe shop around Union Square great - ' m typical bloke hate clothe shop , real bargain find SF take advantage , especially UK citizen sick rip ludicrous price pay home ! ( e.g . Levi 's jean $ 55 = £ 30 . £ 75 UK ) enjoy trip San Francisco ! love , Hotel Carlton , half much , will not last visit ! 
 Aug 25 2009 	 Gem Hotel - can not wait go back ! 	 leave LA behind get internal flight San Francisco little nervous great stay LA arrive San Francisco fall love place fall love hotel Carlton ! quirky , cosy quite frankly rare gem find occasionaly . staff fantastic , every one help we point advice place eat , place see , transport use - management pleased guy staff great . we love wine reception 5.30 - 6.00pm every evening mean could relax glass wine comfy reception area long day sight seeing . also mean could meet chat people . meet couple New Zealand 3 month trip around world end dinner lovely ! room great , comfy bed plenty room stuff , bathroom clean that s need ! would reccomend bar next door one maybe next door thinking ! fly call great , happy hour 7 pm food delicious cheap ! especially walk day hill sometimes not want venture Union Sq nip next door sample place disappoint although weekend get busy see ! fancy mexican try Colibri Union Square fabulous bit pricey side really good meal definately try ! trip wise make sure Alcatraz use headphone set really interesting , will not appreciate walk around without . ( already include price ) . Golden Gate Bridge must obvious reason ! pier 39 great little food place , shop course sea lion ! Fishermans Wharf area fab great atmosphere , love . Likewise Union Square shopping fantastic ! Lombard Street crook Street zig zag pretty ! Coit Tower get fab view top also go Starlight Rooms top Sir Francis Drake hotel take marvellous view jazz band playing ! grab beer take dance floor listen music look view staff problem , not need reserve table think really good customer service . we San Fran 4 night wish long , definately return stay Hotel Carlton sure ! 
 Aug 18 2009 	 live tripadvisor 's rave review 	 Chose hotel base tripadvisor review disappoint . stay SF week husband two kid ( 13 9 ) . book early hotel website able get room $ 100 per night . give we two connect room , queen double - double , exactly request . room spacious clean . conveniently locate 1 - 2 block bus , 3 block cable car , 10 - minute walk Union Square . hotel restaurant excellent coffee delicious breakfast ( $ 15 per person - keep mind look room rate ) . really enjoy friendly staff , Marc , Edgar especially Gio , print SWA boarding pass we ( & quot ; & quot ; boarding group , yeah ! ) request time not wait around 2 hour . guy rock ! 
