thanksgiving 	 hotel perfect location : 2 minute walk Pier 39 . great price / quality ratio , nice design make feel really vacation - business . free internet room - lobby , food drink pricy - plenty place outside - 's problem . 
 almost ! 	 recent trip SF , stay Fisherman 's Wharf Sheraton could close attraction pay arm leg . room clean bright call towel , barely hang phone someone door towel . great , friendly service time check time check . be close really great restaurant ( old neighborhood italian place , Ceasars , within walk distance wonderful food ! ) still remove crowd . complaint pretty light sleeper , road noise bothersome . 's four story hotel 3rd floor , ( i- boyfriend could sleep tornado ) hear bus come go homeless people yell night long . get use 3rd night , still ... , great place great bargain ! 
 great location value money 	 book hotel priceline get great rate . stay hotel 4 night late November . arrive little early noon tell room ready 3PM . big deal leave luggage bit look around . great positive hotel , location , location , location . stone throw pier 39 cable car terminal . the hotel hundred room obviously comment relation room check - 2121 western side . noise outside apart air cond noise other talk . air cond particularly noisy fact go time - even thermostat kick still blow air hence noise . free room safe use . also gym fit nicely modern . think part building rennovate recently . staff helpful pleasant odd occasion speak . use lobby free wifi .. worry . ipass etc , able log wifi room discover later : - ) starbuck coffee complimentary . give hotel rate , would recommend great value money would hesitate stay . also buy citypass Pier 33 swap boat ride Alcatraz tour additional cost . great value $ 59 ! 
 family holiday 	 dissapointe food breakfast.we stay sheraton LA week restuarant open 11 pm . nothing tell we arrive would able eat there . be prepared . 
 Aug 5 2009 	 great location nothing fancy 	 location close touristy spot want hit . choose hotel also close Safeway grocery store Trader Joe ' . could pick snack emergency good . work great since food hotel expensive . Brew Starbucks coffee room nice touch . lobby common area really nice . fire pit outside great always busy . could not ever figure get room service little annoying . get breakfast order form door . fourth floor could hear everything go street . sea gull traffic keep we night bring ear plug . , descent place stay . 
 Aug 4 2009 	 Decent hotel quite Starwood standard 	 Starwood Owners little disappointed facility . take 9 year old grandson San Francisco see King Tut Exhibit California Academy Science . public transportation Golden Gate Park right doorstep . location great ride cable car see attraction along Fisherman 's Wharf Pier 39 . outdoor firepits wonderful meeting traveler relax glass wine . room small bathroom small could hardly turn around . bed comfortable everything clean . parking astronomical take advice Trip Advisor park public parking directly across street . hotel parking give we priviledge , San Francisco always take public transportation really issue . the staff friendly helpful . when return San Francisco probably stay , take grandchild along would certainly choice . 
 Aug 3 2009 	 comfortable stay great location 	 location perfect , handy public transport , close pier 39 restaurant , safeway behind hotel whichwa handy within walk distance great chocolate ! ! ! ! ! ! ! side noise . not actually think would matter room noise would bad wall thin . stay 10 night great stay noise really starting annoy we especially bang car door . 
 Aug 1 2009 	 great location holiday trip 	 arrive airport taxi ( $ 50 ) . hassle family 4 luggage seem take airport taxi system surprize . wait 20 minute large taxi arrive 4 family flight still wait leave . checkin easy . first room alloctae overlook busy bus depot ask change advise TA move without quibble . room 4 we little cozy sleeping . bathroom small side everything clean etc . issue . free internet lobby area . Parking Hotel car park dear $ 43 + tax . car one night use public car park behind hotel night $ 25.had couple drink bar never eat hotel . pleany option breakfast meal around area . local ihop popular slow . hotel perfect want near pier Alcatraz , Pier 39 entertainment cable car etc . find hotel ideal need . 
 Jul 31 2009 	 Great Location 	 second time . sayed refurb . hotel look lot well still tell old syle hotel . room ok size bathroom pretty small Sheraton . location fantastic 1 street back fisherman wharf wich good thing noise . also close supermarket quite handy . front area sit enjoy drink around long fire great idea good place relax drink day tour - long room get popular night ! 
 Jul 30 2009 	 nice room . 	 book Hotwire get good deal hotel . hotel good location right Fishermans Wharf , find area touristy we spend much time like location hotel . right Trader Joe 's , great get breakfast dinner supply budget . draw back fridge room , could supply $ 10 dollar day - decline . walk hotel Union Square numerous time 2 mile hilly not mind . room nicely decorate get Starbucks coffee machine room , always bonus . 
 Jul 27 2009 	 remodel hotel take away 's class use . 	 wife use go Sheraton almost every year , remodel hotel take away 's club level , take away 's class . blue white beach ball hallway joke . owner hotel need go Seattle see classy Sheraton . hotel Seattle nice club level class Sheraton Frisco use . 
 Jul 19 2009 	 Decent Hotel - frill 	 get good rate hotel business - really cater tourist . 's strength location , sightseeing . however , will need put decor circus - like . also , door adjoin room huge gap bottom allow hear even quiet conversation neighbor . hotel also lot wear tear since many guest . get good rate , might worth . not pay full price . also , beware parking status . charge parking top ! 
 Jul 16 2009 	 Good Location 4 Star Service 	 return Sheraton Fishermans Warf disappointed quality hotel . usually stay Sheraton agree one previous review experience first hand- usual standard quality hotel chain . Lacks amentie offer hotel - refrigerator coffee pot restaurant limited hour . service good everyone friendly quiet room place- light sleeper . room small bathroom closet . would well bit back warf get dollar . spend two week prepay would search another venue . 
 Jul 15 2009 	 Fun Hotel Heart Everything 	 really enjoy stay Sheraton Fisherman 's Wharf . would call luxury hotel , would call fun hotel . staff nice . lobby good vibe . room top floor dormer window . would request room , feel big . bathroom standard issue small side . really enjoy pool . hard find outdoor pool downtown SF . heat clean . 
 Jul 14 2009 	 Disappointed Sheraton 	 recently stay , certainly not awful , quite Sheraton brand . room appear recently renovate comfortable cheerful . bathroom , however , small . the hallway need fix up . the lobby attractive California style - cool color , bleach wood , clean line . service mostly friendly . ask concierge certain tour read , idea talk , try find out . we stay reward point , 's doubtful would stay . 
 Jul 13 2009 	 location great hotel like whatever 	 stay first visit san francisco , nothing special though . blow away parking rate , location great though ! everything nearby walking distance . do not really like decor , think kinda funky . 
 Jul 13 2009 	 excellent spot 	 read one hundred review skeptical hotel , must say hotel closet Pier 39 , Ihop right across street , Denny be far . close everything . fire pit nice weather 60 every day . exxtremenly cold entire time alot plan nix weather . hotel great place stay 6 day , concierge nice , front d cordial . room nice ! one single complaint usually complainer . 
 Jul 13 2009 	 Great Value Location 	 get two room three night priceline good deal . call day arrival accept request adjoining room . large room comfortable double bed small bathroom ( ok 2 people ) . noise room noticeable , anything outside build street noise ( location drawback ) . concierge helpful . f line street car across street access BART nice . car would suggest bring one . for good restaurant option reasonable pricing take short walk Columbus Ave / Union Street . Tuk Tuk Thai Michelangelo 's two thumb . 
 Jul 11 2009 	 Location ! location ! location ! 	 Great Location ! comfortable room ! like minute walk everything . even Ihop . value moneypros : free wifi lobby cafe . con : ref room , sometimes car room near street . 
 Jul 11 2009 	 Location ... location ... location ! 	 get back FABULOUS San Francisco trip . Sheraton nice . family friendly , safe hotel go San Fran . first time want see sight without rent car ! ! positive : staff talk helpful friendly . extremely clean room , hallway , lobby , bug anywhere ! nice decor - bright paint , contemporary painting furnishing . softest bed ! LOCATION FABULOUS ! main door nice firepit ( bit chilly last week ... everyone windbreaker sweatshirt ... even glove hat ... windchill cool morning evening . ) location : 2 block pier shopping , bay cruise , wax museum , Ripley 's Believe ; food like Rainforest Cafe , Hardrock Cafe , Johnny Rockets , Boudins ; sea lion , Alcatraz .. 1/2 block Walgreens , Safeway , Trader Joe . across street IHOPMinimal Drawback Us : tight budget .... Breakfast higher want pay $ 25 ea . buffet ( IHOP across street well many breakfast place pier ) . many nice restaurant within walking distance . bottled water hotel $ 4.00 ; Walgreens across street $ 1.29 . tell tour guide building downtown make wood sway withstand earth activity . .... bring earplug ask top floor hear other floor . pop earplug sleep great way . bathroom small other say not spend much time anyway . go city ! drawback not affect fun ! Quick Tips : take shuttle airport ( upper level airport ) $ 17 ea take cab back . $ 40 public transportation , cable car , hop trolley , walk easy city ... much well rent car . ( read other park quite high ! ) Great Plains tour excellent ! ! ! 4 hour city tour small 10 seat van ... ask Judith ... love city ... take backstreet ... let take picture ... positive make city tour incredibly fantastic ! ! Gray Line Day Tour Monterery , Pebble Beach & amp ; Carmel excellent ! ! Matthew drive give we mile mile tour ... walk encyclopedia fact ... tell we everything could ever want know area drive ... FABULOUS ! 
 Jun 28 2009 	 will not stay ! ! 	 consultant , travel lot . use mix up occur hotel , occasional hotel create inconvenience . learn patient understanding year . however , flat incompetency outright lie staff unparalled experience . give away room lie face catch moment later , move we room room room process fix mistake , ice cake - double charge we two different credit card stay - question ethic manager certainly say customer service STINKS capital & quot ; & quot ; . know never ever stay , may question stay Sheraton ( principle ) ! 
 Jun 17 2009 	 ok hotel great location sightseeing 	 stay Feb. husband business meeting kid , grandparent go sightseeing day . hotel kind & quot ; tired & quot ; , clean bed comfortable . bathroom small & quot ; tired & quot ; , clean . main draw hotel location . quick walk Fisherman 's Wharf , Alcatraz cruise , restaurant trolley . grocery store pharmacy across street , get snack room . small pool , use Feb . overall , good base family sightsee , would advise romantic getaway ! 
 Jun 16 2009 	 Hugely Disappointed 	 Stayed hotel last stop LA , Las Vegas San Francisco tour look forward repeat performance Sheraton stay Anaheim first stop tour Anaheim Sheraton could hardly well however arrive Fishermans Wharf San Francisco soon become obvious different story , start hotel surround car park bus depot sea view room advertise ! ! room single glaze window drafty well let LOT noise outside especially bus depot times day night , top lack quite room wall floor seem wafer thin every noise surround room could hear , facility offer also fairly poor everyone taste sushi bar restaurant , shop , pay minute internet access ( free sheraton anaheim ) generally unwelcome entrance area , obviously modern feel try achieve cost comfortable , welcome surrounding ! staff generally welcome would rather keep head say simple good morning direct contrast Anaheim staff could not nice ! ! top everything expect pay $ 50 per night park car , never write letter comment complaint feel let Honeymoon hotel day arrive home feel necessary make comment , 
