luxury 	 stay couple month open . beautiful suite great layout . love everything incredible bathroom , comfortable bed remote control shade curtain . casino connect venetian lively fun . phantom incredible . 
 amazing stay one Las Vegas ' good suite hotel 	 Palazzo quiet serene oasis midst Vegas strip activity . twin tower Venetian , huge Palazzo suite amazing view Strip - directly across Treasure Island Fashion Show Mall . location great . never leave Venetian / Palazzo complex , , be close Wynn Encore Mirage . 
 Great Stay 	 second stay would stay anywhere else . service room always excede expectation . room huge always clean . service great always happy help . everyone work maid taxi line people always say good morning , afternoon , ect . would recomend hotel anyone . 
 Mature clientele 	 stay Palazzo right Thanksgiving . find hotel mature clientele , without much party scene , fine . think be hipster look big party scene , may right hotel . hotel nicely appoint clean . room nice , impressive , consider pay . certain area , & quot ; aroma therapy & quot ; pump , combine usual cigarette smoke , bit hard swallow . staff service average . one waitress make positive impression tip accordingly . desk personnel friendly , agenda sell pay upgrade . logistically , Palazzo good jumping place want within close walking distance either Wynn , Mirage , TI Harrahs . hotel large , combined sister property , Venetian , slight orientation challenge . two join property , be pretty much something everyone . overall , not big issue hotel , expect , give price pay room additional service . 
 vastly overrate 	 unfortunately big disappointment , except bright spot ( server Grand Lux , comfortable / spacious room ) . service nowhere near would expect five diamond hotel ( receive ) -- multiple call priority service get equipment room working order , surprise fee , unknowledgeable concierge multiple occasion , room service meal sit hall almost 24 hour . be prepared pay fitness center ( despite note website ) . tell additional charge use whirlpool ( ask multiple people ) , find one outside free charge -- not staff know property ? back Bellagio next time 
 Oct 17 2009 	 thank Mr Recession Man - us favour ! 	 get great deal $ 480 4 night September . expect trash room overlook service yard - surprise . take Palazzo Shuttle Bus Airport hastle free . expect queue age checkin Saturday afternoon , 1 couple ahead us queue . friendly receptionist chat ask first trip Las Vegas ( ) , tell we nice room us 12th floor overlook Treasure Island Strip . not put much pass pass , envelope key card ...... comeRan gauntlet Casino lift , 12th floor WOW ! although see photo 's room , nothing could prepare real deal . many report indicate room become & quot ; tired & quot ; - guess lucky - spotlessly clean sign wear tear apart button miss sofa . view strip backdrop mountain impressive . the bathroom : Lets say - ever get opportunity plan dream bath / wash room - . nice bathroom ever . loved mood light separate toilet , could not get tv situate wall - case sound picture . would neck injury relax bath watch tv . could happily live bathroom duration visit . good selection toiletry little extra , plus good selection fluffy towel ( big bath towel ever ) , robe etc etctwo double bed sleeping area , wonderfully comfortable luxurious linen pillow , decor fantastic . fun try electric curtain three tv' . the relax area room comfortable surprisingly comfy sofas ( not look initially ) . although not avail room service , dining table would welcomme would , writing / work area WIFI great dvd player / radio etc home away home not want venture . ringside seat Firework display TI , open drape two we sit , wine hand enjoy . sudden ( 20 minute ) - plop ! ! recession must hit pyrotechnic technician Las Vegas ! laugh sit ( lovely huge bath towel ) much could Las Vegas ! Aircon : quiet 's job . problem . ok - Envelope : ( presume ) standard letter welcome us hotel couple $ 45 slot credit , voucher 20 % discount restaurant 2 - for-1 cocktail voucher . look like initial payment $ 480 would become real bargain . concierge : seek guidance one concierge regard visit Grand Canyon , spend age we offer several suggestion . nothing problem one friendly , helpful concierge encounter . good tip twice , second time reluctant take . suggestion Pink Jeep Tour spot , jeep ride , helicopter canyon floor boat Colorado . not particularly fancy heli ride Las Vegas . would highly recommend tour anyone . security : Security Officers elevator seem take notice coming going . chat pass one evening forgot flash keycard , stop we . good thing . although appear lot body around conference , never delay wait elevatorrestaurant : course avail 20 % discount - eat Dos Caminos ( fab ) , Woo ( fab ) , Cafe Lux ( good homecooke fare far far much food ) , table 10 ( possibly 2nd bad meal eat 3 destination trip - awful food , service , atmosphere ) try get table Carnevino couple time lucke want flexibility book that s settle Table 10.casino : gambler - well be not go Las Vegas stick gold Lucky Leprechaun machine , play ' m irish ; - ) enough 3rd spin play 4 night , some / lose money double checking . joke aside , Casino never full ( far ) drink hard come by . we well service Sunday afternoon MGM play cent slot ! ! say , one evening extremely quiet , husband tip waitress $ 10 nothing small practically sit coat tail evening ensure ok drink . not drink much not get much custom ( tip ) we . Hubbie play card table one night guy sit beside get walk , say not prepare play offer drink sit game 45 minute . look like recession hit cocktail waitress . someone tell we 4 cover casino evening . Pool Area : look beautiful not busy whilst . however lovely pale irish complexion not lend sear heat sit outside . run gauntlet Hotel Hotel ( Shop Shop ) could manage ! scent : read previously scent hotel . not find problem , cross threshold Venetian almost gag leave . strong , artificial smell - try cover ? result , spend little time explore around Venetian . Fashion Show Mall : access take escalator strip via Encore / Wynn . not impress shopping ( spend couple hour one day ) . everything Las Vegas seem 2 extreme - either high end trashy trash . checkout : check via tv hastle hide charge leave hotel around 8.30am 11.35am flight . reluctant leave , glad . stood queue hotel taxi pickup 35 minute taxi . could not understand disorganised people around we get irrate run late meeting / flight etc . end , offer ride gentleman behind us queue airport bellboy send taxi 's airport one passenger per car . another queue start share cab . visit hotels strip day . return , would not mind try Wynne / Encore . however pay , get - not think could beat Palazzo would happy return . all - pay - perfect ! 
 Oct 17 2009 	 Favorite Hotel Strip 	 Hmmm , say place ... spacious room tastefully decorate separate living bedroom area . extremely comfortable , tv 's galore , excellent spa within hotel , acess fabulous restaurant . could stay day leave building . 
 Oct 16 2009 	 Great room Crowded Pools 	 spend 3 day weekend neice 's wedding . check - in quick problem . bag take lobby upon arrival make room shortly thereafter . the room fabulous . beautiful living area separate sleeping area , nice view , comfortable bed . everything clean well maintain . lobby area nice well , except virtually seat int lobby . however seem case many Las Vegas hotel .. one complaint pool area . little space number guest hotel . early afternoon , available lounge chair even staff remove unused towel unoccupied chair . also , pool shade around 1:00 pm , maybe ok auigust , good Octeober . also annoying fact extra charge use fitness center . never encounter think unnecessary charge . overall , nice hotel , good location good restaurant site . 
 Oct 14 2009 	 GREAT HOTEL heart 	 town celebrate 3 birthday decide Palazzo stomp ground . 15 20 - something girl group , look book 3 room 5 girl . recommend review , decide call hotel reservation hotline directly get good deal . guarantee we strip - view room , also assure pay additional $ 30 / per person per night 2 people room . get great rate $ 257 night , split 5 people , come $ 145 per person whole weekend . also take contact 's name number reference look make show dinner reservation . once arrive , promptly greet promoter TAO LAVO . since nightlife big draw Vegas weekend , able get list Friday - Saturday - Sunday 3 hotspot ( TAO , TAO Beach , LAVO ) . highly recommend group girl . night , wait line , pay cover , get free drink . also able get room upgrade & quot ; Concierge Level & quot ; slip $ 40 upon check - in . overall , hotel fantastic . walk around hotel , Palazzo far nice stay anywhere else return Vegas . recommendation Table 10 ( emeril 's restaurant ) , Dos Caminos ( great guacamole margarita ) , Grand Lux Cafe ( fantastic breakfast buffett $ 15 ) . also make sure ask coupon upon check ... get $ 25 check Dos Caminos $ 25 casino credit . 
 Oct 14 2009 	 amazing ! 	 hotel right strip infront Treasure Island . see show strip window . well , depend assignment . hotel walk distance fountain show , pirate show , volcano/ fire show ceasar palace . resort side side venetian . room big enough . crisp linen sheet . problem lock Bathroom toilet . travel aunt family thus , need warn everyone go somebody inside . elevator fast . smelly room . lot pool dip ingo outlet depot shopping . 
 Oct 13 2009 	 Phenominal Lux Hotel 	 wonderful stay , 49th floor view incredible , great dining experience , helpful friendly staff ! great Stay ! 
 Oct 12 2009 	 little pricey nice ! 	 recently come back 3 day weekend Vegas group girlfriend . self one friend stay Palazzo suit . standard suit nice . sure would want need upgrade big suit like say really nice . bathroom big bright easily share another get ready . bed comfy . staff member hotel extremely polite wanted make sure stay every way enjoyable . room service breakfast deliver one morning although bit pricey breakfast $ 43.00 include tip good delivery right time bellman nice , polite accommodating ! gamble Palazzo sport bar employee also great . help make couple bet 100 % sure make feel great . overall would recommend hotel look high - end place stay Vegas . none staff stuffy arrogant make feel welcome good . may stay price alone , ( think find decent room elsewhere bit cheap ) send slight discount room future would consider stay . 
 Oct 12 2009 	 good hotel ever 	 get room compe , price right , definitely favorite place stay strip . gorgeous room , great customer service , highly recommend ! travel 3 kid roomy problem kid along . pool nice also . 
 Oct 11 2009 	 near perfect hotel 	 stay Palazzo 6 night end September 09 . spend one night Venetian , upgrade Palazzo speak staff happy upgrade . room 39th floor view look strip Vegas , good view ever . suite excellent , plenty room , update facility . difference Palazzo Venetian feel private Palazzo , venetian often busy guest , Palazzo little bit peaceful . also attach Palazzo bar call Lagasse stadium , outside front fantastic way relax . bar aim sport lover ( include ) , seat amazing relax , happy hour 3 - 7 pm . negative comment near perfect hotel one day moderate wind condition 20 - 25 mph , pool deck close day . speak manager understanding unfortunately live world everything cotton wool round , part could say negative . overall stay number hotel strip BEST far . 
 Oct 11 2009 	 Viva Palazzo 	 fly Las Vegas Virgin Atlantic arrive late afternoon local time . transport airport hotel take 30minute . ride strip hotel impressive - soundtrack 1970 hit pump speaker - great start six night trip . greet uniformed doorman direct check - in - take minute - paperwork carefully prepared . recevie suite 38th floor , non - smoking view strip - Venetian .The Mirage , Trump Towers Treasure Island surround mountain - sunset amazing . plenty elevator service floor - rise speed Saturn 5 rocket . our suite , 38800 fantastic - two queen size comfortable bed , spotlessly clean quite . never hear noise , block sound air condite head , something one normally deal north east Scotland . three television suite - wall across bed big ( 42 " ) flat - screen tv small tv bathroom - onl ; complaint difficult watch fully recline bath surround bubblebath - third low level suite opposite couple double leather couch dvd player connect . cd player / clock radio bed . drawer closet space entire house . tv mini bar , touch - look well touch - unless want add bill - safe , use .There four remote - one tv plus remote blind thick ( Neon Proof ) curtain . view fantastic , ever change ..... bathroom comfortable , tranparently enclose shower seperate big bath , two sink dress table hairdrier enough mirror cover every angle - soap , shampoo lotion aplenty . towel thick , large many - robe two ( $ 65 buy ) also hang bathroom - slipper though . loo seperate job , wife impress wallpaper unusual hotel room ! .We like Palazzo ’ casino although gambling fun low price range - highlight wife win total $ 75 penny slot six day . eat breakfast formally - tea pastry Casino Floor Coffee Bean Shop hit spot day - apart one ' formal ' dinner first resturant - thought overprice rather overspiced great disappointment - visit wide variety eatery across city - eat many burger normal year fancy one try Burger Bar Flamingo - traditional american Cheese Bud hit urge . I check - out via tv booking late departure - simple task - pick copy bill checkout desk - take three minute . aware additional cost / tax $ 17 per day add account _ late check $ 50 plus tax . ( 1400 rather 1100 ) really fine time Palazzo . experience - visit Vegas want little extra comfort relax hour every day recharge next day go Palazzo . 
