Exceptional 	 stay 12 year love hotel . great room amenity . excellent English breakfast many choice . location near tube , restaurant , theater many interesting sight see . friendly atmosphere . would recommend age . 
 Nice renovate hotel good location 	 work 5 min away use overnight stay London . recently renovate , nice hotel , pretty good service door reception . room king , internal facing , fine arrive 5 not really look , probably worth check view get . bathroom really really small spotless modern great . room decent size , desk , seat , LCD tv decent sized wardrobe . hotel overnight shoe shine service not use not aware lead sign aspire good hotel . overall would say good hotel frankly price good . hotel London generally hit miss sometimes , pay £ 200 would stay , central everything , modern clean . however cost £ 190 get Claridges £ 250 ... mmm formal / stuffy fo get overall well hotel Royal H. overnight stay stay . tourist stay long , fair bad choice , although good 15min walk Covent Garden 5 - 10 Trafalger square . 
 Jul 4 2009 	 blow away day 1 	 WOW wife arrive flight US morning first moment staff reserve happy help way possible . readily accommodate previous request early check - in respond great sense urgency request inquiry settle . word hotel location justice . King Room wonderful view river city towards St. Paul . appointment - far - first rate ! ! ! & quot ; power nap & quot ; afternoon help get jet lag prove bed linen great . gut tell find new home future trip London & quot ; Day 1 & quot ; . 
 Jul 4 2009 	 quite simply beautiful hotel beautiful view London 	 boyfriend suprise stay Royal Horseguards birthday . always admire hotel look like fairytale castle thame . say truly feel like princess stay beautiful room incredible view London ( nearly 180 degree view St Pauls Gerkin past Oxo Tower London Eye ) . boyfriend recommend upgrading room cost 's well worth ! room service good table city ! room gorgeous . modern decor classic shell . bed gorgeous white egyptian cotton sheet plush comfortable . delicious box chocolate wait bed complimentary hotel lovely touch . bathroom fantastic - amazing view great shower , lovely decor , sink tv bathtub ! hotel terrific location - central also quite quiet . 's 5 minute walk Trafalgar Square Big Ben . restaurant good . enjoy lovely afternoon tea . breakfast also good , though service breakfast room not well probably non-5 star part hotel . however , room service terrific get back hotel late specially make we meal even though well past dinner service period - taste great ! not make we feel guilty , great . would also advise make use concierge service know stuff . thing would recommend would improve private lounge area guest only . I would highly recommend hotel anyone want ideal London hotel experience touch something special . 
 Jul 3 2009 	 lot technical issue 	 nice building , nice location , well - appoint room . however , technology complete let . bed - side light work ( probably break light bulb bite still ... ) bad , wifi work 2 day . spend 40 min phone helpdesk , friendly could not resolve issue . not computer use wifi everywhere , include day next morning different location . tv shower sound ... one thing work charm iPod docking station- require hotel . stupid thing though room small balcony french door lock ' health & amp ; safety reason ' . give ? 
 Jun 29 2009 	 beautiful hotel perfect location 	 hotel perfect . staff helpful inquire restaurant direction . comfortable , though firm , bed . room clean beautifully appoint . book room without view save money not regret much . view , tired walk London look window anyway . hotel right Thames , sure view die . London Eye across way . hotel centrally locate walk everywhere . Millenium bridge yard away , Trafalgar Square Picadilly Circus close well . walk Westminster Abbey tube close , could hop easily . wish could stayed long . ever get chance return , hotel would go ! 
 Jun 25 2009 	 nice excellent staff good room . 	 recently stay Horseguards Mother - first trip England want find someplace special . deal get Horseguards website great - come $ 180.00 / night , include breakfast . location really could central . surprisingly quiet , modern comfy . quibble room interior , view air shaft . price really could not beat , amenity . 
 Jun 23 2009 	 Fabulous Hotel 	 stay hotel several time year get well well . since refurbish truly 5 * . staff wonderful helpful pleasant can not enough does'nt matter millionair ordinary folk like we treatment seem like . central location walk everywhere wonderful treat 
 Jun 14 2009 	 wonderful hotel 	 return spend night royal horseguard , take mother 1st trip capital nearly 20 year .. hotel really luxury affordable price , stay quite hotel round world , one one big room stay , beautiful bathroom flatscreen tv bath , main room another flatscreen enornmous writing desk .. whoever refurb hotel do fantastic job .... hotel also great location sightseeing { down st , big ben , thame , london eye , buckingham palace , trafalgar sq , within 10 min walk } also 10 min walk covent garden ... embankment station 2 min walk away ... also near charing cross station ... go see oliver , fantastic show , lucky enough see , make sure get rickshaw back hotel , arrive back wonderful terrace bar within 10 min show end .... also lucky enough see queen troop colour , brilliant experience ... great trip capital royal horseguard help capital way ! ! ! ! ! ! 
 Jun 14 2009 	 outstanding experience 	 pick hotel location ( Theater District ) , price ( reasonable ) , Trip advisor rating . pleasantly surprise even well expect . room huge , especially european standard , leather chair cherry wood furniture . sleep area , sit area , desk well large dresser mirror . plenty closet space . bathroom wonderful , big deep tub wall television heat towel rack . complete complimentary tea service well french - press coffee pot . service stately cordial . drink bar expensive , everything London expensive be use american dollar . location perfect ... two block away noisy touristy area quiet . walk several theater evening performance . sure try TKTS Leicester Square half price ticket ( maybe six block hotel ) . certainly would stay ! 
 Jun 14 2009 	 fantastic location faultless service 	 stay hotel one night business trip , impressed . location Embankment right opposite London Eye spectacular . room well equip comfortable wonderful view request river facing room . hotel really excel service , particulally front house staff really make effort enhance stay . nothing much trouble whole place feel well manage establishment . food good lovely outside terrace al fresco dining . hard fault respect , get room reasonable price will not want leave . 
 Jun 14 2009 	 good hotel - well locate 	 actually stay first day hotel 's re - open 25 Feb , lot ceremony couple Royal Horseguards complete horse outside . 's amazing building still retain original feature . arrival , bit problem room wait make feel welcome . room large , well furnish rather like iPod dock set wall . even work iPhone . bathroom nice plasma tv set wall bath . sadly , not get view window look onto central well room , , hey , not stare window ! breakfast next morning good . , good hotel would definitely use . 
 Jun 12 2009 	 wonderful hotel great location . 	 wonderful stay Royal Horseguards Hotel . little worried get good bargain go mean room overlooking bin great room 7th floor . river view view roof nearby building - bad ! room amazing spotless . wish could hire clean come clean house - incredible clean . everything imagine room - plasma tv , ipod docking station tv bathroom great ( look speaker link surround sound main tv - instruction explain everything ) . think everything make stay really enjoyable . staff friendly , taxi 's order request , luggage looked need . walk hotel Regents Street Covent Garden within walk distance theatre . underground station across road . praise hotel enough certainly book stay next year . disappoint book one night - could stay lot long . 
