cleancomfyperfect 	 second stay travel inn 42nd street . even knee damage find location theatre shop ( time square ) within comfortable walk distance . I book single get double double , near lift request . forgot hair dryer uk USA adapter provide ( hair dryer room , plug request ) handy later check 12 pm , still get run last min errand last day . easy walk subway port authority . also across street drug store food nearby . fridge microwave room nice touch warm . can not fault place price location . small cozy , well look helpful staff . will return def . reccomend NYC traveller want comfort budget location ' the thick ' ! 
 Dec 20 2005 	 great location Brilliant Value 	 stay 5 night holiday NYC.Brilliant location 10 min walk Times Square . basic hotel excellent value . $ 175 night large double double bedroom good sized bathroom . decor mix style area clearly look little worn scrupulously clean everything work perfectly . room front 6th floor face 42nd Street . moderately noisy bad disturb we stop we sleep . temperature drop minus 7 degree outside snow ice room always warm without stuffy . restaurant hotel . diner next door look seedy heel . however , around 200 m away Theatre Diner excellent hotel guest get 10 % discount lunch dinner there . above , make place great staff . friendly helpful every stage seem professional . lady run Tourist Kiosk delight - real gem - helpful knowledgeable sound advice sale pressure . great stay . great little hotel ideal spot . would use tomorrow . 
 Dec 17 2005 	 great deal fantastic location 	 four ( 3 adult teenager ) , stay week decide book hotel read several review NYC hotel site . give room want ( 5th floor , pool 's view ) , clean proper , altough space four bit tight . neighbourhood close main attraction NYC foot bus / metro , block Times Square , Theater District , Empire State Building , Port Authority ( bus ) Hudson River ( NYC boat cruise ) .much well ordinary Deli next door , walk meter sidewalk will find & quot ; Starwich & quot ; , eat superb sandwich , chat Mike ( one owner ) relax cosy friendly ambiance . 's must want quality breakfast light meal ! negative thing hotel : main desk male service unhelpful room cleaning lady ( 5th ) somehow rude . 
 Dec 16 2005 	 thank give Big Apple 	 wife stay travel Inn 20th-28th Nov order see sight New York , catch Thanksgiving Parade importantly spend lot money sale . hotel need base thing , clean comfortable spacious room 2 double bed 2 we . 4th floor reception great view Empire State building window . Police station accross road give good piece mind strange place feel threatened walk aroun NYC . decor bit date bathroom need bit tlc , sleep change good value room can not grumble . Theatre Diner accross road excellent good value food even deliver room not fancy take trip outside , find hand day sale come back shatter 6 am start Macy 's . location great 10 minute walk Times Square , 15 Macys 20 Empire State get see lot Mid Town foot use subway Times Square rest ( much clean tube London way ) . already talk trip NYC next year definately look book hotel , pay five star hotel never go , be well book nice value hotel , spend save shop instead 
 Dec 13 2005 	 Simple Great Hotel 	 two 30 something female stay hotel 04nights 07th Dec. great location , less 10minutes Time Square feel safe walk hotel . cost USD175 per night . hotel frill hotel room clean , quiet tidy time . bathroom big enough we problem water temperature , shower 0730 - 0830 . drink facility room great deli next door . able order room service food drink , tea coffee $ 1.00 . stay NY would stay recommend friend , remember 5 * hotel ! 
 Dec 13 2005 	 great Find 	 travel New York regularly different season , great find terrific hotel , especially super - high rate season Christmas . room rate almost unbelievable compare other category 's location spectacular . room spacious , clean comparable one ' ve pay twice price . minute walk Times Square , hotel part Manhatten use call & quot ; Hell 's Kitchen & quot ; . neighborhood undergo big change great new bar restaurant scatter around . little deli 's part hotel good breakfast , be minute Theatre District 's famous restaurant . right 42nd St - be 2 block close subway stop cross - town bus M42 stop right outside door . another thing 's great location tall building around hotel actually magnificent Empire State Building room . ' m almost loath recommend hotel risk become popular price go . not Trip Advisor review never would stay . highly recommend hotel . 
 Dec 11 2005 	 good basic hotel . 	 hotel basic clean bed comfortable . easy walk Times Sq lot place eat within 5 min walk . tea coffee make facility plumb noisy especially night . 
 Dec 6 2005 	 Spotless ! 	 spotless hotel free parking privilege ... can not find another one like city . certainly fancy ... clean good location . 
 Dec 3 2005 	 Ready Good Bad 	 recently stay Travel Inn along another couple weekend nov.19,2005 . stay many time although feel real reason stay price rather quality hotel . offer free parking plus , decide long overlook area leave bit miff . I book two non - smoking room call couple day request room locate back hotel get stuck face 42nd Street , be noisy sleep right sidewalk . arrive , room back , smoke room . desk say call , give two room back without accomodate non smoking request . not know simply not tell thing go . 42nd Street . noise level unbelievable night . right across Manhattan South police station . garbage truck backup alarm wake right up . you can not regulate heat / AC room , fan speed . open window , noise level phenominal . double / double room receive new matresse hard ever sleep . bring one foam pad soften feel past . bathroom nice small , last several time put mildew wall , shower glass slider . room decent size . take shower 8 - 9:30am hotel full , great chance get stone cold water front desk ( else say ) tell boiler . tell three different occasion . one time turn faucet bath , come rusty water , debate head housekeeper new room . suppose straw break camel 's back happen friend hall . last night ( Sunday ) hotel plenty room available . friend wife feel ill toilet get plug 2am morning . call ask would send someone , not would even offer another room use bathroom . ill , awake angry , friend wife leave hotel find another bathroom somewhere NYC 2AM , decide afterwards simply leave drive home . know call 9am see might road , tell 5 mile home ( 400 mile trip ) . story come . decide tell experience share , may surprised thing not work visit there . I guess reason use put free parking , rate quite low year back ( $ 109- $ 139 ) . weekend , average $ 165 per night NYC hotel get high rate , especially year . well , even though free parking plus , would rather pay $ 25- $ 30 room mildew , concrete matresse possibly 42nd Street . suppose easy overlook price reasonable , hotel bargain anymore free parking free parking . back hotel like old motel common walkway room look kind cool , decide leave window open , right walkway level vulnerable enter . certainly would not want leave open sleep either . right walkway level . many people choose overlook give hotel high rating , NYC 35 time long use Travel Inn back grateful . Believe , course trip , not afraid spend extra $ 25 parking . yes , spend vacation hotel especially NYC , however favor course 2 - 3 day stay , spend extra $ 100 parking choose hotel allow set temperature , clean mildew free bathroom , matresse will not make back ache morning . deserve well save parking . 
 Dec 2 2005 	 good budget hotel goodlocation 	 stay Travel Inn 3 night 25 November . make book several month ago choose hotel good review hotel price range . bit worried afer subsequently read bad review problem accommodation would stay hotel easy get airport , room clean good base explore New York - bus station subway within short walk . deli next door convenient plenty place eat Hell 's Kitchen / Restaurant Row practically doorstep . 
 Nov 29 2005 	 ideal location attraction 	 stay 5 day Nov ' 05 find within 5 - 10 minute walk Times Square , many transport link part city . walk hotel Lower manhattan around hour ( good way take city ) . room pretty basic , cable tv internet access clean tidy . anyone criticism hotel spend much time room need get see city ! hotel , restaraunt 42nd street deli 's , restaraunt , bar everything else could need within 5 minute walk . oh yes , get outdoor pool November thankyou ! 
