Super 	 Stayed Tower one night business due overnight function London . the view room front hotel Tower Bridge , especially night , something see . room comfortable little small rate pay fine . breakfast morning plentiful good selection hot cold . check - out quick occasion - know slow . 
 Jun 8 2005 	 great location poor quality room 	 stay one night short break Paris . whilst foyer restaurant hotel nicely decorate room poor quality . lampshade tatty fall apart nearly furniture room scratch , chip and/or show age . iron board not work neither air conditioning . it clean good view Thames good point could find . sure get much well value elsewhere . 
 Jun 2 2005 	 Location Location Location ! ! ! 	 stay Thistle Tower Hotel 30 - 31 May . wary due review pleasantly surprised . yes , hotel big lobby always busy , staff rush foot 3 thing one time - pleasant professional . need room change 2nd floor ( nice room ) move 7th floor , nervous mention , room superior ( posher toiletry ! ) nice view St Katherines Dock . if minor gripe ( know multiple room ) housekeeping bit hit miss come fill up / replace toiletry drink . nothing major . breakfast continental ( croissant , roll , cold meat , fruit yoghurt ) drink ( tea , coffee fruit juice ) . need , plentiful . pay cook breakfast , not bother . food notice leave . the good bit Location . leave hotel entrance River Thames across pavement water taxi / bus / boat jetty . Tower Bridge literally feet away Hotel Tower London across road ( walk Tower Bridge ) 's shame Hotel 1970 's concrete block , jars location - though interior pleasant enough . would stay - yes , without doubt . if want posh , much well London . want somewhere clean , reasonably price Location hard beat would say hotel good choice . one last thing - even though close Tower Bridge , busy tourist traffic - remarkably quiet outside hotel 
 May 8 2005 	 hiccup would go . 	 come back stay hotel , whilst hiccup ( put twin room instead double room book ) , ask ( since honeymoon ) offer upgrade suite 11th floor , complimentary bottle wine send we . the location hotel fantastic , could not ask well , close local Tube station get heart London . I wary hotel see review , think good . 
 May 7 2005 	 great view 's 	 hate hotel . view bedrooms fantastic - Tower Bridge , Thames , HMS Belfast ... bedroom comfortable , hotel sixty monster , lack warmth hospitality . queue 20 minute check 1045 night . lobby unwelcome bar restaurant look really unpleasant . 
 Apr 29 2005 	 great value money 	 book easy hotel get great deal hotel - bit worried would like great value money ! room lovely great view river ! staff friendly helpful.b good value hotel stay . 
 Apr 27 2005 	 stupid rat cought trap ? 	 must say hotel ok good location . but .... make direct international phone call Japan , without think much like home . 13 minute - checking charge £ 360 call ... standard practice ? say check make call . know , time buy pint milk without check price - least common sence pint milk will not cost 90p less . or fool ? freedom trade ? , hotel try make profit set trap fool , customer orient hotel . careful , never know trap . 
 Apr 25 2005 	 Business hotel complacent bad 	 awful check , average room , mini bar , service treat like mate - can not imagine anyone would pay money stay . complacent massive London business hotel 's bad . ok need expense pay bed night know expect London . 
 Apr 25 2005 	 great view tower bridge 	 wife stay short trip London find cheap rate lastminute . go , ask room view tower bridge . fantastic view light night . evening meal really nice breakfast adequete . 
 Apr 17 2005 	 could stayed long ! ! 	 ( , gran sister ) go London see musical . stay Thistle Tower make break even enjoyable . perfect view . room lovely , staff friendly food absolutely delicious . find great value would definately return . not want return hhome 2 night relaxation . Thankyou .. 
 Apr 11 2005 	 Pleasant suprise 	 book read review horrified wedding anniversary treat wife ring ahead without hesitation upgrade we free newly refurbish first floor . room wonderful king size bed , view St. Katherines dock , extremely quite equal 4 star London hotel recently stay i.e Holiday Inn , Marriott , Millennium Raddisson . staff polite helpful short wait check wait breakfast check . eat immediate area good we seem little choice expensive . 
 Apr 8 2005 	 Best Average 	 staff friendly enough service inconsistent ( Connoisseurs example markedly different level efficiency ) . room okay nothing brag , view Marina instead Tower . state elsewhere , location main thing go hotel . reason alone would consider use hotel can not strongly recommend . 
 Apr 6 2005 	 average charge twice 	 's month still try get double - charge refunded credit card , fact still try get someone call back ... check - in shamble , queue 45 minute call restaurant push back reservation . room ok , 2 party standard room shabby , although great view bridge . rest we upgrade room well still worthy star . breakfast edible , bad cup tea ever , staff also give we impression hold back something interesting . we pay cheap rate great loss , pay full price would complain . would recommend hotel location , 's . check credit card bill get home 
 Apr 5 2005 	 Hotel two half 	 Thistle Tower hotel two half , first 3 floor , beautiful refurbish room , floor 5 stay need serious refurbishment , resemble 2 * ! hotel great inn one refurbish room , awful ! Book caution ! 
 Apr 4 2005 	 bad Hotel London 	 God hate place . preferred hotel company Travel Agent book we . place beyond description . entrance dowdy , food terrible room dark airless . reason place exist moronic travel agent automatically book people . choice stay Great Eastern Liverpool Street one new Holiday Inn / Travellodge hotel spring outer part Square Mile / City . infact stay somewhere west end ( Waldorf Astoria price ) get 23 bus City . avoid hotel possible . 
 Apr 1 2005 	 truly horrible experience 	 return morning two night stay Thistle Tower , must say , stay mid- high - class hotel around world , truly bad hotel service ever experience . the hotel ( i.e . build location , well general decor etc . ) definately inkeepe 4 - star quality , however , service food simply abysmal . this pretty much sum think hotel , simply want quick synopsis stop ; want , post full experience below . I lucky enough able combine short business trip sightseeing trip fiancee , choose Tower Thistle , since close Docklands office meeting , major tourist attraction . drive ferry terminal Liverpool ( approx . 5 hour drive ) park hotel car park.- check - in absolute nightmare . end stand foyer hour ( 5 hour drive ferry journey ) wait attempt check we , & quot ; record booking & quot ; , book Expedia . point offer we assistance , even somewhere sit - simply tell we would need pay £ 12 internet access order contact Expedia sort problem . finally able get Expedia contact , able check we in.- shamble check - in , pay £ 35 per night upgrade & quot ; executive room & quot ; - room pretty good , nice view Tower Bridge , though see lot big well equip room price star level . previous reviewer mention , mini - bar stock switch . in - room high - speed internet access work well , pretty speedy , though quite expensive ( £ 15 per day - many hotel offer extra cost ) . not notice stain problem mention reviewer , put non - smoking floor , request , bathroom clean ( may upgrade room , however ) .- next problem come order room service . order think simple order plate dress nachos Coke . come , however , Coke nachos plain apart liberal help cheese.- go shop sight - seeing next day , good night sleep ( hotel fairly quiet ) mediocre buffet breakfast , return die bath foot day , could get room . think perhaps wallet somehow wipe keycard , try fiancee 's - luck either . leave fiancee stand outside room go back eight floor reception , find , 15 minute wait serve , keycards & quot ; expired & quot ; would need reprogramme . hand keycards reprogramme , hand back , promise would valid & quot ; two week & quot ; even though check next day , make quite uneasy many people might key would open room . get back room one worked.- next problem come follow morning , receive wake call 9 am , certainly order ( intend lie drive home ) . reception idea give wakeup call.- since awake anyway , think might well take advantage buffet breakfast - head carvery , breakfast previous morning . arrive , 9:45 , restaurant manager greet we say & quot ; breakfast finish , go elsewhere & quot ; proceed walk away could even question breakfast finish 10 am , publish finish time . easily one rude hotel employee ever displeasure meeting.- thirty minute queue , eventually get check , moment soon . checking , evident displeased customer - american gentleman stand next demand money back . hope use anyone consider Thistle Tower ! 
