hot 	 New York Helmsley two - and - a - half block Grand Central Station even close Chrysler Building , Bryant Park street . shop real close , starbuck local little place grab snack . NY Helmsley within walk distance Madison Sq Garden ( 20 min ) , Radio City Music Hall ( 15 min ) , Rockefeller Center , Times Sq .. ( 15 min ) brisk walking . great location . stay 36 floor room nice view , opinion . opposite side hotel view Empire State Building , side Chrysler Building look side , diagonally leave , right could see part Queensboro Bridge . room HOT , warm good . control air keep window open whole 4 day . lobby restaurant due renovation , tell would do mid December , know book . room pretty clean find sock bed someone else 's stay . towel , bathroom soap great robe provide . coffee pot room , refrigerator , microwave room . dbl bed seem small use , comfortable ! ! would stay right price . 
 nice stay would appreciate inform ongoing renevation 	 Third stay hotel although first one three year . room excellent , staff friendly however would much happy tell renevation lobby . bar hotel , lifts kaos times ground floor pretty much building site lift system part improvement . still nice stay would much happy tell booking certainly would influence hotel choice . 
 Jun 12 2009 	 room : great - atmosphere : bit stick 	 town conference since wife join , choose tourist location . hotel v presentable good spot close tourist area without right top . room great - clean , comfortable , smart spacious . doorman show we room excellent . one day , safe ' open . leave laptop need urgently conference afternoon . staff great sorted immediately . sadly , staff bit off - hand . couple doorman particular , make clear put receive tip dollar menial task ( something have experience hotel NY ) . also , use hotel internet room print 5 page doc work $ 1 per page ( steep ) ! bill arrive though , charge $ 10 . query , tell flat rate time use room . hardly break bank , ' prefer know advance . 4th time NYC ; ' ve stay different spot time . overall , hotel good & amp ; room probably well ' ve stay NY far issue staff bother would put stay . may seem like ' m knitpicke , not like make feel uncomfortable . last time stay Club Quarters . room not nice think preferred - atmosphere relaxed not charge every tiny thing ! 
 Jun 11 2009 	 really Happy Hotel Excellent Location 	 stay hotel two week partner last year . really happy service , room location hotel . hotel maybe little date first impression ( styling ) eveythe fine . stay two week offer room 6th floor little big roomd higher suit we fine . room clean everyday matter time leave 9 late 3 pm one day clean clean left . excellent . service form staff fine although would normally cfarry bag frown upon bellhop one make known job , take notice . the hotel beside Grand Central purchase Metro Card ( Unlimited travel $ 25 7 day ) allow get around city quickly . Time Square short walk away . Irish Bar across road really good service also . if want call home ( Europe ) would advise buy phone card local shop use Hotel phone call use that . it wa partner 's first time US really enjoy holiday impressed Helmsley 
 Jun 10 2009 	 great place stay NYC ! ! 	 ( 4 ) spend weekend May 29 - June 1st NY Helmsley . ny celebrate 60th birhtday can not say enough good thing hotel staff ! ! first time visit city everyone helpful . perfect location ( walk distance ) Grand Central Station , Times Square , shop many great attraction . would highly recommend hotel anyone look clean , comfortable hotel reasonable rate great location ! ! ! 
 Jun 9 2009 	 great location - disappoint experience 	 stay 3rd - 6th June , celebrate 50th birthday , e - mail ahead notify hotel , never get much acknowledgement staff . upon arrival 1330 hrs room not ready , leave luggage walk city 2 hour . get back hotel check , give key room 24th floor - imagine horror go room , enter , find already fully occupy ! thankfully , guest within , see personal belonging , clothing , shoe , etc lie hurriedly make way back reception , staff seem particularly perturb - ' computer error ' ! - gve we another room 37th floor . plus side , room clean , comfortable perfectly adequate . follow day , leave hotel around 0700 hrs return 1630 hrs , find room service . go back reception time ask speak duty manager - Rae - come speak we explain error encounter far . although pleasant enough , feel appreciate concern , especially security breach would upon arrival - keep think ' imagine happen we , imagine room someone else get access ? ' mention potential implication theft allegation , extremism activity , etc , list endless ! however Rae say would find ' who drop ball ' suggest go drink Harry 's bar whilst arrange room service . half hour later go back upstairs find room clean , adequately , although obviously hurriedly . that evening , telephone home hotel room , mobile not work . 5 minute call UK.On morning 6th June , checking , discover charge drink Harry 's bar - take whilst waiting room clean ! - charge whop $ 49 brief call UK ! could not believe exorbitant charge ask detailed invoice unable provide . spoke different duty manager , pleasant , dismissive dissatisfaction bother resolve matter favour . overall , feel hotel 's fantastic location spoil poor service , lack customer care , disregard customer satisfaction . special occasion almost spoil indifference ineptitude New York Helmsley . 
 Jun 4 2009 	 stay 	 make several trip New York City stay many hotel . New York Helmsley far away BEST value . service phenomenal - arrive early ( 10 a.m. ) room ready , put good room available time ( high floor view Chrysler Building ) . every staff member friendly go way make stay comfortable . room large ( huge , certainly small ) , clean well - appoint . location get much well - one block away Grand Central within easy walk distance Park Avenue , Fifth Avenue , Times Square , United Nations restaurant every kind . idea able get room rate , easliy worth least three time pay ( ' m reluctant quote rate low ) . even provide free wireless internet access . single problem . highly recommend hotel anyone travel New York , return summer bring family . stay Helmsley New York no - brainer - hesitate . 
 Jun 3 2009 	 great hotel great location 	 stay hotel 5/28 thru 5/31 three friend . lot search affordable , yet nice hotel good , central location . New York Helmsley seem fit requirement friend . get , know make right choice . hotel fabulous location ( less 2 block Grand Central fairly easy walk Times Square ) . staff friendly helpful . room 3408 , 2 double bed . room size adequate , bathroom ample counter space . also great view Chrysler Building window . problem noise come room . friend agree will definitely stay hotel next NYC trip . 
 Jun 1 2009 	 Excellent price 	 stay NY Helmsley thru 5/23 5/30 . read two year tripadvisor review hotel pick excellent overall review . family four come New York week gift daughter college graduation . young brother stay one room mom dad next door . request send hand e - mail reservation graciously honored get room priceline along flight Phoenix . Non smoke King mom dad double kid 22 floor corner room view Empire State Bldg . room ordinary size anywhere else country big Manhattan standard . front desk friendly accomodating . ask small fridge room send swiftly , although fridge not cool cold . porter curb service friendly helpful . room clean room service excellent . elevator fast , location excellent , room fairly quiet NYC . not use Pax restaurant next door much breakfast many suggest find Daniel 's Bagels 3rd Ave around 36th 37th st left side street Hotel 5 minute walk well recommend hole wall restaurant bake real New York bagel & amp ; pasterys every morning ridicuously low price NYC . New Yorkers secret many tourist place . overall NY Helmsley excellent NY experience would recommend would go back ! ! 
 Jun 1 2009 	 Great Location ! Great Service 	 stay Helmsley memorial day weekend . staff friendly pleasant . thoroughly enjoy stay . room small , NYC afterall . couple issue room like AC noisy drain not drain right - staff get right away . time get ready check , mini bar bill send room - not plan buy anything , TOUCH mini bar . item sensor , will automatically charge . staff great able correct issue hitch ! 
 May 29 2009 	 Good Location -- Small room 	 get bargain Priceline hotel well worth effort . location great . Manhattan hotel quite quiet . find room little small bed comfortable . lobby rather small chair sit wait friend show . little bar lobby under - staff difficult get staff 's attention get drink . overall , really enjoy stay . 
 May 19 2009 	 adequate price pay . 	 receive hotel via Priceline.com $ 109 / usd per night . price pay consider relative price hotel New York , value good . the review quite favourable hotel , surprise first ; however , say quite accurate . staff , espcially floor lobby ( door / bell man , security ) go way pleasant helpful . I check quite late , midnight . initially give smoking room , ask switch . front desk staff stop ask prefer non smoking ? room 2402 two bed . room adequate comfortable . although evidence recent rennovation , total gut , little updating . decor still outdate , impractical . example , hotel keep & quot ; hutch & quot ; , old , tv would sat inside . new LCD tv place use work desk . work desk mostly unusable tv difficult see one bed . the desk / tv stand desk light , make reading morning paper difficult . , find odd feature rennovation . another odd feature choice dark , non - patterned carpeting , , course , show every little bit fluff dirt . the window original quite thin . lot street noise get through . I find ledge bathroom counter great idea : helpful expand counter storage space always seem issue hotel . large hair bathroom floor , besides room quite clean even vacuum day . the room decent size New York bed coomfortable . unlike similar class hotel area complimentary newspaper either deliver room available lobby . overall plesant stay attractive price . 
