hotel 	 look forward stay wedding late September , surprised sign hard time subtle , affected husband . example , get locked room 2 time , wait 15 minute hallway go spa . time get ready wedding ceremony , stressful lost time . keycard would stop work . fuse blew , power trying get ready . happen also , come back spa , call hallway phone get help . luckily , right , employee randomly walking ask wait long -- know problem . say , call check . apparently , one even call Security get back room ! set key let , thank god . , wedding night , husband want order room service . little 10:30pm . tell room service closed night -- even though literature room brag & quot ; 24 hour dining . & quot ; fact never communicate we check in . I feel like quality service amenity slip . later hear something lot employee getting lay , maybe be people not interste provide good service . not think would recommend anyone stay Fairmont ever . btw , spa great hang , even be massage . 
 Great Hotel ! 	 really enjoy stay hotel- great location near Millennium Park . walk distance several wonderful restaurant , Navy Pier , museum , several site ! hotel nice roomy wonderful amenity . also , concierge extremely helpful provided we wonderful direction suggestion restaurant . look forward come back hotel someday ! 
 Aug 30 2005 	 Great Hotel location may issue 	 Hotel fabulous - great business type spend lot time theatre district . good split state street mall mag mile - far away trendy nightspot happenin ' place . cab Chicago plentiful - big concern . mostly cater business traveler loop , restaurant , Aria , fabulous . 
 Aug 22 2005 	 Nice hotel bed hard 	 nice hotel , bed pretty hard . large bathroom , big room , huge closet okey location .. shop Michigan Avenue walkable . Aug , 19 - 21 , 2005 weather pleasant enough walk magnificent mile . carpeting 21st floor could use cleaning though . weekend breakfast buffet $ 25 . end croissant coffee lobby excellent $ 6 . order room service day arrive pizza awful . since starve cost $ 18 , eat anyway . staff friendly . go gift shop , closed sign say employee would return 30 minute .. never go back . overall , okey hotel . admit though , meet expectation frequently read Fairmont hotel . 
 Aug 16 2005 	 Five Star 3 Star 	 stay Fairmont 12ththrough 16 August . hotel five star location . downtown Chicago accessible walk hotel . hotel cost $ 249 per night include breakfast . hotel location Aria Restaurant five star . quality remain hotel amenity especially service opinion close experienced hotel 3 star quality . hotel substantially overprice service amentitie . clean , old . several problem housekeeping service everyone polite problem never resolve without call hotel 's management . fairmont place specifically San Francisco Quebec also old property operate five star fashion . 
 Aug 16 2005 	 Beautiful Property Overall -- Room Furniture Refurbishment Long Overdue 	 poor condition carpet piece furniture , would give property & quot ; above - average & quot ; rating . this hotel great location . right next Millenium park . pefect distance walk . common area beautiful live high standard one would expect Fairmont . service likewise exceptional courteous staff . , would expect property this . the guest room great size view spectacular . stay one bedroom suite ( 2101 ) room 's configuration exactly would would expect Fairmont property . first class . bedroom furnishing nice although piece ( like bedroom table ) outdate little worn . bed comfortable . the living room furnishing completely different story . less 4 stain carpet look least 3 year old . horrible stain one would want make always wear shoe slipper bad enough make wonder Fairmont property could allow happen . sofa wear , stained sun - bleach . arm two chair ( part living room group ) tattered disgustingly dirty . dirty enough make want avoid they . while would certainly costly Fairmont refurbish guest room furniture , would think would simply consider project cost business -- particularly numerous Trip Advisor consumer report complaint extended period time . many people put Fairmont category Ritz - Carlton Four Seasons hotel . neither two chain would ever , ever permit type wear tear . least , would remove soil furniture resource replace . wake Fairmont ! be lose core audience ! 
 Jul 30 2005 	 Hard Night Stay 	 stay Fairmont downtown chicago . tell cot available moment . never receive cot phone call inform cot . finally call 10 night . ask extra blanket sheet . wait hour forty minute three phone call . 
 Jul 27 2005 	 Nice hotel ok value room need work 	 overall good experience , 5 star property ( 5 star price ) , could significantly well , particularly room . detail : ROOM : Stayed lake view king room high floor . great view . nice furniture , lot handy feature room . bed comfy sag badly middle . large stain carpet . a / C turn middle night reason , since still warm . bathroom large great shape . STAFF : friendly , efficient , helpful . excellent staff . area , hotel definitely par 5 star hotel . food : eat breakfast Aria . good , pricey . room service pricey ( expect ) , good food , wide menu . location : right north end Millenium Park . great spot get anything downtown Mag Mile , probably ideal spot tourist . SPA : spa treatment Wave Spa adjoin Lake Shore Athletic Club , wife . great staff . good treatment . price reasonable , comparitively . VALUE : price , room much well shape . otherwise , par . 
 Jul 7 2005 	 nice ! 	 nice 2 - night stay 4th July weekend . room lovely -- spacious luxuriously decorate . bathroom one large marble type separate section shower , toilet tub . everything clean let we check early , much appreciated . fairmont great location enjoy much Chicago offer . gripe hotel not pool gym building -- use Lake Shore Athletic Club , build next door . pay $ 20 per person want ! not end -- busy anyway -- think be stay kind hotel , gym convenient & amp ; free ! 
 Jun 28 2005 	 pleasantly surpise 	 really enjoy stay Fairmont . pefect location we go Taste Chicago ( Grant Park one block away ) . lose internet reservation , immediately give we rate upgrade room . end king size bed overlook Navy Pier 33rd floor . everyone encounter hotel absolutely delightful . room nice , little dated . nice bathroom seperate bath tub . cheap taxi ride place city . one major complaint . coffepot room complimentary coffee breakfast morning . coffee addict , go gift shop get frapucino instead pay 12 dollar room coffee delivery 2.5 dollar small cup lobby . would perfect complimentary coffee morning . would highly recommend hotel anyone go Chicago . 
 May 8 2005 	 Outstanding 	 able find single flaw recent stay Fairmont . check - in ( Leonard - exceptionally pleasant ) breeze . lobby public area beautiful . bell staff almost fall want helpful , way make want shoo away . room enormous , large 1 - bedroom flat ' ve . plush every amenity could want . Bathroom luxurious tub large walk - in shower . splurge room service , come 15 minute . Delicious , large portion , present live orchid . make special request everything came exactly request . expensive side , top quality . the bed , linen , acre pillow wonderful . I offer take away coffee bottled water wait 3 minute airport shuttle . what excellent hotel . 
 May 3 2005 	 Great Stay 	 Hotel ! ! ! ! ! arrive 6 pm enter lobby stun pale marble decoration give air elegance . upon check greet smile service impecable . give huge room 28th floo magnificent view lake Michigan lake area . room immaculate king size bed , parlor area huge bathroom . new GORGEOUS . turn heavenly water nightstand tray bed control , room service menus may need . helath claub next hotel accessible via lobby great pool , sauna area . overall , great stay excellent service . definitely return . 
 Mar 27 2005 	 Disappointing Stay 	 recent stay Farimont disappointing . start check - in room stain carpet waste basket emptied room clean . notice open window could close . even maintenance trouble getting close 95 % . couple hour room , understand window open first place heat control room work . even system & quot ; & quot ; thermostat register temp room 78 degree ! hot water shower morning . ( apology Guest Services . ) second morning , non - functioning toilet ! spite 3 conversation Guest Services , one ever come repair toilet . good thing check day . service lobby bar slow drink exorbitant comparison Chciago hotel . many wonderful option excellent hotel Chicago disappoint hear one & quot ; good & quot ; hotel city . write letter management & quot ; deficience & quot ; courtesy reply . positive side , convenient location . 
 Feb 8 2005 	 wonderful place 	 wife stay four day Fairmont Chicago wonderful experience . staff friendly always helpful . meal enjoy Aria dining room well worth price . room 11th floor overlook lake . room well appoint , spacious clean . already plan trip back Chicago fall stay Fairmont . 
 Dec 19 2004 	 good job 	 Fairmont good job . clean room , good linen , good service . would go back . 
 Nov 21 2004 	 Fairmont embarasse 	 stay many fairmont Canada , always ' WOWED ' , expect Fairmont Chicago . unfortunately , Fairmont Hotels U.S. seem much low standard . we put smoking room - reeked smoke - even though confirm reservation non - smoking room . room definetly show 's age - freye carpet , wear furniture , dirty dimly light . apparent Fairmont not spend dime guest room since hotel open . housekeeping forget empty waste bin two day row - leave note request miss light bulb replace ! expensive ( $ 36.00 ) slow ( 20 minute wait ) valet parking . come Fairmont ! much well ! 
 Nov 5 2004 	 Charming ! ! 	 love hotel- stay wedding please everything . room big comfy . bathroom nice spacious . love loungey cute bar hotel stop couple drink one night . hotel great location - especially great weather outside - it be right next Millenium Park step away Michigan Ave . could ask ! concierge downstair helpful . definitely want stay ! hotel stay downtown - this one favorite . 
 Oct 25 2004 	 wonderful ! 	 stay Fairmont Oct 23 . location convenient , staff friendly . interior attractive , room nicely decorate comfortable furniture spacious bathroom . really appreciate quiet room sleep well . put we smoking room even though request non smoking room . ask 3 time move nonsmoking room , move beautiful room 30th floor great lake view . night get watch firework Navy Pier nice treat . overall , would definitely stay . thing Fairmont could improve are:1 . efficient valet service . $ 36 / night , take way long get car , etc.2 . eliminate nickel dim charge use phone make call card call . disclose we way check out.3 . avoid put nonsmoke guest smoke guest room . despite minor drawback , convenient relax place stay , pleasant . 
 Sep 21 2004 	 beautiful 	 everything beautiful . excellent service , prompt , wonderful food , excellent view , spacious . Slept like baby . 
 Sep 11 2004 	 Quit 1st night . total disappointed . 	 Booked sea view suite 7 Nights January . good : Nice Lobby , room really ! largepoor : - rude unfriendly staff . feel welcome . never experience unfriendly arrogant hotel staff . - Old use interior . look like renovate since opening ( kidding ) .- Chattels worn.- Bathroom clean , black sediment tile . Trashbox dented.- Carpets wear distinctiv & quot ; street & quot ; .- entrance room poor ( worn , scratch , dirt , etc . ) .- location little far away city life . restaurant , bar shopping & quot ; next door & quot ; - & gt ; good day hotel definitely over . we leave hotel first night move next 6 night Interconti . one outstanding clear recommendation ! 
 Sep 9 2004 	 disappointed 	 disappoint stay Fairmont . travel book recommend hotel exactly sure . begin , stay hotel Chicago much well location . hotel hide back corner . secondly , room stay large hotel Chicago large bathroom somewhat well average bathtub , furniture carpet need update . furniture scratch carpet stain . view room average ; hotel great location ' see room great view . even room face lake construction distract view . lastly , ' little thing make feel happy hotel one pet peeve like coffee morning . feel like pay stay particular hotel give extra thing like complimentary coffee . not expect anything complimentary fairmont . want coffee pay $ 2.50 . 4 star hotel Chicago gladly provide fresh complimentary coffee morning . would stay many well choice Chicago . 
 Sep 8 2004 	 great view poor maintenance 	 although like Sofitel well , amazing view , quite grand lobby . however , poorly maintain - tub not work , minibar key room , scuff mark wall , peel finish bathroom . also feel bit isolated compare Sofitel even Hard Rock . would stay . 
 Sep 1 2004 	 Great Hotel Price 	 get good air hotel package thru Expedia August ( $ 522 2 NYC 5 night ) . room bathroom spacious clean except mildew shower tile . shower separate bathtub toilet . within minute get room , get call hotel welcome we ask we problem question . thing find strange though big hotel , room 2 double bed , 2 twin bed . ask Front Desk , say 's 's business hotel ( ? ) . although center Magnificent Mile , far El train close Millenium Park , be quiet area . 
 Aug 26 2004 	 Fairmont : european Dream 	 well , be familiar Fairmont , Chicago ... would understand hotel european boutique flavor . king size bed , believe , qeen . book double room , get two twin bed . decor beautiful , classical antique flavor . party Moulin Rouge room . food fabulous , service outstanding . personally work plan party staff joy work with . the room beautiful great view , comfortable bed , impecable cleanliness throughout . the restaurant lobby bar also great . side party , walk antique iron table rip pant . upset brand new party . when complain , hand cash pay . request give pant . think extremely odd , suggest photo take instead . insistance , ultimately give since new would never wear again . all , really love Fairmont Chicago 
 Aug 25 2004 	 good value 	 hotel currently offer great package deal connection United flight Chicago thru Expedia . end pay 100 buck night . give free upgrade lake view without flinch . however , first negative impression room still occupy someone ... oop ! give we smoking - room lake view , still great airing while . the service , include concierge , impeccable on . however , standard room furnishing bathroom aplliance standard Fairmont Boston , long shot . the fact location right Michigan Ave , complainer want whatever reason , really absurd , wouldn´t hurt people take nice walk along river get need . besides , it´s hard get nice view elsewhere ... 
 Jul 25 2004 	 average Best . 	 stay hotel world great luck great experience . hotel one . give room 1 Queen bed city view , book room 2 bed ( 3 we ) , lake view book well advance . not anything could , throw breakfast . plan across town breakfast not thing we . ( one we sleep rusty , old roll away . ) point reservation place ? decor wear date not expect & quot ; beautiful & quot ; pass lobby . furniture probably 25 year old downright hideous quality aesthetic . carpet tear , switchplate outlet cover rusty paint scuff stain . mini - bar moldy , one want content . even maintenance crew ? will not return . scale 1 - 10 , would give 5 . sorry , Fairmont ! 
 Jul 2 2004 	 first choice Chicago 	 Fairmont north Grant Park ( Art Institute new Frank Gehry band shell ) block toward lake Michigan Ave . brother family live condo building nearby , one several E. Randolph close lake , basically nice mixed residential office area edge park . give location , Fairmont ( swissotel right around corner ) always preferred choice visit Chicago , routinely put elderly parent ( dad 90 ) hotel . recent stay last weekend , probably fourth fifth Fairmont , would say 's become number 1 choice Chicago . 's top quality hotel ( par InterContinental , Wyndham , Sheraton ) , count thing well handle , well do , well whatever - else - you - can - think - of . room quiet warmth feel right -- little like home hotel class -- & quot ; quiet & quot ; emotional metaphor , room sound resistant . ( never sleep disturbed hotel , noise something ' m kind picky hotel ) . also terrific coffee room service -- good ' ve ever -- $ 15 charge large pot ( include tax room service fee ) almost worth . also , Fairmont one good valet parking deal Chicago -- check website thing seem fluctuate many hotel -- ' ve typically pay $ 25 parking privilege ( fairmont large garage ) . midwestern non - big - city person like first seem like rip , see many hotel ( like Wyndam ) charge $ 38 night ( yike ! ) . complaint Fairmont would $ 1.50 charge local phone $ 10 - 12 fee internet use , also typical almost downtown Chicago hotel . last least often get decent deal Fairmont -- pay $ 120 last stay -- although varie . check Expedia get general price compare hotel , book room actual Fairmont website ( get much well cancellation policy way ) . can not get deal Fairmont , always check Swissotel , InterContinental , Wyndham , Fairfield Inn downtown . be reserve couple week advance , usually get something reasonable ( around $ 120 / night ) one hotel safe , pleasant , quiet place thing right . , Fairfield Inn not really class hotel -- 's notch two other ( think Courtyard Marriott nice Holiday Inn Express ) be new , well run pleasant . swissotel great lake view probably friendly staff . InterContinental snazziest four right Michigan Ave . ( quiet ) . Wyndham little InterContinental Swiss book ( e.g. , room service coffee ok , door less heavy let little noise , sort thing ) still good hotel great location . want Michigan Ave shopping , Swiss Fairmont little center ( 4 block edge shopping area ) whereas other 2 block center shopping area , unless be dead winter , 5 - 10 minute walk pleasant . enjoy Chicago ! 
 Jun 14 2004 	 wonderful choice 	 stay honeymoon receive first - class service . suite luxurious , view magnificent . especially appreciate oversized tub bath sommeli hotel offer . hotel also give we several service free learn honeymoon . fairmont reasonably price hotel comparable quality . look forward another stay . 
 Jun 3 2004 	 great Choice ! ! ! 	 stay 10th anniversary . read review right ! ! service excellent , could please . reserve lake view room read review . definitely wise choice . info , luxury bathtub suite . however bathroom remain room still nice , standard tub . worth money ( receive excellent price quality location . ) Aria good menu limit . use athletic Club everything need . spa nice well . would recommend definitely return . concierge Roberta good ! ! ! ! 
 Mar 31 2004 	 Wonderful Hotel 	 hotel good city money . stay , pay extra stay lake view room . summertime , watch navy pier firework right window . , professional staff . great concierge . quick elevator . eat Aria , comment . 
 Nov 30 2003 	 First Choice Chicago Hotel 	 Fairmont suggest friend stay recently . could please . exceptional welcome arrive beautiful spacious room overlook lake perfect . Dinner Aria something expect . culinary adventure around world . word exceptional.we back ! 
 Nov 23 2003 	 not miss restaurant 	 block away fame & quot ; Miracle Mile , & quot ; hotel represent virtual bargain compare could pay nearby 5 - star hotel . lakeview room 35th floor big suite ' ve , spectacular view Navy Pier night . Aria Restaurant serve unique dish style . 
 Oct 30 2003 	 Fantastic Fourth 
 Sep 16 2003 	 shocking experience ! 
 Sep 6 2003 	 wonderful getaway Fairmont 
 Sep 5 2003 	 could well 
 Sep 4 2003 	 great Stay 
 Sep 1 2003 	 20th wedding anniversary 
 Aug 17 2003 	 suck ! 
 Jul 3 2003 	 bee well ! 
 Jun 23 2003 	 Disappointed 
 Jan 8 2003 	 Fairytale Fairmont 
 Oct 28 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 may 11 2007 	 Bon rapport qualité / prix 
