Great 	 be get cheap table strip - $ 5 minimum bet let ride roulette card game . useful new casino do not want lose money quickly ! 
 not overlook hotel due location ... 	 ' ve stay hotel 3 time really like . take mom ( 58th ) birthday last year also love . room nice , clean bed comfortable - especially love pillow ; - ) . yes , 's strip bus stop right next hotel $ 5 get 24 hr unlimited bus pass ( purchase bus ) . not mind walk be definitely doable . this hotel also wonderful 360 view revolving restaurant ( be pricy remember be also pay view quality service ) . dinner really good waiter really nice attentive - even give mom free slice bday cake . the negative woman walk around take souveni picture - 's really overprice say not interested not finish sentence literally grab photo walk away - really nice . almost complain decide let ruin night . just give comparison experience . ' ve also stay Rio ( nice 's mile strip walkable due highway - try regret shuttle fee ) Sahara ( simply , will not stay ) far , definitely prefer hotel . expensive yet service get not show . 
 Northern Strip 	 want right thick thing , not place . , however , not want . great small hotel everyone work simply wonderful . service level extraordinary , ' m hard please work customer service . 
 Good Vegas Hotel 	 good quality room , normal Vegas Casino facility , 20 minute walk centre strip . 
 Aug 10 2009 	 pleasantly surprised ! 	 husband book Stratosphere week , August 2nd-9th , rest relaxation trip . Vegas numerous time location issue we . get incredible deal Allegiant Air could not pass , decide go take chance . we arrive hotel around 1:00 afternoon , check - in go smooth long wait . check - in clerk nice , take extra time go different room available . Hubby decide upgrade Player 's Club Room cost we extra $ 15 per day . brand new mattress , new bedding , update decor fridge . room exceptionally clean ( real & quot ; must & quot ; hotel ) . grant room overly fancy mean , spacious , comfortable clean ( tell like clean room ? ) fact entire hotel incredibly clean . always see staff sweeping , dust vacuuming . overall hotel modern get sense run anyway . course wear & amp ; tear amount people mega hotel surely would ! getting settle take tour around casino / hotel area order get familiar surrounding . four restaurant ( Back Alley Bar Grill , Fellini 's , Roxy 's Diner Lucky 's Cafe ) starbuck buffet casino level McDonalds , mexican restaurant , Ben & amp ; Jerry 's , Fat Tuesdays , Weitzel 's Pretzel place Chicago Style hot dog restaurant upper level . also , Top World restaurant high tower . eat Roxy 's Diner excellent food , great service decent price . waiter waitress sing 50 's & amp ; 60 's song lot fun ! husband acquire new crush Gidget , one waitress diner . sit next sing bit song eat ! cute ! also eat Lucky 's Cafe also good , great portion size , price not bad food great . also try buffet one day $ 19.99 eat - all Day long deal . great deal sure find eat entire day not want come home extra 10 pound lose ! overall , okay buffet . food so - so , however , great selection different dish something everyone . also eat mexican restaurant upstairs . good well , good mexican price also decent receive huge portion . our main goal relax pool day work tan . main pool 8th floor awesome view surround mountain range . always able find lounger , vast amount surround pool area . lot shade find handful umbrella people use shade , advice would get 9:00 want secure umbrella day . pool area also cabana 's rent well . Monday - Thursday day rental $ 50 Friday - Sunday $ 125 . cabanas basic mini fridge stock bottle water , flat screen tv , two lounger , free rental pool lounger . rent cabana always able find quiet corner deck umbrella use . the adult pool 25th floor . must 21 old go pool area european style pool ( topless sunbathing ) . decide go check one day love . become hang choice ! much quieter mature vibe . especially like scream kid ! pure bliss ! view 25th floor amazing well . service excellent bar tender get know everyone pool many we . great service pool attendant well . arrive ask would like sit , take towel seat , set everything make sure comfortable . nice touch ! location hotel good point bad point . go Vegas first even second time , would stay . say end strip get strip take long time . money budget take cab strip would okay budget take Deuce want walk , think . Hubby not mind , grab deuce watch sight make way strip fine . see hotel majority attraction , rush anywhere give time . good thing end strip sort half way strip Fremont Street , catch bus either area really easy convenient . also half way one outlet mall well , short bus ride hotel . one thing notice way strip , could walk hotel walk convenience store grab munchie alcohol without stuck massive crowd walk up / down strip . quiet area everything need right - internet cafe , convenience store , bus stop , Denny 's , IHOP etc ... handy ! ! end , great time achieve want vacation . would hesitate stay Stratosphere . value money ! 
 Aug 10 2009 	 great deal nice hotel 	 impressed price , 3 night $ 200 . gaming floor quite nice , nice selection game , table , . food choice not bad , good primary strip hotel , still decent . room nice , request high floor give one 21st floor view downtown LV . staff friendly , check quite quick . the location little way main strip area , not mind walk ( 10 - 15 min ) . view top tower must see ! pool nice , always great music pump . thing not like lack free wireless internet . overall , great experience ! 
 Aug 10 2009 	 good nice hotel 	 good nice hotel stay . reasonable price ! room awesome swimming pool cool . prefer swimming pool separate line . easy swim . another point swim pool ceiling . outdoor swimming pool locate 8th floor . extremely hot afternoon ( till 7 pm ! ! ) . another swimming pool locate top floor . swimming pool allow woman half naked man pay $ 10 ( see want see , guess lol ) . hotel right city CBD quite tiring discover traveller prefer walk . 
 Aug 9 2009 	 far away centre strip 	 choose hotel price . upgrade suite poor hotel LA . room good , clean spacious , huge bathroom . entrance hotel though old look grubby . also find hotel far action strip . would well stay amore central hotle strip . 
 Aug 9 2009 	 save dollar make footstep . 	 Stratosphere great hotel , shabby high class drive price roof . Strat much cheap lot 's counter part mainly due location . two block north rest strip . close Fremont Street , old part town definitely worth check . would like tip trick survive Las Vegas first - timer , learn mistake read : http : //lostinreviews.com/2009/07 / tip - for - vegas/ 
 Aug 8 2009 	 wonderful Time Stratosphere 	 read previous review , bit worried stay Stratosphere go low expectation . however must say really enjoy stay Stratosphere . upon arrival tell non smoking room king size bed book . quickly resolve give free upgrade 23rd floor wonderful view . room bit date know go . however housekeep wonderful job room clean . food various restaurant good really enjoy $ 20 day buffet . food selection good . trip tower ( include price ) good give breathtaking view las vegas . thing like hotel little far main action strip , however $ 7 day deuce bus pass well worth price . however base value money would difenately stay . 
 Aug 7 2009 	 nice hotel excellent service tower ride great ! ! 	 take four day / three night trip Vegas choose Stratosphere ride attraction excellent value . employee resort friendly helpful , casino room clean , rule strictly enforce . tour several casino / resort strip , although several luxorious , none touch value dollar , mention amazing view atop tower . ride , word , sick ! ! worth every penny ! ! plan go back next year ! 
 Aug 7 2009 	 worth staying trip tower 	 view atop Strat magnificent , plan see , consider stay . $ 16 per person go top , be $ 32 couple , room , taxis , cost we $ 37 ( yes , Vegas beg people come right ) . unlimited trip top include hotel stay . ( regard 4 star rating , view rating within price category , , value money . actually , bargain price offer , probably give Strat 5 , somehow seem excessive . , simply , nice enough place currently terrific bargain . ) accommodation nice : clean , refurbish room , attractively decorate , comfortable Serta mattress , large , comfortable bath tub . hotel pool plenty nice enough , though special memorable . sure would stay two night ( location ) , be bargain right plan go tower . braver , choice 3 ride . enjoy ! 
 Aug 6 2009 	 Crazy ride top world 	 's long walk other hotels strip . totally take bus ; cheap fast 
 Aug 5 2009 	 stay perfect ! ! ! 	 must admit little worried staying location mind put rest pull parking garage security patrolling area bike ( keep mind 5 - 6 3 am ) . check rather late 3 morning wait line 15 minute . girl check nice . apologetic wait ( compare Flamingo check nothing ) . give we coupon book use around casino . great coupon book use lot coupon include coupon free admission top tower ( amazing way ) . eat several restaurant include diner , fun Top World ( must try ) . stay suite one night standard room another night . room clean , good condition , quiet . always someone clean people actually smile greet oppose hotel stay Las Vegas . bed comfortable linen clean , crisp white . shower hot good water pressure . thing enjoy hotel convenient lay . many thing family include large swimming pool , small arcade amusement park ride top tower . highly recommend Stratosphere . back . 
