Great 	 stay Serrano Hotel four night love . host complimentary social hour free wine tasting every night 5 - 6pm . also serve free coffee morning guest . hotel nicely decorate chic . 's close Union Square make ideal shopper , little bit close rough neighborhood careful wander wrong direction be familiar area . hotel great value pretty reasonable price . 
 Aug 17 2004 	 highly recommend 	 first stay Serrano January 2003 . decide visit San Francisco start google search choose look quite nice . let tell - 18 hour journey place seem like heaven . comfortable bed well appoint bathroom welcome sight . enjoy stay much come back 2004 another two week stay . find fantastic rate regularly check website - well wife let known & quot ; stay anywhere like long 's Serrano & quot ; .i bit worried might good remember - concern groundless . staff friendly , room nice , atmosphere good remember . staff attentive without intrusive room keep clean . make sure ask high floor - get good view get right room . special mention go Jose Ponzu restaurant ( constant source good advice eat ) chet doorman ( person whole city not think Irish ) .finally , think well recommendation give already plan next two week stay 2005 . 
 Aug 16 2004 	 Great Hotel 	 husband stay Serrano Hotel last week 16th wedding Anniversary . really like . room bathroom small everything else great , staff friendly include maid service . can not complain price either , would definitely stay Serrano . 
 Aug 11 2004 	 good deal 	 return 10 day Calif . one good place stay . good value price . location good walk shopping eat area . s.f . big city goes feel safe . reasonable parking garage & quot ; right & quot ; corner right next door . old hotel new remodeling , decorate . appreciate old charm every one . room bathroom rather small . good deal . 
 Jul 13 2004 	 serrano Quaint Clean Convenient 	 travel San Francisco right Easter stay week Serrano . love experience ! approach front desk , bell boy ask want white red - wine , . arrive happy hour 5 - 6 pm daily . serve snack wines lobby area . also free chair massage tarot card reader lobby . we get corner room 15th floor . stupendous view , good location building . bathroom stock Aveda product lot towel . bathroom separate vanity area one small shelf . bed generous , blanket , comforter , duvet . several pillow throw pillow . king bed comfortable . the room small , difficult unpack one small closet two drawer armoire . individual thermostat room . like fact internet access , problem use service . help corporate people figure , get complimentary fruit basket apology . hotel sister hotel , Monaco , right around corner , spa , small pool , sauna , steam room . serrano guest use free charge ( except spa service , course ! ) far Millenium , one good gourmet , beautiful organic vegetarian restaurant visit . also full bar , feature organic alcoholic beverage . take several picture restaurant even food ( well people leave get little tipsy organic vodka ) .I put location Serrano , theatre district . walk restaurant like night . one budget conscious strategy employ buying water , soda , snack , take honor bar item ( temporarily ) stock mini fridge . hate pay common item like ! also sushi restaurant premise , busy night . plenty restaurant walk trolley service far hotel . Union square also good pizza walk in / dine place great , cheap pizza , case get munchie . concierge recommend it . I would recommend Serrano would like visit small hotel friendly people nice room . greet pleasantly every day need well meet . 
 Jul 12 2004 	 one good 	 hotel one fine , friendliest hotel stay San Francisco . really love place .... quite elegant actually without attitude . although situate theatre district , ( accord guide , problem area night .... never find ! ) never problem would recommend grand hotel anyone visit San Francisco . .... visitor England . Oct 2003 . 
 Jun 15 2004 	 Interesting hotel 	 nice stay Serrano . look picture , would think bit spanish style . really , kind decorate like circus . say , be , oppose typical botique minimalism , decorate like high quality circus . staff friendly , loan cord high speed internet . gym serviceable , modern , clean . computer networked printer use . room bite small side , room floor , feel bit like private hotel . 
 Jun 3 2004 	 oh charmer 	 read review , call ahead ask room view i.e . brickwall face . get lovely room 15th floor , maybe huge also small . maybe get room upgrade well , would not know see one room . yes , bathroom bite small side could do bit shelf space hey , survive day without . room immaculate clean , nice change bath / shower area black mold mark find even good hotel . arrive , Lady reception , pam , busy bit dour . time though , cheer respond excitement . end long work day even think hard look cheerful 24 hour day . not know ' young white people ' , give review racially bias , staff people colour , asians new immigrant . clientele could see , shade colour age . maybe young couple encounter bad day , happen good we . location also excellent ( ignore seedy direction ) , walk everywhere i.e . rent car , besides parking fee huge $ 40.00 incl . tax day tauru . must rent drive , leave o'farrel street much cheap place , think $ 18.00 24 hour . head back magical city , Serrano definitaly choice . 
 Apr 29 2004 	 's bad attitude ? 	 room great , although bathroom layout little cramp - everything fairly good condition - however , service hotel disappointing - porter & amp ; doorman great , front desk definitely attitude issue & amp ; seem extremely unfriendly - not even ask anything extra ordinary - go brunch & amp ; catch cab ! - housekeeping neglect refill bath product even though obvious need ! - ' ve Kimpton Hotels & amp ; receve much well customer service - spend extra $ $ $ & amp ; stay Hotel Monaco ( right around corner ) Triton ! 
 Apr 27 2004 	 Great Hotel outstanding value price 	 great hotel price . location convenient within easy walk distance Union Square . area little seedy night . also like proximity convenience store Starbucks . room little small efficient setup . loved high speed internet connection easy use efficient . service provide great room clean well serviced . Decor cheery room well appoint . loved robe . safe room convenient size perfect store even laptop . loved convenience honor bar room overall great experience . would definitely stay recommend other . 
 Apr 19 2004 	 Read ! ! ! ! great price location service Clean ! ! 	 good hotel good price good service near convenient store traveler . book 3 night , end stay 1 week ( April 11th - 16th ) . ROOMS : book Luxury Suite 3 folk ( include 1 - city view window private bedroom , separate private living room ( queen sofa bed , 3 city - view window , mini bar , fridge , desk , etc . ) . closet large ! ! valet parking well worth price ( 24 hour access car service quick door ) . location : location hotel within walk distance Union Square , Nob Hill , even walk China Town . hotel near Walgreens , Starbucks , Macy 's , Boarders , many sister hotel area plenty restaurant . safe walk night ( use common sense course ) . QUALITY : average 4 5 star hotel . ( minor stain wall papper , however bathroom exceptionally CLEEEEAAN ! ! white terry cloth robe . ) staff friendly eager help anything . DECOR : plush lobby plenty sit area decorate antique Spanish - Old World motiff . great place sit relax . would definitely stay . feel like & quot ; Old Hollywood & quot ; style hotel . -ben 
