Skyline 	 know feel leave home go somewhere exciting be hope hotel book turn amazing ? wish come true . skyline like 4 1/2 5 star hotel . suite divine ... & quot ; home away home & quot ; . soooo much space room , super clean . bed comfy . hotel staff ... doorman , reception service clean service friendly professional . suite impressive view breathtaking ... especially evening manhattan skyline . location central . walk theater district , times square cab / subway accesible . choice restaurant deli nearby . overall ... amazing stay Manhattan thank Skyline Hotel . & quot ; be home away home truelly hide Gem & quot ; . would stay heartbeat ! 
 great except one caution 	 caution : not pay parking twice ! fail tell ' ve already pay parking check . not notice item bill day return home . otherwise , place convenient , clean , include room , common area , restaurant , pool , etc .. room include large screen tv , nice desk chair fridge . staff friendly although concierge seem bit stand - offish . overall , well worth price plan stay . oh - not look like much outside , inside obviously redo . 
 Fantastic Room 	 pay € 120 euro per night room ( www.getaroom.com think ! ) include taxis delux room , say 1 double bed booking . check frienly lady , give room 3rd floor . to supprise room huge , 2 double bed lot room around , large flat screen tv , smallish clean bathroom , larg vanity / dress area side bathroom . also small storage room case , safe , iron ironing board . view garage rear hotel noise plenty see NY centre problem ! room Black blind sleep well comfortable bed . the room spotless , little creamy decor colour like refurbish last year I d say . I not use pool bar bar food area/ resturant look nice , bar quiet every evening make 10min brisk walk Time Square.48th , 49 , 50 th street take Time sq directly , find 48th 49th bit dark walk night small enough poorly light night ( not problem ) , prefer walk 50th night much wide well light . I find hotel bit time sq consider lot walk NY foot tired , subway station near ( could find ) . minor issue , consider previous hole stay NY hotel pallace ! would definatly stay , great find NY dodgie come hotel . safe bet.enjoy NYStehen 
 nice hotel rude valet unconcerned bellhop 	 hotel room nice , clean , large . room book double , nice comfortable bed . restaurant reasonably price come large portion . valet staff rude time entrance check . also , highly advisable wish obtain something car middle stay actually get upon arrive . although valet price $ 10 , would much rather pay well service less rudeness ( ' ve stay alot big hotel around US experience much rudeness ever ) . major note .... book hotel online need make modification call weekday make change .. well call 800 number provide website instead book online . thing aside , hotel nice place stay . 
 Excellent Value 	 return trip NYC Thanksgiving 5 good night Skyline Hotel . lodge plan make early fall leave look 2 room 4 adult 1 4 - yr old last minute rate would not bankrupt . find Skyline reading review book room cross finger . soon step lobby , know go ok . check quick efficient receive room well advance check time . lobby trip elevator art deco feel go back hotel really treat . couple day arrival return see holiday decoration though lobby make sparkle . nice . room large king bed , pullout sofa , desk , armoire drawer hide small refrigerator , vanity counter hair dyer still room 4 yr old granddaughter room play . bathroom nothing speical completely adequate nice towel . room spotless day check , carpet still little damp steam clean part housekeeping duire week acceptable . plastic wrap glass never replenish whole time either room cup leave something , dispose . minor , still enough make less & quot ; good & quot ; pretty low maintenance check somewhere not need concierge help except small maintenance issue AC unit one room fix . staff friendly pleasant time come contact . old lady work gift shop jewel . restaurant seem one stand - out , eat breakfast day leave , go order menu encourage buffet everything time get refill go . everyone appear blame someone else fact go ahead stick gratuity kind rub wrong way . mostly empty much good food around can not see much reason choose . bar drink couple night , pretty dead look big party someplace quiet end evening get . far food neighborhood , many good little pizzeria mention . City Lights Diner Renaissance Diner stand out . 
 great value Midtown 	 reserve deluxe queen room new part hotel back . room large NYC standard recently renovate . room 646 face north . want well view , ask south facing room ( think end _ 34 _ 41 ) thing like . can not tell difference room decent Marriott nice Holiday Inn -- except wallet . $ 10 parking indoor pool ( extreme rarity ) ice cake . liked beat path . get see real manhattanite live restaurant not tourist trap . many , many restaurant choice Hell 's Kitchen area , casual reasonably price , deliver . Empanada Mama 's great . think will stay every time come back . 
 Loved Skyline Hotel ? 	 stay Skyline Thanksgiving . everything need family 4 ( kid age 8 & amp ; 10 ) . love pool , ! room nice view city bed comfortable . nice plasma tv HD service far could tell . staff always friendly helpful . Bis . co. Latte 47th & amp ; 10th great place morning coffee , biscotti fresh fruit . everything require walk 7th , 8th 9th avenue , like walk city big deal . many subway line stop around 50th & amp ; 8th . Taxi $ 32 way lga.from remember , WiFi $ 10/1 day , $ 25/3 day , $ 35/5 day , $ 40 / month . we book getaroom.com get great deal . hotel $ 250 / not Thanksgiving week , get Skyline $ 160 . great hotel overall ! 
 Oct 30 2008 	 convenient characterful 	 stay Skyline three kid age 9 -16 find experience entirely pleasant . hotel interestingly style conveniently locate sight , easy walk Times Square . room excellent ; clean , well equip huge , good bathroom . ok , ' m English , would like tea - make facility room , not England ... staff unfailingly courteous helpful , sorted initial confusion booking without problem . can not honesty recommend restaurant . try breakfast whilst staff friendly price high , food mediocre service chaotic - other note , get everything need great breakfast across road . if lazy like , get hotel book ' discount ' theatre ticket , may surprised find pay cover price . simple answer book . pay $ 125 convenience deliver door . so , summary , would recommend . nice people , everything work , convenient fair price 
 Oct 30 2008 	 Nice hotel good location 	 stay twice September ' 08 couple week inbetween . room pleasant view Empire State Building . first nice new flatscreen tv . location hotel one strongpoint . able walk Time Square theatre district near subway block away . one downside , though , pay use internet pc . 
 Oct 16 2008 	 Pleasent suprise great location worth try not worry ! ! ! 	 visiste Skyline 5 night november 2007 . read several review page little concerned make terrible mistake .. go , need not worried . we arrive around 3 pm , staff front desk friendly polite even crack joke we . make we feel welcome put we ease start . the location excellent , straight 4\5 Block walk east ( cross road keep walk ) along 49th 50th take Times square 10 minute , 5 minute Rockefeller Centre 5th avenue . room large , clean comfortable , TV Fine , Bathroom Spotless , towel clean ... problem . we spend late afternoon early evening bar downstairs . seem good mix hotel guest local . relaxed invite atmosphere . warm friendly lady behind bar keep drink full sorted us cheese burger , really hit spot hard day sight see shopping . Hells Kitchen\Clinton area Manhattan real neighbourhood feel quiteer ambience slightly slow pace compare much city . within 5 minute hotel several good grocery store , deli 's Dinners . 10th Ave Dinner ( leave hotel one block side road ) good breakfast . warm , quick service full menu . reasonably price , find close get midtown expensive breakfast get . time get Times square pay double price half portion little difference quality . ! 0th Ave dinner great , cheap way get good start morning . Fats Sals Pizza Shop road Hotel also recommend , try full Pie , meatball Brocolli ( taste well sound ! ! ) load good restaurant 9th Ave try really could not tell call .... sorry . good quality service meal , neither appear expensive . enjoy Hotel , enjoy trip New York enjoy stay Skyline , really could not fault money pay . enjoy neighbourhood , add another dimension trip . tips : Woodbury Common Factory Outlet worth trip , try go weekday 's busy . ticket buy Grey Line ticket office around city ( large 9th ) Port authority bus terminal also bus leave ( 10 minute south east Skyline ) Top Rock great way spend evening , book online go . a Show must , Lion King world . book on - line go ( try Expedia ) . 
 Oct 12 2008 	 great restaurant 	 bad hotel , hotel service could well . room along street bit noisy . great food service restaurant bar . 
 Oct 11 2008 	 good brilliant . 	 Skyline Hotel locate west side Manhattan Hells Kitchen . safe unintimidate neighbourhood ( find Manhattan ) . 10 - 15 minute walk Times Square five minute walk nearset subway . the hotel low rise ( 8 floor ) unusual Manhattan . cheap comparison many hotel Manhattan , still expensive real term ( least £ 150 per night room ) . would expect money anywhere centre one world 's major city . pay location . room clean , tidy comfortable , luxurious . room face onto tenth avenue , although double glaze , bit noisy traffic pass night . use sleep quiet environment noise wil apparent . unfortunately metal plate cover whole road every time big vehicle go , make large thumping noise . we could not fault staff , friendly helpful enough . the pool look well photo 8th floor , not bother use it . the hotel restuarant food good expensive , endless place eat nearby . not breakfast hotel , include price room ( rarely account ) .if go back New York , might consider stay Brooklyn one borough use subway . doubtless get cheap deal money away Manhattan . 7 day pass subway $ 25 , £ 15.If want stay Manhattan not want slum , can not afford good , Skyline . middle road hotel good location . 
 Oct 3 2008 	 Great Hotel Price ! 	 stay 6 night please hotel . upgrade queen double room pleasant , room clean , modern bed really comfortable . location excellent staff helpful bit unfriendly can not ! bar / restaurant staff great . downside regard hotel not disabled friendly stair everywhere climb ! would stay without doubt can not wait next holiday NY . 
 Oct 2 2008 	 great find 	 great location , short walk times square subway station . lot shop close purchase food drink etc . Read service poor find hotel staff freindly except bell boy do not ask bag . room big consider city . negative - pool look old dirty do not go in.new york - good city easy find way around . excellent pizza John 's pizzeria worth wait . must go 3 hour circle line cruise . 
 Aug 22 2008 	 great location good restaurant lousy hotel service 	 go NYC business conference Times Square . location nice , easy walk conference nice , safe neighborhood . ( Hell 's Kitchen ? great ! ) 1050 Restaurant also nice , several issue service hotel . find pay - for - connection Internet service difficult figure use , hotel provide bag laundry service , receive short & quot ; not & quot ; ask use service , additional help get laundry do . find helpful laundrymat nearby , would appreciate assistance hotel staff issue . even let know laundrymat phone number would helpful traveller . 
 Aug 17 2008 	 Great Bad Either 	 pro : Skyline Hotel nicely locate . drive hotel easily north , three block walk 49th street ( walk night not feel afraid ) 7th Avenue rest Times Square ; staff friendly . con : tv not work right initially ( wrong type controller ) ; first day room not visit housekeeping till 3 pm ; miss 4 ' long flourescent light bulb makeup table , toilet seat loose . 
 Aug 16 2008 	 great find ! 	 room nicely decorate pretty roomy . bed comfortable . location great . busy day nice walk block get quieter area rest . plenty little shop cafe 's area case get late night munchie ! 
 Aug 4 2008 	 great time 	 Stayed Skyline July 30th happy hotel , bed comfortable nice new bathroom clean . go pool average clean nice view top . people front desk say nice consider first encounter , bell man nice . first hesitant neighborhood reading review night grow people around feel alot safe . would definetly stay hotel . also wonderful meal Broadway Joe Restaurant restaurant row , pricey big shrimp cocktail daughter ( 15 ) ever see . go see Mary Poppins wonderful also . another great thing NYC Duck Tour great alot fun daughter . anyone question regard hotel New York City not hesitate email . try go New York City twice year daughter , take bus Atlantic City back pack usually stay 1 night one nice hotel stay . dwill55904 @ aol.com 
 Jul 28 2008 	 bad place stay 	 stay one night Theater Weekend . check quick easy & amp ; friendly , housekeeping staff great . room big clean , however & quot ; Queen , bed Full Size , mention front desk tell attitude room DELUXE Queen & amp ; bed Queen size . elevator bit rundown work . hot New York City weekend airconditione elevator . hotel clean . not issue noise . ( minimal corridor noise ) would recomme hotel . 
 Jul 23 2008 	 big clean room 	 stay part bus tour . lot construction go around hotel none disturb we . room big clean . elevator bit rundown work . hot New York City weekend airconditione elevator . hotel clean . pool nice . not issue noise . ( normal city sound siren nothing guest next door . ) would recomme hotel . nice view pool area . 
 Jul 21 2008 	 great Big Apple 	 stay Skline part coach tour brochure booking . have reservation start pass building street approach hotel first night , long delay flight , make we think previous tripadvisor comment may accurate . when arrive reception friendly greeting helpful bellhop pleasantly surprise . the room clean bright , bathroom large , clean well - light though room front hotel , road noise excessive , previous comment emphasize . ( big city never sleep ! ) . noisy thing airconditione unit soon get use that . we one night coach tour book four extra night tour reservation return stay . the room coach tour good first room . the hotel extremely well locate reach Times Square Broadway theatre ( 10 min easy walk travel brochure timing ) . ' Rock ' Empire State Building easily reachable like walk , , bus subway close by . at time feel threaten , even late night , say place Britain . great city visit , would like go would hesitation stay Skyline Hotel . the meal hotel breakfast first morning , good choice good food , pleasant staff typical hotel price . great place breakfast , eat take , less 5 minute walk away . Turn leave hotel , walk corner 10th Avenue 51st Street cross Avenue Diner opposite side . good food , good price pleasant staff . enjoy stay . 
 Jul 20 2008 	 Hotel staff grumpy 	 skyline hotel new yorkdate 14 / july/2008S ParkinWe arrive hotel ( 4 day add ) tour america canada archer direct , hotel room basic clean . hotel location ideal get foot . Times Square , central park , 5th ave within walking distance . main problem hotel staff . reception staff possibly misrable ever see , ask assistance either totally ignore ask come back later ? ? ? . ask could pay keep room 6 pm , tell hotel full room clean next guest , 2 min later tell pay full rate 229 dollar could keep room extra hour , possible hotel full ? ? ? . also clean maintanace staff rude . choose stay do not expect service smile . 
 Jul 14 2008 	 awful place ! 	 cab pull hotel bellman stand watch we struggle try lift heavy bag trunk . walk hotel wait 5 minute , finally arrive poorly groom staff member , grumpy help . we struggle room come find room smell tobacco though non - smoking room room not clean . room consist 2 queen sized bed dirty , moldy , cold bathroom . go sleep night , come find blanket inadequate heating not work , heating start make thumping noise call concierge assistance toward we . bed not comfortable room noisy cold hotel not close tourist attraction NYC . overall family experience uncomfortable unpleasant stay Skyline . 
 Jun 29 2008 	 pleased 	 daughter absolutely love hotel . away tourist Times Square , yet close everything . able check 10:30 a.m. , room mini fridge . room large spotlessly clean nice decor pretty bathroom tile . iron , iron board hair dryer provide . everything work well , include air conditioning . staff pleasant helpful . not eat hotel restaurant , cocktail bar , quite nice . parking right next hotel $ 10 day . leave car 10:30 a.m. Saturday pick 6:30 p.m. Monday $ 36 . room rate also excellent size room , amenity location . felt like neighborhood . also easy get get city without drive lot traffic . would definately stay . highly recommend . 
 Jun 26 2008 	 great hotel ! 	 group 5 woman 2 child set sight Manhattan June home base Skyline Hotel Hell 's Kitchen . true find ! two room expect two double bed . instead , king queen spacious , clean room . put we near make even well . impressed size room , furnishing , refrigerator , large flat - screen tv , view Empire State building , etc . locate up - and - come new Hell 's Kitchen , restaurant 9th Ave . nearby rich ethnic food . location restaurant keep come Gray Line bus tour even Circle Line boat tour & quot ; must - do & quot ; place eat ! kid enjoy swimming pool , adult love night - time view all - glass enclosure . porter desk staff excellent ! store amazing amount luggage last day attend Broadway play , everything keep safe sound we . parking real steal $ 10 per day ( in - or - out , suit we fine ) . not try in - house restaurant , enjoy Westside famous Deli across street excellent breakfast lunch sandwich , snack , drink , etc . get back Virginia find lose camera . Lo behold , honest soul find lobby turn . find Housekeeping Dept . , manager housekeep helpful return we . blessing ! highly recommend Skyline Hotel anyone look good place good price . 
 Jun 17 2008 	 Unusual Meet Challenge 	 well , New York ! positive side , room large clean , although shabby require maintenance . bed comfortable , bathroom good . I arrive quite late , around 1.30 a.m. Super Shuttle fail pick 9.25 p.m. arrival JKF . find Night staffunfriendly unwelcome . ( travel alone 66 y.o . woman ) porter watch struggle footpath bag , part side show . many day staff grim face rude , limited English . Bell Hops overworked stress . concierge excxellent . restaurant awful . may sound like contradiction , would return NY good vibe , good atmosphere . forget help staff . eat elsewhere ( plenty good restaurant around ) . room spacious , great view Empire State Building . easy walk Times Square . internet facility , nice foyer lot people around , helpful , pleasant woman concierge . Waldorf , ok . would give another go , wouldnot expect service next time . & quot ; Rise challeng . & quot ; 
 Jun 13 2008 	 Great Place ! 	 great value New York City . room large , parking cheap ( 10.00 per day ) , great bar , indoor pool . someone always clean something . staff nice . this new find NYC ! 
 Jun 3 2008 	 Happy St. Patrick 's Day 	 husband part escort group come Ireland celebrate St. Patrick 's Day see sight . never New York . can not believe reviews Skyline - hotel find everything need . ideally locate , walk place , quiet night , de luxe Queen bed , fridge , tv , bathroom full working order . pleasant staff would especially mention lady gift shop could not nicer we . breakfast dinner stay choice explore area around dine variety place . would return morning could . 
 may 22 2008 	 Great Place stay 	 great rrate quiet restful sleep , safe area , walk athe deli across street fantastic 
 May 13 2008 	 's ok not expect Ritz 	 Background – first , ' go New York hotel room ! british , ' sightseeing copious amount shopping . incline , may get party well . say , appreciate hotel room ' make ' ' break ' stay . I slightly apprehensive stay Skyline read review TripAdvisor . however , leave hotel booking last minute , choice rather limited . warn Hotel Pennsylvania travel agent London allow client stay . incidentally , Pennsylvania refer ' Transylvania ' local . pro ' con ' Skyline perspective stay late April 2008 . pro ' – room clean , fresh towel every day . fridge room good store milk morning mid - day tea . New York hotel , kettle provide always carry travel kettle avoid disappointment . television flat screen approximately 30 channel , daily dose Jeopardy Wheel Fortune . recall correctly , television US digital 2008/9 , may precipitate upgrade . room also safe store valuable . hotel security staff prevent undesirable enter property . incidentally , local area safe concerned personal safety . ' try swimming pool , go NYC pool side action ? review hotel comment hotel restaurant par alternative vicinity . reviewer seem forget New York bar diner every block . across street indian Deli well Chinese take - away . also , great bar , Perdition , receive warm welcome Jeff Shaun meet friendly , native New Yorkers . hotel close Times Square retail area near Subway station 50th Street get train 34th Street Macys alike . Con ' – initially , shower mixture ' work properly ; stone cold water . common hotel problem experience elsewhere . report problem presumably fix functional afterwards . plug socket bathroom hang wall lock bathroom door require fix significant issue . décor , well , ' modern . bed , twin Queen , bed opposite television comfortable near window rock hard . moreover , internet tv ' work either . however , main grumble air - conditioning . disturb every night adjacent room ' air - conditioning make horrendous noise use . temperature 70 - 80 degree stay , invariably first thing go 1 am guest return night air - con , thereby interrupt otherwise peaceful sleep ! think Concierge unhelpful . require cab JFK leave 6.30pm Sunday evening offer airport shuttle 5.30pm , take leave ! alternative offer . moreover , hotel Gift Shop expensive difficult dealing aged assistant . conclusion – ' ok great . ' Ritz reasonable base Manhattan price . ( $ 1,200 5 night ) . would stay ? probably due noise issue . 
 Apr 30 2008 	 good hotel 	 although delay flight leave Manch five hour arrive Manhattan whilst sun set behind skyline neared island , fantastic ! ! .On arrival hotel deal efficiently quickly reception staff show room . having arrive late eat Restaurant downstair enjoy drink bar . meal good although surrounding little rough around edge food plentiful tasty , staff great bar accomodate . room large , clean comfortable . view city skyline great especially relax pool top floor night . the hotel short 10 min walk centre times square . the hotel airport shuttle service ( Hells kitchen shuttle ) reasonable although share guest , driver great . all , great hotel , central close attraction . diner couple block road turn leave hotel across road serve great breakfast . recommend top rock oppose Empire well view comfortable surrounding . 
 Apr 30 2008 	 Disappointing 	 hotel situate good central location staff helpful , food terrible whole hotel run appearance . 
