great 	 go group school really nice experience . room really nice everything service . local pub restaurant around hotel make stay even well . grade 1 - 10 , 10 good 1 bad , breakfast buffet hotel like 6 . first day eat , follow morning eat toast coffee . food overral be not good , besides beutiful hotel . 
 Jul 13 2009 	 lovely location poor facility 	 must wonderful hotel , sadly seem fade . the building beautiful inside need major overhaul . I stay room 509 - would guess last time decorate early 80 's . room small poor furniture . aircon bed clearly use . overnight wake morning cover black dust aircon spew night . the window close properly mouldy dirty . the bathroom clean crack break tile lot mould round bath . mirror dirty tap work properly . wallpaper peel room bathroom . corridor dark dingy . when complain room reception staff unable / unwilling anything . overall depressing experience , shame location architecture hotel exterior wonderful . 
 Jul 13 2009 	 disappointing term service facility 	 stay six night single room . small room ever stay . air conditioning work , fan provide noisy . nothing noise air duct generator outside room . like aircraft every night . girl reception unpleasant , interested credit card . welcome . build amazing frequent traveller service everything receive poor say least . 
 Jul 13 2009 	 traditional pleasant good Eurostar 	 partner buy we trip Paris via early morning Eurostar train birthday , decide return treat book we hotel close enough St. Pancras International avoid taxi . choose Russell hotel reason traditionally imperious decor . check niggle slightly ask whether wanted upgrade expensive room - want would book , not try make feel cheap front partner . apart stay perfect . room comfy quiet even traffic outside . bar next consierge desk relaxed overprice , nice final stop bed . check silly o'clock morning easy consierge find member staff . good start holiday would recommend people want bit class treat London . 
 Jul 12 2009 	 beautiful ornate hotel ideal leisure stay 	 get back 1 night stay say impressed Russell . walk lobby strike beautiful marble everywhere , huge grand staircase chandelier . personally , much prefer stay somewhere individual , grand feel rather samey , much - of - a - muchness Hilton , Marriott etc . wait minute check receptionist pleasant let we check 2 hour early . room 1st floor recentluy redecorate , clean pleasant . air con good . Bathroom do beautifully reasonable size . breakfast wait minute table staff polite , restaurant manager good apologise wait lovely , friendly manner . food good breakfast , good choice , miss apple juice . check wait , receptionist friendly smile . leave bag concierge come collect wait min someone come help we . overall fab stay Russell , like somewhere special , ornate feel enjoy . make sure get room 's already renovate other say yet . 
 Jul 5 2009 	 Plush hotel central London 	 hotel special treat 30th birthday worth ! check not till 2 pm able check 12 . room spacious spotless much need air con ! tea coffee facility , tv , safe , iron hair dryer . towel fluffy hang luxurious heated rail ! breakfast include rate ( shop around get include ) really good - set day . Russell Square tube station around corner 's 15 - 20 minute walk St Pauls Cathedral 5 min British Museum . would wholeheartedly recommend stay ! 
 Jul 5 2009 	 Russell Hotel- Russell Square - London 	 third vist hotel still well viste far , clean stylish & amp ; spacious luxurious vicotrian archecture inside & amp ; out . the breakfast generous buffet style suit meat & amp ; vegi dinner set ballroom hotel class own . loved grand staircase & amp ; huge chandalier make feel like celebrity walk stair . make effort walk arm arm feel honored stay stylish hotel reasonable price . our room upgrade £ 20 worth , huge room nice spacious bathroom feel luxury it . cant wait return soon hotel offer bit extra ideal special occasion . 
 Jul 1 2009 	 tired old hotel 	 partner stay Russell Hotel last month . place look grand outside interior quite shabby service average . public area okay- clean lackluster , decorate poor taste look like inadequate budget . choose hotel locate close St Pancras Station leave Eurostar early next morning want good night ' sleep arrive Paris . also fond Bloomsbury area . accommodation room okay service never well ordinary . would not reccomend friends- much well choice London . 
 Jun 22 2009 	 ok hotel ... not bother room request though 	 stay love place . exterior imposin , lobby eo beautiful see bar open late ! occassion book 2 twin room request high floor overlook front hotel ( park area ) . location . arrival direct two double room rear hotel overlook sort cool plant . room much small one last time . complained front desk advise room available . ende one sleeping floor one bed . ridiculous . book 2 month advance w really disappointed room give reluctant stay again . on positive note location breakfast really excellent staff friendly even though could help room issue . 
 Jun 10 2009 	 pleasant happy memory Hotel Russell 	 stay Hotel Russell daughter 4 day half term . get excellent price booking ( approx £ 35pp p night ) extremely pleased accommodation . I tell check price pay guarentee room ' new part ' hotel , absolutely fine- room large mod - con , beautiful bay window look Russell Square , recently refurbish large light bathroom . the hotel perfect location see tourist London . round corner Russell Square tube station almost immediately opposite new large shopping area standard UK High Street shop bar nice little restaurant boutique . Bloomsbury lovely part city , chic plenty see . British Museum less 5 minute walk Hotel , street , across another minute walk Covent Garden . we really lovely stay time . Hotel Russell really perfect spot see city , although weekend , find quiet relax ( even front building ) . food excellent hotel- breakfast superb , thoroughly enjoy . one tip , say breakfast Time Time B , 's breakfast ! 3 morning row see party come breakfast room last sit time , complain ( lot ) seat . , one get 7 am hotel breakfast , say finish 9.30am , not come 10 expect serve ! could not understand people keep morning . really enjoy food craic bar , high tea bar final day , simply fabulous . say lovely afternoon tea elegant hotel ? certain well know tv star , sit business meeting next table enjoy ! loved place , definately see get good deal next time also , really perfect need . Ps , book superbreak dot com get low price deal . price hotel 's website quote far pay ! 
 May 29 2009 	 fantastic hotel 	 wife always enjoy holiday London every year always stay Montague Hotel next British Museum . try Russell year lot less expensive . pleasnatly surprised find Russell even well Montague . would certainly recommend hotel anyone . 
