word 	 stay TMA one night Sunday 29th November business trip . ' ve use , satisfied , Thistle hotel previously different . check - in , fair courteous reasonably quick , tell upgrade cost superior room - jolly good . jolly arrive room . although undeniably large , include seat area sofa , room scruffy long overdue refurbishment . arrive 9 - 15 p.m. ( later would hope ) leave first thing next morning , have reject . several place wallpaper lifting seam ; considerable stain decor ceiling adjacent , lead , aircon unit ; bathroom tired apparent defect appalling state principal table , wardrobe , slightly less degree , bedside table . chip , stained , damage visually dreadful . main table fit firewood . also , bizarrely , tv could not orientate viewable bed . want watch , sofa nothing . ( mattress bed ludicrously soft , hey , maybe 's ) .It explain room & quot ; much , much well & quot ; room would book ... would not want see one ! breakfast ok ... , staff restaurant friendly efficient , check clerk . there way 4 star hotel - charge £ 148 room breakfast excessive poor experience . staff markedly well infrastructure hotel - room border unacceptable ( call ) 4 star hotel high - profile chain . will not back hotel . ' m stay another Thistle hotel Liverpool 2 week time son - not deliver , Thistle forget custom . 
 need reconstruction 	 furring bathroom tap , wear room . 4 lift large hotel - wait away . unbelievable breakfast eat room - look like dining hall factory . 
 good value money upgrade 	 book standard room upon check offer upgrade wich first decline , however go room go back reception ask upgrade pay resonable amount must say difference room huge term size also state room , want bit comfort go upgrade 
 overprice poor service jade hotel 	 Location perfect early morning appointment American Embassy work visa . in aspect Thistle , Marble Arch never fail disappoint . check take forever , room shoddy date . dining room small size hotel , table cram together . breakfast like rugby scrum , walk around circle try find table not use store dirty dish . ridiculously overprice , exist 's location , pay internet ! ! ! ! 
 Mar 21 2009 	 great location fabulous hotel 	 hotel easy locate direction give , easy access due location close Marble arch tube stop ( 2 min walk ) , pretty much Oxford St plenty bus different mode transport , room stay face Oxford St noisy , window offer good sound insulation , room well lay comfortable , flat screen tv plenty channel , also room almost look Hyde Park always lovely sight . hotel staff friendly throughout stay , breakfast expensive 18.95 pound reception offer we voucher give we discount 9 Pounds , plenty breakfast . overall enjoyable stay Hotel 
 Mar 7 2009 	 Average could lot well 	 huge hotel opposite Marble Arch . room quite spacious central London - clean twin bed room view overlook central courtyard . high proportion eastern european staff check friendly efficient . seem popular foreign tourist although must disappoint mediocre english self - serve breakfast restaurant . 
 Mar 6 2009 	 good location mediocre hotel 	 stay 3 night February . Booked " Executive Room " essentially Deluxe Room access Executive Lounge 1st floor . lounge free internet access complimentary drink limit 3 per guest per day . escalator working stay hotel lobby lift locate first floor . climb long staircase return hotel . room fair size , reasonably well maintain wear tear evident , put new coat paint old one many time ! bath tub well use dull colour well faucet , otherwise " functional " . furnish 2/3 useful life . functional well use . towel warm work . Daily housekeeping fine . standard amenity . heater work well noisy run . might faulty thermostat . breakfast include room rate long queue morning table . din room understaffe every waitress / waiter overwork . food replenish promptly . even run utensil . next day go Executive Lounge continental breakfast . run food bread ask want would bring " downstair " . go back din room last day . location hotel good good thing hotel . hotel full fill tour group . morning breakfast overspill adjacent room . staff generally friendly helpful shall stay ? , probably . agree 3 - star rating . travel , usually select one level well cheap room type , case , two level well usually find condition service render expensive room type well . 
 Mar 5 2009 	 Room Raid 	 friend book twin room Thistle Marble Arch February City Break . he come Sheffield travel Bristol . because snow , take we around 7 hour arrive , public transport due train cancellation coach delay . after nice lunch return room Hotel , around 3 pm lie down . we cold exhaust . the room ok . the bed castor , slide away wall soon sit get bed . annoying , least problem . be tired travel , sleep 7pm . then decide need early night would get early pack load sight - see well pre - booked show , follow day . so lay talk meet couple time year plenty catch ! not even put tv on . at 9 pm knock door man voice call & quot ; Housekeeping & quot ; .assuming either Turn Service somebody ensure everything alright we , friend get bed open door . to astonishment suited man clipboard introduce break English ' the Night Duty Manager ' , enter room demand keep noise down . he say have receive several complaint noise making want know ' where people were' . we half asleep distressed intrusion . he ' search ' wardrobe , iron cupboard Bathroom several time . he order & quot ; get bed dress , immediately & quot ; .at point feel like Military Operation . I blankly refuse & quot ; order & quot ; hell let loose room Corridor . it sound though party full swing . he have obviously enter wrong room . I tell get room would make formal complaint he / his appalling behaviour . he apologise say would send complimentary drink . hardly compensation . not even ask want send drink . the follow morning go see Guest Relations Manager straight Breakfast . he / she not available . but lady stand professional . she listen disbelief complaint tell we fact Security Duty Manager raid room . she apologetic book us table Complimentary Dinner Hotel Restaurant evening . however , feel completely inadequate disgraceful way treat . I also stay Hotel last year partner . on occassion , receive ' wake - up ' call around 4 am say Taxi arrive . we taxi book . it another case ' sorry , must wrong room ' , put human error . there seem nothing human two error subject Thistle Marble Arch Hotel . more like Fawlty tower cross hello hello . I stay numerous Hotels , include Thistles regular basis usually satisfied return time time again . this absolutely get bad themMy advice stay HERE.I hope Senior Management Thistle Hotels read review . P.S bedding not change 2 night stay .p.p.s Breakfast mediocre serve awful ' overspill ' room restaurant full . that say , breakfast staff helpful efficient . 
 Mar 4 2009 	 absolutely Appauling 	 stay 3 Nights ( Feb 27th til March 2nd ) . Booked Standard Smoking Room . Arrived get upgrade speech pay go room find non smoking . try call reception twice answer . go back reception revert standard room cos smoke upgrade . come 2nd night show approx 1 am & quot ; resident & quot ; bar closing order drink room . 40 minute later call see drink tell busy . drink arrive 50 minute . coffee room 1 x Caffeinated 2 x decaf 1st day - replace rest stay . sheet change stay toilet paper replace stay none last day . overall - Noisy , dreadful service housekeeping appaule . certainly 4 star - 2 - 3 star good . travel regularly business pleasure experience poor service quite time . would even consider Thistle hotel . 
 Feb 24 2009 	 Great Location Great Staff 	 Liked Location , close oxford street regent street shopping . not far cab nightlife Chinatown Leicster square food club . conceirge extremely helpful , member staff pleasant helpful . jorge reception treat make stay comfortable . room spotless clean daily also . get Big Bus tour Marble Arch get see great sight London reccomend highlight holiday , 
 Feb 24 2009 	 lovely spacious clean room 	 stay hotel theatre weekend break . hotel clean check quickly . centrally locate easy get around big attraction London . room large well lay lot wardrobe space large bathroom powerful shower . side look onto roof ! still much time spend room short break ? buffet breakfast plentiful well cook . would definetely recommend hotel . 
 Feb 24 2009 	 lovely hotel great location 	 back 3 night hotel . hotel huge . lot staff willing help . read review talk drink price cheap crockery . drink price , would expect pay hotel . cheap crockery , well white , nothing cheap would say . room little disappointing say . small , enough room bed really . suffice however , London , be awful lot time spend room ! bathroom nice . breakfast lovely . lots choice , get early though be wait queue . everyday 7.30 . anytime would nightmare ! location amazing . 1 min walk Marble Arch . great hotel would go back . 
 Feb 19 2009 	 keep get bad ! 	 stay Thistle Marble Arch 5 time ( be close meeting ' m allow stay anywhere else ) time seem get little bad . not write review generally not spend much time room since company pay stay not want moan moaning sake . the location hotel excellent behind Oxford Street , close Hyde park & amp ; thing central London easy get use tube Marble Arch station 2 min away . 's positive thing think . hotel bill ' luxury 4 star ' perhaps 20 year ago way match description . decor tired & amp ; room start get shabby . average cost room £ 100 per night way price service & amp ; amenity available . when check 2 night stay offer superior room two single bed . decline due room option single bed occasion extremely well oiled castor / wheel everytime make slight movement suring night , bed went skid towards wall ! ! ask double bed give room describe badly decorate cupboard . room stank damp , freeze even heat turn full , cold water bathroom sink not cold , hot water not hot . shower one temperature - scald - . bed mattress 4 inch thick , place block wood perch old metal bed frame . iron one wall socket work . room key card highly temperamental will not work keep anywhere near mobile phone magnetic clasp bag . 3 time visit reception get card reset . good high floor room seem 4 thousand mile lift ! ! add , WIFI free room lobby , price drink bar coffee bar astronomical ( £ 2.80 small bottle still water ! ) even ATM reception charge £ 1.75 withdraw money . ' ve London friend rather work would never consider hotel even location know get cheap , few star have hotel offer much well service half price . 
 Feb 16 2009 	 Huge Fab room nasty cheap crockery queue food 	 hotel great central location . room large comfortable shocked find queue considerable time breakfast . staff good could keep demand cold buffet hot drink arrive finished breakfast . came arrive cheap , THICK , market STYLE MUGS . would 4 * hotel even ? ? ? many large hotel , service acceptable cool impersonal . move staircase ground 1st floor ( reception locate ) break access via long steep staircase . not know happen elderly infirm . would stay ? possibly room location , different expectation . 
 Jan 20 2009 	 disappointing 	 Thistle Marble Arch really disappointing . pay upgrade superior room , ' superior ' definitely ! bedroom dire need refurbishment . carpet old - fashine , curtain . furniture crack peel , wallpaper come wall , mould shower , tv reception bad , breakfast poor ( though luckily include room rate not pay extra ) ... could go on . the hotel also seem really full business people whole time . mean lot people , mostly man , take bar , congregate outside entrance hotel smoke cigarette ( good image be approach hotel ! ) . side , hotel location good , around corner Marble Arch tube . want basic accommodation good location , hotel would ok . would definitely recommend be look romantic break want high standard accommodation . 
 Jan 6 2009 	 Great Location 	 nice hotel great location . shopping , attraction tube near . staff helpful , especially stay Christmas . Hats Paul ( Head Concierge ) staff ! 
 Jan 1 2009 	 Great Central London location 	 arrive week Christmas stay 6 night . single female apprehensive staying hotel busy street . ticket see Royal Shakespeare Company perform Hamlet , worried travel night , however , say feel safe definitely stay . positive - 1 . large size room . fourth time London . prior time stay bayswater single room ( size closet ) . room thistle pleasantly large nice amenity ( small refrigerator , coffee tea bar , safe room , large bathroom , flat screen tv ) . similar size U.S. hotel room.2 . Great Location - Right Oxford Street . Marble Arch tube station block away ) . stay . great shop Oxford street . negative - 1 . arrive 11:00 , could check 2:00 pm unless upgrade high price room . since almost 24 hour , pay 30 pound night privilege . 2 . noise - ( hotel 's fault ) . week Christmas , steel drum band Oxford street play Christmas carol ( seem know three song ) . 3 . restuarant / Room Service - expensive . Marks Spencers selfridge food hall block away . buy food keep refridgerator . 
