gorgeous 	 Fairmont Mason St beautifully well maintain hotel long colourful history . room large comfortable fabulous city view . lobby fabulous photo story document hotel 's history fascinating . staff great . 
 enjoy stay 	 fairmont live expectation . good quality hotel , great room think good location . first visit San Fran think great area stay . close cable car , Union Square etc . the thing would say bed get bit old . soft friendly back ! still , enjoyable stay . 
 feel like royalty 	 hotel locate good part San Francisco easy access everything . cable car route within block . food fantastic restaurant well . decor make one feel special . 
 Jul 15 2009 	 Best Fairmont yet - big hill though might want cab 	 love place . ' ve tour fairmont year friend family deal president club deal well one . beautiful lobby , great little garden . think health club look pretty posh climb hill day row need use it . do not try food . thing like : price ( fairmont president club good rate deal - not join club - join , free get free internet special deal every month ) room - modernish , bed new different alot fairmonts.the lobby - prettythe view - be top hill go rooftop garden neat little look aroundDid not go club restaurant . 
 Jul 11 2009 	 nice hotel 	 stay Fairmont wife SF business . nice hotel , need update overall fine . view SF room great , however , room date . also , value . price sure would stay well deal Union Square . 
 Jul 7 2009 	 luxury hotel suppose 	 far good hotel ever stay . get 11th floor tower room great city view $ 160 / night . hotel president royalty , show . breakfast expensive , offer good breakfast ever hotel outside Europe ( nothing hotel cheap , not come be budget ) . staff attentive , even offer we need ask . wall thick inside quite calm . lobby grand gold fine detail . look european palace . room main building neoclassic style original chandelier hanging bed , tower room modern look , still impeccable style . fitness center impeccably maintain offer everything include also class yoga pilate . want walk hall president royalty , go hotel . 2 great restaurant ( 1 also night club ) perfect italian cafe ' bar , several shop also hotel . 
 Jul 7 2009 	 elegant stay San Francisco Classic 	 Fairmont legendary really enjoy stay . perch high atop Nob Hill ( great view ! ) 's perfectly locate enjoy San Francisco offer . although , pretty much every reviewer note , surround hill steep , steep . ... plan accordingly . fortunately , two cable car line right outside door . room super clean well appoint . staff friendly helpful . restaurant tasty naturally price accordingly . I suspect ultra - elegance go appear one tour group another arrive . not spoil time historic elegant hotel . two minor annoyance - parking charge ridiculous . close $ 60 per night taxis add . also Tonga Room charge we $ 7 cover charge music . horrible opinion waive hotel guest / President Club member . oh speak President 's Club ... sign arrive free access hotel 's gym . 
 Jul 2 2009 	 Touch Class 	 like Drake hotel Chicago , Fairmont offer something standard 5 star experience . exude old fashioned class history without stuffy . take advantage summer special room rate £ 100 per night european city standard excellent value . admittedly nothing compare stunning lobby bedroom well decorate , traditionally furnished , spacious walk - in closet good great view Alcatraz bedroom bathroom . the location mixed blessing . cable car full , often , steep access foot suit visitor , be look lose calorie gargantuan US restaurant portion place stay . 
 Jun 19 2009 	 Met expectation ! 	 dreaming stay hotel long time finally arrive Heaven ! truly historic old lady elegant . book special rate website also sign President Club Member allow free Internet , local call speed checkin / out . location brilliant cable car direction basically stop door . stay 4 night favourite thing relax glass wine lobby imagine would passed hotel year . room well equip luxurious . think & quot ; tired & quot ; hotel claim & quot ; trendy modern box & quot ; . hotel car parking quite pricey number public undercover carpark closeby shop around find overnight park US $ 28 cathedral . 
 Jun 14 2009 	 great location 	 spend second week June Fairmont . special hotel , room tower suite plenty room massive panoramic window . Reception say bay view really North Side tower , even great view . Caffe Cento place go breakfast buffet breakfast restaurant superb expensive . all staff friendly helpful . hotel great location cross road California , Powell Hyde cable car line . get Citypass $ 49 get free Muni transport week . much well value city sightseeing bus provide get hold good route map . good way hotel Powell Line Cafe Cento garage . Virgin Limo airport cost £ 48.best thing include ride cablecar tramcar , wine country tour Grayline ( $ 69 ) , Science Museum Golden Gate Park , Coit Hill ( get 39 bus Washington Square Fishermans Wharf bay cruise . not bother Alcatraz . good place eat Macy 's Cheesecake Factory . Johnny Foleys Bar O'Farrell Street , Cove Cafe Castro , Tonga ( Fairmont ) , Buena Vista Bar Hyde Street opposite cable car terminal McCormick & amp ; Kuleto 's seafood restaurant nearby . want free wireless join Fairmont Presidents Club arrive . 
 Jun 12 2009 	 love majestic hotel ! 	 second visit Fairmont even well first ( maybe sans kid time ! ) first thing attract attention entrance -- international flag overhead , red carpet lovely door . step incredible lobby -- floor ceiling marble column , exquisite furniture rug , course , ornate flower arrangement . room quite spacious beautiful , european linen bed , flat screen television , marble bath , huge walk - in closet course giant window , reveal beauty San Francisco . room service -- awesome ! -and drink bar downstairs beside lobby -- beautiful , rich - look ! frequent Caffe Cento ( parking level ) several time coffee breakfast -- like illy coffee like , enjoy . concierge really helpful , point we direction great restaurant within walking distance . location good , -- cable car line go right , always cab available . plus , since Fairmont consider one prominent hotel town , tour come right hotel pick we ( member tour walk pick location ) room , notice book artwork Fairmont , enjoy peruse check art architecture lovely historic hotel -- mirror frames wallpaper gardens -- place gorgeous . romantic getaway , beat Fairmont ! 
 Jun 11 2009 	 great view little touch 	 Spoke conference Fairmont SF - great hotel , magestic usual Fairmont touch . got room drape open , expose view golden gate bridge - classical music ( favorite ) play fresh cheese fruit plate cold bottle water ... ok .. room pricy , be worth opinion.top hill , bring walk shoe - 's downhill direction . walked cabbe back hill - good $ 6 ever spend ! corn beef hash breakfast good ' ve taste anywhere ! 
 Jun 6 2009 	 another great stay Fairmont ! 	 date : May 22 - 25 ( 3 night ) : , wife , daughter ( age 8 ) previous stay : 2 ( 2005 , 2008 ) several month ago receive mail Fairmont contain upgrade President 's Club status . assume get additional business certainly earn upgrade . prior visit stay Fairmont three time . include mailing certificate offering & quot ; reserve 3 night , pay 2 night & quot ; & quot ; upgrade suite & quot ; . even well - could use certificate stay ! go web site book cheap room could find call President 's Club line redeem certificate . easy ! arrive SFO take BART Embarcadero , buy multi - day muni pass , take cable car California street , arrive hotel around 5:00 . check right excited see suite . front desk efficient friendly . give Piazza suite third floor old building . previous visit old building prefer stay . the suite nice - starter corner suite lot window ( open ! ) . walk suite hallway - go straight enter large bedroom . will find bathroom , closet , dresser plasma top , chair , small table , king size bed , two nightstand . carpet entire suite brand new . turn right hallway enter another large room dining table four chair , couch , coffee table , two end table , large tv stand minibar another plasma , desk , chair . main window room face north bay . nice view North Beach , Wharf , Alcatraz . morning SF Chronicle deliver room . much prefer receive local paper oppose USA Today . the bathroom nothing special clean everything work well . unfortunately , bathroom combo tub / shower . plenty hot water water pressure good . think shower head low ( ' m 6 ' 1 & quot ; ) pet peeve mine hotel . plenty towel toiletry bath . the maid service excellent , morning turndown . maids friendly efficient . time feel call housekeeping anything . ask chocolates turndown maid tell stop 9/11.We not eat meal Fairmont many great place try area . however , Tonga Room pack evening get mai tai take back room night . Tonga Room make real mai tai - sickeningly sweet glass fruit juice rum . fact use crush , instead cube , ice put ahead mai tais . definitely one top-5 mai tais . coffee place face Powell also quite busy trip . the Fairmont great location . right intersection three cable car line . several bus line stop within block hotel . chinatown couple block away . shopping Sutter Union Square right hill . North Beach Wharf close . lot restuarant choose park close , . need rent car stay fairmont parking $ 50 day would want ? time print boarding pass use free service lobby - not even need go downstair business center . use gym past trip - nice double membership facility . we like hotel DEFINITELY back . thank Fairmont great vacation . 
