Nov 	 great service great location 	 wife enjoy stay last june great service close attraction 
 Dec 27 2004 	 entrance main Lobby stunk always smoker toxic fume 	 get nonsmoke room apparently UK ok subject people main lobby . like pub . awful . run hold breath . huge lobby . nonsmoking sign check - in desk . joke . poor employee choose smoke smoke everyday every hour . never return even nice old hotel good location . expense . London lot hotel choose stay one night early December 04 . due husband conference east end move Holiday Inn Express smoker section problem lobby small . Crowne Plaza extremely clean well take care . indian restaurant next door Crowe Plaza St. James excellent vote good London . agree . 
 Dec 9 2004 	 dirty room poor service . stay somewhere else ! 	 book Crowne Plaze St James 's one night stay December 2004 . check , tell allocate suite . obviously think bonus - however , suite turn different building trade 51 Buckingham Gate Suites even part main hotel ( require walk across courtyard different entrance ) .The suite far dirtiest tired hotel room ever stay ( stay hotel 3 + night every week ) . carpet wall stain , wallpaper tear mould wall bathroom . table living area break none furniture match properly . room service available . overall , general ambience student flat not refurbish since 1970 . I arrive late night decide make fuss evening ( British ! ) , instead make comment staff checkout next morning . express disappointment reception clerk , get generic & quot ; ' m sorry & quot ; sense clerk bother thought problem . ask speak duty manager , 5 minute wait , arrive offer make sure good room next visit . talk missing point . lot good hotel London - strong advice would avoid Crowne Plaza St James 's stay somewhere else . 
 Dec 1 2004 	 great location London 	 enjoy stay Crowne Plaza St. James . hotel good location Victoria Station St. James underground . reason taxis Victoria Sta . arrive , walk hotel . hassle luggage , yes , ask direction local shop . three people work know exactly . standard room fine . bathroom large London standard . request extra bath towel receive everyday without problem . face cloth seem short supply ; day . request find they . we problem walk St. James tube station hotel dinner theatre , probably one safe area London - no need waste money taxi . another advantage hotel busy street , noise problem common european city hotel . just street Albert pub , whose upstairs excellent carvery style restaurant reasonable price . one word warn though : make outgoing call hotel room . inquire front desk cost ( post anywhere hotel info . book room ) tell 30 penny per minute . two local phone call total 8 minute cost amost 26 pound - more 10 time rate tell . ask charge , reply number call ( London ) mobile phone , thus expensive . 
 Nov 21 2004 	 would RETURN RECOMMEND 	 Crowne Plaza St. James nice , old hotel probably well suit business travel leisure trip . hotel street ( Buckingham Gate ) taxi driver tell we name change past year , even though quite near Victoria Station finally get cab take 4 block one shop business could give we direction ! block St. James tube station , walk street nothing -- back hotel shop people , comfortable use tube night return hotel . mean extra gbp spend taxis theater . we stay two night Nov. 16 - 18 , $ 110 per night , would return hotel . immediately identify Priceline customer upon check - in & quot ; oh , yes , room so - and - so , breakfast include room rate ! & quot ; not matter we , course , room nice except bathroom . vanity top around sink huge crack gap 1/2 centimeter wide fill clear epoxy . shabby clean . toilet require least 4 flushing reason , even single tissue . shower curtain reach way tub edge , time take shower floor sop wet . go along sheet change request , common hotel nowadays , leave towel floor use soak standing water . course mean want new towel . take use towel replace . return room attend theater ( 11 pm ) want take bath , towel . call housekeeping someone suggest & quot ; look well towel , perhaps closet . & quot ; look , see not anywhere would suggest ask & quot ; two towel , please , wait bath . & quot ; wait half hour call . arrive 5 minute second call . room sort tower , four tall window curved create tiny bowed area . lovely , let noise street disturb early morning . nice quality woodworking , bed extremely comfortable . use room service , amenitie hotel strictly sightseeing theater . restaurant , expensive ( people expense account ? ) room service choice limit . see one woman ( travel 13 - year - old son ) hotel ; guest middle - aged businessman . ( guess hotel less expensive City , would far convenient businesspeople . ) , would return hotel . Holiday Inn Kensington Forum , stay week ( see review hotel ) well price ( $ 75 ) , well situate , much nice bathroom simply well value . 
 Nov 4 2004 	 back Crowne Plaza next London visit 	 husband , sister - in - law thouroughly enjoy stay Crowne Plaza St. James . location excellent regard tourist attraction , hotel beautifully keep , room large ever see several trip Europe . especially appreciate large bathroom heat towel rack ! stay king superior room , would highly recommend much large sister - in - law 's deluxe much money . the afternoon tea serve Hamptons lounge one good London , reasonable price . another hotel restaurant , Bistro 51 , over - price bad food bad service , would suggest location worthwhile dining location . one word caution offer thinking making stop hotel ask room front side hotel . backside hotel essentially playground elementary school window offer absolutley relief noise . like sleep stay front half hotel , hope kids holiday majority vacation ( ) . 
 Oct 25 2004 	 uninspire 4 * 	 pretty standard offer struggle justify four - star rating . location good sight - see goal , within stone 's throw many usual attraction good public transport link . night , though , area lack character , office worker around Victoria drift . hotel get four star largely account usual array useless frippery : concierge , trouser press blah blah blah . shell - out £ 1.50 packet polo mint £ 5.50 ' intimacy kit ' appeal , Crowne Plaza 's . alternatively , could choose send message rip - off merchant opt spend money cost roomthe room pretty ordinary , though nothing cause alarm . be London hotelier call ' Edwardian ' Americans call ' small ' . get room £ 75 include taxis Priceline - bad price 4 * week night . , bad hotel , one would recommend go way book . 
 Sep 17 2004 	 location location location 	 recently short break London follow review read trip advisor , decide spend night Hotel . whole pleased choice . location excellent , 10 - 15 minute walk Victoria Station 5 minute St James tube station . book superior room , good dimension overlook lovely rear courtyard . room generaly fine , although carpet somewhat mark bit stain place . bathroom huge .... like dance hall . spotless clean seem little date look like time upgrade . breakfast good well bad would expect Hotel grade . staff always friendly helpful . would stay ................ yes . trip advisor give choice three four mark raiting . could accurate would probably go three half . possible , instance go four , give establishment benifit doubt . 
 Sep 16 2004 	 location location location 	 stop hotel night recently visit London ( Aug 04 ) . read various report trip advisor booking find whole give fairly accurate picture find . location excellent , minute Victoria Station within 5 minute walk St James Underground station . pay superior room , although fairly generous size Bathroom like small ' dance hall ' , none less thought bathroom , whilst clean , bit date . bedroom ok , find carpet somewhat mark soil . the staff find helpful approachable . breakfast buffet would hope indeed expect grade Hotel . , tick box leave empty . would stay ? ............ probably yes . review ' m tick four box , although could give much accuratate assessment would likely plump three half . let say occasion will give benifit doubt . 
 Sep 14 2004 	 room need clean properly 	 stay Crowne Plaza St James twice August 2004 . first time get deluxe room great , find slodge jam ( raspberry ! ) inside drawer desk , aside , room great hallway great , clean bathroom , quite large . staff fine , complaint , queue reception time , hey , utilise express checkout . second time stay , standard room come ! bathroom floor dirty tile shower smear clean prior arrival . standard room fine space though , poky . bed soft , bad back , well stay elsewhere . meal fine , complaint staff good . ice machine every second floor handy . think staff train clean room properly , place would desirable . book standard room first , would skip Crowne Plaza second time . 
 Aug 31 2004 	 enjoy Crown Plaza St. James Hotel Suites 	 family stay Crown Plaza St. James Hotel Suites night August 21st , 2004 August 22nd , 2004 . e - mail hotel previously request check - in early flight arrive London Heathrow airport 7:00 morning . receive response within 24 - hour manager would happy add reservation would check early . Crown Plaza excellent location within walk distance major tourist attraction London . Westminster Abbey , Big Ben , Parliament , Buckingham Palace , pier boat embark ride Thames 10 - 15 - minute walk away . concierge helpful arrange tour taxi . whole staff polite courteous . hotel business center , spa , game room , store , restaurant . room stay typical european style room . room balcony overlook garden , patio , restaurant , lovely . hotel clean . negative Crown Plaza two small elevator . first day 2nd elevator work . therefore , one elevator work incredibly slow . overall , would definitely stay recommend Crown Plaza St. James Hotel Suites anybody travel London . Crown Plaza expensive , well worth money . 
 Aug 30 2004 	 Great Location ! 	 return 7 night 2 - bedroom suite . let start say hotel wonderful location . short stroll Big Ben , Victoria Station Buckingham Palace . also want mention front desk staff great . take wonderful care we . problem start show we 2 - bedroom suite . specifically ask king room 2 twin second bedroom . bring we room , second bedroom double bed . bring attention , say would send someone split . course impossible suggest split king . unacceptable , find we another room . wait 5 hour get new room . sit around wait . ' ve always wonder people comment carpeting room - well , know ! stain dirty boot ! bathroom small . bad part maid service . every day leave message like & quot ; please leave extra toilet paper & quot ; ( twice ) & quot ; please leave hand towel bathroom & quot ; . twice leave cleaning product room . twice knock door & quot ; Disturb & quot ; sign door . tell later , call find could come . may sound petty , stay 5 Star hotel pay 5 Star price , not ask toilet paper ! 
 Aug 29 2004 	 worth every penny ... 	 inceredibly pleasant stay . peaceful , luxuriousand worth expense . nicestplace stay ' ve come across London ... indeed almost anywhere . wonderful serviceand facility apartment madethe stay feel like real holiday ! 
 Aug 12 2004 	 Wonderful Hotel - Great Location ! ! 	 book pre - cruise visit London via internet Crown Plaza website . stay four night ( June 2004 ) happy indeed ! hotel locate extremely close Buckingham Palace , Victoria Station ( Bus Train ) , short walk Tube stop . first time experience visitor London , hotel . staff extremely helpful friendly . book & quot ; Deluxe King Room & quot ; glad vat , time book , include rate provide website . something pay attention booking hotel London . VAT really add price room . room large enough two tall people , glad book King room . also include small dressing area large & quot ; en suite & quot ; bathroom area . impressed . hear horror story room size London , glad see room adequate comfortable . our Hotel rate also include daily breakfast two fabulous . small cafe locate front Hotel provide buffet breakfast nice plenty choice . since food expensive London , nice bonus . without doubt , would chose hotel return London ! 
 Jul 12 2004 	 wonderful place stay 	 spend week hotel . staff superb , warm , friendly efficient . manage organize afternoon tea 7 short notice superb . would recommend . minor complaint , outlet hairdryer bathroom drawer place clothing . 
 Jun 30 2004 	 Crowne Plaza St. James Top Drawer ! ! ! 	 four day stay super ! ! ! perfect spot person travel alone . wonderful location , within walk distance Buckingham Palace , Westminster section city , also close good shop transportation . this really wonderful way end Queen Mary 2 transatlantic cruise . 
 Jun 23 2004 	 enjoy second stay 	 stay hotel second time year , room good well space clean . staff friendly problem like hotels mini bar similar item expensive . 
 Jun 20 2004 	 3 am Alarm Call 	 excellent lobby public room seem odd quality standard room - fitting seem little worn , although comfortable good quality bathroom . fire alarm wake hotel 1 am stay . on - duty staff really look everyone allow back room . however , management 's apology situation involve send message tv set 3 am wake we ; clever ! normally excellent stay Crowne Plaza hotel - one usual high standard . 
 Jun 4 2004 	 great location quite area 	 St. James 6 day week 5/18 . room big expect . centrally locate Victoria Station , B - Palace ) . breakfast plan worth . also near grocery store ( Mark Spencer ' Tedco ) . load honor bar fruit snack . theater district close get chance show . ticket offer place call " Half Price " . ticket sell ½ day show . staff good helpful make sure get 4 - day bus / metro pass go helpful . 
 Jun 3 2004 	 Excellent hotel great location 	 thoroughly excellent hotel . stay three night May 2004 . book standard room upgrade superior room king - size bed overlook fountain , hotel upgrade we deluxe room extra charge . room wonderful spa / exercise facility one good ' ve see hotel . staff seem mostly young foreigner work London improve English , extremely friendly helpful . room service houskeepe request extremely rapid . eat one restaurant , Bistro ( several time ) , quite good . 
 may 17 2004 	 wonderful choice family 	 stay five day spring 2004 nice stay . perfect need . rent deluxe three bedroom apartment family five plus niece stay we two night . quality furnishing exactly spectacular overall effect stylish attractive , modern appealing . bathroom fantastic . three . butler service lovely . also enjoy location proximity St. James Park . great running , take walk , trip playground . think price apartment bargain give space , quality level service . 
 Apr 2 2004 	 St. James Crowne Plaza - Grand Stay 	 stay Crowne Plaza 5 night March delightful . staff top , helpful friendly . room overlook fountain plaza extremly large London standard . quite , clean supply pressure hot water great . fitness center look fantastic , use spa one time busy sight - see . breakfast plentiful good tasting ... recommend get full breakfast plan would extremly expensive without . fill morning walk day . good part location .. 2 minute walk Buck Palace .. St. James Park .. maybe 5 minute St. James tube ... great little pub area also . westminister Abby close along Scotland Yard . would love go every year stay Crowne . 
 Mar 31 2004 	 Perfect 
 Dec 17 2003 	 beware ` ` standard room '' 
 Dec 6 2003 	 great location friendly staff . 
 Nov 25 2003 	 enjoyable stay Crowne Plaza 
 Sep 18 2003 	 Crown Plaza delightful every way 
 Jul 27 2003 	 delightful every way . 
 May 15 2003 	 Butlers Super Service 
 Apr 3 2003 	 excellent service quality good price 
 Jan 28 2003 	 Perfect international hotel price 
 Sep 3 2002 	 Fantastic say Best 
 Nov 16 2009 	 Bello non troppo ! ! 
 Nov 11 2009 	 e ' un signor Hotel 
 Sep 15 2009 	 Evolution très décevante ver un trois étoiles ... 
 Aug 22 2009 	 Semplicemente Fantastico ! 
 Jul 30 2009 	 Ottimo solo per la posizione ... 
 May 10 2009 	 Bien mais pas top 
 Jun 23 2008 	 Excelente hotel 
 Apr 4 2008 	 Bello .... 
 Nov 20 2007 	 Excelente situacion muy buen Hotel 
 Aug 13 2007 	 Un investissement important de rénovation pourrait faire de cet hôtel un bijou 
 Aug 26 2006 	 Troppo caro relazione quanto offerto 
