Super 	 spend three night President Hotel mid - November excellent stay . slightly concerned report sort 50/50 , good good , either lucky ( doubt ! ) , people understand expect money . room clean recently refurbish , thing agree , bed " brick - hard " rustle bit ! ..... like orthopaedic bed … .. get accustomed even ! oh yes key … you would never take , make reasonable shoe - horn ! ! Breakfast ( full English ) efficient buffet selection always plentiful , never encounter queue mention elsewhere . we book Thomsons Superbreak everything go smoothly , even train time ! good value money . 
 good hotel- terrible breakfast ! 	 take boyfriend weekend away surprise birthday hotel . hotel good location explore London- close tube station , open - top bus starting point , local pub , Tesco suppliess , near nice restaurant . comfortable room , altho bed bite crackly protect sheet top mattress , clean . good service staff . get breakfast- start boyfriend 's birthday . do not want much early start breakfast suppose serve 10 am get 9 - 30am table dirty plate clear away , thing bun jam plate put anyway- sure choice early hang around bit not bring anything else . tea pot sugar put . orange juice . decide leave find nice cafe around corner . disapointe start day . so follow day do not even bother go breakfast . maybe day put we ! would maybe stay hotel bed breakfast basis . 
 3 star ? ? ? ? beg differ ! 	 whoever rate fleapit 3 star obviously live hovel ! isthis really well expect standard accomodation 2009 ? many hotel London choose , please accept advice pay alittle avoid stress atempte sleep chaos . true , location convenient , apply many hotel London . food , room , staff etc leave much desire , struggle find anything positive say . find astounding reviewer award place 5 5 , welcome . 
 Excellent Location comfortable need update 	 stay President one night . location good minute course venue 10 minute walk king Cross . room comfortable clean . everything work hairdryer would useful . meal evening ok good value price . restaurant generally clean staff attentive . breakfast fine . 6th floor not suffer noise problem . overall hotel quite dingy seem little natural light . use restaurant convenience not much way ambience . think hotel fine price comfortable bed night night could brighten bit . 
 fine hotel excellent location 	 book travel agent superbreak , idea hotel like . look tripadvisor find review say bad . find hotel clean , helpful staff desk restaurant . expect 5 star accommodation price pay like , room well heat , shower good , flatscreen tv , hairdryer trouser press room overall happy stay . agree reviews breakfast luke warm , feel much make time leave eat . 7.45 morning long opening . would gripe still able enjoy . go pre theatre meal night . good value food although suggest early sit food already set buffet 5.30 . would go back would not want costly hotel hardly due sightseeing theatre . excellent location tubestation take london use piccadilly line ( mind get oyster card get quickly cheap ) .if 1st time london like , book big bus sightseeing tour desk get around see sight , last 48hrs ( hop hop ) time year first stop round corner . 
 Jan 24 2006 	 Loved President 	 stay President December 28 - January 4.maybe pay full rack rate get extra good treatment . double room exceptionally large tourist class London hotel . room fancy - Americans , think Motel 6 . plenty hot water . although use stair mostly , notice lift work whenever go thru lobby . the room first floor ( one flight street ) overlook quiet back garden . weather cool stay , double glazing helped keep room warm . free wi - fi available lobby Imperial Hotel , connect lobby President . any breakfast include English bacon ok we , full breakfast buffet outstanding . America not usually stew tomato , baked bean , fish breakfast , certainly enjoy variety London . not need snack noon buffet full breakfast . we definitely stey President Hotel next time London . 
 Jan 14 2006 	 Nice 	 ' m going give 4 5 star hotel 's 3 * hotel .. think deserve 3 * .... get Hotel say oh God 's nice , coz facade 's welcoming , get find nice , not pretend anything much .. typical English Hotel .. 70 's style ... staff nice one porter helpful . room brilliant ! ! clean , comfortable bed , nice bathroom & amp ; everything work properly . breakfast ok .. thought would much variety hey can not complain take bowl cornflake . staff nice , always greet we & quot ; Good Morning & quot ; . would go London would definitely choose Hotel . oh excellent location ! ! 
 Dec 13 2005 	 excellent location hotel great 	 Great Location butsmall room ( cruise ship size ) date , warm summer air conditioning , noisy street noise window open . would stay . 
 Nov 21 2005 	 Great Location Money 	 return 5 night President Hotel , centrally locate within walk distance British Museum , Covent Garden , interesting ethnic restaurant ... convenient Tube , bus , etc . however , room date small . ask shampoo , hairdryer ( leave deposit ! ) shower narrow . bed wheel ... travel . however , eventually able change much well room overlook lovely Russell Square . sure ask one . include continental breakfast basic ... tea / coffee , juice , toast dry roll butter and/or jelly ( preserve ) . full breakfast , available purchase , inedible . nonetheless , probably return Spring , despite total lack charm , can not beat price location . 
 Oct 12 2005 	 affordable great location 	 friend return London stay 6 night President Hotel . our room clean , 2 twin bed , change linen everyday . the mattress little lumpy bad . we 1st floor overlook Russel Park main street little noisy ; bother we . the location great , walk London take tupe couple time . the continental breakfast , toast muffin / coffee / tea . there great place street towards Oxford street get cheap breakfast also good place dinner . if walk across main entrance small road lead Russel Sq . station way really great pub . the staff pleasant helpfull . I would stay . 
 Sep 25 2005 	 night trip London go theatre 	 self wife stay PRESIDENT HOTEL 19th & amp ; 20th SeptemberThe hotel aprox 100/150mtrs ( 2.5 min ) walk RUSSELL SQ tube station , great want travel around LondonThe staff polite friendlythe room clean & amp ; tidy basic side ( one cheaper HOTELS LONDON ) .The bed bit uncomfortable ok one night much long stay would take mattress topper ( might unfair nice bed back home ) water / shower always hot time , tv ok UK cannel bite bad signal oursthe breakfast fine , could eat much wantedthe reason stay see Les Miserables Queens Theatre , great night , also China town meal hand across road . we check room 11 am , 50p ! ! hotel staff look bag rest day , great went shop around Covent Garden Portobello road ( market ) , also visit Museums , ( main one free London ) would pain bag etc , ( give porter tip £ 5.00 return ) would like thank STAFF nice night stay 
 Jul 30 2005 	 Affordable well locate 	 Affordable well locate . dissapointe service . fancy breakfast close hotel good restaurant serve smash breakfast . clerk cold ( never smile ) seem tired life . suggest improvement management . 
 Jul 17 2005 	 sorry bad experience 	 room ok clean service hotel worse ever experience life . rud foreign supervisor . dissapointe service ask reservation hotel year ago find wonderful service . well locate . would never get back even room free ... recommend base experience contact travel agency book reservation inform wrongdoe bad experience . soon arrive write letter President Hotel complain frustration treatment receive . needless say , luggage leave behind Italy airline company inform back next day hotel . inform hotel also clerk . day go luggage . phone airline airport say luggage next day hotel say list . could enjoy stay every day use interrupt go back hotel find supervisor treat rudly ( speak bad English ) . happy find website let know dissapointe . care client . definitely need change . brother planning go London advise go hotel tell many still shock service year go since l999 ! 
 Jul 17 2005 	 room ok 	 room ok . room . service worse ever see whole travel life ! believe due change owner wonderful experience year ago british people charge . supervisor rude care visitor , nothing . truly nightmare return home tell many friend . prefer stay home type hotel near Russell square . way , suitcase leave behind Rome tell supervisor also clerk send luggage back state stay hotel . 
 Jun 28 2005 	 Budget Hotel ... mean Budget ! 	 husband stay & quot ; President & quot ; 4 day May . , admit first stay London , , believe expectation high , shocked . hotel staff never smile , ever . room key attach metal rod 25 cm . long , someone tell ' m suppose ? whole hotel smokey funky odor . bed bowl shape . towel bed linen threadbare . continental breakfast bit joke , greeter usher & quot ; main & quot ; restaurant room back . refer & quot ; walk shame & quot ; . say location decent meet nice people . will not back . 
 Jun 21 2005 	 ok like retro look ! 	 never see decor date hotel ... not expect wonderful period item comment ! wooden veneer everywhere , shower curtain ship ! small single bed wheel move sit . secondary double glaze 8 inch main window . the breakfast room segregate two area , full english breakfast include continental . help everything - include tea coffee , big urn , toast luke warm pile , tin fruit choice 4 cereal . continental breakfast appear offer anything roll , tea , coffee , jam toast . the bin empty bedroom prior stay . apart , everything appear clean . good thing - close tube , central . however , well hotel around price . 
 Jun 1 2005 	 fancy great location 	 Room small ( cruise ship cabin small ) clean . bathroom sink 2 separate tap . shower water pressure good , towel thin soap provide . full breakfast good , miss mushroom potato . four type egg , feature overcooked yolk ( egg cup , egg hardboile ) . self serve coffee tea convenient . great location . around block pub , underground ( Piccadilly Line , tourist site lie ) 24 hour Tesco Express ( good late night snack ) . within walking distance British Museum British Library , reasonable walk Oxford Street . overall , decent option price . 
 Apr 18 2005 	 great Chesterfield sofas 	 wife stay weekend April 2005 , ` fairly price standard great location get around central London underground station Russell Square approx 50 meter away plus feel like walk Oxford Street around half mile away . double room stay clean shower outstandingly powerfull hot ( marvellous ) , however double bed little small side large people ! also room wall seem thin able neighbour & quot ; talking & quot ; hotel relax foyer several bar resturaunt , drink price Chesterfield sofa Sportsmans bar extremeley comfortable ! eat meal hotel carvery adequate cost . generally hotel nice feel although could possibly find accomadation little cheap hotel locate well clean friendly staff would definitely stay . 
 Apr 17 2005 	 great President 	 pleasant comfortable tourist hotel . would return time . 
 Feb 12 2005 	 would recommend 	 Husband January , room clean accomodation great , lot heat , complaint . definatley back . 
 Feb 4 2005 	 okay London 	 hotel small room , quite noisy time . wife stay May , 2004 couple night . hotel well place near British Museum Russell Square tube . include continental breakfast okay London ( awful ) serve pleasant dining room . room flimsey lock towel threadbare . wall paper thin could hear conversation adjoining room . service disintereste rude seem London norm . London standard , hotel fine . London hotel generally awful service seem exercise class warfare throughout UK . love London not buy food , lodge transportation , breath tube , would not able get rid . 
 Jan 13 2005 	 would go ! 	 not expect much reading review arrive really surprised . check fine room reasonable sized clean . bathroom good size . thing bit disappointing breakfast ; like toast orange juice will fine . location fantastic Russell Square tube station shopping ! ! 
 Jan 8 2005 	 expect bad get Best 
 Nov 17 2004 	 Decent hotel service small room narrow bed . 
 Oct 3 2004 	 decent 
 Jul 23 2004 	 third world breakfast . 
 May 28 2004 	 much cold ! 
 Mar 12 2004 	 great location 
 Feb 17 2004 	 absolutely awful 
 Feb 16 2004 	 trick 
 Jan 27 2004 	 Basic Hotel London 
 Jul 3 2003 	 good location affordable nothing fancy 
 Jul 3 2003 	 Relación calidad / precio buena 
 Nov 23 2009 	 saubere und zentral gut gelegene Hotel ! 
 Nov 22 2009 	 Céntrico estupenda relación calidad - precio 
 Nov 10 2009 	 Tolle Lage gut Preis - Leistungsverhältnis 
 Nov 3 2009 	 Bueno 
 Oct 4 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 oct 2 2009 	 ? ? ? ? ? ? ? 
 Oct 1 2009 	 recomendo 
 Sep 10 2009 	 buono con qualche appunto 
 Sep 5 2009 	 buonissima posizione buon hotel 
 Aug 27 2009 	 Muy buena ubicacion 
 Aug 20 2009 	 Médiocre - à éviter 
 Jul 19 2009 	 Seul déception dans notre voyage 
 Jul 16 2009 	 guardatevi le spalle 
 Jul 14 2009 	 ? ? ? ? ? ? ? ? ? ? 
 may 27 2009 	 super bien placé 
 Apr 23 2009 	 ravi du séjour 
 Apr 18 2009 	 buena situación hotel sencillo pero correcto 
 Apr 15 2009 	 londra hotel president 
 Apr 13 2009 	 posizione strategica senza tante pretese 
 Apr 5 2009 	 los españole iberojet nos metio en las peore habitacione del hotel 
 Mar 18 2009 	 buon albergo centro senza pretese e con occhio al portafoglio 
 Feb 23 2009 	 Ottimo rapporto qualità / prezzo 
 Jan 7 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Dec 4 2008 	 Correcto más 
 Aug 20 2008 	 Hotel très bien placé 
 Jul 29 2008 	 ancora londra 
 Jul 7 2008 	 Hotel Président : j'achète ! 
 Jun 9 2008 	 Proprio un buon HOTEL ! ! ! 
 May 13 2008 	 excellent rapport qualité prix 
 Apr 13 2008 	 Si vuelvo londre repetiré . 
 Mar 27 2008 	 hotel muy correcto para ser Inglaterra 
 Mar 25 2008 	 Lo que esperaba del President 
 Mar 12 2008 	 Recomendable por el precio la ubicacion 
 Mar 10 2008 	 el hotel más feo que visto enmi vida 
 Oct 25 2007 	 Non male ... 
 Jul 19 2007 	 J'ai adoré ! 
 Feb 23 2007 	 Bon Hotel très bien placé 
 Aug 16 2006 	 chambre simple 
