stick 	 stay 2 night . excellent staff , especially breakfast wine cheese staff . Front desk staff good also . agree irish girl , Dos Caminos , good restaurant around corner . you good location walk everywhere . you go wrong hotel , value breakfast wine cheese make extra dollar spend . 
 Aug 2 2009 	 great value executive european high end hotel experience 	 king bed , balcony , rooftop bar , free breakfast cocktail hour , lovely attentive staff , modern , roomy , great park ave location -- around 300 night -- make favorite . 
 Aug 1 2009 	 Perfect stay great staff wonderful city ! 	 stay hotel first time visit NYC love every minute ! room size good especially NYC . great breakfast buffet evening reception .. free internet service , robe use room ( wonderful slipper ! ! ! ) turn service chocolate nice little extra . park ave location perfect close village , outside crowd hustle . the staff friendly courteous moment arrive leave . evening reception relaxed comfortable , make great place visit friend un - wind long day city . the hotel room neat clean , overall even though hotel Giraffe small side make size quaint , warm inviting make we feel like second home NYC . something large hotel never match . we highly recommend planning stay 
 Jul 29 2009 	 nothing bad say hotel 	 stay one night Giraffe July find good rate online $ 200 / night . first night back US many month overseas hope decent experience hotel ... ' m happy say Giraffe meet expectation . seriously ... 's love place . great room balconie Park Ave , free breakfast , free Wi Fi , free evening wine reception yummy cheese . location great staff friend . highly recommend hotel . 
 Jul 28 2009 	 PERFECT choice 	 return four night stay hotel . hotel choice Alex , however , could get one bedroom suite trip , carefully review tripadvisor choose Hotel Giraffe . upon arrival immediately felt make wise choice never change mind throughout stay . location hotel perfect subway station across street . room perfectly clean . breakfast morning evening reception special treat since travel 5 year old . hotel kid friendly , never feel place little one . staff delightful helpful , especially young lady serve breakfast wine cheese . wonderful stay plan stay . 
 Jul 26 2009 	 Great Hotel 	 lovely place stay . bellman outstanding service hotel . great breakfast : bagel fixing , fruit salad , pastry , variety cereal , drink around clock well cookie night lovely wine cheese event . around five wine choose 10 + cheese . lobby invite clean . computer use well chess game . rooftop lovely . room nice well . pretty quiet nyc hotel . also give free pass health club two block away . drawback hotel door bathroom glass lot privacy especially stay friend sometimes housekeep knock even though say disturb . location also good . 26th park -- mind walk schlep everywhere . great place stay return . 
 Jul 26 2009 	 terrific small hotel great location .... 	 wife recently spend 2 week , chose pretty thorough research Trip Advsior . book via Hotel website seem good deal could find . overall glad . decide splurge bit take suite ... adverse comment would make decide take suite , spend bit take corner suite view ( hence light ) 26th St Park Avenue ; inside suit dark sit room room also face set office window 20 foot across small light shaft mean need keep blind ( make even dark ) ... bit disappointing really . otherwise recent review site v. accurate ... room nice size , quiet , keep spotlessly clean , bathroom good size esp . NYC , morning breakfast fine , roof top bar really neat , great balmy summer night , wine cheese lobby early evening nice way ease weary body day sightseeing . location great - short walk 6 train subway 28th st get view upper part Empire State Building every time make walk .. terrific . local area quite peaceful great choice restaurant easy walking distance , staff fine ... unobtrusive v. helpful . great base see NYC would definately stay . 
 Jul 24 2009 	 family experience welcome professional staff gracious environment . 	 gem hotel New York City . hotel home base son 's wedding Manhattan . must say stress wedding , hotel stay calm everyone help way . many , many thank , Lydia Tony Bellino 
 Jul 23 2009 	 Perfect Wedding Stay 	 recently stay hotel 4 day daughter 's wedding city . accomodation absolutely incredible ! service outstanding , suite perfect roof top bar absolutely amazing . new couple live NYC know back visit circumstance stay hotel . staff amazing , BEST city . thank much making stay incredibly wonderful ! ! Cindy Butrico Palm Harbor , Florida 
 Jul 23 2009 	 good place stay . 	 husband spend five night Hotel Giraffe great stay . the hotel well locate see Manhattan , two block south 28th street subway - line 6.it relax place stay , helpful , friendly staff . we start day complimentary buffet breakfast serve main downstairs lounge . there plenty food decent choice , relax sit gaze window onto Park Avenue South watch rush hour eat breakfast . we good sized room french door open small balcony , hotel huge room close elevator , walk room elevator right , handy . 
 Jul 23 2009 	 will back ! 	 Hotel Giraffe rarity - 's actually well let . locate close public & amp ; private transit , Giraffe 's ambiance & amp ; attention guest need make hotel return whenever NYC destination . staff attentive , never intrusive , & amp ; add touch , continental b'fast serve morning , & amp ; wine & amp ; cheese tasting night 5 - 8 p.m. , perfect start day & amp ; evening . 7 room per floor , feel another faceless guest never happen . want stay one New York 's hide gem , book stay Hotel Giraffe . 
 Jul 22 2009 	 wan na go back 	 upon first arrive gifaffe , disappointed ... time leave , ready book next NYC stay ! 3 we book suite fold sofa ... know dark & quot ; sofa room & quot ; , would choose expensive corner suite ... realize matter large well appoint room , little outside light , drab feeling -- staff outstanding -- genuinely friendly willing help -- breakfast excellent evening apertif -- also like rooftop bar lounge -- gorgeous weather fun sit , relax enjoy star ! ! , wait visit City stay corner suite ! ! 
 Jul 21 2009 	 absolutely fabulous 	 return 6 night stay Hotel Giraffe exceed expectation , even 5 star Trip Advisor review . everything hotel good ; location , decor , friendly service , superb continental breakfast , cheese wine 5 pm - 7 pm ( life saver pound street New York ) . suite wonderful , bed luxuriously comfortable air condition quiet effective . think single negative thing place . 
 Jul 21 2009 	 Hotel Giraffe : Excellent Service Hospitality Location 	 Date : July 20 , 2009my good friend another fantastic trip New York City . time enhance stay Hotel Giraffe Gramercy Park . new location ( we ) give we easy access low Manhattan well convenient access part city . what make stay special hotel staff . every person , bell captain , happy hour breakfast staff , front desk staff , housekeeping staff , courteous , helpful , gracious . a special part hotel rooftop lounge . place peace relaxation well fun social area . heartily recommend Hotel Giraffe . New York visit perfect stay hotel . 
 Jul 20 2009 	 could well ! 	 outstanding , clean , modern , tasteful hotel . beautiful suite . staff extremely friendly professional . lovely ground level lobby area breakfast happy hour , comfortable hang meeting friend business colleague . location extremely central . shall return ! 
