City 	 City Inn chain fairly new modern group Westminster City Inn London 's big new build hotel 30 year . I London delight find Westminster branch CIty Inn Westminster locate 5 minute walk Houses Parliament + Big Ben also within walking distance London Eye , Westminster Abbey many place eat . near tube station Pimlico 5 minute walk away . also Wesminster also nice area feel safe walk back night . the staff hotel super - nice well really efficient - make big difference . I find room easily big enough large bed really warm thank thick duvet - seem rare many hotel . big pillow also nice addition . as well also MAJOR plus point standard City Inn feature - iMac computer system every room ! ! - mean fully fledge internet system free use . brilliant handy check local attraction , check transport time , restaurant , map etc etc well ( want ) keep email , ebay , facebook etc away home - free room ! course also hook ipod system well . City Inn Westminster Pizza Express restaurant right next door use weather bad - take away want bring back room eat watch dvd like : ) pros : * great location - 5 minute walk near tube station + Houses Parliament ( tube access give London within easy reach ) * comfortable warm room * room computer imac system - great look information email etc ! * nice polite staff * not want venture far eat hotel restaurant Pizza Express restaurant next door . * Quiet - could not hear traffic outside all . con * choice continental full breakfast - go include continental though full breakfast look nice - quite pricey ( continental fine ) . * honestly think anything not like ! not sure stay London originally pay really cheap rate regret . stay City Inn hotel decide give London venue try really glad . comfortable convieniant stay friendly staff - certainly place top list next time visit . 
 ACCEPTABLE DEAL 	 hotel acceptable decent value get deal range 130 - 150 gbp per night ( per room ) . nothing more . pros : quiet , well equip ( internet , imac room , etc.but also dryer , iron board ) , general service acceptable ( expect anything stellar ) . guest service good . room clean ok , spotless ( trace hair bathroom ) . shower modern functional . con : bathroom small . mattress way way way soft ( bend one edge risk fall ground ) , 20 min queue sit breakfast table ( never see ) . 
 comfortable clean great value ! 	 stay City Inn Westminster one night long layover London . first trip city , not anything compare think City Inn great . check - in process quick , room ( 5th floor ) great . seem private party hotel restaurant , guest stay floor , bit worried would noisy . actually nice quiet , bed clean comfortable . my favorite thing hotel in - room iMac . use tv computer , able charge iPod . overall great stay , definitely recommend . Underground Circle Line not operate stay London , ' m really sure convenient hotel transportation . 10 minute walk Big Ben even short nearby cafe ( Pret Manger Starbucks- although not open 9 am Saturdays ! ) .I also highly recommend Heathrow Express Paddington Station . convenient , 15 minute cab ride Paddington City Inn . 
 Modern Chic ! 	 second trip London ( first Mother travel ) , must say pleasantly surprised . first trip London stay one Novotel chain hotel impress , not sure expect hotel , absolutely PERFECT need . start : check - efficient . day almost always 5 people front desk , make check in / out , use concierge , ask question , etc efficient . even night usually 3 people work . absolutely love . customer service top notch well . every time walk door receive smile someone front desk , usually someone ask day . Decor - 's state - modern . absolutely love . lobby fun relaxing . room stunning . bathroom bite small bath , fine need . be 2 girl get dolled everyday , plenty space . also believe mom call & quot ; shaving mirror & quot ; PERFECT put eye makeup . love . room also computer free internet access ! amazing , able keep contact daughter home . great way make away much easy handle ! downside would window face towards courtyard , could see lot people 's room , know could probably see mine unless make sure curtain COMPLETELY close . not really bother not room much anyways . 's LONDON goodness sake ! ; ] location - location hotel EXCELLENT . 's walk distance London Eye , Parliament , Westminster Abbey , many restaurant . be also little convenience type store 2 block awesome late night snack = ] be 5 min walk tube station , be nice neighborhood . never feel unsafe walk back night . restaurant - eat restaurant breakfast . review correct almost always queue get . wait 15 min get seat . manager however go line let check bag , coat , accessory , etc ... not want hold ate . pretty awesome , since luggage we . food average . opt breakfast buffet rather full english breakfast . get kind late bit pick , probably would well luck pay full english breakfast look delicious . this hotel bite expensive place stay London , afford , DEFINITELY pay extra go . stay basic room offer blow away , ' m sure . take advice , stay CITY INN WESTMINSTER ! ! ! 
 Sep 18 2009 	 GREAT hotel ! 	 wife choose wrap eight day trip London stay two night City Inn . could please . stay Soho Trafalgar Square , want experience different side city . the hotel 5 - 10 minute walk Pimlico station ( Victoria line ) Tube . hotel , 7 - 10 minute walk north right Westminster Abbey , Big Ben Parliament . area , Westminster Tube station right . hotel also minute away Tate Britain . hotel pleasant surprise . nice lobby check easy . room also modern . huge plus iMac free internet room . monitor also serve television . may seem odd thing write , every hotel try cash internet access , great checking show time , weather importantly ; check online airline . the bathroom bite small , need basic . even supply body care product ( soap , shampoo , lotion , etc . ) good ! staff always available , friendly take great care we . early wake day departure ask guest service staff taxi 0445 hour . , early . hotel make stay great experience . if not mind ten minute walk get Tube station , would absolutely recommend hotel ! 
 Sep 16 2009 	 6th stay 12 month ... good ever 	 find central London ... spacious room , clean bathroom , Imac bedroom , handy location , reasonable price , really cool bar , fantastic breakfast ( remarkably nice breakfast room ) , surprisingly helpful receptionist ( try London hotel comparison ) .You will not find anything well price , fact ... will find well elsewhere unless be pay £ 250++ per night . a great find rip - off London . the negative City Inn price seem creep ... 
 Sep 14 2009 	 brilliant 	 Fantastic hotel .... go recommendation parent stay there . stayed weekend two night . although little pricier , worth get . location fantastic , right next Tate gallery , manage first afternoon dropping bag off . on book muck company book , staff quick rectifying problem . the room brilliant , good use space everything need , include Apple Mac 's . god send , everything find thing London , book Eye , show etc . neede print anything quick call reception ensure put one side collect free charge . we eat hotel restaurant first night , brilliant . food really nice , afterwards go bar drank cockatil . half say good mojitoe ever , must say other try divine . bed really comfy , breakfast include deal really winner . pay alone £ 24 think well worth get deal breakfast include . the location really good we , walk London Eye , Houses Parliment . twenty minute walk stumble across Battle Britain monument theriver bank . as mention next hotel Tate gallery , near boat service travel Tate Tate . it be couple pound , really convenient visit side river . tube station ten minute walk away , pleasant walk . BOOK , WO not dissapointe ! 
 Sep 11 2009 	 fab fun place stay 	 City Inn Westminster stylish modern hotel ideal busy stay London . ideal location Pimlico tube station minute walk , westminster minute away , be far action . the lobby , bar room look great modern decor , Apple Macs room perfect check e - mail away home etc , plan tourist route around city ! staff polite helpful , breakfast lovely varied choice recommend bar 1st floor - fab cocktail short crawl back bed ! 
 Sep 8 2009 	 good . 	 stay 5 night rate 115 pound inc breakfast dinner . dinner could upgrade 8 pound get full la carte menu need stay couple night . request room view get it . mac computer free every room brilliant . you also pay 30 pound get 4 pm check kindly allow 6pm . this give virtually another full day sightsee 30 quid . nice shoer 5 pm leave LHR 6 pm 10 pm flight .. ideal . distance tube slight hassle bus outside door 10 min walk far . email responder prompyly . 
 Sep 7 2009 	 Nice Hotel / Location Unhelpful Management 	 stay one night April 09 . hotel great . clean , modern iMac main entertainment unit ( tv , internet , everything base iMac ) . love fact able access Google Maps room , use map everything go , would stay simply luxury . slightly dissapointe however full sized tv room , computer monitor ( approx 17 & quot ; ) .The location good enough . business type area rather tourist area , quiet , not worry mugged come tube 1:00am get back hotel . walk near tube station really not bad , maybe 10 min ( use Pimlico Victoria Line ) . also , be beside Tate Britain , follow sign first time walk , be really easy find . could convenience store nearby though . the thing keep hotel get five star review respond one bad thing happen stay . get shower , lightbulb bathroom explode , literally piece glass everywhere . not cut anything , tell front staff say would send manager right away get clean make sure everything ok . wait half hour , one show , go desk see go . gentleman talk quite nice , go get manager , simply brush say would eventually send someone clean . much converse original front desk clerk , find manager actually finish shift , want leave . find guest relation manager , brush away & quot ; one hurt . & quot ; point not much actually happen , way treat afterward . hour deal various people , give since place , obvious one care . eventually issue somewhat resolve email head office , would much simple ' ve send someone originally like say , especially since point unfortunate accident , fault hotel . again , customer relation problem , hotel great . thing note , neither positive negative , thing notice ( be always nice know , think ) : -there clock room . way alarm wake call , phone call , staff quietly knock door , not want disturb us.-there vend machine hotel ( convenience store closeby midnight snack ) , minibar . price seem bit high ( £ 2.40 water , £ 2.50 juice , £ 1.30 small pack Pringles , etc ) .-there free tea ( Chamomile English Breakfast quite good ) well free cookie ( not good ) -We could see edge London Eye window , open far would go lean , wife excite ' view'-the towel robe scratchy , soft , least way know ' ve bleach - they let we leave luggage check , nice since still sight - see doif be country , like show passport check - in . leave family outside London , take Driver 's Licenses instead . oh , one last little point , one cheap hotel able find London , £ 99 night . opinion , worth . 
 Sep 7 2009 	 absolutely fantastic hotel 	 stay hotel twice ' really one good ' ever stay - literally fault . room really simple modern slick . view fantastic , bed amazingly comfortable , breakfast absolutely well ever , anywhere ! think quality hotel , price reasonable well , would recommend anyone . 
 Sep 6 2009 	 amazing hotel ! 	 wow . wow . time nephew step taxi front hotel check , top notch service way ! hotel ' ve stay , take top billing . nephew lucky get room 11th floor view Thames . room ! modern amenity , well stock minibar iMac computer / entertainment center godsend . have book hotel early year get rate $ 100 per night ( roughly ) . 4 night DEFINITELY get money 's worth . also include rate breakfast - nice buffet breakfast . food room service excellent well . one night nephew spaghetti bologanse ( probably spell wrong ) couple night get hamburger . simply amazing hotel . would definitely recommend hotel anyone go London . probably downside people might find hotel location near tube stop ( Westminster ) - get , be set . top mark go everyone work hotel make stay extremely pleasant one ! 
 Sep 6 2009 	 great stay 	 great location , 10min walk tube . hotel modern clean . room good size ensuite shower room Mac / tv free internet access . moan bed far soft really sore back end stay . bar nice bit pricey . not try restaurant gym seem good enough . overall good stay , price £ 90 per night advance purchase room really impressed value money . 
 Sep 6 2009 	 fabulous hotel 	 book Onhotels , say fantastic value money . room spacious London standard , include breakfast delicious , hotel great location . room free internet access almost unheard day , great Apple Mac set . able walk London Eye , 15minute walk Victoria Station , 25minute walk Buckingham Palace . tube close . 
 Sep 5 2009 	 Excellent hotel superb staff 	 girlfriend stay birthday begin September 2009 . book hotels.com pay £ 110 night supeb value nice hotel . room spacious , well equip clean . hotel around 5 minute walk Pimlico tube ( Victoria Line ) around 7 8 minute walk Westminster tube ( Circle , District Jubilee line ) . cab rank outside hotel always cab , West end around £ 4 - 5 , go across Wapping around £ 13.at every stage staff superb , friendly efficient . breakfast good wide choice cook English breakfast continental fresh croissant pastry . the iMac room great idea . the bar upstairs wide variety drink , cocktail whisky , raspberry mojito great . all superb . 
 Sep 5 2009 	 minimalist hotel great location sightseeing 	 City Inn Westminster lovely hotel perfect purpose . solo traveler London short stay great place start full day sightseeing . not spend lot time room not think hotel make . clean simple , staff friendly helpful . breakfast great , pricey general pricey hotel breakfast . backpack standard luxury hotel , luxury hotel standard frill . complaint wireless internet not work room . thankfully work trip would big trouble . mouse computer room not work either struggle simple thing like check email weather . technological difficulty pleasant experience would recommend hotel someone look stay Central London . 
 Sep 3 2009 	 Fantastic hotel service 	 son stay hotel one night impress . size room fine , everyone else comment , imac really well think something hotel consider ! arrive 10.30am able check room straight away give we plenty time mooch around shop sightseeing . not book table restuarant dinner not sure time would back . however return go restaurant able get table straight away . food service absolutely excellent even son want pudding room service menu restaurant menu happy oblige . service polite overbearing . opt steak offer not disappoint ( especially bearnaise sauce ! ) bed lovely , clean comfortable - sure else anyone could want ? ! shower efficient think towel robe nice touch something normally get hotel book executive option . the follow morning quick efficient check leave bag concierge carry sight seeing . return later afternoon snack Millbank Lounge food service faultless . my teenage son impressed style look hotel although someone else comment like Ikea think great place stay would definitely stay again . a definite thumb we ! 
 Sep 3 2009 	 Excellent ! 	 hotel modern , room comfortable , free internet access Apple computer . location es awesome ! 3 minute walk Westminster abbey Victoria Line ( Pimlico station ) . really recommend ! love , wonderful experience staff good ! 
 Sep 3 2009 	 Fantastic Hotel 	 experience hotel superb . quality room , service front desk breakfast , location great value . do consider stay anywhere else . 
 Sep 2 2009 	 overall like place 	 great location ... great walk ..... close river 
 Sep 2 2009 	 Excellent Value - Great hotel 	 little gem London . set back river 10 minute walk either Pimlico Westminster , hotel conveniently place London attraction safe quiet part town . great value London hotel great breakfast . vegeterain , be great large variety cook food ... french toast , Omlettes , Bubble & amp ; squeak etc etc . room fine bathroom large , ; be perfectly adequate lovely power shower . agree review Imac entertainment system excellent . travel advice ... gertte train Waterloo , get Vauxhall get 88 straight hotel . take 5 minue save get tube Pimlico walk there . all , excellent hotel , great value would definitely stay , Adam & amp ; Vicki 
 Sep 2 2009 	 still Superb ! 	 third visit , still good first ! great addition since last time in - room imac provide tv , internet , music film one . summary : modern , well present hotel superb customer service nice location . highly recommend ! 
 Sep 1 2009 	 Excellent hotel good value - definitely revisit 	 stay 2 night August bank holiday weekend . check breeze room ready arrive ( v. early ) bonus ( fully expect deposit bag check later day ) . underground parking site useful £ 20 per night ( weekend rate ) way . room v. good . criticism would shower room ( bath ) small side perfectly adequate complete power shower . hotel staff extremely helpful ( rather novelty London experience ) . Breakfast ( opt continental ) amongst well ' ve . hotel nice quiet location 10 min walk away near tube ( Pimlico ) ideally locate walk along Thames - within easy reach Houses Parliament . hope price remain competitive definitely intend stay . 
 Sep 1 2009 	 outstanding value Central London 	 business traveller become use glitzy atrium / careworn room formula many big city hotel City Inn pleasant surprise : clean , chic , well - equip friendly service extremely competitive price capital city centre . definitely first choice business hotel London future . might even take family long weekend take sight like real tourist , highly recommend . 
