almost 	 London 21 - 24.11.2009 . stay Premier inn situated center London ( 50 m London Eye Big Ben ) . unconventional reception good ( check - in check - in machine want , wait ) . reserve twin bedroom get extra large bedroom one double bed one bed extra ! ! ! great ! ! ! room perfect . extra clean nice clean bathroom , flat tv , hairdrayer , cofee machine ... breakfast good can not describe ... full english buffet breakfast ... planty everthing ... word ... one one thing ok shampoo bedroom stay empty three day . definetly ' m go Premier inn ... 
 Jun 19 2009 	 can not wait stay ! ! 	 take daughter whirlwind european vacation celebration 16th birthday London second stop trip . stay 5 different hotel course two - week vacation Premier Inn London County Hall hand favorite hotel . other even compare , though nearly other comparable price . room size great , bed extremely comfortable ( daughter say 's bed whole trip get good night 's sleep ) , outside noise minimal , staff friendly helpful , breakfast good , yet , hotel stay ( definitely worth money steal kid 16 ) . location phenomenal - literally right London Eye across Thames Big Ben , Westminster Abbey , Houses Parliament , County Hall many attraction restaurant price range , exceedingly convenient London transportation , Tube bus . not think would better location hotel heart London . allow we get quickly easily sight want see , Buckingham Palace , Shakespeare 's Globe Theater , Trafalgar Square . offer high - speed internet room , purchase time stay 12 GBP 24 hour . worth we purchased two day work well . would recommend hotel anyone want stay heart London ( exception anyone want isolation seclusion - want , would come London ? ) . daughter can not wait go back London definitely stay Premier Inn London County Hall ! ! 
 Jun 18 2009 	 Fantastic Trip London help hotel central 	 recommendation , book premier inn ( family room ) close major tourist attraction . , sister 2 teenage daughter visit London attend Jonas Brothers concert Wembley Arena . thought would ' tourist site ' never visit London before . the hotel we perfect safe location , quiet , close London Eye , Bus Tours , Westminster & amp ; Waterloo underground station , Big Ben , etc , etc . the staff also store luggage arrive room ready . reception staff helpful , map , information , etc . breakfast fantastic , eat much want good quality food . big bonus 16 eat free full pay adult - perfect we . my gripe would free internet access - even free access 15 min , enough time check e - mail etc . insert credit card charge per minute . good idea teenager ! ! , would certainly go back Premier Inn visit London would certainly recommend friend . 
 Jun 17 2009 	 Perfect affordable ideal base explore 	 price , hotel great . room basic large unusual London , private bath . also clean , actually quiet . right London Eye Westminster Bridge , central . hotel back side County Hall river view , keep cheap . add buffet breakfast good move start early , though get crowd . hotel easily walk Westminster Charing Cross , Waterloo station nearby give full access Tube several train line . find perfect family , next time be London will stay still lot see . 
 Jun 16 2009 	 cheap functional 	 well expect centrally locate hotel ? cheap expectation meet ! bed comfy , room ok dark , air condtione ( pack ) , shower ok , TV Ok plus breakfast ample avoid scramble egg . shabby hotel apparently face lift - let hope price remain 
 Jun 16 2009 	 cheap Clean Safe Central 	 good budget ( London ) accommodation . pretty standard Premier Inn stuff . clean room , en suite bathroom . bar restaurant , breakfast include , cost breakfast exorbitant £ 7.95 . location fabulous , right next Westminster Bridge , London Eye , Waterloo Sation short stroll South Bank attraction . room good facility , WI FI ( free though ) tv , tea coffee , hairdryer safe valuable ( free organise first reception , get answer telephone . ) hotel short staffed stay call reception go unanswered . Front house staff friendly helpful although quite clearly pressure . would recommend hotel wishing find relatively cheap accommodation central London not hostel . job fine place sleep spending day hotel not want need 4 / 5 star luxury price . 
 Jun 11 2009 	 perfect location 	 stay May 24th go see Girls Aloud concert , never think stay Premier Inns 2nd time great ! location convenient ever stay London . bed amazingly comfortable , breakfast well worth £ 8 , forgot say staff helpful . have re - book next month : - ) 
 May 31 2009 	 Perfect Location first visit London 	 Premier Inn County Hall perfect choice first trip London . location perfect getting . bus stop around corner Waterloo station minute away . London Eye right outside within walk distance major site include Big Ben , Trafalgar Square Buckingham Palace . buffet breakfast well worth £ 7.95 ( kid free ) fill we till tea time . staff friendly helpful . room clean comfy . ideal hotel explore London 
 May 30 2009 	 compromise good one 	 normally prefer stay generic chain hotel , would not think would give one five - star . London , come accommodation can not . price . Comfort . location . style . London be lucky get two . , get two half . the location exceptional tourist London . proximity Waterloo give four different underground line useful train Kew Gardens Hampton Court . mostly , every morning leave hotel , 's London Eye greet , broad view across Thames . leave across bridge , be Westminster . right across bridge , 's Charing Cross . hotel quiet , since 's traffic - free street . it also win comfort . London famous room size closet . room good size , complaint . bed comfortable double , even single room . double room comfortable day bed , accomodate three would presume . not expect much amenity , Premier Inn . finally 's price . not London , would say rip - off . 120 pound stay . could definitely bad , not think get much well stay good neighborhood ( touristic purpose ) unless want closet - sized room . breakfast 8 pound decent , except scrambled egg clearly powder , be busy fall behind restock . 
 may 27 2009 	 great hotel great location 	 really good find heart london . really good value , good size room central london . good restaurant , friendly staff , excellent location 
 May 24 2009 	 absolutely location perfect 	 cheap , certainly dear location ideal , could walk ever need , Tube 5 min . away require , hop on - off bus 3 min away . room clean spacious enough , breakfast buffet quite sufficient , suggest eat Pubs cheap food great , London eye outside Hotel , book on - line , miss que 's champagne enjoy great sight . Big Ben , House Commons min away , walk Old Vic watch Billy Elliot everything close . 
 may 23 2009 	 highly recommend 	 spend one night . 2 min walk waterloo tube station ( main entrance ) . right next london eye fabulous view river parliament . able walk hotel west end / trafalgar square , easily , location really convenient . come back night Big ben eye light . room fine , usual premier inn standard . spotlessly clean . girl reception could not helpful welcoming . could ask ? 
