San 	 love location hotel along service inside outside room . great able get everywhere want go walk front door . people hospitable . 
 good hotel good location 	 7 night Westin . begin think 5th floor really noisy SF downtown hotel , relatively quiet . ourse hear fire fighter regular tour downtown . also applicable & gt ; 30th floor . the room stylish roomy . even healthy stepper thing locate next floor ceiling window . nice , clean bathroom well . bar restaurant also nice , rather expensive . 
 Jun 7 2009 	 absolutely stunning view great quality $ $ $ 	 okay , right front let know stay top floor corner room 180 degree view . view simply ridiculous ! live city number year never see anything like . one clear day see way Alcatraz . the room small not mind , would liked know would bath , shower view worth ! read review other say terrible room book Priceline problem . yes , book Priceline , find actually cheap book directly hotel ( California resident get extra 10 % ) call Priceline price discrepancy ... actually get refund difference . shocked ! anyhow , specifically want soma location away craziness Union Square hotel really convenient big destination city . also public transport nearby need get around ... take Bart SFO breeze . although would not recommend OAK , painful . the room modern , amenity bit frugal housekeeper happy give we whatever need . starbuck coffee Tazo Tea room quick one cup . everyone encounter extremely pleasant valet even allow friend park car lobby come room without attitude . we stay Hilton near Embarcardero ( bit date ) Mandarin Oriental ( exquisite business district pricey ) fall somewhere . would not call Westin property luxury necessarily really satisfied stay since not spend whole lot time room . also not partake room service hotel restaurant San Francisco ... many great place eat ! would absolutely return ! 
 Jun 4 2009 	 really nice hotel good location 	 good location , cozy room , shopping store surrandeda little bitter noisy 
 Jun 3 2009 	 nice location clean small room service lacking 	 stay three night ( Thursday Sunday ) good rate . however , book indirectly expedia , put triangle room ( king bed ) modern clean , small awkward . also , check - in , front desk staff helpful annoyed arrive prior check - in . also , upon leave , concierge try put wait limo $ 45 , specifically tell want take cab airport ( approx $ 38 incl . tip ) . Wonder limo own hotel , hotel receive commission . comment , hotel great location ( Union Square transportation everything else minute walk distance ) . room service excellent . 
 Jun 2 2009 	 fantastic location fantastic hotel 	 great hotel . great location . staff friendly ... room beautiful ... great view . 
 Jun 1 2009 	 nice Great Value Small Rooms 	 pay $ 109 standard room Saturday night -- fabulous ! clean , awesome location , safe convenient everything . everything else sort secondary . ok , ... get upgrade & quot ; spacious deluxe & quot ; room extra charge excite , open door think maybe wrong room . tight ! even sure bed king size . bathroom door clear toilet quarter inch , & quot ; floor - to - ceiling & quot ; window , not tell ceiling bed maybe 7 foot high start , be sort build overhang lower ceiling window 6 foot . plus side : bed super comfortable , soft sheet , in - room coffee tea awesome . plus , request fridge , bathrobe , slipper extra charge . Awesome tv . also , front desk really nice give we 2 pm checkout b / c overslept . minus : prom sort young event downstairs , lot teen lobby , stand around drink red plastic cup . second , & quot ; sweeping view & quot ; deluxe room 9th floor office building across street . 's small size room ( maybe 8 ' x 10 ' + small closet bathroom ) also fact although advertise $ 109 rate , call 800 number get b / c not available online . ( rep tell say rate & quot ; & quot ; $ 109 , always actually rate available . bait - n - switch false advertising , take pick . overall , pretty comfortable b / c not need much space , really awesome value , definitely feel like hotel tout lot luxurious actually . 
 May 30 2009 	 Westin SF Great Location great hotel .... 	 stay Westin SF Market Street Memorial Day weekend . hotel clean conveniently locate near Union Square Financial District . 's 10 minute walk Montgomery Street BART station . need get taxi BART readily available access hotel . bed comfortable room clean . parking hotel expensive , $ 50 per night . not eat hotel since be many option explore around area , especially Union Square ( five minute walk away ) . first day , walk Union Square , Chinatown Fisherman 's Wharf . hotel . SF walk city . hotel locate great , easily accessible location . gripe charge Wi - Fi . hotel give Wifi access free .... 
 May 26 2009 	 room new clean 	 stay 3 night , location great , close Bart Muni line . watch parking , charge 48 / night , right next hotel ally city parking 25 / day close 11 pm reopen 5 am , not need car . 
 May 22 2009 	 Great Location Comfortable ... Great Price ! ! 	 husband decide go San Francisco last minute suprisingly get hotel $ 100 / not . deal Westin think ... catch though . drive self park , must valet $ 50+/nt . however 150 / not hotel still great deal . besides find parking San Franscico general expensive . upon arrival staff cordial even get upgrade corner room view city . pro : Location ( street car access ) Heavenly BedsView cityStaff hospitalitycon : room bit small . smoke detector go every time iron clothe . no swimming pooloverall love hotel would definitely stay . 
 May 22 2009 	 great business hotel 	 Fantastic hotel business trip . quiet , sharp , incredibly comfortable ( one comfy bed think ' ve ever sleep ) ! highly recommend . 
 May 15 2009 	 great hotel great location 	 great hotel heart SF . locate right Market , be conveniently locate anywhere want go SF downtown . not get chance check ou gym Ducca ( restaurant ) , staff , decor , room , everything great . complaint service front desk . check , gf leave sunglass room . go back 30 minute ask look . take 20 minute locate glass even though check 30 minute ago . would expect well service front staff . overall , great time stay would mind come back . 
 May 14 2009 	 Nice Hotel 	 find hotel modern good friendly staff . room nice clean view garden . hotel far curtain location : Museum Modern Art block ; Union Square two block away etc . Bart near ( Montgomery Station ) F line trolly bus , go Market Street Fisherman 's Wharf . one draw back , immediate outside restaurant hotel . find Calif Pizza , Subway , starbuck couple small cafe bart . area pretty much office building near hotel : Fours Season W . 
 may 1 2009 	 would expect Westin 	 good hotel , nothing groundbreake , nice lobby . room good , wine glass bottle opener room . room service quick even take away tray across door . long wait call front desk . 2 pm check give . small bathroom . view good 21st floor . church bell loud morning even 21 . 
 Apr 28 2009 	 Okay 	 spend 5 day spring break Westin Market Street teenager , pre - teenager 6 year old 23rd floor . compare many hotel decide good deal safe location . could not compare Westin St. Francis promise make child feel welcome ( wecome pkg , etc . ) . speck personal service attention . always think Westin nice hotel trip change mind . fall Marriott . admit stay Hampton Inn overnight road trip , , room & amp ; service nice nicer . child quietest , well - behave child ( per other ) say not feel welcome actually complain pull Westin SF Airport last night . luckily , spend time room , nothing special nice home . floor also pretty dirty . & quot ; large & quot ; window large hotel ' ve stay view bad ... starwood member ; obviously mean nothing . also 2 charge take without question nicely ... obviously charge . room service breakfast also speedy friendly . also ask toiletry . typically , one would find show cap body soap , room stock shampoo hand soap - nothing . recession hit hotel ! room heavenly bed either . great actually ; know heavenly bed , follow stay go airport Westin , difference discernable . can not imagine get bad room . do take restaurant recommendation concierge ; homework ! restaurant pick concierge tell we know well one . clue give we post give owner name full name . not good fill tourist . single ethnic person Chinatown restaurant ! ? ! good obviously get kickback . ( believe form chinese takeout ! ) unhappy . all , get cheap room want anyone talk hotel , stay . want feel welcome strange city , look elsewhere . maybe ' m spoil , would nice kid least get chocolate pillow . 
