Broken 	 book hotel four night Sat 21 November , check tell boiler broken would stay another nearby hotel night . organise taxi take four we drive hour Quality Inn near Wembley Stadium . pay 4 star London end 2 star next door Wembley Stadium take hour get ! next day bunch people , book hotel own group across road - appear boiler break ! not get pick taxi 12.00pm next day , waste whole day 4 day break . people weekend , weekend spoil . hotel , find nice food really good . not believe broken boiler excuse - accord taxi driver - double book room time shift patron like around time . least put people nearby hotel , outside London . 
 great value ! 	 stay 3 night partner .. last minute book good price,225 GBP/3 night . the room really nice , big , really can not understand complaine size .. 's right size hotel room .. ( u will not take u guy , come on ! ) anyway , bed nice , decoration also , big flat tv opossite bed . the bathroom great ! even small flat tv want watch something be take shower .. maybe not high expectation , believe , u be extremely strange , u will love .. stay go back London .. 
 uncomfortable bed shabby furniture Free WiFi lobby 	 location WiFi good thing hotel . two different room - furniture shabby . hotel list remodel . year - 1990 ? bed uncomfortable ; could feel spring tick . service staff nice . put annex build street hotel first night . ask move room hotel solo traveler not feel safe unmonitored building . move follow morning . very close Earl 's Court tube station several breakfast shop . 
 Sep 29 2005 	 nice room private budget travel 	 Shaftesbury Kensington renovate although facade would not make one expect big deal hotel reception area little eclectic style , room really really nice . stylish furniture , spacious room bathroom ( especially London ) , nice lighting , plasma tv , microwave oven ( almost strange 4 * hotelroom ) tea / coffee kettle . absolute cleanliness . thing could complain - want - unusually small double bed ( 192 x 130 cm - yes , measure - standard ' ve ever herad ) , return really comfortable . ( one thing : lazy traveller like room 8 , post & quot ; disturb & quot ; sign go bed night sometimes housekeeping like knock door 8.30 - 9 . ) ' many 4 star hotel throughout Europe business trip tell room really standard 4 * hotelroom price ( leat one online hotel agent ) third / fourth even less price ( = company work ) pay . result nice hotelroom ' ve ever private trip since millionaire could stay nice hotel company expense . the staff helpful although visibily tarine . ( make restaurant west End Show booking we ready let we settle bill 11.30 pm avoid next morning queue . ) mini bar ( empty mini fridge use ) room know room service available want use . someone would require nice surrounding usually afford want spend money unnecessary service ( room service , expensive hotel breakfast ) definitely grateful find place . many cafés , restaurant bar area cheap breakfast / lunch / dinner ( even grocery store tube stop enter hotel 's street ) Earl 's Court tube stop 1 minute walk ( 200 meter ) , easily heart town 10 - 15 minute tube . sum nice room unbelievably little money London excellent location . ( 4 tube stop directly Victoria Greenline coach terminate get town Luton airport - main London airport discount airline . ) 
 Sep 29 2005 	 mixed bag 	 wonderful location - close Earls Court tube . pleasant street excellent restaurant [ indian , french chinese ] mexican grocery store . lobby public area stylish . alarm arrival long queue complain guest - room without a / c , without power , clean , double book etc . room minute bed barely double - stylish , quiet , open window excellent a / c . bathroom attractive contemporary . quibble use sink raw sewage come bath plughole - stank ! discover keep bath tap run vital one want use sink avoid ! overall find hotel great experience - especially £ 60 night doubt would risk ... 
 Sep 26 2005 	 Nice room 	 spend three night Shaftesbury Kensington . room good size ( London ) , nice clean medium sized bathroom . minibar roomservice , nice plasma screen tv , fridge microwave . the service bad . the staff not seem training , rude , unhelpful indifferent . bad ' ve experience London . the area great lively lot bar restaurant , tube station 5 minute walk . 
 Sep 16 2005 	 potential near future 	 book directly get good rate probably make fact hotel definitely finish . - gym , mini bar , room service , bar / restaurant close 9 pm night closed day Sunday . staff attempt helpful definite need training . the room spacious comfortable bed , good sized bathroom compact little kitchenette area - plasma screen tv definite bonus . you see potential say describe fully refurbish clearly totally unacceptable throughout stay many complaint day dissatisfied guest . 
 Aug 20 2005 	 concern guest comfort 	 book hotel & quot ; lastminute & quot ; sweat non A / c accomodation elsewhere London heat wave . arrive hotel find construction site . air con lobby - function room due renovation . could live way get fresh air room . window open crack tell open would break . front desk provide fan - however none leave twig might available . also ice available anywhere cool . appreciate hotel undergo renovation , complete lovely - way room rent without adequate ventilation condition . end sleep room door open night hallway get kind air . construction noise also detraction . I apply & quot ; lastminute & quot ; recompense advertise special grant ~ 15 % rebate . hotel want retain future business - shut - finish renovation - start provide decent facility . 
 Aug 3 2005 	 would recommend renovation ; watch Expedia ! 	 first day honeymoon , husband transfer Hogarth Expedia overbooke we Best Western Paddington Court . staff nice accomodate . however hotel renovation , first room view scaffold , hot water a / c heat wave . staff transfer we right away much large , nice room look scaffold , hot water , still a / c . fan give we work ok , not get lot sleep stay hotel . recommend hotel renovation . room nice , nice a / c ; staff wonderful . location great well ! recommend book hotel Europe anywhere Expedia ! horrible honeymoon due bad business , offer compensation voucher another hotel book ? ! 
 Jul 23 2005 	 Great Value money ! 	 see hotel attract price . figure Earls Court price pay , would nothing tourist class Hotel . ever wrong ! ! even though hotel construction time , room completely remodel . bathroom new modern fixture impeccably clean . actual room size surprise , since London room small . room huge even London standard ! pay $ 89 usd night short 3 minute walk Earls Court tube station . understand lobby undergone complete revovation new picture wonderful see . honestly recommend hotel stay location great job renovation . idea get horrible review other since hotel bargain even price pay . normally get pay , nice surprise ! 
 Jul 21 2005 	 Mess 	 send Hogarth original hotel overbooke . drop around noon ensure know transfer , set see city . return evening find still bother assign we room wait additional half hour scramble . room stick we barely functional . phone missing , half lamp not work , piece fall shower . additionally window curtain configure way take two people get window open past curtain ventalation . section hotel relegate also 10 degree warm rest hotel . inadequate ventalation past fire door seem . would never willingly stay hotel ... 
 Jun 7 2005 	 start .... 	 hotel disaster . soon walk be greet stench wet paint , dozen foreign builder make racket , table cloth suppose reception . hotel refurnish room look like ' ve start top , since top two floor seem safe enough walk . room get big enough double bed , 1 person walk around side that s room ! good thing room actually quite nice ( even space , broken lock , switch fall ... ) anyway , girlfriend spend night old street far away hogarth . end get back 4 am , look forward good night sleep ( would expect pay £ 54 night ) . however , come 8 am horde worker come past room room next make horrible noise 9 pm night . ' ve never hear much unnecessary noise . get go , come back hope get sleep still shout saw bang etc ... ask reception could change room , girl do not seem clue say ' oh well do soon . ' ask can not change tell fully book ( even though ghost town apart worker . see total 3 guest entire stay ! ) also tell we would not next day .... 8 am arrive make terrible noise . visit phone reception obviously would not help . the ice cake try charge we 39pence call reception complain noise ! read review recent one will realise hotel , bad idea . earl court good area hotel avoid one like plague . 
 Jun 6 2005 	 problem perspective 	 read poor report recently post , somewhat apprehensive stay hogarth two week business . yes , hotel refurbish . however , encounter none problem list previous reviewer . find , continue find , desk staff , employee , even worker courteous helpful . room ( base single ) fully modern , include plasma tv , safe , bar area , etc . problem whatsoever . obviously , would nice bar / restaurant open find provision complementary breakfast deliver on - time room adequate substitute . renovation take place would give high rating , possible evaluate bar / restaurant . overall , pay lot get lot less frequent trip London receive Hogarth . market professional word advice use review : get two end spectrum .... satisfied unsatisfied ( usually latter ) tend represent small proportion overall consumer opinion ....... 
 May 24 2005 	 Disaster Hotel Name change 	 hotel soon sport name change -- suspect order escape quite abysmal current guest treatment reputation . name change & quot ; Shaftesbury Hotel , & quot ; let tourist beware ! two example hotel 's guest treatment : 1 , ask ice ; say not provide . ask could get away since hotel next door ( enterprise ) provide markedly cheap room price ( friend ) . answer worthy Basil Faulty : & quot ; hotel standard hotel ! & quot ; 2 , bathroom recently remodel ( worker make loud hammer saw noise 7:00 A.M. 5:00 P.M . Mon - Sunday ! -- assume effort remodel someone else 's bathroom ) appear quite slick trendy . . .except flush mechanism need prime five time effect result , bath drain cover unscrewed pull dispose back - up water , partial glass shower partition poorly design entire floor awash five - minute shower ! several conversation single lift French , dutch , australian guest confirm noise laughable treatment unique floor we . 
 May 16 2005 	 Dreadful Hotel 	 stay theis hotel 2 night April . brochure claim & quot ; plasma TV , minibar , microwave,24hour room service & quot ; .this case . three room see none feature receptionist seem bemused ask room service . say room undergo renovation & quot ; bit bit & quot ; . seconf room not evern wardrobe , simply 3 drawer chest storage . also warn , check , renovation noisy , relax room time day question . husband try wait bar 6 pm tell open - first suppose 4star hotel ever visit whose bar close resident time evening . all , would never visit hotel , would advise anyone think check directly hotel renovation work standard room . 
 may 12 2005 	 stay warn ! ! 	 BUILDING SITE , Hotel hell ! got transfer another hotel ! breathe dust , curtain room , room door open ! stay , ruin DAY ! ! 
 Mar 6 2005 	 excellent value average 	 spend 3 night Hogarth Hotel February 2 child find hotel & amp ; staff exceed expectation . the room modern bathroom , balcony & amp ; clean high standard day . find area ideal short tube ride sight , plenty restaurant nearby & amp ; feel perfectly safe walk back hotel late evening . my negative comment would renovation carry stay , noise throughout daytime barely affect stay . I book discount hotel website & amp ; pay £ 69 night triple room continental breakfast think excellent value . I would stay & amp ; hesitate recomend hotel family friend . 
 Mar 3 2005 	 good place good hotel problem 	 friend spend four night hotel last week . first problem , , ask visa card check , tell refurnish room , moove first floor fourth foor ... afternoon ! bad luck .... could room ready 20h 20h 30h evening ( 15h afternoon ) , leave lugage go city , really upset , would like acce room , unpack , take thing inside lugage . anyway , tell receptionist annoy , fact way check , without option change hotel want . when come back evening , give we really nice room , little small , decent one ... clean , totally new bathroom , invite breakfast free buffet every day , apologize trouble ( include room´s price first ) .We pay day leave , take taxi 5 , , time depart , guy reception desk ask we money leave pay , couldn´t say , sure ought .... wasn´t even able look bill PC ... really mess ... , get really ungry , shout bit , leave hotel bad temper way . now , it´s . 
 Feb 18 2005 	 lovely hotel 	 thing love hotel staff friendly . manager really helpful give we information visit dine londonbreakfast good also car park hotel excellent parking nightmare london . good value money low cost per person per night . would definately recommend friend family 
 Jan 20 2005 	 never ... 	 spend one night Hogarth hotel , enough ! firstly , area . close tube station , want , walk road hotel experience - one would like relive ! refuse night , come back still light . do not feel safe all . the staff friendly check , take card detail give key asking have request smoke non smoking room . I get room , clearly smoke ( have not ask ) find dirty . carpet filthy , bedsheet not clean . go bathroom , find sink plug rust shut , tile fall wall towel stain dirty . bath tub dirty , disgusting , refuse even use it . my request room change ignore , apparently fully book , do not understand really see two people whole two day there . that night , also discover lock door do not work properly , card slot cover back door be not even fix . spend whole night unable sleep properly do not feel safe . BAck area , throughout night could hear people shout fight outside . I may gotten good deal price , would rather spend twice much stay decent hotel future . 
 Dec 18 2004 	 bad - great 	 get late rate hotel £ 45 double room , price pretty happy get , ... power cut check - in , hot water 2 hour .... tell check though , ring reception find cold water , tell reason . check twin mistake bother inconvenience . bathroom clean room noisy . radiator make terrible noise every hour , hour whole night . I would go back . 
 Dec 2 2004 	 first review 	 ' ve stay 15 hotel london last 5 year one would go back . staff fantastic ( quite distasteful people deal ) . room big , clean , comfortable cheap . underground parking great ( £ 20 / day right ) . be handy heathrow central london . breakfast breakfast staff good . hope keep staff 's current level standard . 
 Nov 9 2004 	 quite happy 	 wife quite pleased find . neighborhood great nice pub restaurant around . walk many main attraction , be 2 minute subway . staff friendly helpful . room small cramp . bathroom clean . small tv great . would compare small Howard Johnson Toronto , Canada . 
 Nov 4 2004 	 pleasant surprise 	 booking make travel agent Australia first hand report hotel offer go review web . whilst universely great hogarth contain horror story book week single room hope well . I say , , make right decision . room good size ( especially single ) , bathroom adequate daily cleaning definitely standard . find staff without exception helpful honestly say complaint all . I dread booking stay London hassle accomodation easily ruin holiday , keep standard , think future visit certainly low stress level . 
 Sep 5 2004 	 Great Value Break 	 promising start London break fact hotel throw change name Cresta Hotel , believe , indication original name two a4 sheet laminate paper , stick wooden board , prop outside pavement wall , say & quot ; Hogarth Hotel & quot ; ! another surprise , due arrange internet , arabic decor dining area ( hookah , poof , brass table , drape , rug , etc ) middle eastern staff ! however , polite helpful . include Continental Breakfast ( 59 GBP per night , twin room , B & amp ; b ) plentiful - give tea miss though ! room clean , beverage making facility , tv , Internet conn . key card door . basement car parking 20 GBP per night reasonable price peace mind street damage theft ever - present Traffic Wardens Clampers prowl street . only 300 yard Earls Court Tube Station , local shop little bit Kensington High Street major shopping area . 
 Aug 20 2004 	 Great Hotel 	 stay hotel one night two friend triple room . really impressed reception general cleanliness hotel . location 1st class especially go concert Earls Court . would recommend anyone . 
 Aug 7 2004 	 par 	 travel agency book stay , great week Observatoire Luxembourg - Paris , figure London hotel ( 2 week stay ) would nice well . wrong ! room spacious european standard , small balcony . Earl 's Court Tube station extremely convenient , food breakfast adequate . Cleanliness , however , serious issue . one bedcover appear vomit . call desk notify housekeeping . change . try . nothing . stripe bed put bed hall . remove hallway , none bring replace duration stay . bathroom floor dirty ( dirt , bobby pin previous guest ) arrival sweep clean stay . there lovely tray supply tea coffee . somewhat disconcert cup wash change day , leave use next day . service breakfast area spotty . 2 week , three day really nice service , find friendly server , tip well seek table subsequent morning . remainder staff seem quite unhappy work . 
 Jul 13 2004 	 ordinary hotel ! 
 Jul 1 2004 	 pleasant stay 
 Jun 28 2004 	 stay ! 
 Jun 20 2004 	 overprice room large normal 
 Apr 14 2004 	 Hotel stay overall nice 
 Jan 21 2004 	 Great Deal 
 Aug 6 2003 	 nice hotel overprice 
 Jul 17 2003 	 Excellent Value Price 
 Apr 28 2003 	 Hogarth Hotel 
 Apr 18 2003 	 great location 
 Oct 1 2009 	 impeccable ! 
 Mar 23 2009 	 belle chambre renovée avec fenetre 
 Feb 19 2009 	 noon andateci 
 Jul 9 2008 	 Una bella sorpresa 
