great 	 stay hotel numerous time business leisure . great comfortable room fun bar . love lavender smell hallway . 
 Oct 25 2008 	 little gem perfectly locate awesome view 	 celebrate husband 's birthday , want quiet get - away weekend check Fleet Week San Francisco . great little modern boutique hotel situate perfectly right across Embarcadero build awesome eatery everywhere include hotel 's Americano . take night time Alcatrez tour get back hotel past 10 pm - famish order short rib & quot ; mac n cheese & quot ; & quot ; die & quot ; comfort food . when get back hotel , surprise we two cupcake happy birthday wish - really make look good - since rush plan weekend not think detail . we end weekend message spa - capable masseuse make somewhat surprising small facility . combined beautiful weather , gorgeous view - would recommend stay little gem next stay SF . 
 Oct 10 2008 	 wonderful hotel great location 	 stay Vitale June solo trip San Francisco June . really perfect choice : - room lovely – relax comfortable bed . move half way stay urban studio – wonderful relax bathroom . - bed comfortable – room always spotless.- location fantastic – wander Ferry Building breakfast every day . good thing Boulette ' larder – ' miss . also hotel give complementary access nearby ymca – great take spinning class early morning pick – workout view bay bridge.- ' easy walk everywhere need go – also right Embarcadero BART airport ( subway elsewhere ) plus mini cable car . - view bay great – meal restaurant good . as well beautiful , location ' touristy like Fisherman ' wharf , edgy like other area . staff fantastic – great recommendation always smile . 
 Oct 8 2008 	 Perfect Stay 	 stay JDV hotel one reason pick Hotel Vitale . complete last day Honeymoon San Francisco decide try Vitale due location excellent review trip advisor . disappointed way . megan great make reservation note Honeymoon . first , room upgrade waterfront view . since ready arrival , Daniel offer we drink Americano 's bar . two drink hotel pick . show room amazing view East Bay bridge . go dinner upon return , Champagne chocolate leave bedside . romantic word think due soft music low light leave we . little noisy due bar downstair , keep soft music bar close . noise something could really hear unless focus . sleep soundly stay , yes bed perfect too . there run race decide run Sunday morning , help direct place sign give bandaid prior run . little thing convey committment customer service . not try Americano favorite place eat SF . love stay hotel modestly claim three star hotel . perfect stay plan stay many time . 
 Oct 6 2008 	 favorite hotel San Francisco 	 frequently travel San Francisco favorite place stay . everything right , service front door amenditie . appreciate get New York Times , fresh product gym pass ymca block . also , love short walk Ferry Building . 
 Oct 5 2008 	 view room ! 	 third visit San Francisco time , actively take decision stay completely different area get beat track little bit stay near Union Square ( 2 year ago stay Clift ) . view room reason book hotel . well splash get bay bridge room worth - suite view room fantastic . would definitely recommend hotel stretch bat bridge room , will not regret well worth every penny ! ! ! 
 Sep 18 2008 	 love Vitale 	 Nice , clean , NEW ! ! . basic room 2 bed , chair nice view Ferry Building . room large , adequate well design . bath nice . good showerhead . wonderful bath amenity . Loved soap shampoo . brand & quot ; Fresh & quot ; .The bed TDF ( die ) . one comfortable hotel bed ever sleep . nice sheet , lot pillow . restful sleep . one negative : vitale seem follow current hotel craze give flatscreen hdtv , HD programming . irritate . staff nice accomodate . leave , attempt severely overpack rent SUV . bellman extremely helpful jockeying / jam stuff body vehicle . point , think glad see we go ! finally , location Vitale EXCELLENT ! Hotel Vitale : THUMBS ! ! 
 Sep 16 2008 	 Fell love SF 	 stay vitale wonderful start finish . arrive Friday evening exciting see vibrant happen scene hotel . noise issue us part stay . hotel staff gracious accomodate . impressed complimentary bottle sparkly honor anniversary , along card hotel housekeeping . wonderful gesture hotel make first trip SF memorable . the location , opinion , good city . Sat . morning Farmers Market miss easy access public tran . part city . like come back serene decor ambiance hotel busy day shopping explore city . rooftop patios - one good spot take in . for leisure traveler , Hotel Vitale wonderful place . be true spa - goer business traveler though , may suit . 
 Sep 13 2008 	 Great Location Terrible Internet Policy 	 husband spend pleasant weekend Hotel Vitale May . what liked:1 . fabulous location Embarcadero across Ferry Building2 . amazing ( underused ) roof deck view onto Bay3 . comfortable room . one oddly shape Urban Studio room ( be concave , believe ) , good value size . spacious bath area particularly appreciated.4 . wonderful toiletry Fresh cosmeticswhat not like:1 . internet policy . yes , wireless internet free , low speed wireless internet . high speed internet involve charge . think mislead hope hotel follow horrible example . not , would award Vitale five stars.2 . decor . beige ice blue color scheme soothe , something feel chain hotel . room art come yard sale ? high end art pretend come yard sale ? complicated . . . 
 Sep 10 2008 	 incredible view ; wonderful concierge 	 arrive Hotel Vitale 27 hour transit seamless entry serene world pamper luxury . circular suite sixth floor provide sweeping view Bay Bridge , room tastefully appoint comfortable furnishing luxe Fresh bath product . Vitale 's location excellent pedestrian guest . adjacent Ferry Building boast Saturday morning farmer ' market second none , heart downtown within easy walk distance . perhaps good incredibly personable concierge , Jackie , assist reservation outstanding restaurant across city ensure five night spend property memorable . 
 Aug 29 2008 	 Beware noise ! ! ! 	 wonderful hope . waterfront view gorgeous small window ; staff gracious helpful . bar scene noisy every night -- well night -- render bar lobby useless keep we awake 6th floor room . spa tiny outdoor tub depressing- view set corner roof . room service slow expensive . So- enjoy stay disappointed hotel . definitely restful getaway anticipate . 
 Aug 26 2008 	 love vitale 	 love hotel - though bar popular loud evening although 're ' after work crew ' disapear 9.30pm . helpful staff great location . 
 Aug 25 2008 	 middle many restaurant 	 hotel staff personable . drop luggage room prepare . arrive two three hour check . come back 3:00pm , delay . room overlook Bay Bridge directly across street Ferry building Embarcadero . walk towards South Market area reasonable . bed nice . sit area room size also spacious location . eat dinner Friday night restaurant across street emergency shut . would recommend restaurant non - guest outside patio / bar area pack rush hour til 9 10 every night . the rooftop area live roof spa area also nice clean . would highly recommend stay . especially mind extra five six block walk area outside Embarcadero area . 
