Amazing 	 happy overall value hotel . service incredible - location awesome - room comfy ! ! ! love breakfast morning - great coffee ! ! free internet service extremely helpful .... complimentary bottle Perseco chocolate room .... Wine night .. awh .... room pretty good size - ny , especially . offer pass gym , want vacation ? find complaint hotel . could walk 30 Rock Central Park . subway block away ... 5th avenue 1 block away ! not get well . 
 May 4 2009 	 cosy european style hotel load ambience 	 spend 15 year Europe remind warm charming hotel stay . lot charm old world antique . lovely breakfast area also serve wonderful happy hour location week . staff extremely helpful location can not beat . nice safe area easy acess subway travel far afield . terrific restaurant nearby within walk distance theatre . perfect place kind get away ! ! ! 
 Apr 29 2009 	 feel like home ! 	 love hotel ! 's boutique hotel terrific location . staff make feel like family take great care . room spacious NYC . separate dressing area quiet comfortable . bathroom update nice amenity . good part hotel club room feel like big living room . serve good continental breakfast drink snack start 5 pm . also stop come evening late coffee cookie . give chance meet guest hotel make new friend . love place would definitely return . 
 Apr 23 2009 	 alternative big hotel Manhattan 	 hotel get fantastic rating Trip Advisor seem popular Europeans . include breakfast make start day easy -- provided not need hot meal . one elevator slow . take step spend lot time wait . lot street noise 54th St. side hotel . request room back . lot noise room include rush water bathroom . idea ! 
 Apr 20 2009 	 great location 	 Excellent location ny . large room , comfortable bed . great personal service breakfast include . Wine & amp ; cheese wonderful idea provide well - earn break foot ! would recomend traveller . 
 Apr 17 2009 	 Terrific Value 	 Elysee wonderful hotel . intimate , european style . excellent staff . great breakfast room . comfortable large ( New York ) room . ( bed little soft , ' m tell room firm bed . ) modest price . great value . excellent location we : moma theater district . 
 Apr 14 2009 	 Cozy boutique hotel perfect location . 	 spend one night child , aged 10 + . staff helpful , friendly efficient . two room 4th floor face 54th street , large lovely . tlove easy accesibility street ( long elevator wait like large hotel . ) continental breakfast delicious plentiful . enjoy return long day , 2nd floor club lounge relax tea cookie classical music watch people walk 54th street . location wonderful ... easy walk Central Park , MAdison Ave shopping , MOMA , Rockefeller Center . numerous terrific eating option step away , elegant dine awesome street vendor take buffet corner . definitely return ! seem many european guest , interesting child hear . not see small child . although child perfectly comfortable make feel welcome , would not feel comfortable bring small noisy child , seem mostly adult guest . 
 Apr 14 2009 	 Perfect stay ! 	 recommend hotel friend live NYC book hotel final night holiday USA , spend week DC see sight tired sore arrive Elysee Thursday train journey DC . check overjoyed upgrade Suite 15th Floor , email ahead tell hotel celebrate anniversary trip imagine kind enough upgrade we .. much appreciated make stay even perfect . beautiful suite big house UK ! complaint us accommodation . spotlessly clean excellent condition . staff professional courteous communal area clean well keep . lounge 2nd Floor well appoint comfortable good place relax unwind paper enjoy lovely coffee biscuit available day . breakfast equally good plentiful . wine cheese evening lovely fresh , nibble etc . nice touch good way spend time hotel without stay room , although suite want spend whole evening ! would definitely recommend term service , staff , amenity location would love stay ( hopefully ) visit city another holiday . refreshing change large chain hotel . get marry could not afford honeymoon abroad , trip place , stay Elysee perfect way spend last night give we memory never forget . thank . 
 Apr 9 2009 	 lovely little hotel ..... 	 get back four night stay Elysee teen daughter . perfectly lovely street side king room . little noisy bring earplug otherwise ..... big enough comfortable . put four cleanliness : sheet hair arrive someone clip black hair ..... ask change do immediately .... little doubt head housekeeper not appreciate ..... keep repeat ... & quot ; clean & quot ; cover hair clipping ! also , room little dusty .... lamp alarm clock ... thing not work .... alarm ipod dock button phone . I try try call front desk button phone tell later & quot ; 0 & quot ; button work ! would nice know begin ! service front desk great attentive helpful . complaint ... professional too . the breakfast great service also , perfect friendly . wine cheese lovely too . have computer helpful handy . the location great safe . all , good value . 
 Apr 6 2009 	 Great Value 	 recently stay Hotel Elysee first time , pleasantly surprised . welcome check warm , room ready , nicely equipped , surprise breakfast include . great location , well . I would definitely stay . 
 Apr 6 2009 	 Excellent service ideal location 	 husband stay March 18 - 22 base review , find suit we perfectly . be easy walk shop 5th Avenue , Central Park , Theater District , Rockefeller Center . long distance , subway around corner . the staff provide exemplary service around . particularly want highlight effort breakfast staff - always gracious , remarkably efficient . continuously replenish buffet fresh fruit salad , yogurt , hot- cold cereal , pastry , bagel , juice , coffee tea . ask , girl bring espresso toast bagel visit guest read Times USA Today . we quiet room 6th floor . view speak , spacious ( NYC ) sparkle clean . king bed 's mattress bed comfortable . I can not imagine stay elsewhere next visit . 
 Apr 5 2009 	 pretty happy overall 	 stay week March . ' m bit fed pay top - dollar big - brand hotel not offer much return , thought would try something like boutique . the location good , mid - town meeting within block . staff welcome arrival sufficiently organize lose presentation deliver hotel , relief . 10th floor . one lift week must spring break hotel quite busy peak time wait lift occasionally pretty long . room pleasant surprise term size : something approach junior suite , separate dressing room decent sized bedroom . bathroom however bite date appearance pretty small . wireless LAN available free throughout hotel decide ' must ' hotel visit , resent pay hundred dollar per night room ask pay another $ 20 WiFi . starbuck nothing , hotel , right ? main issue hotel noise : guess overlook 54th St every morning around 5:30 6:00am traffic noise horrendous , truck sound horn etc etc . like lay late morning , ask room somewhere quiet not stay here . the hotel not really gear business traveller : breakfast serve lounge first floor , fine except include price ( plus ) , really possible breakfast meeting hotel . try one morning doorman pretty much try turn colleague away ! 
 Mar 30 2009 	 Midtown perfection ! 	 husband stay Elysee 3/19 - 3/23 . fabulous room 11th floor back side hotel , fine much quieter have face 54th Street . even jokingly call & quot ; Partial Park Avenue View & quot ; . stay Elysee nothing short spectacular . staff always friendly helpful , 2nd floor lounge serve fantastic breakfast morning ( go early , be zoo 9:30 ) delightful wine cheese evening . afternoon , lounge great spot people - watch window , enjoy coffee cupcake Crumbs . room nicely appoint , large shower ample water pressure much appreciate long day sight - see . regret Monkey Bar yet reopen . husband NYC often business , try stay Elysee whenever . know come next , will not stay anywhere else ! 
