Great 	 great hotel . stay room 609 spacious . friendly staff , large room easy access central london ( 25mins tube ) . room hotel could facelift , comfort quality would stay . get good price online book early . stay many London hotel cramp room rude staff professional place 
 stay room food awful ! ! ! ! 	 partner stayed weekend go think hotel nice . room need date , old fashioned furniture style . first be not bother went breakfast food terrible . scramble egg runny , veggy option good good choice food could get . tea coffee cold fruit fresh ! ! ! ! would recomme stay ! ! ! 
 Sep 28 2004 	 get suite ! 	 check quickly helpful staff . unfortunately legibility room number departure date attach key meant return desk re - confirm . date departure look decidedly like 25 26 , despite several assurance desk staff glad find door key still work evening 25th . the room adequate size issue maintenance room . lavatory flush handle hang precariously wall obviously time . back remote control miss keep battery press make work . know thing result misuse previous guest obvious defect sort out . our travel companion junior suite much well value . view across London balcony impressive . I disappoint rather petty £ 2.50 additional charge pool leisure facility . would liked comment well fail mention time book restrict opening hour weekenddon ' get wrong , hotel ' bad certainly stay bad hotel London ( much bad ! ) . shop around weekend discount – pay full price feel short change . get suite , ' well worth extra . 
 Sep 9 2004 	 Excellent hotel peaceful area water . 	 sister stay hotel four day stay London pleased choice . get excellent deal internet include breakfast ( suppose Continental able full english breakfast every morning breakfast buffet , nice dining room right next water ) . room comfortable plenty storage , air conditioning work ! nice , private view water . twin bed narrower use Canada , adequate . tea coffee service provide room . bathroom large jacuzzi tub bidet ( anyone actually use ? ) .The location perfect we . quiet peaceful - loud traffic noise . short walk South Quay Station Docklands Light Railway , Canary Wharf underground station short walk along pedestrian walkway , water , behind hotel . take we Jubilee shopping area Jubilee Underground line excellent , modern , clean , easy access . if look hotel right middle tourist attraction , not , want excellent quality peaceful area , easy access underground , highly recommend Britannia International Docklands 
 Sep 6 2004 	 4 star ! 	 really 4 star hotel . stay night 27 Aug . unable get executive room , despite 3 key change concierge & quot ; thumped & quot ; lock ! room shabby , bathroom poor towel dingy coloured ( grey ) oppsoe true colour white . bin contain wrapper one two pack allot biscuit . fridge newspaper . hallway need clean hotel staff must learn DISTURB mean exactly ! view location excellent worth 5 star . 
 Aug 27 2004 	 definitely four star hotel 	 greatly disappointed brief stay Britannia International Hotel . visit London business pleasure , glad stay Britannia International one night . absolutely complaint local Docklands area . great variety cafe , shop entertainment local area . dockland view relax prestigious city building block remind New York Boston skyscraper . location conveniently locate near Canary Wharf train station link Tower Bridge ' underground station . short space time travel directly Houses Parliament Big Ben , Tower London Buckingham Palace . manage fit whirlwind tour London two hour ! good idea buy all - day travel pass local train , underground bus , buy train station £ 4.70 . hotel offering tour £ 16 , make big saving . the hotel hand bit let . standard service room poor level ever experience " four star hotel " . hotel three star hotel good , contain number restaurant swimming pool . reception staff rude unfriendly , plus good english skill . order breakfast bed , price state room service menu end cost £ 21 ! person bring meal unfriendly , speak little English stand middle room yet dress properly . furthermore , clean try enter room 9 am ( we like slight lie - in ! ) . breakfast exciting consist croissant , two small roll , toast standard cornflake , fresh orange . go buffet restaurant eat good value money , great standard food . room fine , starting become little shabby . mirror bathroom start discolour , lamp verge go bin , bed sheet old - fashioned ' keen shower curtain hotel . however , good point hotel . good part hotel view . decide hold business meeting lounge overlook dock , civilised relaxed setting . furthermore , ' complaint room view , look water even partially show Millennium Dome . I would recommend stay hotel holiday break . it ok one night , ' look somewhere else Docklands area next time visit . 
 Aug 21 2004 	 one Star Service Four Star Price 
 Aug 13 2004 	 absolutely brilliant 
 Jun 17 2004 	 Fab Hotel Fab location ! 
 Apr 11 2004 	 perhaps good Britannia hotel 
 Feb 23 2004 	 charming O.K . get bargain 
 Feb 11 2004 	 love Docklands 
 Jan 20 2004 	 lovely stay ! 
 Dec 10 2003 	 Good Service 
 Nov 25 2003 	 good space get little worn 
 Nov 24 2003 	 totally relax 
 Nov 16 2009 	 calidad precio muy bueno 
 Nov 10 2009 	 increíble ... 
 Jul 3 2009 	 Gutes Hotel einer Randlage 
 May 18 2009 	 Ottimo hotel 
 Jan 30 2009 	 Davvero fantastico ! 
 Dec 17 2008 	 Confort moyen et service déplorable 
 Oct 18 2008 	 très déçu 
 Jul 21 2008 	 Confortable et bien desservi 
 Jul 20 2008 	 hotel de qualite 
 May 12 2008 	 Bon hôtel dan quarti tranquille 
 May 7 2008 	 una delusione 
 Jul 14 2006 	 Ottimo hotel con tariffe vantaggiose nel week - end 
