Bedbugs 	 wake red welt back . move new room offer free breakfast . ! never experience sincerely hope never happen . 
 great location . fine room . 	 location 45th & amp ; Madison great need get Grand Central ' ve never nyc want relatively close thing . usually prefer stay west side get room tue . Thanksgiving Week excellent price use PriceLine . NYC hotel room small exception ( chair desk touch bed tuck desk ) bed excellent . be flat screen tv bathroom / shower etc . fine . really short closet space much room store anything 2 carry sized bag , , be NYC space premium . a / c work fine we unlike reviewer hotel quiet . bar busy bartender seem bit grumbly first warm . would definitely stay , especially priceline.com room rate . unless be look luxurious big room spend lot time , fine . 
 Family Fun 	 great hotel locate great area nice view nice clean hotel 
 Great want stay @ Midtown 	 hotel can not well locate NYC : 100 mts 5 Av 200 central Station , go walk Broadway central Park ! service great , arrive room three already book pay want give we smoking room 1 bed room three .... talk time give we pay ! room comfortable clean . come back NYC will not stay @ midtown .... would go back roosevelt price benefit value . 
 be look reasonably clean hotel experience . 	 although read bad review Roosevelt , thought would give try consider location think reasonable deal time Priceline . my room terrible . entrance lobby look decent enough , room small extremely dirty . curtain moldy , , shower curtain , drape room ! ' m surprised room stuffy humid . thermostat , ancient wall fan & quot ; cool & quot ; & quot ; warm & quot ; option , way , loud . also , mirror hang bathroom door cover greasy white spot ( still idea ) ... disgusting ! kind cleaning staff not wipe mirror ? carpet wear dirty bathroom smell dank . tub old deep scratch across surface . bad , bed smell like urine ... exaggerate . top thing , something room aggravate allergy sneeze sniffle night . mention view , lack thereof ? good thing place location . thought get good deal Priceline , would stay even someone pay . frankly , expect 3.5 star hotel . would not mind small room paper thin wall , especially old hotel , management make effort make room reasonably clean ... 
 quality vrs price would give F F F F 	 use concierge broadway ticket . charge double price . comp anything . room antiquate , analog tv , tiny , tiny bathroom . coffee room may purchase @ restaurant $ 4.50 cup . never stay . a / c unsat , hole carpet . lobby location great.jerryenmon @ yahoo.com 
 Aug 28 2009 	 pretty darn good money 	 ok , admit get hotel successful Priceline bid , joy pay $ 125 night midtown hotel may give rosy outlook would ordinarily . , can not understand virtriol aim place many reviewer . fine . really , totally fine . check early , ask quiet room 2 double bed request grant . room standard size , clean hotel generally , nicely finish . & quot ; quiet & quot ; room turn one lovely overlook building 's HVAC plant , ' infinitely well listen honking taxi 3 a.m . keep fan full blast hear noise nearby room , although hotel fully book . room show minor sign wear , like small stain wallpaper askew light fixture . flaw noticeable bathroom , mold grout porcelain tub wear . come on , ? not little mold bathroom ? hotel quite full staff busy , efficient helpful time . lobby , other mention , fabulous : over - the - top purple green extravaganza keep hopefully look Myrna Loy . not eat hotel restaurant , order room service use exercise room touriste day , can not give opinion , morning coffee bar good pricier Starbucks . , would hesitation booking . could lot bad NYC . 
 Aug 28 2009 	 Good Location charming public area ( bar / lobby ) bore drab room 	 book expedia get room end floor , far elevator . view horrible ( back alley , roof courtyard , industrial ) . request change room unable wedding party . room large expect bed comfortable . bathroom tiny , 12 in 5 in counter space . tub not dirty not feel clean . bathroom old . try make room look regal fall short well describe drab . suppose worth be plan sleep bed . frill , luxury not expect . public area bar lobby lively charming . the location good , close shopping . however hotel ooze hospitality . frequent international traveler , feel welcome secure stay . happy leave otherwise fun city . 
 Aug 28 2009 	 Location location location ! ! 	 perfect location ! ! actually two three block every like go ! always go back New York ! 
 Aug 27 2009 	 nice location staff friendly helpful however bed room perfect . 	 NYC cousin 's wedding- Aug 14 - 17 . wedding reception Grand Ballroom , gorgeous . food great . check 7:45pm Friday , Aug 14 , room ready wait 45 minute . check - in staff give we drink voucher party offset wait . finally get room , disappointed one folk stay ( 1235 ) uncomfortably small bed ( double bed ) door 's deadbolt slider look secure . fact , could look hole door peephole look ! complain front desk , since hotel sell weekend would able get something else . bathroom decor , wallpaper peel wall . still would recommend hotel , overall experience positive due service receive . allow store luggage Monday hour , allow we opportunity go Grand Central Terminal ( close hotel ) , take subway hit Chinatown lunch shopping ! ! 
 Aug 26 2009 	 Great Deal Nice Hotel would stay ! 	 staff nice helpful . hotel room upgrate soon get . nice , clean room , quite spacious New York City . hotel offer store luggage since get check - in time . could not ask . location amazing . beautiful hotel . bed really comfortable . would definately stay ! 
 Aug 24 2009 	 could really nice place pity bathroom 	 1st impression great fantastic lobby ( not sleep ) upgrade big room ( 2 teenage girl ) ; room fairly big plenty room , however air con noisy bathroom shabby need complete overhaul even door not completely shut . not mind much sleep rather use live quarters.the drink bar expensive ( $ 15 2 beer ) bar staff misrable.the location good deli 's etc within 5 min time sq etc within 20 min walk . I would not say bad definitely need refurb . I would describe fault recommend . 
 Aug 24 2009 	 slow elevator 	 hotel great location clean . lobby area beautiful . room well - appoint huge king - size bed . problem slow elevator . be go meeting , give extra time take stair . 
 Aug 23 2009 	 Fantastic Hotel 	 check Roosevelt hotel Friday quickly go tour New York within short time . checkout equally quick . room nice bed comfortable . location across Grand Central easy access subway system walk Time Square . room always clean time return . nicely decorate lobby comfortable spacious staff quite helpful . 
 Aug 21 2009 	 eh ... 's pro con 	 recently stay wedding , family . list good part hotel first : -good Manhattan location - bed comfortable - hotel lobby gorgeous ! -beautiful place wedding reception - cater food ( reception ) delicious- good people watch lobby ! great stuff : -No free wifi . $ 15 per 24 hour . eatery street though.-Valet parking . ( ok , may consider & quot ; plus & quot ; , car full people stuff , pay parking tip driver also ... well , not . ) -food / drink expensive . budget , forget eat ! think $ 15 bowl oatmeal something like . $ 8 beer lounge.-regular room small . ( opportunity see suite , amazing ! ! ) 4 adult regular room 2 bed cramped.-one staff member rude.-we book room early May , double booked room , take hour find we new room . car 6 hour , pleasant . also say upgrade we large room , happen . give wrong room . right get settle , couple outside door , confused , say room . go back front desk figure mess out . so can not say would personally recommend hotel , unless big $ $ $ stay suite . however , would say awful either . reception hold absolutely beautiful . , expect exceptional stay , expect pay exceptional price ! 
 Aug 21 2009 	 Good Hotel ! Great Location ! ! ! stay ! 	 girl weekend NYC last weekend amazing ! stay Roosevelt find look . check lady confuse two girl share double bed , ( room 2 bed book .. ) happily upgrade we King Size . go room , could tell smoke allergy , historic hotel expect , one time could smoke everywhere Europe people still smoke everywhere ( gross deal ) . room clean , bathroom mildew tile ' really bother we bad , old hotel . room good size people travel thing , spend hour one afternoon chill watch tv , fine . close Grand Central , Time Square want go Meat Packing District Little Italy less $ 10 cab ride ! ! 
 Aug 19 2009 	 will not stay 	 stay Roosevelt Hotel 4 night recently . little thing , put together , add disappointment . like efficiency - expert not care customer satisfaction came tell could cut corner . go : ' m use free wi - fi hotel ... something like $ 15 / day -- maybe be expect hotel NYC ? not know . even , see couple buck , $ 15 day ? stain carpet ( milk ? ) bedspread ( ink ? ) ( huge deal guess , everything else great , high expectation ) .No coffee maker room -- can not remember last hotel not offer . room styrofoam cup instead glass -- styrofoam cup ? really ? coffee maker , would understand , want wine ? can not glass room ? lampshade not big enough cover energy - efficient flourescent light bulb , glare eyes- would turn ( dark ) .There ( believe ) 6 elevator , sound like lot , really not be talk many room . many day , long wait get elevator . ice machine break floor ( 6th ) , floor we ( 7th ) , work floor though -- take stair get . could understand stay low - price chain hotel , expect place bill & quot ; Grand Dame Madison Ave . & quot ; 
 Aug 18 2009 	 Nice hotel nice price 	 great value little way . room clean service good . negative doorman try stear we gypsy cab benefit . 
 Aug 17 2009 	 good time 	 hotel well keep . staff helpful whole stay . convenient location near wanted see . room clean essential . taxi service form hotel reasonable cost . great stay New York part good Hotel . 
 Aug 17 2009 	 Great Location NYC 	 stayed really enjoy it . service good location perfect get around NYC . ny couple time prior stay place Midtown would rate one good lot . our room small side hey NYC spend alot time room anyway ? ? friend also stay twin room 2 x double bed room big ... we drink crowd ! worth pay comparison expensive hotel area ... 
 Aug 16 2009 	 AWESOME ! 	 room great ! everyone work nice . totally plan stay next time ' m city . 
 Aug 14 2009 	 great location 	 small cozy room w / king bed . bed comfy get long day walk ( pillow top bed ) . hotel centrally locate . ice machine not work floor always end go another floor get ice . AC work great . not hear outside noise . always plenty hot water morning take shower . concierge friendly helpful . disappointed . seem lazy . happy 
 Aug 13 2009 	 location good expensive bad 	 effort cut cost employer year , stay less expensive hotel possible choose Roosevelt week . assign Room 953 . check fast polite . long wait elevator seem couple service , nothing hand . room bit old tired look clean enough functional . location US $ 170 per night , feel bargain corporate rate . want eat hotel room ( appeal ) use room service save even money . use ethernet connection internet US $ 14.95 per day expensive . never need offer bellman doorman fine - location great . see popular tourist business people . fine happy . personal trip , would stay Grand Hyatt like well happy part cut business travel cost fine 4 night ny business room 7 till 9 10 pm everyday anyway . 
 Aug 12 2009 	 ` ` Great Location Exceptionally Poor Service '' 	 reservation pre - book company , schedule arrive early morning around 6 a.m. , long red eye flight San Francisco JFK . since know hotel honor early check - in , make sure e - mail reservation department one week arrival ensure would able grant early check - in , never receive reply . arrive property , tired , sweaty long walk grand central , hope checkin could freshen seminar another hotel . Guest Service Agent polite well , give weird look imply obviously early check - in , show e - mail send reservation department tell early check - in , say nothing could , would come back later . redirect bellman , helpful , show restroom could change seminar . arrive later afternoon , check back , reservation call & quot ; cozy & quot ; queen , not think go sooo cozy . room directly across elevator , could hear every possible noise want . reservation small , jump bath tub , close door , , would way . go front desk , ask move another room , another gentleman , helpful , say entire property sell , would not able anything , ask , could move end hall , place someone else room , said & quot ; & quot ; .checke another experience , walk elevator , three housekeeper walk room without acknowledement , something simple & quot ; good morning & quot ; Bellstaff helpful , helpful front desk . would never stay hotel . 
 Aug 10 2009 	 Tired Noisy 	 Read mixed review choose book one ' approve ' list firm . mistake ! lobby , bar , food area fine . room , however , tired , smell smoke , old ( bathroom patina special aged look 40 year use give ) noisy . aircon unit sound like explode paper thin wall could hear argument side , good stay . internet connection room , front desk claim computer problem . true , use mac itouch could see error wireless setup . avoid . hotel room need major refit . oh , fitness centre OKish - small , seem quiet . 
 Aug 9 2009 	 not bother ! 	 unless get suite , will enough room 2 people ! safe not work , bobypin stick gross carpet room beyond small ! pay & quot ; small & quot ; price upgrade , get 2 bathroom suite definately workable ! luxurious workable ! talk bellman ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Aug 9 2009 	 nice lobby ... good location .. room bit tatty / old 	 lovely lobby .. great location ... look huge ! ! load floors- typical hotel film sort thing .. room tidy , clean enough sense many people sleep room loli can not complain though- trip free .. freeee say- week New York- flight include can not comment price .... not fool think Hotel amazing .. 
 Aug 8 2009 	 Nothing Rosy Roosevelt Hotel 	 check - in 3 pm arrive 6 pm room ready still clean . give complimentary drink bar serve great martini ! room ready two half hour later ! luggage never deliver room call follow - up 11:30 pm finally deliver ! ! ask porter happen , idea come night shift . bathroom bedroom small well budget hotel . bathroom door warp close , cold hot water bathtub must switch work properly , glass shelf mirror break , mold along rim tub sink , fan break . time pressure toilet low flush . update bedroom flat screen tv energy save light bulb . dresser drawer break , bedside lamp look like cigarette burn lamp shade , air conditioner unit loud , comforter duvet cover , paint hang advertised website photo two screw expose . nothing & quot ; luxurious & quot ; hotel whatsoever disappointing . 
