elegant 	 always want stay , use Park Hyatt . great location away Market St ( 8 min walk ) , close Hyatt Regency meeting location ( 5 min walk ) . hotel anchor western end Embarcadero Center Shopping tower - unfortunately many empty / closed store . still , close great restaurant North Beach & amp ; Embarcadero / Market ( one market , Slated Door , Kokkari ) . hotel sleek modern feel one enter lobby / bar area . fitness room compact well equip . firm comfortable bed w / high quality linen ( pillow soft taste ) . lot good lighting reading & amp ; work . flat screen tv add feature easy access medium outlet use iPods , video etc - useful ! noisy due siren firehouse station 1 block away , would gladly stay . 
 fantastic location easy access cable car BART walk distance Union Square 	 upgrade we Executive King Studio Suite . amenity great ... IPOD dock station room . literally across stree Embarcadero Shopping Centre . 3 block Union Square . 2 block trolley . would stay million time . staff quick serve . downfall : guy check we tad bit rude . 
 Apr 30 2009 	 Great Value 	 go Christmas . great view bay bridge . wonderful access everything . walk distance trolley . short walk financial district union square . short walk bart muni take anywhere - even airport - fast drive taxi . large comfortable room & amp ; bed . room service food good quick . friendly knowledgeable staff - however , recommend $ 125 per meal /per person restraunt ( aqua ) without check see budget - quite surprised get . good reasonable place area ( try Tadisch ) . 
 Apr 29 2009 	 one good vacation ever . 	 room great excellent view city . staff hotel second none . recomendation make family right money . really make we feel like part family . hope visit soon . 
 Apr 28 2009 	 awesome view great location .... 	 third stay LeMeridien . enjoy view room , ( time different ) location . walk distance Union Square , China Town Pier 39 . restaurant third floor great food service . room service exceptional . special diet request chicken soup receive problem . enjoy follow call room service well . front counter service happy professional . room always clean . need something call front desk deliver promptly . also enjoy lounge area lobby hour find freindly , invite confortable , especially walk day long around city . I foudn overall staff helpful , friendly , prefessional genuinly concerned stay good one . thank , back . 
 Apr 28 2009 	 good staff customer service ! ! ! 	 recently stay beautiful hotel ! time enter door impressed warmth , professionalism friendliness staff . our room immaculate , room service prompt food hot ! dining experience good ever 5 star restaurant , compliment chef . overall , far good stay ever hotel ! thank ! Joyce Ann 
 Apr 28 2009 	 Beautiful Hotel 	 great room . excellent food . nice service . breakfast room , lunch restaurant , cocktail dinner bar . really enjoyable experience . 
 Apr 28 2009 	 Getaway Relax 	 need break choose Le Merdien San Francisco . great choice friendly staff , good food great location City . even red phone ring directly GM ANSWERED , though call thank stay . 
 Apr 26 2009 	 Liked hotel overall staff ok check - in staff need improvement 	 great location , nice room ... even get terrific deal thru SPG website . overall staff helpful courteous staff reception terrible check - in time . seem may bother fact get nice room relatively low price . outright rude unpleasant . regardless , would recommend hotel get nice deal . could pricey ... afford , go . 
 Apr 26 2009 	 highly recommend 	 great find , see recommend Trip Advisor book . well locate staff friendly - room ( 707 ) nice spacious . within walking distance union square ( shopping district ) china town fisherman wharf . good meal try Elephant Castle across road . great wine menu ( cheap ( ) good food 
 Apr 21 2009 	 perfect hotel unwind 	 book thru Expedia less $ 83 night include tax ( lady check - in desk remark low rate ever see hotel ) . arrive 1:30 ( 90 minute check time ) not problem upgrade bay view room 20th floor , could helpful friendly - real credit . concierge varied people - person skill rest staff excellent , 5 year old banged head bannister lobby within minute 2 ice pack , glass chill water box tissue arrive - impressive . Le Meridien week - end financial district area quiet , not problem unless need coffee shop 6 pm . view excellent , fitness room adequate not pool , exceptional value would recommend without hesiation . 
 Apr 19 2009 	 Perfect hotel financial center San Francisco 	 Excellent location business meeting financial center . the hotel also walk distance Union Square Chinatown . breakfast restaurant third floor good . short trip use much facility hotel . manage get great rate online recession . $ 130 . beat bet . 
 Apr 17 2009 	 nice hotel 	 stay Le Meridian two night . hotel top notch . immaculately clean , modern room , staff incredibly friendly . get room 21st floor wonderful view Bay Bridge water . give complimentary bath robe stay , really nice touch . bed comfortable bed ever sleep . thing hotel location . 's financial district bit walk get Union Square Fisherman 's Wharf . enough energy really walk around city , be really big . would definitely recommend visit San Francisco . 
 Apr 15 2009 	 good central location nice hotel 	 stay 3 day weekend San Francisco , comfortable stay . room nice size , modern decor . hotel locate business district area , still close enough main attraction , within walk distance fabulous farmer market weekend . lobby small , nice restaurant breakfast 2nd level . little limited restaurant choice nearby , especially breakfast , close walk popular BOULEVARD restaurant . book great weekend rate online think great value hotel SF . 
 Apr 15 2009 	 Decent Hotel - location great tourist / shopper 	 overall good hotel , clean room , helpful staff etc etc . issue locate financial district bit walk main shopping area . good feature probably bed ... probably comfortable ' ve sleep 
 Apr 9 2009 	 Great Hotel - not put location 	 stay four night husband - use part starwood point / part cash good deal . put fact ' business hotel ' financial district . be actually good location ( couple block Ferry Building Embarcadero ) , adjacent excellent transport link , quiet great restaurant near vicinity . staff extremely helpful , room large size bed fabulously comfortable . not eat simply take free coffee / tea offer every morning go breakfast one many cafe near . decent sized gym free internet access ( include printing ) guest . do hire bike SF - extremely bike - friendly city ( apart hill ! ) hotel happy we take bike room overnight . hire ' Bike Roll ' rather ' Blazing Saddles ' ( bike badly maintain simply well dint fact concession Fisherman 's Wharf stop pass tourist ) . go ' Bike Roll ' location corner Columbus Lombard incredibly helpful ( especially Raoul ) totally painless rental . all would recommend Meridien - overly - plush fancy want hotel major city ie comfortable clean , welcoming , well maintain , helpful staff good non - touristy location . 
 Apr 8 2009 	 Review room charge carefully 	 Zero star hotel 's bookkeeping ability , three star accommodation . the hotel 's downtown location short walk away ferry build close BART station . room basic clean , though would nice bathroom electrical outlet . might stay hotel billing error experience . we book hotel Hotwire ( pre - pay full ) . check review incidental charge , notice erroneous restaurant charge $ 95 bill . not visit restaurant stay . notify front desk charge incorrect , assure we twice charge would remove . the charge not remove . day later , $ 95 charge appear credit card , along $ 400 additional charge not appear check - out statement . number phone call determine charge , hotel explained not realize pre - pay stay Hotwire , essentially charge we twice stay . ' m still wait charge reverse credit card . 
 Apr 7 2009 	 Disappointed 	 's way celebration weekend turn really awful ! enjoy every minute Le Meridien hotel San Francisco . room nice - great view etc . service good . get home notice leave shirt hang closet . call ask talk lose find speak woman tell nothing find . speak several time nope mention must misplace . forgot put etc etc . would forget put shirt ? word . not come back shirt mean alot unfortunately think ' m lose it . well recommend stay unfortunately . stay make sure walk away everything forget anything else be go tell misplace . huh , yeah rgith ! 
 Apr 2 2009 	 Nice hotel / room staff friendly . 	 first , far location , go San Fran trip see tourist part probably hotel . ( would recommend stay Wharf . ) parking extremely overprice staff pushy sell parking . room beautiful comfortable . get chance use amenity offer , sure wonderful . hotel clean downtown . 
 Apr 2 2009 	 wonderful stay 	 even hotel place business - area , near che commercial part city quiet.we love . 
 Apr 1 2009 	 comfortable hotel - GREAT stay ! 	 greatly enjoy stay Le Meridien . hotel extremely comfortable terrific service , especially entire concierge staff . free internet use printer business center add bonus ! starbucks cinema directly across street , Walgreens block away . hotel within 1/2 - mile major tourist area fabulous restaurant ( try E & amp ; Trading Company ! ) . cab walk thing , perhaps stay another hotel close action . otherwise , can not go wrong Le Meridien . 
