great 	 always pleased stay intercontinental hotel . Chicago especially pleasant helpful staff . 
 Jul 17 2009 	 Location luxury service .... Intercontinental nail ! 	 stay wife brother fiance ( propose ) Intercontinental July 2009 . ' ve read somewhat critical review place , wonderful time . will give thought : PROS : - location - location really perfect downtown Chicago experience . hotel locate Michigan Ave . , 100 yard north Chicago River . 's smack dab right middle Magnificient Mile . could walk every place want go , could hop train get fling locations.- Hotel - Intercontinental well - appoint , high - end , yet comfortable . room flat - screen hdtv ( 2 hd channel ) , comforter pillow , bathroom modern quality toiletry . design room also modern , yet comfortable . obligitory $ 8 bottle water basket $ 6 candy bar . actually buy ? - service - serviece hotel great . check little early , we room 2 double bed . ask king , tell we unfortunatley not one ready , take number would call ready . go lunch , within hour give call tell ready . throughout rest stay , everyone front desk staff bell staff consierge nothing friendly professional , without big - city snobbery.- Ammenities - nice look wine , cheese chocolate specialty restaurant hotel not use , in - hotel bar nice . addition , Starbucks hotel , nice way get light , cheap breakfast , thereby avoid high - cost breakfast . con : - Fitness Center - complaint fitness center like $ 25 day use hotel guest , fitness center ok hotel gym , even par much day . pool free hotel guest , recommend everyone take look ( look like pool frozen time 1920 's ) , swimming lap , unless pretty hardcore swimmer , pool you . all , absolutely wonderful time intercontinental , go back chance . 
 Jul 15 2009 	 Great Property ! 	 room well appoint plenty room . located heart downtown Chicago , Intercontinental make get around easy . excellent restaurant hotel close nightlife . staff courteous be healthy lifestyle , fitness center pool incredible hotel . gym ' ve less equipment . pool awesome ! 
 Jul 14 2009 	 great experience 	 really enjoy stay Intercontinental hotel . room spacious , super clean bed super comfortable . location excellent , close shop close enough Navy Pier walk . starbuck attach lobby area great grab coffee quick breakfast . hope stay next trip Chicago ! ! 
 Jul 13 2009 	 Perfect Location ; Imperfect Customer Service 	 hotel perfect location shop dining choice . room nice comfortable special . small side towel see well day . stay marred imperfect customer service . front desk staff need well training consistenlty communicating procedure business traveller . colleague experience persistent following know standard business practice business travel , checkout would extremely tiresome . say trip non - business travel , review would positive . 
 Jul 12 2009 	 Fantastic ! ! 	 absolutely huge hotel , big comfortable room great location . the pool great . 
 Jul 12 2009 	 Waaaay 's league 	 Fiancee stay recently ( Jun/09 ) check apartment South loop area bit romantic r - and - R. ( not quite we latter purpose ) . Booked Hotwire ( maybe mistake ) , rate 4.5 star ( wish BS detector ) . upon arrival , discover one parking option exist ... valet , run $ 53 per day . ok , fine . , check - in , lady tell we room get great spectacular view ... lie . come find , room musty smell , wear - look ( not mean decor ) dark . serious need remodeling / redecorate , least room . & quot ; spectacular view & quot ; , one small window corner partial view Chicago River Michigan Ave ; joke . discover hot water fixture sink break . call report ; could offer would send someone take look ... offer room change , voucher , nada , even thank report . noise hallway room door open / close apparent annoying . Felt bit like cruise ship , nickel - and - dime approach amenity seem modus operandi hotel ( follow trend big - chain hotel industry would seem ) ; $ 12.95 / day wireless , example . even though book Hotwire ( somewhat deal , relatively speak ) , base observe experience , hotel deserve rate high 3.5 ( 4 maybe , be stretch ) even price pay ( $ 200 ) . , service & quot ; okay & quot ; , nothing special . hotel tier really need take extra step make want return least attempt provide memorable stay . regard , Intercontinental fall flat way league ... simply offer nothing make , stay , stand . take together above - mention demerit , would recommend seriously consider stay elsewhere . prospective traveler ( hotel , matter ) ( ) much well , especially area price range . ' m somewhat disappointed Hotwire well ... ' ve good luck past , never quite far off - the - mark term rate overall value . 
 Jul 9 2009 	 great hotelgreat location . way experience Chicago 	 stay 10 - 15 hotel North Michigan Ave . area , Intercontinental favorite . location ideal hotel perfect size : large enough overwhelming . staff polite , friendly helpful . will back . 
 Jul 8 2009 	 charge everything ! ! ! worth money 	 wow ! ! ! surprised hotel . first time stay last time ! ! ! Nickle Dime every occasion . first check girl nice miss basic . manage tell self find preference offer sell package ! ! want room book pay advance . get room old half view nothing ! ! ! next day go breakfast extra ! ! ! never stay ! ! ! 
 Jul 6 2009 	 Intercontinental Chicago : 	 wife , 13 year old stay hotel 5 night . stay new wing . enjoy . staff courteous food bar good . hotel south end magnificent mile , near everything . ice machine 7th floor use mini bar fridge store cold drink . hotel wonderful 1920 & quot ; indoor pool use . 
 Jul 6 2009 	 nice wonderful . internet include . 	 reach point society internet expect . hotel charge $ 6.95 hour use internet . pay $ 260 night stay hotel , expect internet include . date , price - gouging policy . 1995 Intercontinental AOL ! hotel comfortable , room clean . pool pretty , old , lot rust dirt tile . fitness center nice . service slow . 
 Jul 1 2009 	 Nice room 	 stay sister last year . room beautiful location great go stay Michigan Avenue . parking challenge . 
 Jun 29 2009 	 top notch location spotty service 	 first , Intercontinental Chicago could not better location hotel absolute gem ; especially pool . stay tower room beautifully appoint relatively large city hotel room . read history hotel , would highly recommend explore hotel interest early 20th century architecture design . say , two experience stunningly awful totally unacceptable 4 - 5 star hotel . first incident occur check . take 1.5 hour get bag room . worse still , call front desk 30 minute tell bag would right . place hold , presumably find delay , tell front desk bag , & quot ; way up . & quot ; hour wait call tell exact thing ( i.e . & quot ; way & quot ; ) . finally , hour half wait go lobby demand bag . front desk person check literally go , & quot ; remember . check ago . & quot ; understand sometimes bellman get back not lie leave sitting room hour half twiddle finger . the second incident occur final night stay . friend drop us dinner want invite give gift bring . valet front front desk insist friend would need pay $ 53 parking fee leave car front 15 minute . finally someone offer watch friend car minute find entire situation totally embarrass absolutely absurd ! 
 Jun 29 2009 	 Historic Hotel flaw 	 friend & amp ; get great rate Intercontinental Chicago Hotwire ( $ 107 ) Thursday night stay . hotwire not guarantee bedding preference , call hotel directly day ahead time confirm reservation & amp ; request room 2 bed . tell problem & amp ; request . oops ! checked tell King room reserve . explain front desk woman put request 2 bed day prior - one informed note reservation request . : ( go tell double room available whole hotel ( really ? ) - would King Room ok ? um ... guess , right ? not mean , not even apologize mixup . tell would take King Room choice , let know & quot ; give we upgrade & quot ; would make arrangement roll - away bring charge . nice guess , wish would not bit friendly . room ( room 2703 ) big enough we , find bit odd bathroom not fan . also seem heat lamp bathroom - cause room get awful hot . air conditioning whole time ( set low would go - 65 degree ) , never get 72 . horrible , quite humid 72 feel warm it . all - in - all think get great deal pay . location wonderful hotel beautiful ! 
