Welcoming 	 reception staff welcome helpful even late hour night . hotel nice , well locate . room basic , bit small basic furniture . bathroom however really nice multiple amenity . breakfast week end really good , weekday however limited choice always ask staff hot food . the negative comment hour opening bar . close 11 pm Sunday . 
 Jan 3 2006 	 bad Hotel experience ever . beware 	 travel globe business / pleasure largely without incident . make reservation Trafalgar friend recommendation . arrive Trafalgar 3 night stay whilst business London . find check - in desk ( obvious ) girl look say & quot ; not think stay tonight . & quot ; . repeatedly ask problem show reservation , would say wait manager . the manager arrive 15 minute . meanwhile stand luggage bar / reception area . finally arrive agree reservation , say mistake would stay another Hilton mile away . offer pay taxi fare . transfer Waldorf Hilton . disgrace . show 4 room , horrible . leave go Metropolitan . never ever stay Hilton Hotel . beware confirm reservation meaningless . 
 Jan 3 2006 	 Regular 's view Trafalgar 	 Hotel : hard find -even cop foot beat could not find ! Kudos hotel honor public space stay traditional ( noncommercial ) outside . super minimalistic atmosphere . newspaper free lobby daily . location though A++ ... high rent area sure . room : bathroom modern design , shower bathtub . toiletry nice . tv come DVD player , rent video nearby affordable price . tv adequate channel selection , could well consider price hotel . bed high threadcount mattress soft . room big London standard . wall need insulated , hear neighbor clearer desire . could not understand everyword neighbor say , know talk . double pane window keep ( ) noise street . stay square side could still sleep . stay low floor , bass DJ music percolate room . drape well average job keep light room . food : expensive american standard . breakfast $ $ $ . Tapas serve restaraunt & amp ; set back $ 100 per person dinner ( wine either ! ) . bar classy modern DJ play house music . two type beer offer though . Rooftop lounge urgent need updating , must least stay . minibar expensive - go Tesco street instead . service : use dry cleaning , quick good job return clothe zipper liner . staff downstairs nice & amp ; helpful , although hotel hire Eastern Europeans learn english yet understand 4 - 5 star hotel really stand . variety magazine come room , maid throw personal magazine update monthly periodical ! price : expect pay 15 % hotel versus other . since rent car London , perhaps money use room . stay hotel numerous time , riff - raff non - existent . elderly / traditional , stay Leicester Square hotel instead ! 
 Dec 16 2005 	 Showplace Fabulous Beware 	 book four night Hilton Honors point . room roughly 300gbp night get free wonderful . bed , room , bathroom bath product superb . Hilton Gold member , give free continental breakfast everyday ( 15GBP ) lieu room upgrade full . breakfast GREAT would pay it . the location - right Trafalgar Square -- perfect center London ! staff friendly , especially fellow door . lobby lobby bar . one night private event feel awkward pass curtained area . always music Londoners stop . great people watch typical lobby atmosphere . price mini - bar , drink extras high careful . walk two block Tesco purchase beverage , water snack room . the warning : wall thin soundproofing . would noisy neighbor review would totally different . one night , fellow room next door meeting business associate . every word come wall clearly . thrilled heard & quot ; see morning ... & quot ; meet over . the music bar filter ever slightly -- third floor . sensitive noise , ask high floor . I think will try Hiltons London next time . trendy , happen atmosphere , one try . 
 Dec 15 2005 	 Great Hotel / Organisation 	 Great Hotel fanatastic location . still think great hotel like Hilton . stay 2 year ago fantastic . 's dissapointe due staff . provide average poor service fantastic hotel . frustrating . take group 58 people hotel hear much feedback . Breakfast take forever , can not write experience would bored . hotel many staff one really charge one take responsibility . 's shame ! 
 Dec 9 2005 	 brilliant ! ! ! ! ! 	 husband book room via net , within minute mail we confirmation ! check - in 2 pm , arrive 9 am .... organise Rush clean next available room . during time go Harrods , phone we mobile 12 pm let we know room clean available ! without ask , already make aditional bed 5yr old daughter ! service incredible ! lovely room friendly accomodate staff . unique , funky lobby ! bank balance afford .... back . 
 Dec 9 2005 	 great location 	 stay Trafalgar visit daughter study London hotel two block classroom building . location can not beat . right Trafalgar Square , right across National Gallery , short walk theater restaurant . hotel little different worried reading review site . great time problem . staff friendly greet we name begin first day . room first floor even though bar close two night loud parivate party loud music - not hear thing room . one room free point nice sized . room pay standard room breakfast include much big . breakfast , include , ridiculously expensive , 2 we eat day . also tend make one trip table coffee - never refill , nice polite young staff . hot breakfast 40 GBP ! buy roll drink Tesco express 2 block away , & quot ; Pret & quot ; right next door coffee sandwich salad . bus stop right outside hotel , able lot walk . ate & quot ; Galileo & quot ; block away , reasonably price italian , pretty , lovely delicious food , play Haymarket , also block away . ate & quot ; W'San & quot ; , recommend hotel , first night , short walk , good , little pricey , nice . eat ( know ' m misspell ) & quot ; Hakassan & quot ; , also recommend hotel . family love , horrified price search menu something order reasonable , leave hungry sticker shock . guess 's suppose & quot ; fun & quot ; place . great choice hotel us location . problem twice young adult daughter hassle staff attempt enter hotel tell cover charge ( bar / lobby ) , not quick enough believe guest . , really great trip . 
 Nov 20 2005 	 Good Hotel Great Location 	 hotel obviously great location , although outside look like go bar . 's contemporary really get London vibe . the standard room nice extremely comfortable bed pillow . bathroom great good selection magazine room . breakfast room service expensive ( be Hilton ) live music time compensate . staff friendly , efficient . overall nice experience , even nice company pay . would stay , not like think slightly overprice good Hiltons . 
 Sep 16 2005 	 favourite hotel world ! 	 love place . 's beautiful room great ( spacious light ) . whenever need stay London night always get room . like clean , minimalist , modern design not want fork much money place you . I ' ve stay variety room ( suite , king , double ) excellent standard . bed comfortable . food ( Rockwells ) superb ( although quite expensive .... pay £ 170 meal two ! ) . service throughout hotel good . the gym great . machine new tastefully furnish ( like whole hotel ) . bar relax often find use even stay . location say . slap bang middle West End London . really wonder many people bother rubbish London hotel . even car park back get reduce rate £ 30 per day . 
 Sep 7 2005 	 Bizarre entrancebut great place stay 	 lobby large frequently noisy bar desk one corner entire check - in service area -- really weird ... however .. ultra modern room old hotel shell great . you look Trafalgar Square - a superb location - through absolutely noise proof TRIPLE glaze window . breakfast food general excellent , good feature hotel staff -- probably helpful , friendly , well train young people ' ve see hotel except possibly Broadmoor Colorado Springs . boutique gem Hilton crown . 
 Sep 1 2005 	 good 	 friend arrive end September , book two room one night , priceline . arrival , doorman take luggage we show we reception desk . far good . approach reception desk , rather somewhat confuse . seem badly lay , receptionist seem wear every day wear , rather uniform . tell one room book . think simple misunderstanding tell two room book . reply , & quot ; well , expect ? & quot ; .I livid , spend futher twenty minute arguing receptionist . seem insistent , one room available , eventually accpete twin room third floor . room nice . large nice bed modern decor . far go positive note . room service restaurant menu far bad Hilton stay . swim pool . business centre . hotel lobby mini nightclub . breakfast bad bed breakfast , yet overprice . memeber staff seem wear name badge . comment card room . housekeeping decide walk 7.30am without knock , even notice disturb sign , shape like jigsaw puzzle ; wonder pay attention sign . list endless , conclusion : stay . 
 Aug 28 2005 	 Tres Chic Trafalgar 	 Trafalgar ( Hilton sign outside ) , chic , clean - line contemporary hotel . treat last night stay Europe . cool bathroom . cool zen - like bar first floor ( mean ground level - 1st floor really 2nd floor Americans ) . recommendation - stay anywhere close first floor . live band ( loud live band ) play night . 3rd floor thing . 
 Aug 26 2005 	 great hotel fabulous location 	 spend 3 night Trafalgar Hotel think truly great experience . room fairly spacious , clean well - appoint . book room view Trafalgar Square National Museum wonderful view , especially effective night light fountain . big prop staff . travel sister - in - law 6 - year old niece , latter get sick middle night ( unfortunately BED ! ! ) . late night staff promptly come change sheet quite helpful . breakfast room lovely meal nice selection . hotel within walk distance important site London , include Buckingham Palace , Westminster , Big Ben , etc . good restaurant nearby well . while hotel quite hip , welcome fun ( play great music lobby bar ! ) . travel 2 child ( age 3 6 ) incredibly accomodate helpful . never feel place , despite fact lug stroller toddler . definitely back future visit whether kid without . 
 Aug 3 2005 	 excellent location good hotel 	 stay Trafalgar one night , bargain rate courtesy Priceline . unfortunately , hotel undergo major refurb ground floor , probably account keen price . it one good location London . although part Hilton group , Hilton livery , instead rather hip , cool , hotel . excellent , friendly staff give warm welcome arrival . my standard room nicely furnish minimalist style , quiet , rear outlook British Council office building . gripe absence trouser press ( decent hotel bedroom one ) , iron ironing board . bathroom well equip , quality toiletry . the restaurant close due refurb . breakfast serve room first floor , great view Trafalgar Square ( one iconic sight world ) . slight complaint food hot might be . I ' m sure hotel really merit five star , even renovation complete . certainly deserve four star plus rating , however . would nevertheless recommend highly , particularly tourist wish close major sight world class city . 
 Jun 19 2005 	 great hotel great service 	 stay Hilton Trafalgar London June , 2005 use Hilton Honors point . get free upgrade service wonderful . front desk clerk Victoria especially great . recommend hotel . quiet , noise bar street . ( double pane window ) . continental breakfast great service staff great . London would always choose hotel . 
 May 23 2005 	 Great Location Good Hotel 	 wife spend 6 night Hilton hotel enjoy city Hotel . however , hotel lot different Luxury Hilton hotel wife stay . & quot ; hip & quot ; sense mini night club lobby area somewhat loud music play . elevator red blue light bulb little odd first time check . stay 4th room please size room . plenty space large bathroom . however , need place towel front shower door else water flow onto bathroom floor ( way shower build ) . staff extremely helpful friendly greatly appreciated . hotel within walk distance Big Ben local theatre . would recommend hotel anyone interested go London . 
 May 5 2005 	 typical Hilton 	 father 's Hilton . upon arrival find & quot ; lifestyle & quot ; hotel . idea mean , quickly become obvious not kind Hilton come expect . lobby like nightclub pick joint , upscale 4 star hotel . lobby literally pack people real party mood . cigarette smoke overwhelming place . DJ play music speaker must 10 foot tall . music loud lobby could not hear people reception desk check . lean desk shout reception staff - shout answer back . tell staff not expect Hilton , say Hilton & quot ; lifestyle & quot ; hotel something new different Hilton . understatement ! room fourth floor . room nice , view adequate , wall paper thin . music lobby radiate wall room . wall room literally vibrate sound . people room constantly party not seem notice ( care ) we travel business actually need sleep night . also , wireless internet available lobby , simply noisy , smoky crowded use . after one night , could not take anymore , ask transfer another Hilton property . Assistant Manager wonderful . understand dilemma helped book we Hilton Waldorf . much style . guess 's true , party day really long past ! bottom line want party , stay night feel like crap next day , place . however , business traveler need refuge hard day - ai not place - matter ! 
 Apr 11 2005 	 Hip expense basic convenience 	 step enter , , 's hotel staff front door first arrive ( occur ) , lift luggage ( unless first get empty hand catch someone help . ) Lobby / Reception noisy 's literally & quot ; Club & quot ; play dance music . 's suitcase rack even Delux plus room , lie floor throughout stay . floor separate shower room inch low floor outside . therefore , INEVITABLLY , shower , hot water overflow shower room space around toilet seat , make wonder every night throughout stay , kind architect / engineer design structure base kind mathematic . like equipment hotel , design washstand sink hip ; be rectangular flat . therefore , whatever drop , e.g. , toothpaste slime , stay wash away water , make wonder every morning throughout stay , clean washstand every day London ? location great , though . 
 Apr 4 2005 	 Bad Choice 	 price , poor service ( ask 4 time roll away bed prebooke week ahead ) , noisy resident lounge despite pay exorbitant room fee . only thing hotel get go location . 
 Mar 30 2005 	 Best Hilton ' ve ever stay 	 lot corporate travel pile enough Hilton point book 5 night stay . come London Easter weekend , accord staff relatively empty holiday . reserve standard room point , ask upgrade available say could do 30pounds night - sell ! staff sincerely friendly helpful without obsequious , be young twenty seem genuinely enjoy work . quite change blase ' service ' m accustomed see large hotel chain . hotel sleek cool , lot like W 's . father 's Hilton . we ask high floor bar music could not hear . originally put we room 301 nice - corner overlook Trafalgar Square . bathroom nice size average size room good US standard , much room move around bed . not even unpacked bag front desk call say big room available hall , # 317 . much big , nice big bay window look Square plus sofa large chair plenty floor space . think # 316 probably layout , would floor 2 - 6 . even though window busy street directly busy bus stop could not hear noise , windows double glaze completely soundproof . comfortable quiet room , king size bed , wife sleep like stone night . would HIGHLY recommend hotel . ' m Chicago travel lot think standard pretty high , really like hotel . constantly not meal cocktail hotel not feel outrage gouge , 's plenty pub bar restaurant around alternative . besides , be going get pummel drinking eat decent hotel city . would definitely stay , location can not beat , love walk dead center London . anyplace interest literally within hour 's walk . plus fan Tube - not find romance 's dirt general decrepitness , usually walk equivalent 4 - 6 block underground get platform 's really quick , especially Charing Cross Station enormous . much prefer take bus London , can not beat price sightseeing sit top . right Trafalgar Square , figure bus mapping system step right door reach compass point London short time one bus without transfer . hotel lot pluse 's ledger far ' m concerned . 
 Mar 27 2005 	 love 	 thoroughly enjoy stay ; encounter noise problem review hotel . stay room 220 , view overlook quiet back street thus cut noise . everything quite pricey , feel like splurging , . hotel staff friendly , find Brits way . expect approach hotel Hilton splash front -- trendy nightclub - cum - internet cafe rear . close major London attraction , avid city walker , perfect location . near Charing Cross transit station , make brief train ride ( 1 change @ London Bridge ) Gatwick airport . transfer Heathrow hotel , although short involve taxi , thus make expensive . overall , would definitely stay would recommend caveat spend lot money . 
 Mar 17 2005 	 good sooooo rate ! 	 stay 2 night Traflagar 11th March 2004 . stay room 401 fourth Floor . hotel reception look nothing like hotel reception . 's ULTRA modern , black wood , black ceiling sharp furniture . like traditional hotel ... do not go ! book deluxe room View Square . room lovely small . furniture modern wooden platform finish bed pretty keep bang leg ( room small ! ! ) tend curse bed bit ! room suppose provide CD dvd player latter miss . hotel offer playstation game film demand price ... be cheap ! £ 7 movie play playstation game hourly rate . mini bar also dear £ 5 small bottle water . small kettle selection tea coffee ( limit though ) . hunt power point plug kettle ... shhh behind desk , bend pull desk little ! ! breakfast provide cost . may want go cafe road save 4 time charge hotel food . the bathroom tiny . modern sink chip many place , little shelve front mirror miss ( bracket still wall ) , toilet roll holder come wall tile shower shaby ( would expect well 5 Star Hotel ) . however provide nice toileterie , soft towel , nice robe comfy slipper . bar downstairs extremely noisy evening ( bit like night club ) loud techno music DJ drink extremely expensive . the staff lovely helpful bit snobish . one guy bar ( hawaiian look ) really really nice make beautiful cocktail demand . the Roof Terrace close always close winter .... , not know ask ! overall , nice hotel , central , expensive . be rich , go ... want treat nice week - end without break bank ... sure find another hotel London nicer , cheap central ! 
 Dec 28 2004 	 Fun place great location 	 stay two week business , happy . mention other , location excellent . lobby bar fun , admittedly matter taste . loud lively late night . also mention , expensive , Crown Royal Coke cost rough equivalent US $ 18 . try get room away elevator sound travel elevator shaft . room decent service unobtrusive . mention website bar would undergo renovation first quarter 2005 ( not remember specific date , think start early January ) .I will stay next trip . 
 Sep 27 2004 	 Location location location 	 location hotel perfect . tube right door , well bus stop . National Gallery across street . walk many attraction . room average size Europe , clean . bathroom good size clean . staff friendly . visit September problem noise . 
 Sep 25 2004 	 not want sleep 	 London business . Picked Hiltons base review site . would not go back hotel unless want party never sleep . wall paper thin hotel plenty guest stay night long . shower problem make bathroom totally wet . Newspaper deliver 2 5 day . room smoky . service prompt good . can not blame staff clientele structural problem . 
 Apr 23 2004 	 complaint ! 	 wife spend six night hotel first week April , 2004 . young staff , eager please ( even put postage postcard mail we ) . room 420 find clean incredibly quiet ( hint : request room high floor look away Trafalgar square ) . never problem get extra towel glass ice , etc . pay $ 300 per night ( use Hilton 's 800 number reservation -- get well price pay entire stay even leave USA ) . lavish , classy , tasteful , pleasant . 
 Mar 20 2004 	 Decent find 	 husband return 4 wonderful day London . overall experience Hilton Trafalgar average . the plus : . find hotel convenient site sound London well form transportation . b . service good - maid service exceptional . although not ask extra , day return clean room . c. staff - concierge- mainly front desk bellman always remember we informative.d . great bathroom style good amenities.e . decent tv , nice cd playerThe minus : . hotel bar - loud expensive - although hip cool . could not get proper dirty martini olive even ask . service poor- empty glass quite som time , even though bar empty seated bar ! ! ! b . could not get United FF mile card work.c . odd elevator lighting- feel like microwave.d . shower stall leak water entire bathroom . even check , water floor.e . agree previous posting , paper , nothing read hotel , website not post pic stair lead sit area room this.f . concierge not know much anything area- restaurant , bus service , shop hour - although front desk / door staff know more . overall , lucky , get great rate . price would pay .. be really sure be worth want great location really cool , loud , hip bar scene . 
 Dec 2 2003 	 rocky start perfect 	 extensive research , choose Trafalgar home London 4 night early November . book directly Hilton month advance receive excellent deal include breakfast tax . additional traveler pop week arrive additional room need , booking become complete nightmare settle check . however check , fix perfectly time . 2 twin room ( connect ! ) spacious enough we luggage . need rollaway , arrive time luggage rack . decor great- modern sleek hotel clean . bathroom huge could use counterspace . lobby double bar fun ( tell hotel guest open 24 hour , can not order drink 1 a.m. ) roof top bar beautiful view . location hotel perfect- walk anywhere 5 - 10 minute . breakfast great- lot choice . room view office building , still bright sunny . staff extremely accomidate exception concierge knowing spell IVY . would highly recommend hotel anyone want hip modern hotel central location . thing would change green neon light elevator- bad . 
 Nov 27 2003 	 Loved roof terrace 	 stay Trafalgar two night could not ask well experience . room quiet cool excellent bathroom facility . Breakfast include wide selection food cook order . good thing roof terrace bar . cheap definately worth . 
 Nov 19 2003 	 Hilton Trafalgar Square 5 star 	 great hotel modern . lobby large stylish huge fantastic bar . service prompt , friendly helpful . give quick tour hotel . room excellent -- spacious , comfortable also stylish modern . 's large London . bathroom especially large great water pressure shower good amenity ( bath robe , huge towel , good quality soap / shampoo ) . room also mini - bar . area , hotel across street National Gallery within walk distance Covent Garden . be also next Charing Cross tube stop . although prefer Bloomsbury area , think hotel outstanding . 
 Oct 30 2003 	 great location snobby service 
 Oct 23 2003 	 Perfect Location London 
 Oct 1 2003 	 Luxury hotel without amenite 
 Sep 19 2003 	 Location location location 
 Sep 4 2003 	 expect well money 
 Sep 1 2003 	 would stay ! 
 Aug 13 2003 	 location 
 Jul 10 2003 	 Excellent Choice / Central Location 
 Jul 9 2003 	 highly Recommend 
 Jun 17 2003 	 great hotel 
 Jan 4 2008 	 Idéal ! 
