Great 	 friend stay Comfort Inn November week . find reception people helpful friendly . food Brendan 's good , not forget use key room card get money off - we do - and not ask ! ! ! hotel may bit date , clean . fantasic location . subway , Macy 's Empire State Building within 5 minute . whole love stay . bit paint would help brighten . noisy night dustbin collect New Yorkers like use car horn ! ! ! 
 May 25 2007 	 great location 	 spend 3 night hotel business find comfortable . great location fancy . bathroom small need renovate clean . room iron board coffee maker fridge microwave . breakfast good need replace toaster take long toast toast one side . staff friendly desk never even ask stay . hotel great location important thing . oh yes elavator work fine . 
 may 23 2007 	 great budget hotel 	 good position shopping ( Macy 's road ) . comfortable clean , towel linen change often wish . reception staff general friendly helpful . hot water demand ( slight problem shower initially engineer come within 5 min sort ! ) . slight downside room position quite dimly light consequently fight friend bathroom light make - up ! ! hard day 's shopping / sightseeing clean comfortable bed really welcome ! plus side free complimentary breakfast serve Brendan 's Bar & amp ; Grill next door save we money . overall , would definitely recommend hotel definitely make return trip soon possible . 
 May 21 2007 	 honeymoon 	 book stay spend 7 night 4 star hotel St Lucia inclusive , bit mistake get grip pay thing although serve purpose sight seeing trip New York . be initially please size room clean although short live within 3 day lovely diamond earing new husband buy wedding present , go ' missing' . go see reception soon realise greate disbelief would happen hotel question many time whether simply misplace .... ! reasurre misplace gorgeous wedding present , meet wall disregard unhelpfulness state staff work year could believe anyone would go room ... well unless earlobe suddenly fall someone room ! report police take precious time sightseeing stunning city enjoy site see . the Comfort Inn good choice far location concerned take 5 minute walk Time square Macys ... good price city , time taint theft spend morning leave thereafter make sure nothing visible expensive make sure ' do disturb ' sign door permenantly . it go well honeymoon.would recommend les miserable broadway .... absolutly stunning .... apart theft ... great time .... 
 May 20 2007 	 bad ....... 	 bite anxious staying reading review hotel bad . lobby clean big comfy couch free tea / coffee . staff extremely helpful polite . room small clean . get clean towel sheet every day . real bad thing room size lot shopping tripping bag . location excellent Macy 's one corner 5th Avenue another . Breakfast include . beware use hotel phone , friend make three 5 minute international call bill whop $ 173 ! overall like would rather spend cash shopping good hotel anyone budget . 
 May 3 2007 	 great location price 	 return 5 night stay Comfort Inn Manhattan , would definately recommend . perfect location , literally 5 min walk Macy 's Empire State Building , 5 minute , be middle Times Square heart 5th Avenue . hotel room spacious clean , maid service everyday . would agree review decor need update surely not go holiday check wallpaper carpet ? ? complimentary breakfast ideal - cereal , fruit , toast , pasty , bagel etc . overall would say hotel ideal New York City break . 's luxurious everything could possibly want , price location , doubt could beaten . 
 Apr 19 2007 	 Yikes - thinking ! 	 price seem reasonable compare hotel area , little nervous star rating , however trip advisor book purchase good review . run Forest Run ! first good , people nice location good . bad , much report start worst . bathtub clog - up showering start back black chunk . almost throw - up shower . room hot , could turn heat , 1/2 & quot ; crack around door bright hallway light beaming , breadspread badly soil , list really go .... check family immediately . folk front desk could help manager show - up mid morning . disgusted want report condition health dept . pack left find another hotel , book 5 night . manager call early give we $ 50 credit $ 214 room penalty cancel remain night grateful . find another hotel price Lexington wonderful- great trip overall bad start . 
 Apr 18 2007 	 great stay great location 	 wife have stay hotel twice nov 1998 jan 2006 probelm visit , room clean spacious compare hotel new york breakfast good next door brendan recommend steak night restuarant open , nice bar across road call o'reillys good atmosphere great food .alex reception mother knowledge manhattan ask anything , go see new york rangers madison square far hotel 20 min walk say new york energy vibe like else can not wait return 
 Mar 9 2007 	 Great Location ! 	 Stayed Mum , daughter 2 sister 4 - 8 March - location hotel fabulous , central everything subway end road . top attraction near , lot walk worth ! hotel bit tired decor , room smell cigarette smoke open door . room clean quite dark let tap run 10 minute hot water come ( 10th floor ) . room clean nicely front desk staff helpful . breakfast adjoin hotel offer usual , cereal , toast , bagel , donut fruit . excellent value prime location , want somewhere sleep top luxury not necessary . would definitely return . 
 Mar 5 2007 	 Loved ! 	 stay September ' 06 4 night , 2 daughter ... location excellent , staff friendly helpful . room small adequate clean daily . impressed go back November ' 07 week countin day ! Comfort Inn highly recommend course go back Comfort . step door hotel NYC attraction within walkin distance ... amazing . 
 Feb 25 2007 	 great school group 	 hotel excellent choice group . ' centrally ideally locate , staff try hard accommodate need . obviously use school group , ' seem way bother meet en masse inch front reception desk . room comfortable , though overheat , clean day . breakfast serve morning adjacent restaurant , include bagel , cereal , donut , hard boil egg , juice , toast , coffee . two elevator , luxury compare similar european hotel , ice snack machine , well free newspaper . hotel deal well requirement , provide extra rollaway bed need , fetch salt upon doctor ' request , move luggage room , fax message England , give advice make visit well . suggestion improvement hotel would : * need space group meet . real problem group , either meet small reception area , one end restaurant , among diner . mean never could communicate information group thoroughly enough . would like notice board lobby post important information group . * towel seem change whether want . sign bathroom say , protect environment , towel leave floor would change , seem take away , regardless placement . * room much hot , pupil ' know turn radiator . I hope bring similar group New York 2009 , look forward stay Comfort Inn possible . 
