Wonderful 	 stay Le Meridien Shanghai part China trip . cold feeling little miserable arrive . soon enter room , forget cold ! room 36th ( ? ) floor view wonderful . although room large , feel spacious . furnish modern contemporary . husband like rain shower . location hotel ideal sightseeing . thing internet include , think could without . ( internet previous China hotel think use much . miss access . ) think return China year two , child . would love stay Le Meridien . 
 Great Great Location 	 hotel great location be holiday / leisure trip . right Nanjing Lu surround shop , restaurant cafe right literally & quot ; doorstep & quot ; , one enjoy bustle city life . breakfast offer hotel not dissapoint us - happy selection provide , room well appoint . convenient well locate cater well family travel young child . I also sister disable travel we . find hotel convenient , due location . able move freely without obtacle able wander around vicinity without difficulty . family wonderful vacation glad choose hotel . fact , month return home , family talk impending return another stay hotel . 
 Jan 1 2007 	 Fab hotel fab city 	 everything perfect . start worried get experience flyoneworld pickup airport . thankfully hotel representative present get Customs counter . trip hotel uneventful , smooth , atleast car pack standard amenity . get car , greet doormen eager take everything hand . step hotel , greet one & quot ; usher & quot ; ( well not actually know suppose ) name . escort reception 20th floor . check - in smooth everything seem order . even upgrade room high floor , fabulous view Bund Najing Road . room also great , size okay , little small compare hotel ' ve stay , not feel cramp , guess absence wall enclose bathroom trick mirror door cabinet make room feel big . course 42 inch Plasma TV standard new / newly renovate hotel room . room DVD player could come handy watch new pirate dvd ... hahahahahaha . also like fact provide L'occitane product not carry mine everytime go . hotel breakfast suffient , quite redudant , guess ' m use breakfast buffet spread could run week without repeat food ( outside standard , egg , bacon , sauage bread ) . plus atleast provide big glass juice , usually hotel provide small glass that . then 2 set elevator , one take ground floor 20th floor lobby one lobby room . another set elevator bring guest lobby low floor take function room outlet . 2nd day find 2 elevator take guest ground floor room 40th floor . ( take go ground ) taxis quite familiar hotel already not experience alot problem reviewer experience . whole hotel experience simply fabulous , though sometimes would feel hotel crowd number staff , normal hour would 4 - 6 people man elevator lobby , not even press button would everything .... sometime time get elevator reach coffee shop breakfast would greet greet & quot ; good morning & quot ; least half dozen people . I would definitely stay ... look forward go back Shanghai soon ! 
 Dec 23 2006 	 : Modern Nice Hotel 	 stay 3 night Royal Club Room December 06 . brand new hotel locate Nanjing Road , prime shopping district Shanghai . hotel modern contemporary decor tastefully design . stay low season not many guest . time , seem see hotel employee guest . room nicely appoint modern decor though slightly small side . bathroom design bit strange open concept walk room , also walk pass see washing basin , bathroom toilet . ok people might like layout . room come complete amenity feature 42 & quot ; plasma tv , spacious working desk , king size bed . Bathroom well equip deep soaking bathtub , overhead rain shower L'Occitane toiletry . moreover , room good view Shanghai skyline . mine come great view People 's square Shanghai museum . overall much complain room . nitpick , internet connection really fast enough , sound - proof great ( hear night door close hard ) water pressure could strong . room service menu lack variety . executive lounge ( call Royal Club lounge ) beautifully appoint chic spacious . fill comfortable sofas . 2 food presentation day , breakfast evening cocktail . free drink ( non - alcoholic ) throughout day . business meeting lounge since quiet offer lot privacy . like many reviewer point , hotel floor design quirky . main entrance hall along hotel 's address , lobby , entrance hall restaurant different level . couple maze - like layout 3 set lift many staircase , visitor hotel guest get easily confused loss . fortunately , hotel seem keenly aware problem staff station common area hotel keen help give direction . whenever want go anywhere within hotel , ask staff hand direction . winter , eat mostly hotel 's restuarant . chinese restaurant food average althought expensive . cafe serve good selection lunch dinner buffet price reasonable . one see many local also frequent cafe buffet . service overall good inconsistent . staff polite eager help other . staff Executive lounge among good . still , city well know sub - par hotel service , mile well service get 3 4 star hotel Shangahi . one thing , afford pay high , go hotel airport limousane service rent limousane car - rental company instead avoid use local taxi . 's taxi driver Shanghai tend drive like hell rider especially highway . Pudong airport 1 hour journey hotel risk accident increase . taxi ride hotel airport rather nerve wreck several close call force tell taxi driver insist slow . not mind quirk , average hotel deserve 5 - star status . mind stay . 
 Dec 20 2006 	 great hotel 	 Peninsula Bangkok , good hotel stay . corner room tv pull swivel couch bed , nice touch . elevator little confusing , enough hotel staff guide around . find problem quality bathroom . bed fantastic . as mention though , careful taxi 's . address chinese taxi driver SHA still get lose . hotel website say cost 65 Yuan . mine 120 Yuan . mention bellman open door taxi . quickly go driver get cost 80 Yuan . job well do ! also think driver take long way driver back airport take different freeway . know least get Nanjing Road . 
 Dec 19 2006 	 not get Better Le Royal Meridien 	 stay three night early November five week open . room exquisite taste , design comfort . usually not like buffet , dinner buffet absolutely amazing . question stay next Shanghai trip . 
 Dec 16 2006 	 stylish place 	 spend four night club level . staff welcome room large well appoint . right People 's Square , subway short walk away , shop Nanking Road door . point view conventient locaiton . complaint configuration elevator . take one elevator ground floor hotel lobby , another one lobby room , want eat one hotel restaurautns need go back ground floor take yet another one restauraunt level . minor annoyance aside , come back next time ' m Shanghai . as reviewer point , hotel new evey taxi driver know be plan take taxi airport would email hotel ask hotel name address Chinese . 
 Dec 13 2006 	 consistent excellent design 
 Dec 7 2006 	 super place stay 
 Nov 28 2006 	 clean modern comfortable hotel 
 Nov 21 2006 	 Excellent Location new comer 
 Nov 14 2006 	 fantastic hotel still bug 
 Nov 13 2006 	 good location nice hotel 
 Oct 31 2006 	 highly impressed 
 oct 22 2006 	 Grand addition Puxi 
 Oct 18 2006 	 Pretty Good - Quirks 
 Oct 15 2006 	 Le royal meridien 
 Oct 15 2006 	 ? ? ? ? ? 
 Oct 15 2006 	 ? ? ? ? ? ? ? ? ? ? ? 
 Nov 19 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Nov 17 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Nov 10 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Nov 8 2009 	 ? ? ? ? ? 
 Oct 20 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Oct 18 2009 	 ? ? ? ? ? ? 
 Oct 17 2009 	 Muy bueno 
 Oct 8 2009 	 ? ? ? ? ? 
 Oct 3 2009 	 ? ? ? ? ? ? ? ? 
 Sep 24 2009 	 ? ? ? ? ? ? ? ? 
 Aug 10 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Aug 10 2009 	 Excellent hotel le meilleur à Shanghai 
 Jul 24 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Jun 9 2009 	 ? ? ? ? ? ? ? 
 Jun 9 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Jun 2 2009 	 toujour parfait mai ... 
 May 27 2009 	 ? ? ? ? ? 
 May 24 2009 	 Excellent hôtel 
 Apr 20 2009 	 veramente un grande hotel 
 Apr 14 2009 	 el hotel 11 
 Mar 14 2009 	 ? ? ? ? ? ? ? ? ? ? 
 Feb 26 2009 	 ? ? ? ? ? ? ? 
 Feb 24 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Feb 10 2009 	 un esperienza indimenticabile 
 Feb 6 2009 	 ? ? ? ? 
 Feb 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 24 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Jan 11 2009 	 ? ? ? ? ? ? ? ? ? 
 Oct 30 2008 	 ? ? ? ? ? ? ? 
 Oct 14 2008 	 ? ? ? ? ? 
 Oct 4 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Oct 1 2008 	 ? ? ? ? ? ? ? ? ? ? ? 
 Sep 21 2008 	 La grande classe ! 
 Sep 16 2008 	 ? ? ? ? ? 
 Sep 14 2008 	 ? ? ? ? ? 
 Aug 8 2008 	 Super 
 Apr 19 2008 	 Würde hi immer wieder hinkomman 
 Nov 8 2007 	 Gute Lage exzellenter Service 
