five 	 please , book , let warn , 15 dollar resort fee / day facility never use , valet tip , 12 dollar interne , plus tax , add ! arrive Wednesday night two night , check , leave luggage room , go , wait 15 minute car come valet , hardly anyone work time , one person front desk pretty much time wednesday , guess cut staff due economy . back hotel 1am , could not find slipper room suppose , call front desk say check , , look everywhere could not find . call housekeeping , take 20 minute slipper arrive . time almost 2am . know five star hotel decide bring show cap , step shower , start look show cap , relieved see nice little box say shower cap Spa Trump print box tray . reach , lid tear show cap inside , be empty ! use previous guest ! stay two / three star hotel , never see . , 20 minute shower cap arrive , wow never hard time take shower . next morning , wake arround 10 , want use stovetop . start long journey get item kitchen . call get transfer housekeeping , 5 minute hold time , finally pick phone , tell need couple item , lady say & quot ; pleasure & quot ; hung , wait 40 minute , one ever come , think lady not even bother help , call back wait forever , always music re back music , one ever pick housekeeping , call operator talk front desk matter . one pick . call operator tell one pick place , operator simply say & quot ; one pick , busy , need ? & quot ; , excuse , five star ? not ask need rude way , ask , & quot ; pass request , get ? & quot ; well least pass deliver another 30 minute . not start cook almost 12 . five star not poor service , housekeeping make wonder room clean properly , never see doorman open door we . sure we tight schedule , not 15 minute , 30 minute spend waiting service arrive much soon . stay neither recommand anyone know . really 3.5 star hotel max . 
 would rate 5 - star hotel 4 - star - maybe 	 get back trip Las Vegas . I look forward leasure stay hotel Death Valley trip . well , hotel nice , BUT:1 . get shower water run slow , shower head comparable motel shower . hard wash soap . 2 . bathroom glass door heave 1/2 inch space end door floor . open door hit toe close nail , let tell , hurt , lot ! ! ! simple piece rubber plastic button door would done trick . ( next day , husband problem3 . minor thing , would expect 5 - star hotel - toilet paper holder break , toilet paper top toilet time.4 . resort fee : sign paper check , say $ 15 / day , not say also $ 1.80 tax top . big deal , stay couple day get nice surprise checkout , head would help.5 . food : want order in - room service sandwich soup ( sick whole stay , could get room ) . calculate , price chicken noodle soup would $ 9 + $ 5 ( service charge ) + 18 % ( tax , gratitude ) .... husband get downstair take restaurant avoid ridiculous fee , menu restaurant completely different in - room menu . on hand . staff helpful , clean service nice clean room good . the bed towel nice fresh . room clean . kitchenette room also nice feature . we city view , yes Santa Fe train come time time load whistle , big problem , view room nice , actually city view , mountain view , beautiful . would stay - maybe , admit 4 star hotel . 
 Outstanding Place Stay 	 stay Trump hotel Las Vegas 5 night blow away quality hotel . know go resort fee everybody book hotel know find o.k service get outstanding . room well see world . staff friendly professional . definitely stay . property . 
 Jul 23 2009 	 nice hotel - not bad other make 	 ok , like think fairly picky person , especially come stay hotel resort . end get Trump Priceline name bid , , come read review . pretty much know expect , far resort fee - which think dumb , not hurt we much since get hotel excellent rate- nightly deposit , get back end stay . well , husband extremely pleased stay . staff helpful one hassele we stay . housekeep great job . complaint ask iron since miss room new remote television bathroom , do not get like day departure . not bug cause come Vegas party not time complain whine thing small . REALLY need remote iron would go front desk . far distance strip go , people act like 10 mile . far . going walk Vegas anyway unless hop cab go every single place wan na go . area nice , well lit , sidewalk kind run , switch side street . walk day late night , couple , single even family small kid walk late night . enjoy walk . even stop Strip Burger corner burger GREAT , happy hour 2 time day 2 dollar drink good ! overall , stay great . husband enjoy . not want pay $ 300.00 night overcrowded casino hotel wait line get everything do . def . recommend place obsess every small detail stay not plan room anyway sleep VEGAS ! ! ! 
 Jul 22 2009 	 Chump hotel ... 	 pro : + Amazing room+Huge bathroom+great customer service+jacuzzi jet+tv bathroom+iPod radiocon : -extra $ 15 resort fee day ( plus tax ) - $ 6 use internet 15 min - no self parking - Far strip ( 1/2 mile ) -wi - fi extraso first time ' ve stay five star hotel maybe experience indicative like 3 4 star hotel . room Trump hotel amazing , bed soft yet firm , bathroom huge bathtub wig jacuzzi divine . however not appreciate hotel not front fee . be honest ! check sign form state agree pay $ 15 per day resort fee ( tax extra ) . associate state fee pay hotel amenity gym , valet parking , pool business center . way whether use facility irrelevant .... pay $ 15 . fair enough , proceed business center later night use internet print business form discover additonal charge $ 6 defy 15 minute another fee ( 80 cent per page ) . another thing hotel 's bit far strip . not know exact distance unless walk mall locate across street either take taxi walk long sidewalk overall good hotel , money think well deal despise business not front fee booking process . 
 Jul 13 2009 	 good ... 	 overall , good hotel money ... assume pay rack rate anything close . auction skyauction.com $ 70 night plus $ 49 taxis fee ( exorbitant , esp . since include hide $ 15 & quot ; resort fee & quot ; tack onto day 's rate resort fee include internet fee ) . hotel really nice - lobby , restaurant , room - would stay ... similar rate . good - check - in , staff , room ( new , pretty much full kitchen , comfy bed , big bathroom ) , main restaurant ( ask booth draw curtain private meal ) . bad - noise pass train hour be & quot ; cheap & quot ; -non view Strip side hotel , 10 - 15 minute walk Strip ( Wynn ) sidewalk incomplete go mall . 's nice walk restaurant , mall might open want walk . , overall , would recommend hotel less normal advertised rate . 
 Jul 11 2009 	 please ! ! stay ! ! 	 read review late ! already & quot ; & quot ; priceline . thought & quot ; bad five star hotel ? & quot ; answer simple , N'T FIVE STAR HOTEL ! ! ! put Sub - Zero fridge give feather pillow not make five star . sleep stay . window design flaw everything outside , even 54th floor . train come frequently blow loud horn . air conditioning not cool room . like temperature 74 not cold could not . staff nice enough , obviously overwork . never turn bed , fix tv , make sofa bed , bring & quot ; trump kid & quot ; ammenitie . read plain , boring pool , small workout room RIDICULOUS $ 15 / night service charge review . bottomline , way well hotel offer way less money figure food , gaming show credit offer hotel get . btw food bad ! ! give we Sara lee cheescake , joke ! ! 
 Jul 11 2009 	 Noise 	 be room strip view ( also pool ) floor 16 17 18 19 20 instantly refuse stay plan sleep past 9 am . pool music loud crisp 's clock radio go room every morning start 9 am . ' m extremely deep sleeper can not get past bass r n b hit play loud 15 metre . stay suite 1727.I decide give try sleep live inconvenience pack clothe food get kitchen move 9:30 room available tell nothing could done 2 hour time . receptionist say would ask could turn music around pool never materialise . the room nice , bed nice , bathroom shower hot tub nice ' m say much would not say wynn venetian bellagio price range . rest hotel underwhelming , din room service pool . would recommend stay hotel make absolutely sure high floor 20 not care strip view plan awake 9 am every day like casino hotel . otherwise stay Wynn / Venetian / Bellagio . 
 Jul 9 2009 	 Serious Room Service Issues 	 would recommend hotel anyone travel Las Vegas ; ' ve sign new account review hotel , be : location : hotel locate & quot ; Strip & quot ; ; be 7 - 10 min walk . addition , 's far end strip , heart like Paris , Ceasar 's , Bellagio other . internet : order get internet access , pay extra $ 12 . nothing $ 12 ; however , concept pay extra internet access 5 - star hotel bother . ' ve stay 2 & amp ; 3 - star hotel offer free in - room wireless internet access ! parking : upon check - in , informed front desk lady would charge extra $ 15 car valet , parking ... etc . first visit Vegas , agree . later night , find parking Vegas 's hotel strip free . go park car drive front entrance valet pick . want back , hand back ticket tip . price : definitely overpriced ; pay $ 100 Sunday night . checking , find could stay nice hotel actually strip $ 65.room service : ' ve leave well last ... hotel major issue room service ; find large amount hair shower drain ; not mine , wife 's ! finding , call front desk ask new room one clean , apologize new set key send 10 - 15 min . enter new room , go bathroom find issue ! ! call front desk , ask hotel manager come take look shower drain ; 5 - 10 min later , Room Service manager come shocked see amount hair drain . exact word & quot ; ' m surprised someone would missed cleaning bathroom ! & quot ; . promise someone come clean & amp ; sanitize bathroom immediately . 20 min later , one arrive call front desk ask another room show reservation want miss . manager offerre we upgrade one - bedroom suite thank . however , supposedly & quot ; clean & quot ; suite , find leave - over food previous guest fridge ! point , tired fighting already miss show . , try enjoy leave night , drop front desk way ask someone clean fridge . whole process move room take 3 precious hour sole night spend Vegas . again , would recommend hotel anyone go Vegas ; although hotel look nice room clean - look furniture ; rank bathroom hygiene far high anything else hotel . to fair ; eat pool restaurant ( H2 Eau ) ; delicious burger ; think call & quot ; Trump Burger & quot ; something sort . wife also salad good . furniture room look new well sorted . 
 Jul 7 2009 	 wonderful place incedible value 	 wife stay Trump Hotel Jun 23 - 28 , hotel nice , definitely line 5 star hotel Vegas . upgrade one bedroom unit strip view size average condo . unit full kitchen fully stock , separate bedroom living room , two full bathroom several flat screen tv 's . eat restaurant spend time pool , nice . walk strip bad , 5 - 10 minute mall , valet service work hard make sure car deliver quickly . 
 Jul 5 2009 	 Underwhelmed . 	 Trump highly rate . suppose elegant , find , lobby , rather average . casino , ok , would think would thing . pool look like Holiday Inn pool . spectacular Vegas scale . real lounge area speak . bar ordinary . food expensive ( $ 16 burger ) drink ( $ 8 cocktail ) . charge 18 % gratuity plus $ 5 service charge room service ! outrageous ! beware $ 15 / day resort fee use pool workout room , & quot ; complimentary & quot ; coffee service . hotel elegant total ripoff . many 5 star hotel Vegas , not choose Trump ! 
 Jul 4 2009 	 Nice Noise 	 room nice service excellent , however noise train morning wake we noise guest go room make hard sleep . would suggest go time b e able enjoy stay much well . 
 Jul 3 2009 	 Hotel serious service problem 	 fire alarm go early morning , stairwell hot elderly people could make . one helped , tell we false alarm get tell security child people health problem stick stair - still help - tell door man front desk - still help - managment staff bar profiteer charge guest drink wait long time get back elevator . send email Trump corportation problem ony send automate response . profiteer emergency help - even appology 
 Jul 1 2009 	 amazing hotel 	 hotel amazing . highly recommend anyone travel vegas want stay hotel small kitchenette casino . hotel close strip fashion show mall . 's right block las vegas blvd . 
 Jun 30 2009 	 good option right price 	 love room Trump . bed great bathroom amazing . kitchenette would come handy long trip . pool really nice . flipside view room lousy . walk strip miserable sidewalk . sidewalk would not bad , walk side road heel 3 morning vegas not fun . appear one restaurant small bar . casino . hotel beautiful not many ammenatie . 
 Jun 29 2009 	 Fantastic - bed heaven 	 stay honeymoon one night use Vegas stop - off rather destination . nevertheless want good bed sleep get great deal Priceline . hotel say ' on strip ' actually locate 200 m strip not problem 2 min walk Strip Wynn . entrance , Nordstrom Fashion Show Mall straight across road . as book Priceline guess one poor locate room swimming pool INCREDIBLE . ' ve lucky enough stay amazing 5 star hotel around world right well . room massive huge bed , sofa , chair beautifully appoint kitchenette . bathroom palatial huge spa bath , walk shower every conceivable amenity - include tv mirror . appointment room immaculate fitting rest hotel . wander around hotel Strip - Wynn , Bellagio , Encore not see bedroom common room Trump oozed opulence class other could match . think fact hotel casino hotel - load people trapse corridor people smoke lobby ( non- smoking hotel ) mean could feel apart madness Vegas still ( literally ) doorstep . also across road Mall mean access great food restaurant food court . having see Trump tv expect something pretty gaudy suprise , yes plenty gold not top mock versace like Wynn . class stake Trump definitely outscore Steve Wynn - haircut aside course . the piece de resistance room bed heavenly . sadly wife ill stayed mean get spend plenty time bed describe like ' sink slowly warm fluffy cloud ' . bloomin good normally like quite hard bed . staff fab although even bell boy botox . 
 Jun 25 2009 	 Luxury Discount - get discount 	 sister stay Trump one night three night Tuscany Hotel Suites ( highly recommend ) . find deal travelzoo Trump get standard king bed studio room . certainly pretty luxurious . use fridge , microwave , etc sister say tub great jet . view north strip . sofa chair elegant touch . registration people polite friendly , pool waitress pretty much ignore we . pool beautiful rich people ( get good service ) everyone else . medium loud hip hop / loungy music create adult , pool - party experience . child . pool beautiful though , drink way overprice . not eat anywhere hotel choose go affordable food court Fashion Show Mall five minute walk ( Strip ) . say stay Trump want avoid casino madness get affordable room . 
