location 	 fiancé spend day New York Thanksgiving . pre - booked hotel profit & quot ; book early - save money & quot ; -program . room 4th floor ; sadly , staff forgot request sparkle wine room , not arrive ; not big problem , hotel offer complimentary wine 5 - 8 pm every night ( even piano music friday ) . room good , though bathroom bite small , clean nicely do . bit problem shower sense water spill side , nearly impossible take shower without splash bathroom floor . also not problem , shower morning walk NYC day , not care much wet floor clean day anyway . reason rate hotel & quot ; good & quot ; & quot ; excellent & quot ; heating not work . already rather cold outside ask front desk could turn heating , reply , heating would turn automatically temperature drop 55 Fahrenheit . not . get little electrical oven , though , warm enough . would expect heating work rather expensive hotel . Rick 's Café second floor really like extended living room , wonderfully comfortable chair sofas . breakfast enjoy glass wine every evening . love interior decoration hotel - also quiet , despite right edge Times Sqaure . Thanksgiving Parade could really walk 20 metre hotel right middle . , would recommend hotel ; would return , though might get big room next time . 
 Perfect 	 friendly , comfortable , spotless , load extra touch . could one ask ? location ? right Times Square , great eating place , fifty yard Old Town Hall ( see Garrison Keillor Saturday night ) , around corner ABC , Starbucks , drugstore , two three block main Broadway theater , mid - way Empire State Building Rockefeller Plaza . thank contributor point way . hotel help make fabulous trip . 
 Wonderful Hotel 	 ' m write review hotel , use free wifi - greatly appreciated ! charming hotel second away Times Square - 's know quiet room . be within easy walk distance almost everything could want see , 's shortage fabulous place eat drink right day night , right outside door . the staff nice friendly , go way make sure be enjoy stay . room comfortable clean , even basic room bathtub plenty closet space . little touch , free bottled water room wine reception evening really make place stand . would stay sure ! 
 Aug 2 2009 	 like little oasis calm madness new york 	 recently take daughter New York 18th birthday , read review book Casablanca , really do not think could live expectation , right heart Times Square hotel gorgeous calm perfect retreat day city , staff lovely , especially girl Ricks Cafe , nothing much trouble , toast bagel morning make scrummy porridge blueberry strawberry ! ! evening 5 - 8 cheese wine , fabulous hard eat much cheese spoil evening meal warn . ! ! hotel immaculate , beautifully decorate . small thing could moan tea coffee make facility room , tea coffee available day long Ricks cafe mean get getting dress first cup tea day , find hard maybe do not bother other , could english thing ! ! thing would mention rate quote include resident tax another tax , forget , bump bill quite considerably , may well mention small print must admit do not notice still can not see anywhere , might worth ask book . wonder whether book Casablanca go cheap hotel , would say book Casablanca day week , certainly worth pay little bit , breakfast alone save fortune nothing cheap New York ! Thankyou hotel casablanca making stay New York absolutely wonderful ! oh yes , nearly forgot mention , Tony 's , restaurant next door , wonderful , miss ! 
 Aug 2 2009 	 well choice ... small hot room hallway strong air freshner 	 con : small hot , humid room loud window air conditioner keep room hot 3 am room would cold hallway always hot . housekeeping staff use heavy perfumed spray make hard breath especially hot hallway come back vacation sinus infection / cold believe . exaust fan bathroom window & quot ; view & quot ; solid wall building . go theater , walk past adult man 's club street hotel sometimes woman & quot ; worked & quot ; would stand outside door . pro : nice breakfast include well wine cheese reception evening , large area second floor . hotel step action Times Square Police Station . hotel staff professional friendly . 
 Aug 1 2009 	 ` ` worry '' hotel 	 good friend recommend hotel glad . location great hotel jewel . cozy spacious offer many amenity large chain hotel intimate , family feel . staff accommodate helpful yet meet . stay suite roomy clean . Rick 's Cafe offer balanced breakfast availability beverage snack throughout day nice pick - I - up . staff , Peter particular , helpful get excellent show ticket we . would definitely stay hotel . lovely . 
 Jul 24 2009 	 Amazing Place Stay - Fantastic Staff Fabulous Central Location ! 	 husband stay Casablanca five night get home . staff Casablanca wonderful - enough make guest feel extremely special . hotel ever , never feel home Casablanca . truly oasis middle city Times Square literally step away ! room beautiful -we stay room # 604 -premium King great . bathroom spacious toiletry high quality . everything could ever want . Rick 's Cafe perfect relax , check email -complimentary internet breakfast excellent . stay hotel New York - Casablanca always New York Hotel ! 
 Jul 23 2009 	 great little hotel great location clean quiet friendly . 	 stay week small hotel wonderful experience . staff friendly helpful . good continental breakfast & amp ; day coffee cookie . good plus free wine cheese evening . go first night not miss rest week nice talk traveler learn experience NY . pick many tip go good deal etc . hotel good value , first class italian restaurant next door , free use hotel computer 25 metre Times Square . would stay elsewhere would go deluxe ( large ) room next visit . L & amp ; Macaskill New Zealand 
 Jul 23 2009 	 Excellent location 	 wonderful time ny , pity could stay 5 day , return one day , definately stay Casablance Hotel . location excellent , 15 step away Times Square , walk distance 5th Ave , Macy 's , Empire State Building Central Park . staff helpful friendly , breakfast delicious room beautiful spacious . look forward return room day sightseeing . good part price , stay cheap Casblanca Hotel would pay room 4star hotel South Africa . I highly reccommend . 
 Jul 22 2009 	 relax homey 	 spend two night Casablanca Hotel . location wonderful . right Broadway ! service impeccable . anything ask provide instant . lounge , call Rick 's Cafe wonderful . large always stock hot cold drink , cookie sort exotic coffee . continental breakfast day beautiful delicious . evening reception wine , champagne , cheeese . etc delightful piano player Friday evening . weeklong trip around NY PA , oasis wonderful , busy city . downside central air conditioning , in - window a / c little noisy . Got use first night . an additional treat & quot ; Ton ' & quot ; italian restaurant right next door . 
 Jul 22 2009 	 Outstanding hotel - definite keeper stay New York 	 select hotel , like other , strength great review site . plan surprise anniversary trip obviously important hotel pretty special ! glad say Casablanca Hotel live expectation - first review ' ve write , feel strongly . the location will not go many other . however , New York several time trepdiation close Times Square . however , be need worry . frankly astonish close yet serene quiet . decor somewhat strange - obviously understand reference famous movie nonetheless slightly strange mural Morocco stairwell ! however , find enjoyable quirk . the staff brilliant , without exception . unfailingly polite , always make real effort assist we way , take time learn name , , plan trip - excellent . the breakfast Rick 's Cafe good - strong range pastry , bread product , juice drink . relish pretty much anything american thus overjoy discover serve Hazelnut Coffee breakfast ! yes ! book standard double . ask quiet room sure enouhg , round back , window onto fire escape , expect problem . quiet indeed , gentle hiss traffic like get city . bathroom excellent , room , small well appoint . however , serious gripe Casablanca aircon system . one ubiquitous Freidrich aircon system - one back end stick open window front stick room . problem rather noisy - choose difficulty sleep due noise heat ! given see many slim , quieter small air con unit hotel , would really think hotel quality price would do bit well . overall , would highly recommend Casablanca anyone stay New York . be incredibly easy get lovely place seek refuge city . 's bit expensive make regular occurrence , afford , go brilliant trip . one tip : research good book . time book ( February 2009 ) & quot ; economic stimulous & quot ; package include preferential room rate free mug , bathrobe Prosecco arrival . would not want bathrobe ? fluffy ! however , proviso pay 100 % upfront . however , snoop , find Venere ( never use ) give deal allow pay check - thus save lose interest clear £ 150 improve exchange rate ! 
 Jul 20 2009 	 great staff great hotel great location 	 husband pick hotel great review already trip advisor live . location fantastic especially be first time visitor NYC , right heart Times Square- not get central . staff hotel outstanding- friendly helpful , manager even send bottle Prosecco room welcome we tell last disastrous trip nyc.the hotel really nice , warm comfortable atmosphere . criticism , one , bedroom typical New York little small dark . however , lack size make hospitality- bath robe , slipper , cotton bud , sewing kit , even chocolate ! plus usual toiletry - list endless . reception every evening lounge serve complimentary wine , cheese popcorn . nice way relax hard day sight seeing . the breakfast also serve ' cafe ' lounge morning everything need . would not recommend eat place next hotel- be pretty poor overprice . jump subway next hotel eat fab place instead . I would definitely stay hotel thank staff much friendly attention detail . 
 Jul 19 2009 	 gracious staff nice amenity great value - personal relaxed friendly 	 stay two night July . single room not ready , Vinnie get quite embarrassed ( needlessly ) quickly upgrade ( free ) king , comfortable spacious bathroom . nice complimentary breakfast buffet wine cheese comfy second - floor lounge good deal parking right next door . staff unfailingly gracious accommodating , employee never meet address personally second day . service staff friendly cheerful . despite step Times Square , be quiet soon step inside hotel . great value NYC ; would stay heartbeat . 
 Jul 17 2009 	 Wonderful Service 	 hotel excellent location times square . room comfortable offer necessary facility . really like hotel 's style theme . staff extremely helpful friendly lovely breakfast available every morning . would recommend hotel anyone location service . 
 Jul 16 2009 	 Superb Hotel great location 	 return wonderful stay Casablanca . check - in onwards , service excellent - staff always ready advise go , get etc - ideal first time visit New York . stay mini suite ideal 2 teenage boy . room huge comfortable clean everything could want . face back - view quiet . room bit warm first night - work use air conditioning ! ! free internet access Ricks Cafe useful . breakfast good cheese wine evening lovely touch . the location excellent - step away Times Square yet quiet peaceful side . one word warning - eat italian restaurant next door , not even attempt eat entree - portion huge ! ! waiter warn we still go ahead order each . would definitely recommnd hotel would stay . 
 Jul 14 2009 	 * * * * * * really enjoy stay ! * * * * * * * 	 nice hotel heart Manhattan - 3 Minutes footwalk away Time Square . Perfect Hotel city trip shopping , sightseeing nightlife . want high speed internet day / night long - 's free ! breakfast good ( include fresh fruit , fresh croissant , coffe , cappuchino , cerial , fresh bagel , honey , jam , creamcheese , etc . ) enjoy lunch dinner Tony 's ( nice italian restaurant , neighbour ) - good ! return ! 
 Jul 11 2009 	 good Manhattan ! 	 ' ve visit New York City several occasion keen find convenient hotel ( central location , ' extras ' , etc ) husband 's first visit City . review comment tripadvisor know would not disappoint . hotel absolute good location , many NYC 's good tourist attraction within walking distance . amazed quiet move craziness Times Square superior hotel room ! wine cheese evening bonus , complimentary internet access ( yes ... work holiday : - ( definitely back will share wonderful hotel property friend head NYC . 
