wonderful 	 spend Thanksgiving week Summer Bay Resort Las Vegas wonderful time . exchange week Trading Places International . check - in Sunday breeze please one - bedroom first - floor condo . accomodation newly renovate decorate quite comfortable . king - size bed , two wall mount plasma TV 's , huge tub shower , appliance utensil one could need . location Strip convenient everything early morning run along strip , nightly stroll . transportation week , notice non - stop shuttle resort without transportation . pool hot tub jacuzzi right outside door clean , practically vacant every time use , enjoyable . employee encounter pleasant helpful . negative experience even comment wireless internet become unavailable mid - week , rest week . construction issue minimal disruptive least way . look quiet comfortable place stay , still within easy access Strip , Summer Bay Resort would high list place consider . 
 Nov 5 2004 	 horrible 	 get pay ? step . price low , do not fool . uppon arrival notice goverment housing ( project ) stay . you re lucky hot water come show head . inside look like decorate 70 's have not change yet . broken chair , run matresse , etc ... funny part bad part . customer relation horrible . stayed & quot ; resort & quot ; Las Vegas reserve two bedroom . uppon arrival , reservation downgrade single bedroom . receptionist tell would recieve difference , several week still . talk several people , response basically & quot ; tough F - ing luck buddy & quot ; . take money laugh face . dont fall trap like . feel free email specific question . 
 Oct 18 2004 	 pleasantly surprised 	 group girlfriend go Vegas vacation . originally find place internet book price much well place strip try save couple buck . make reservation , look web site read bad review pretty nervous go hotel . sound unsafe , dirty unaccomadating . none thing . we show overbooke 2 bedroom unit reserve , quickly take care we give we 2 one bedrooom 2 bedroom unit reserve additional cost . give we choice room want . room courtyard key accessable gate get feel extremely safe . room clean freshly remodel . large party next room worry first get , room , could hear . kitchen stock dish , etc would need even give starter pack coffee not shop first night . easy walk strip . follow street block cut Imperial Palace , usually . hotel staff take great care we , security take we golf cart room . leave , hotel staff make arrangement shuttle airport wait we . would definetely stay . 
 Oct 14 2004 	 Perfect place 	 read poor review Summer Bay make EXTREMELY nervous , book place 5 girlfriend 40th birthday celebration . arrive around 7:00 pm October 9th find hotel overbooke two , 2 bedroom unit want . mistake hotel make , make discount reservation site use book unit . hotel staff offer put we four , 1 bedroom unit evening , morning could move 2 bedroom suite want . look several unit , bit nice other , unit clean , modern , well stocked . resort pump million dollar renovate old property , great job . bed , furniture floor new , unit look though renovate last year . many towel fluffy , shower water pressure strong , bathroom spotless . fresh paint artwork wall , kitchen fully stock new appliance , dinnerware , cook utensil . air conditioning work perfectly , door lock flawless , window screen . ground attractive well keep , pool clean inviting , staff nice . my friend opt stay room already instead switch morning arrival . resort management qualm let we stay , even though take 4 unit instead 2 originally want . the location perfect , directly behind Imperial Palace , away frantic pace strip , 5 minute walk directly action I.P , Ballys , Hilton Vacation resort . frequently walk neighborhood alone night early morning , sometimes group , sometimes alone . never feel threaten . my advice would call hotel directly speak front desk make reservation make clear want reserve renovate unit . Summer Bay seem really want business willing bend backwards make happy . we check 5 minute morning 12th , hotel make arrangement shuttle airport 6 we . price place excellent , hope back next year . take chance , bet pleasantly suprise . 
 Sep 28 2004 	 Nightmare Vegas 	 totally agree review title : & quot ; not believe Photos & quot ; , post page . every single word person say , true ! ! addition ... arrive Summer Bay Resort las Vegas like live nightmare . the reception might place sort match de picture display web page mean facility definitely personnel . completely underdressed , rude totally impolite . the room give feeling trap 50 year old trailer ( trust even bathroom give feel - old , rusty whatever else description match ) .The call & quot ; swim pool & quot ; sort oversized bathtub situate 3 foot away sidewalk , separate fence lead must loneliest street Vegas . regardless say would never walk street night . it shock see calm personnel resort remain know frame customer . regardless say not even attempt unpacked . return reception , check course lose US $ 800 deposit not even ask reason leave . amazing ! ! ! good review web page , must write owner , not believe one second somebody say something nice place ! ! ! 
 Sep 25 2004 	 Beaten Path 	 skeptical reading Trip Advisor review . resort quite pleasantand quiet . set behind Imperial Palace Flamingo , retreat close Strip , far enough away peace . the ground clean , staff efficient , always give lift golf cart ! room newly remodelle quite comfortable . fresh towel , warm hot tub cool swimming pool . we positive stay . 
 Sep 24 2004 	 Nightmare Summer Bay Resort Las Vegas 
 Sep 21 2004 	 oh Pleasant Surprise ! 
 Sep 21 2004 	 stay away ! 
 Sep 7 2004 	 ` ` Resort '' 
 Aug 31 2004 	 ` ` Smoke Mirrors '' Summer BAy 
 Aug 25 2004 	 bad service bad bug 
 Aug 23 2004 	 Cheapo . change owner 100 time 
 Aug 22 2004 	 BUMMER Bay Resort 
 Jul 14 2004 	 not believe Photos 
 Feb 1 2004 	 large room - nothing fancy 
 Nov 25 2009 	 Excelente 
 Jun 14 2009 	 excellent 
