amazing 	 stay hotel head Paris Eurostar honeymoon ! will honest - bit budget cheap 4 * hotel could find within walking distance St Pancras - expect much . staff friendly check , hotel clean well present . bed HUGE comfortable indeed , really amazing thing view ! ! ! 14th floor direct view London Eye . way hotel organise mean pretty much room brilliant view London , book special room upgrade . excellent value money - wonderful start wonderful holiday ! 
 Oct 19 2004 	 avoid cost ! ! 	 well , base review first day , hotel seem expect ... bit low charm & amp ; service , solid value definitely convenient . then , fifth night , come back room find break . valuable open go , thing like wallet U.S. ID & amp ; cash cell phone ( work U.S. ) , hide suitcase closet . , add insult injury , thief sail Harrod 's purchase day , right shopping bag . while horrible enough , nothing could top callous indifferent attitude Hotel Manager ignore we least 36 hour finally get feed deliberate runaround staff give we insist speak , whereupon tell we & quot ; prove someone get , & quot ; , tell employer ( international TV network ) want know outcome , respond , & quot ; not threaten I . & quot ; clearly intention & quot ; run clock & quot ; check . ( unfortunately book Expedia , prepay entire stay . ) concession charge we international phone call need make cancel card etc ! gracious ! , night leave , front desk clerk honest enough tell hotel several robbery room past three week , electronic target . bad not & quot ; prove ! ! & quot ; terrible incident exacerbate bad management ever encounter , dealing . never ! ! visit / robbery occur October , 2004 . 
 Oct 13 2004 	 great family incredibly convenient . 	 family stay hotel three day early October . corner room low floor large bed pull - out sofa bed . room clean comfortable . problem noise level Euston Road . could solve ask room rear property . not understand negative comment breakfast find quite acceptable include room rate . well breakfast one certainly one complain about . connection Underground bus could beaten two major train / bus station ( Euston king Cross / St Pancras ) 3 block hotel . there also many dining opportunity immediate area along Marks & amp ; Spencer & quot ; Food & quot ; store Euston Station choose buy food eat room . the staff efficient overly friendly one people value efficiency far much fawn clientele . overall , recommend hotel certainly would willing stay next visit London . 
 Oct 3 2004 	 great hotel perfect location 	 Novotel right 2 major train station London easy walk either . also next British Library floor get great view city . panaromic elevator add bonus . room quite spacious clean . bathroom modern nice glass fitting . find staff efficient friendly . exception fire alarm first morning staff appear totally unprepared uncertain direct guest . eat restaurant appear nice . numerous restaurant within short walking distance . overall good value weekend rate beware steep increase week . 
 Sep 15 2004 	 Multiple Problems Good Location 	 several problem hotel , although staff try hard fix . first , entire hotel phone system arrive . 2nd floor room noisy air conditioning , hot early September weather . move room handicap , shower left quarter - inch - deep pool water middle bathroom floor . next morning , awaken fire alarm , tell false alarm leave , leave , . location good , next door British Library three block Euston station . 
 Sep 13 2004 	 good value except breakfast 	 & quot ; bid & quot ; Priceline & amp ; get good price . much well price obtain directly hotel . room clean & amp ; well - maintain . staff nice . bar open late good thing neighborhood bar close 11 pm.location particularly good - especially construction . breakfast ripoff . numerous good choice neighboring street . 
 Aug 1 2004 	 July 2004 - good hotel 	 July , 2004 - large hotel busy stay 5 night . appear service corporate crowd , well tourist . the post & quot ; rack rate & quot ; 160 Eng pound per night basic room , though Expedia rate 85 Eng pound - appear still high other list prior review . room terrific . bathroom fantastic - modern - peculiar twist shower curtain . bed mattress terrific provide real duvet blanket , real treat . clean spacious , consider price . staff polite friendly . corporate crowd mentality . problem hotel furnishing really quite nice , colour scheme use light colour carpet , wood trim , etc . mean slighest wear tear show noticeably hotel use traditional dark colour scheme . hotel great shape , 5 yrs old , wear tear show , especially look it . hotel gym completely unused , spacious well - equip 5th floor , 50 % room encase window . comfortable workout room . if be expect 4 star North american hotel , might disppointe . solid 3.5 star hotel north american standard . location terrific us - young tourist look take time explore London week . tight timeline , 15 min travel busy City area problem . get hotel , tube , Heathrow Airport ridiculously easy . hotel inbetween king Cross station Euston station - 3 block either way . busy location , also service bus constantly . neighbourhood busy street , low end housing directly north hotel - safe walk night . well - light well - travel main street . finally , Marks Spencer & quot ; ready eat & quot ; convenience store Euston station ( City ) really convenient reasonable meal option budget . we would stay , similar price . 
 Jul 13 2004 	 good value 	 husband stay hotel 4 night start June 10th . book hotel Priceline little nervous hear near king Cross , actually close Euston tube station ( 3 block away . ) room great price pay . carpet stain , $ 90.00 fine . restroom modern clean . quite impressed priceline find . find staff kind , watch breakfast . include rate . 
 Jul 1 2004 	 return - good value 	 stay two night June 24 , 25 enjoy hotel much . block St. Pancreas Station , 3 block Euston Station 3 block king cross station . easy access to / from everywhere . choose want take Thameslink train Gatwick walk hotel . Thameslink arrive king Cross . later take train north York , king cross . handy location coming go . modern hotel , i.e . remade victorian townhouse . professional staff . lovely room operable window fully controllable heat / air conditioning . glass bathroom , i.e . door , sink . despite full house , hallway / room quiet . return July August . good book via internet great rate . negative : stain carpet room ; free hi - speed internet access . British Library across street offer wireless access Starbucks across street , Internet Cafe 3 block away . 
 Jun 22 2004 	 good stay Europe 
 Jun 21 2004 	 okay expect 
 Jun 15 2004 	 impressed 
 May 16 2004 	 great hotel price 
 Apr 26 2004 	 good price London 
 Apr 10 2004 	 good quality / price ratio ever experience London 
 Mar 24 2004 	 Great Locale Bloomsbury 
 Mar 14 2004 	 good hotel 
 Mar 9 2004 	 say tin 
 Mar 4 2004 	 not high expectation 
 Nov 23 2009 	 très bonne situation mais très très bruyant ! 
 Nov 20 2009 	 Hotelbewertung 
 Oct 31 2009 	 CONVENABLE 
 Oct 7 2009 	 Génialissime 
 Sep 23 2009 	 magica Londra ! 
 Sep 13 2009 	 un peu trop bruyant 
 Aug 27 2009 	 très bien ! 
 Aug 16 2009 	 Buon albergo 
 Aug 16 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 11 2009 	 hotel trés bien propre et bien situé 
 Aug 9 2009 	 Hôtel bien situé . 
 Jul 6 2009 	 Un bon hôtel londonien 
 Apr 21 2009 	 Ottimo hotel per visitare il centro di Londra . 
 Mar 27 2009 	 Un buen hotel en un barrio tranquilo 
 Jan 28 2009 	 Perfekt für Eurostar - Reisende 
 Dec 22 2008 	 hotel la classe 
 Dec 14 2008 	 très bonne situationnovotel de bon niveau mais ... 
 Nov 17 2008 	 bel hotel bien situé 
 Nov 5 2008 	 Gut aber überteuert 
 Oct 19 2008 	 zona comoda pulito 
 Sep 24 2008 	 Muy buen hotel fantásticamente comunicado . 
 Sep 6 2008 	 Un buen Novotel 
 Jul 28 2008 	 Digne des Novotels moderne 
 Jul 21 2008 	 Vraiement cher pour la prestation 
 Jul 17 2008 	 excellent accueil 
 Jun 24 2008 	 très bon Hôtel 
 Apr 28 2008 	 Très bon hôtel 
 Mar 28 2008 	 adecuado 
 Mar 25 2008 	 Ottimo Hotel 
 Mar 25 2008 	 Trés bon hôtel Excellente situation 
 Mar 2 2008 	 Tout dépend du prix 
 Jan 10 2008 	 Superbe séjour 
 May 24 2007 	 gustó mucho 
 May 19 2007 	 Un bon hôtel bien placé 
 May 2 2007 	 podría haber estado mejor 
 Apr 9 2007 	 fantastique hotel 
 Jan 16 2007 	 NOTA : 8 
 Sep 13 2005 	 Modernes und sehr gute Hotel guter Lage 
