great 	 rare thing - large hotel personal touch . register impose lobby , someone let slip birthday . two hour later , wine , chocolate card arrive room . can not buy sort pr . have arrive three hour ahead check - in time , accommodate without fuss ; 's underestimating value flexibility weary traveller . concierge travel / tour rep . equally helpful . hotel great location 42nd Street , many sight within comfortable walking distance . be go far afield NY state , Grand Central Terminal right . room large clean bed comfortable . bathroom surprisingly small ( even english guest ! ) , wife bemoan lack decently light magnifiable mirror contact lense , make - up etc . also , seem one place eat hotel around 1200 room . small quibble . overall , terrific . 
 Nice Thanksgiving New York 	 stay Grand Hyatt six night Thanksgiving week . overall nice hotel , minor glitch way diminish wonderful week New York . upon check - in , front desk agent inform upgrade & quot ; Lexington Suite & quot ; . nice big room overlook Lexington Ave . , Chrysler Building right next we . beautiful view room 1926 ! bed absolutely wonderful ; comfortable luxuriously soft . normally trouble fall asleep strange city ( especially New York horn honking 24/7 ) , problem bed . nice flat screen tv swivel could either turn face bedroom face tv area . great touch . nice feature in - room safe , iron ironing board . bathroom amenity also unique plentiful . follow minor problem notice stay : wall thin ( not hotel day ? ) . next door neighbor ( room 1925 ) bunch loud guy bang around yell hour day & amp ; night . make matter bad , smoke storm room . room non - smoking smell permeate hallway sometimes even come room . Nasty . plenty hot water take forever come [ hot ] faucet . let water run several minute come hot . guess travel long way . long day sightseeing walk , back hurt , decide take & quot ; sit bath & quot ; relieve ache muscle realize tub stopper not close . try try not work . use washcloth plug drain ( not work well ! ) . not bother report maintenance since not plan take bath . oh , wireless internet $ 9.95 24 hour . use connection fast & amp ; easy ( Mobile Hot Spot ) . not bother eat restaurant use room service hotel . comment quality see price stay away . nine dollar coffee ( one person ) ? thirty - Four dollar french Toast ? really , ridiculous , even New York . restaurant price , & quot ; jack - up & quot ; price room service . favor grab breakfast ( meal ) Grand Central Station . right next door will not even go outside access . take corridor low lobby level make right . take directly . be also starbuck corridor actually less expensive & quot ; coffee cart & quot ; lobby hotel . favorite place call & quot ; Hot Crusty & quot ; . able buy 2 large coffee , bottle OJ , bottle milk wonderful croissant total 8 dollar change . honestly , not know would ever pay extravagant hotel price . still shock ! be another money - save tip : come airport , go online book Super Shuttle . yes , share van make several stop , lot less expensive ( easy ) taxi . ride La Guardia $ 13.00 plus tip ( 16.49 ) . also use go back airport . save buck book round trip . overall great hotel , little bit away major noise crowd Times Square . would return , especially know get around pricey add - ons . 
 nice hotel 	 location hotel great look upper midtown new york city , also easily connect elsewhere via grand central station . cheap hotel stay grand building . staff credit hotel really helpful , polite friendly . room adequate size quiet good view side . I would however agree reveiw say business focus . conference business guest seem get slightly preferential treatment whilst house . 
 fantastic location 	 proximity Grand Central Station Newark airport shuttle stop make hotel convenient location . front desk busy , help quickly check early not issue . initially put extremely small room , notice much large room , call request change , deny . speak different front desk agent person , give slightly spacious room . furnishing average public area seem clean well - maintain . overall excellent business choice NYC . 
 Sep 16 2009 	 Grand Hyatt NY 	 stay Grand Hyatt NY 2 week expect stay well average see part Hyatt chain . wrong ! room 18th floor view high rise , expect New York City high rise building everywhere ; ) window room mirror opposite people building could see room . least problem believe ... first thing notice mould grow corner ceiling near aircon / heating system also paint start peel away guess due moisture . going ask move however not sure room US Open Tennis player also stay too . we also notice mini - fridge minibar . rang front desk tell come standard request one send room charge ! certain read site minibar / mini fridge include room staff member tell would send one complimentary . we also request bathrobe slipper ( much hassle , weird also already room consider state site ) .Amongst thing room not clean properly everyday , wall thin could hear people snore next room people walk hallway . staff helpful ( also find throughout Midtown ... would always get blank stare , ignore reply & quot ; not know & quot ; & quot ; 's job & quot ; ! ) also huge disappointment ask something . everyone pass buck unfortunately endure 2 week ! ! ! another thing drain system . drain bathtub would clog foot would pool dirty water shower half way shower would drain away . time toilet would also flush properly ! ! suggestion stay somewhere downtown away centre Manhattan . receive excellent service retail food industry soon leave Midtown ( Greenwich Village , SoHo also Brooklyn ) . yes stay Midtown handy get Uptown downtown ease , NYC Subway bus system good fast not take long get one end NYC ( PS- Subway MTA MetroCards way go . get 7 Day unlimited pass usd $ 27 gold . use bus subway train day . make sure 's 7 day MetroCard usd $ 20 unlimited , make thin paper card . usd $ 20 worth credit 7 day use . want $ 27 unlimite MetroCard make thin plastic . ) sorry get track ... hyatt live 's reputation silver service . general room leave bad taste mouth also nose ! pay less Hyatts receive much well service ! excuse Grand Hyatt NY , return ever . 
 Sep 14 2009 	 Excellent location 	 great location next Grand Central Station ( internal passage connect hotel station ) . large room , nice decor , cleanliness could well . ' ve stay hotel 3 time last 2 year . size bathroom even room vary greatly category . go cheap room , may end large one price . service fast effective , charge everything ( even store luggage check want leave later ) . 
 Sep 14 2009 	 Hyatt 	 Diamond Member Hyatt worst one ever stay . even member Club receive free breakfast , drink , etc . appalling - like entire hotel invite inside . entrance build dark old , really need bulldoze redone . room decent 's obvious completely date addition flat screen , new fresh linen etc attempt spruce thing . hear NY City hotel joke , one sure live . major bummer Hyatt Adelaide Australia ( pop 1mln ) significantly nicer Hyatt NY ...... blech . 
 Sep 14 2009 	 stay Grand Hyatt anniversary weekend prove money well spend . 	 exceptional service staff ( especially front desk concierge ) clean , spacious comfortable room really help make weekend New York enjoyable experience . upon hear 35 th anniversary , bottle wine strawberry materialize room breakfast voucher offer next morning . robe slipper always welcome touch staff concierge desk particularly helpful . location could well term airport shuttle , access tour Grand Central Station . expensive simple getaway weekend , hotel would visit special occasion . 
 Sep 9 2009 	 incredible location friendly staff 	 stay Grand Hyatt four night U.S. Open . pleased hotel . location incredible – attach Grand Central Terminal . first night spend small room double bed . next three night , move huge room ( 2427 ) king bed lot space large shower . nice décor . staff friendly , ballroom renovate , show tennis tv lobby . perfect ! also like handy computer lobby design print boarding pass . 
 Sep 9 2009 	 Service 	 Hyatt Gold Passport generally speak ' m quite satisfied never return Hotel ... book two room 4 day hotel four month advance ask get floor , arrive propose two room different floor , finally long discussion provide we two room ( one King ask two teen two Queens ) . NY Hyatt Regency Los Angeles spend great time good service even Hotel expensive , know .After good night , reception call we ask we move two room floor due issue water , mentionne manage luggage pack leaving , compensation give we breakfast coupon duration stay . inconvenient spend least 1 hour get breakfast .... return evening give we two room different floor , refuse ask two room floor two hour discussion finally find two room we not find luggage , take ( ' m say oblige ask several receptionnist get attention ) two hour find ... glass bathroom , six hanger , slipper ... 5 * hotel , 's amaizing ... business hotel , everything charge ... departure oblige pay 2 $ per item hotel keep luggage . under & quot ; concierge & quot ; recommendation , ake bell man taxi go Newark Airport seem complicate say good way take Hotelcar , price around $ 85 plus tax arrive Airport driver ask 120 $ .... advise not trust Hyatt employee banker pay ... hotel well situate ... 
 Sep 8 2009 	 Great Hotel Great location 	 wife stay special birthday recently . check breeze automate KIOSK , wait ! staff courteous competent . bell staff good right checkout , end loading car . good overall experience . 
 Sep 2 2009 	 Fantastic Trip 	 travel aunt mother New York short shopping trip May ' 07 . stay Grand Hyatt Hotel little pricey excellent overall . room average size ( big enough 3 though - ask large room strange reason next room even small , stick 1st room ) tastefully decorate clean . room clean everyday plenty fresh towel replace daily . hotel situate next door Grand Central Station ideal location link fantastic . thing could say feel restaurant price plenty restaurant / deli 's surround area . head New York / Grand Hyatt come November ' 09 Thanksgiving course fabulous shopping sale ! ! ... can not wait ! 
 Sep 1 2009 	 Nice hotel expensive eat drink 	 book 3 month advanced ( request quite room 2 double bed view ) . * subway doorstep one main reason book hotel . * hotel lobby opulent plant large water feature . * checkin quick easy - due arrive late - 7.30pm * staff nice friendly * although room clean reasonable size , small room hotel , quite 2 double bed view another room . bathroom reasonable size combine bath / shower * tv keep lose reception , report twice still fix . * due work , would affect room , management suggest move offer similar room . request upgrade move suite . * Suite consist bedroom , lounge , study / dining room two small bathroom near elevator ( noisy - could clearly hear conversation ' bing ' elevator open floor , often ) . * coffee / tea facility room , fridge - could one @ cost $ 25 / day . * could afford eat drink hotel room service expensive ( $ 9 coffee coffee / toast / egg $ 25 ) one restaurant open price . * try coffee cafe $ 3.00 passable . * save Grand Central Dining Concourse provide fantastic selection reasonably price food wine . * due work Transport Authority keep lose hot water one occasion without notice peak time ie 5.30pm 10.30pm Friday night * Checkout lengthy ( take least 20mins ) * need business front desk ( like simple matter exchange currency ) need line checkin / checkout people - could lenghty procedure , make sure pick time . * use internet Business Center cost $ 5 10mins ! ! ! probably would recommend hotel many negative 
 Aug 31 2009 	 need upgrade ` ` Grand '' franchise 	 first good bit , location good get business Mid Manhattan , breakfast good , overlook 42nd street good place eat ! ... erm sorry good bit . Got 1 ' clock long flight , seem like even long immigration line protract taxi ride sullen driver ( need learn manner ' look get tip btw ) tell check time 3 ' clock would wait ! ... classy service far ' concern . room become available hardly worth wait , small dark need maintenance ... ' lot , restaurant evening , bar like 70 ' gentleman ' club , lobby reminiscent airport lounge etc ... etc ... etc . it ' accident hotel poor rating site good rating get main people ' manage blag $ 99 deal priceline , ' pay $ 99 review might bit different ! ' pay $ 350 + 5 * hotel ... ' cut ! ! 
 Aug 28 2009 	 hot water 	 Yikes - hot water . guest upon check - in receive letter say hot water due problem adjacent Grand Central Station . letter indicate problem resolve . check 3 pm . still hot water 11 pm . 
 Aug 28 2009 	 Bed Bugs 	 two friend take girl trip NYC stay Grand Hyatt . one friend share bed four night we come home bite bed bug . receive medical diagnosis picture bite . first day home friend call front desk manager tell situation . non - chalant problem say would look . call next day file formal complaint upper mgmt say have first remove occupant room ( do day ) . formal inspection room company choice send ( two request ) simple report state bed bug find . insurance agency would help we well . request reimburse hotel stay medical expense . refuse request . hotel cost $ 300 night , time work , medical expense , time lose re - washing every piece clothing take . strongly recommend stay hotel . 
 Aug 25 2009 	 central location yet typically NYC rude / stubborn personel 	 good thing first , extremely central , next Grand Central Station . great pool , kid definite low . , seemingly Big Apple get . stay Grand Hyatts , practically bend backwards . stay Executive , live Grand Suites perk . therefore accumulate quite number & quot ; Miles & quot ; ( Platinum Member year ) want use . this visit make Executive , thus also treat like usual Joe , try cut corner score free - bee . specifically , misunderstanding , stay , use Miles , breakfast include , normally Grand Club Member ( GC breakfast basic tell ) . check - in , offer upgrade GC , usd 75 ( something mind , since first time use Miles , complementary ) . well figured , go take advantage NYC diner eat always anyway , ask upgrade . give coupon coffee , end also joke , count coffee having . we end breakfast kid , come bill , usd 95 ! well , dicussion waiter , try enpower , work , complain front desk , try enpower , work ( obviously GH empower employee ) . never complain , thus expect would reason , yet hold guy always take advantage . bad ! still like GH , yet one , ' bad Apple . should go back , will make sure ' m Exec Duty , will vote foot . 
 Aug 20 2009 	 one good deal NYC 	 ' ve stay Grand Hyatt time & amp ; ' m always satisfied . Great Location ! sure bit old spot do not think huge problem mean ( like Intercontinental Barclay ... not get start place ... ) pay $ 250 + yes could probably well usually pay ( usually around $ 150 total priceline can not beat ) room always decent size ( unlike Paramount rip place ) term inexpensive food , not order room service , not go across street ... go right Grand Central Station Gourmet Food Court ( low level ) .. anything want right .. especially convenient go January .. 's door lobby lead without ever go outside . major subway etc ... ' m fan super huge hotel mean ' ve never bad experience staying week 
 Aug 19 2009 	 room old AUGUST 2009 	 room old AUGUST 2009location goodI pay ~150 $ per night VIA pricelineI think hotel worth money . I would prefer take small hotel , free wireless ( one 10 $ per day ) , include breakfast ( & quot ; breakfast place across road awful . not go ! ! ! ) way , not pay much . location good need take sub 2 station get timesquare 
 Aug 17 2009 	 great deal find 	 recently take trip New York city stay Grand Hyatt . location fantastic - literally next door Grand Central Station , location city quick Subway ride walk away . manage find great deal room Expedia - pay less $ 200 per night , normally room would nearly $ 400 . reception / concierge service good location could not well . avoid hotel restaurant buy $ 50 per day convenience charge breakfast ... food hotel big rip . $ 9 cup coffee room service , $ 28 omelet . restaurant not much cheap . good thing many many restaurant course Star Bucks locate within easy walk distance hotel . the room clean , big expect comfortable . would not want pay $ 400 per night , deal less $ 200 totally worth . 
 Aug 15 2009 	 new york new york ! 	 really enjoy stay Grand Hyatt , read review New York hotel say small , case Grand Hyatt , adequate space , bed comfy , shower good , room clean , tip would recommend checking , request room be not one adjoining / family type , want good night sleep travel could get early start next day , unfortunately guest adjoining room ( we ) return 3 am & amp ; decide party , soundproof adjoe room seem like paper thin door , feel like party room ! ! ! ! credit staff , complain next day ove large corner room ( adjoining ) & amp ; complimentary bottle wine & amp ; strawberry dip chocolate deliver room evening , say great stay New York , would recommend hotel location & amp ; comfy bed & amp ; clean room , NYC , do not really spend much time room . great place stay ! 
 Aug 15 2009 	 great location nice staff restaurant bit overprice 	 write email hotel long arrival request non smoking room one upper floor . never get response . however able fill request time check . nice room 27th floor . room big , bathroom pretty tiny space put staff . stain bathroom floor tub . could vacuum room bit well clean . also walk closet . bed comfortable good sleep , room quiet . the view room 2736 bit block building across side pretty close since street buidling also quiet . internet wireless 9,99 extra day . we breakfast every morning restaurant Commodore Grill . bit overprice good quality . the staff always nice , reponsive helpful . location excellent . next Grand Central Station withe walk distance Empire State Building , Rockefeller Center , United Nation Headquarter , Time Square interesting point . I would stay ! 
