great 	 lovely hotel , good view 59th street bridge particularly top floor bar . 10 minute walk central park much time square . great bar restuarant local area . amazingly large room central new york . two double bed room , space around edge ! can not wait go back ! 
 worth price - even discount ! 	 get $ 168 rate two night right thanksgiving give review think worth ( could ' ve save $ 50 day similar east side hotel ) - wrong . first dead area beyond York Avenue , right water thing nearby Mobile station . feel desert pull . come international flight lot luggage - one help lug stair . front desk professional nice - upgrade King bed . inside room , like decor bathroom ( nice bath product ) start notice glitch . heat 50 plus degree outside - way open window turn A / c hate use , need nap heat would ' ve keep awake . hotel directory service ( not know gym restaurant etc . ) tired go long walk store look minibar price see would cost drink water sleep .... could find price list anywhere even look inside minibar -- hot room ? ? ! ! nonrefrigerate drink - 's point ? basic cable even HBO ? several channel freeze ... regular rate $ 200 night , spring well cable . bad housekeeping . slam door almost half hour straight morning - 10 room floor housekeeper keep walk room let door SLAM loud noise . finally ask close door gently jetlagge - night try sleep . rude say - well , check room . say yes , door not need slam ! slam door call front desk complain . half hour later doze finally , room phone rang . HOUSEKEEPING ! ask wanted room service . response REASON disturb sign door keep bother housekeeping -- - disturb mean not call EITHER ! guest need something , course ask . badly manage place general feeling lack care room amenity . free wifi even lobby - walk Starbucks check email . pleasant experience front desk staff . 
 good price / poor location 	 stay partner 4 night hotel choose primarily sale price $ 190 per night . take consideration hotel generally provide discount early 5 day check - in date . also hope moderate pricing hotel service , . Wi - Fi internet cost $ 15 per day , local call also charge . location hotel little bit poor . hard get centrally locate site foot . try first day , decide take taxi . average taxi ride Times Squire cost $ 10 - 12 . like room design , furniture tired , tired thing heater work well . stuff reception helpful good looking ) . 
 Mar 2 2009 	 great value - small issue 	 stay Bentley past weekend 2 night . overall , great value ( $ 100 per night , plus taxis fee = $ 234 ) , make small issue deal . first , although have book three week advance ask room upper floor view , put room second floor view ' charming ' building across street . staff mumble something ' damage do number room ' excuse . second night , promise room upper floor ( hotel 20 floor ) well upgrade . well , come back next evening , discover identical room 6th floor . upgrade whatsoever , room problem heater . not big deal , somewhat annoying . guess expect much hundred buck ... positive side : room spacious clean . bed comfortable , bathroom clean large enough , great , hot shower . also , glass wine bar 21st floor evening ( great view ) $ 7.50 , bad NYC . people complain location far ( ? ) . well , guess depend call far preferred mode transportation . enjoy 30 min walk city Times Square well 15 20 min ' hot spot ' Fifth Ave . south entrance Central Park also within 15 min take great walk sun Saturday morning . 
 Feb 28 2009 	 great hotel room show friend definitely home away home place stay one night . 	 first time New York pick Bentley Hotel not old price & quot ; 4 - star & quot ; rank hotel time good deal ( $ 160USA ) compare hotel look ( book day hotels.com ) . read bad review prepare anything . liked : - close La Guardia airport , taxi hotel cost ( $ 22USD ) - great alternative fly JFK airport think read somewhere would cost $ 45USD taxi.- close New Yorkers live , location surround residential building not feel like live tourist zone- modern furnish , clean bedsheet , clean bathroom- great solid comfy queen sized bed - large window ( though curtain need come night otherwise people live opposite face apartment see fair distant apart ) view bridge far leave window level - think 6th floor nothing really rave aboutDISLIKE : - luggage assistant arrive , manage heavy backpack maneuver door - Staff appear alive front desk staff check in- heater work well heat room not additional blanket use wake night feel bit cold- ipod dock work- bathroom set appear resemble disabled person bathroom - toilet high seat lid , chair shower , basin large handle turn tap , put tooth brush toiletry bag hang clothe shower ( remember toilet seat ) - towel rack water shower head could reach rack , shower curtain hook also keep fall move get shower- water tap either super hot cold , way adjust & quot ; warm & quot ; reduce show time - must pay internet , pay tv channel snack even move box - apparently sensor system move item 30 second get charge room - not test fear would charged- space mini bar personal snack also special sensor system item remove - kettle make tea cup - great sleep wake 6 am sound police whistle direct morning traffic attempt get back sleep noise continue 10 am - Noisy / loud talk guest next door obviously case caseMOST UNHAPPY : arrive back long day find clean closed door properly clean / room break ( sure really ) since not trust anyone lock personal belonging go minimize chance anything steal . complain front desk response acknowledge call small apology . summary : stay 4 night , walk get main avenue okay since tourist would probably recommend first time tourist stay somewhere close action not enjoy walk . overall neat , clean modern place stay sure whether enough compensate simple luxury heated room , warm shower temperature , able sleep , competent cleaning staff , room fridge store personal snack , kettle make tea . would say not fabulous terrible could definitely improve quality service , feature guest bathroom design . 
 Feb 26 2009 	 clean comfy mod -- good parking 	 stay Bentley Valentine 's day weekend , expect madhouse . quiet , hotel basically : basically wait elevator , breakfast , etc . hotel way east side city , get place little tricky be time - crunch not know city well , always cab cab stand , access FDR make get down- uptown easy . the decor modern ( Hudson Hotel modern , nice ) comfy . lovely view . fun weekend away couple look anything overly fancy . totally walkable Central Park good brunch spot . solid find great price ( check Expedia ) . 
 Feb 24 2009 	 price get make stay worthwhile . 	 go open mind get good deal Expedia . review good , brace possible disaster . pleasantly surprised . reception : staff friendly helpfullroom : clean . large NY , bed big & amp ; comfy . crack view 20th floor . restaurant : simple , pleasant breakfast . great 21st floor view start day with . location : 5 min walk Bloomingadales & amp ; Lexington subway stn . much else local area though greet pleasant helpful front house staff reception area fairly slick boutique hotel kind way , little worn . request deluxe room view bridge provide , ask one high . floor 9 view bridge , river obstruct another building . move 20th floor love view . ( would say aim 14 high ) room clean big enough ( New York standard ) bed large comfy . view great worth request ....... nice look watch world go morning night . the 21st floor restaurant miss oppurtunity , understand push / spend money would make journey stay . breakfast , continental buffet cereal , bagel ( toast like ) , croissant , muffin , fruit , yoghurt tea , coffee , juice etc . could deem expensive $ 12 , relax way start day great view . other 's comment location , really 5 minute foot Bloomingdales therefore subway Lexington would generally take cab dinner reservation anyway . honest , little else area . would stay ? yes price ( £ 70 incl tax per night ) , possibly full price say £ 130 per night . 
 Feb 23 2009 	 nice trip great city 	 love hotel ! great bed , verry clean.and nice staff ! 
 Feb 10 2009 	 Dreary good deal 	 bring 16 20 y / o girl wife week - end see show . deal get Hotels.com good NYC , room spacious . continue problem decorate style seem favor go ny : dark , minimalist , cold . desk staff somber ( NY cool / aloof ? ) enough without black outfits match black wall silver accent , enter , whole gestalt feel like mortuary fun hotel . digress . confusion validity reservation , upgrade treat well staff . helpful way along , get we info Central Park carriage ride , good place breakfast , ( recommend we : Alice 's Teacup 64th lex ) . mention , room big NY standard , chair view . room need work , though . couch 's arm wear almost stuff , rip cushion . cushion girl ' couch big stain type make want sit . find bed hard . bar / restaurant good view drink reasonable ( 5 buck Sam Adams compare 8 buck mini - bar ) .I would recommend Ritz Diner 62nd First Ave . morning coffee basic breakfast ; good portion decent price . across street Ritz restaurant call Merchants . amazingly cheap dessert ( $ 3.50 per person ! ) terrific , would go back dinner stay another night , price incredibly reasonable . big plus cheap parking : $ 20./day ! Unheard Manhattan . , hotel locate great place drive : right ramp FDR North / south . block adjacent Bentley pretty , within block nice stretch walk enjoy neighborhood . 
 Feb 9 2009 	 Great Deal Nice NYC Hotel 	 husband go NYC quick weekend February 2009 . book Bentley one night Expedia , $ 115 per night standard room . check Saturday upgrade suite without even ask . room modern spacious , two flat screen tv lot seating . corner room 7th floor large window let lot sun . bedroom french door lead comfy bed . bathroom little small , almost counter space , clean not need much room . Sunday morning , hairdryer break finish hair . call desk new one bring instal within ten minute . staff nice would definitely stay . drawback location . walk subway far tourist sight . not mind walk ( not ) pleased stay . finally , go , sure lunch Serendipity Cafe , block hotel 60th b / w 2nd 3rd . get Frozen Cot Chocolate ! YUM ! 
 Feb 2 2009 	 great stay ! 	 stay Bentley 10 day girlfriend , room 2001 mid january , delighted stay . read bad review bit sceptical , call hotel week ahead asked good room view brigde hudson , get ! already check - in feel welcome doorman front desk . follow we great room fantastic view promise . room big enough we , bed okey plus flat - screen . drawback bathroom , toilet do not flush time ( refill water ) problem hot water shower , sort let stay . aware mini- bar , remember 20second rule remove item . do not discover couple day previous guest actually eat whole pringle without remove ! Smart guy ! do not pay thank kind front desk girl . corridor bite dark that s really problem . small drewback also tv could offer pay - tv sport channel watch NFL nhl.yes , hotel bit & quot ; far away & quot ; could say new york , 10dollar candrive empire state area feel really safe . walk everyday around Time square start day . nice 20min walk . nearby also get avenue great shopping . problem first day find place buy fruit , candy , there s small shop 1 av , 200 m Bentley there s big supermarket brigde avenue hotel . also find small expensive internet cafe 3rd ave . important , 1th ave you ll find RITZ , prob good diner manhatten ! classic american diner , open 24hour , serve gigantic portion food ! service everything , food lovely cheap ! 20 dollar 2 person . talk food , chinatown , find Big Wong . prob get good soup world , watch , place get really crowdy ! forget weekend . want cheap hockey ticket , go official page club buy & quot ; ticket exchange & quot ; , go islandrs match , prepare long expensive journey . train Pen station take 1 hour till stop 10min taxitrip . ( get real taxi , one pirate outside train station , pay 20dollars ! remember buy return train , get right station , take another taxi wrong station say right one ) . leave match impossible find taxi , walk hotel nearby , get taxi ! , really recommend Bentley , come back summer ! PS ! new york January extremly cold , -14 degree , kinda set big drawback everything ! 
 Jan 28 2009 	 good NYC experience 	 stay - accommodatedmy girlfriend Saturday evening treat we like royalty start finish . joke way upgrade room , sure enough step polite conceirge beat ... give complimentary suite . walk zebra print room & quot ; Boutique & quot ; write ... make stay much special . want impress without damaging wallet , Bentley Hotel make feel like drive one ... not worry , will not even need open door . 
 Jan 28 2009 	 Nice Alternative 	 Bentley way Upper East Side . 4 - 5 block walk main avenue neighborhood nice . 1st room get reake smoke ( label ' non - smoking ' ) desk clerk immediatley apologise upgrade suite . beautiful view east river , 59th St bridge , Roosevelt Island cable car island . not eat drink rooftop bar . impressive expensive . always stay downtown could get room whole trip . bentley fine alternative . spend extra $ 20 suite ask upgrade . big room , great view ! staff helpful friendly . traffic noise hey , be big Apple .... fuggetaboutit ! 
