great 	 stay hotel twice last month stay Shaftesbury hotel area year . spend business travel stay big top hotel outside London year little spoilt . find decent hotel decent price London hard work company hit right note fair mix cheap room ( London ) smart , fashionable , modern , clean room . hotel great location close Paddington Lancaster Gate tube handy bright light west end park . money relinquish think large spacious room , little tight side travel alone normally spend much time room problem . room modern , well kitte ( tea , coffee , complimentary biscuit , iron great business traveller ) . good television set clean stylish bed free broadband ( quick ) . service ok far bad reflect price ( book via Shaftesbury group website great price £ 75 deluxe double ) . breakfast fantastic money ( acid test England sausage bacon good usual ' frozen ' fair ) . number reviewer complain turning room ... check term condition book price guarantee room hotel book ferry another group hotel . 10 0.5 mile vacinity far alike . use hotel chain stay London ( someone use Hiltons Radissons world ) 
 WORSE HOTEL ever ! ! ! not stay ! 	 HORRIBLE HOTEL ever ! ! never ever stay hotel . book 2 room hotel early Nov 2009 , get confirmation . 15 hour plane , energy anything else ! get hotel first check - in , say room we ! worse thing happen US : - get STOLEN right inside reception area hotel : bag 700 usd cash , one laptop , one digital - camera inside bag . bag put beside 2 laddie group , 2 man deal check - in problem . the camera hotel record everything , not know reason could find ! ! report case police london.- final treatment get hotel send we hotel , still charge we first day hotel never chance stay ? ! 
 May 4 2008 	 far well expect . 	 return weekend Hotel thank staff enough make stay London great experience . book double twin room 2 night arrival twin room unavailable . mean 2 teenage boy give single room . due ' inconvenience ' double room upgrade club breakfast add cost ! pay £ 110 per room per night bank holiday London feel overcharged . , room small , comfortable , big flat tv good AC . shower ( room 141 ) door open enough let squeeze side way . weigh 13 stone would bet money nobody stone heavy could access shower ! say fine we . breakfast really good . dining room tiny staff freindly food good , self service , english breakfast . reception staff great , Ones meet mostly asian helpful . particularly ravi sort problem , arrange late check - out look case charge . I could fault hotel . 
 Apr 13 2008 	 Disappointing 	 Booked hotel last minute business trip ( combine small amount pleasure ) . book superior double room 2 night . arrival direct toward build opposite face value seem quaint . however room basement definitely not warrant ' superior ' title . sound insulation not brilliant either could hear person walk around room upstairs . access room via tight stair case lift . natural day light almost non existant room window back onto small enclose courtyard . main gripe size room facility . fridge pre - opened bottle water , hairdryer not work ( annoyed wife not pack ) clean tooth angle tap trickle soak trouser . hilarious stumble around 5.30am way important meeting . parking Paddington station good 10 minute walk away hotel not offer discount parking . hotel locate fairly close Hyde park fairly nice part London 3 - 4 stop away Leicester Square Tube . would not recommend stay unless purely room rest head . would not want stay room long necessary . 
 Apr 8 2008 	 possibly small hotel room ever stay ...... 	 ok , title review not encouraging ! reception courteous efficient . room spotless well equip , though possibly small hotel room ever . think could reach touch wall either side bed without stretch ! say reasonable value need bed night arrive late leave early . its really close Paddington station . 
 Mar 31 2008 	 Hot Water 	 start hotel ........ ? well start positives.1 . staff friendly2 . Hotel look nice recently refitted.3 . room cost £ 69 night . negatives.1 . internet not work room.2 . room 2 m wide 4 m long ( ish ) . include bathroom.3 . heating ( really cold ) 4 . draughty5 . light blanket bed extras available.6 . control tv room entertainment.7 . hot WATER ! 8 . manager think nothing shout staff front you . I Room 030 . top stairwell go breakfast room . well early anyhow noisy . good overall experience . 
 Mar 18 2008 	 get pay 	 stay hotel overnight friend . fortunately get room bargain £ 60 , bore mind stay ( reason follow ! ) . room clearly single twin bed squash . really small , even London standard , enough room move around bed . curtain not fit properly window draughty . hotel like rabbit warren , room seem run every direction , lack sign reception area . real problem wake 3.05am central heating system spring life , rattle life radiator ill - fitting radiator cover . friend think earthquake ! |this follow blast gaseous fume window . beware room 015 ! plus side large wall mount tv bathroom recently refit . shower work well would impossible large sized person access . plenty tea coffee available room hotel well position couple minute walk tube . plenty place eat locally staff friendly . Christmas stay City Inn , Westminster excellent cost £ 40 large room , include breakfast , champagne arrival , bath robe free newspaper . there much well place stay London would unable recommend hotel . 
 Feb 7 2008 	 bad expect .. 	 book hotel web March 2007 quite cheap , great location website say hotel recently renovate . honest , not even think read review booking ( ' m fussy ) , stumble across site week booking read terrible review . spend 4 month constantly read new review see thing improve , 90 % review quite negative . book 3 night read room , service staff , prepare go war thing bad people report .. arrive around midday , staff know booking , room ready handed key . actually surprised walk room fully renovate everything really clean ( include bathroom ) . say room quite small re - arrange item fit luggage , good enough . shower however , different story .. never see small shower , top , also fit saftey handle / rail thing inside , cause lose even space be inside ! ! actually keep show door open order able wash properly ! ! stay 3 night one problem , 2nd day hot water system whole day . ask staff whether would fix , tell we problem room block . give key vacant room carry stuff across site another room , not clean yet . test water temp room see whether problem block . not surprise hot water either ( complaint reviewer ) . give waste around half hour move room room end cold shower room ( luckily London summer ) . apart , everything else fine charge correct amount check . hotel quiet convenient location . not breakfast include , find little cafe 2 minute walk main road , serve great hot breakfast 3 pound . I would stay hotel visit London . 's great location everything could need walking distance away include Heathrow Express . 
 Jan 27 2008 	 cramp clean 	 first room small , second room slightly large , still cramped.wardrobe 6 & quot ; depth ! .We ask bath also , bathroom shower smell bit ( room 204 ) .towel rail high unless be tall ! also ask two glass day 2 , still not arrive day 5on positive side .good tv general facility bathroom toiletries.cleanliness ok . Bethan Llanelli 
 Jan 18 2008 	 well worth £ 55 per night 	 Read terrible review hotel stay fear unfounded . room small tv huge . linen towel change every day . plenty roast hot water showering , shave etc . could find fault hotel . door staff friendly , counter staff seem reserve friendly . book www.laterooms.com get room wife £ 55 per night room . overall would give 9 ten . not waste money breakfast hotel surround cafe . one block away hotel small cafe name Raffles Cafe Diner . breakfast two egg , bacon , sausage , mushroom , tomato , cost £ 2.99 . also evening meal similar value food excellent . go indian dinner across road hotel terrible small portion lukewarm , overpriced plus service charge 12.5 % daylight robbery . conclude intend visit London near future book hotel 
 Jan 8 2008 	 not think bad ! ! 	 stay Paddington Court 2 night January 08 . find room quite small , see big person would fit shower , odd door . however , every part stay fine . elevator work , hot water , continental breakfast above - par ( compare London hotel trip ) . check - in , check - out smooth . enjoy mini - fridge free internet lobby , although shame guy spend 90 minute hog computer one evening . tea kettle fine . we pick hotel proximity Paddington Station Heathrow Connect , area around hotel also fun . lot restaurant , shop , pub within 10 minute ' walk . several hotel area , also neighborhood lot local . overall bad -- book British Airways online feel like get pretty good deal pay ! ! 
 Dec 8 2007 	 dump ! ` ` bad get ? '' 	 bad get ? first , good thing hotel : nice plasma tv room . quiet room face rear building get one . 3 minute walk Paddington station access Heathrow Express London Underground . litany thing go wrong make feel real dump.1 . reserve room start Monday leave Friday . Monday afternoon London time , call hotel States explain would arrive around 6 a.m. Tuesday morning willing pay Monday night insure could access room arrive red eye California . arrive Tuesday morning tell ' room . show confirmation paper tell " ' sorry , sir , reservation yesterday show up . " small hissy fit manager , turn plenty room give one.2 . request quiet room face rear building . give room ground face front street . try take nap constant footstep window make difficult . 3 . remote TV.4 . internet access break room5 . hot water . take ice cold shower.6 . ice cold shower , handle come shower would turn . ( pretty handy try fix avail.7 . try call desk tell water would turn . phone seem break ( turn dial " 851 " get operator instruction room phone . find ask desk . , evening ask manager explain difficulty receive new room . new room:1 . tea kettle work . call desk ask replacement . say would come right away . 2 hour later second call , kettle . way day stop desk gave write request kettle replace . 2 . middle night ( 2 ) , air conditioning condensate tube overflow . a / c/ high wall water come pour drench wall desk beneath . desk cell phone charging – soak . 3 . return evening , old non - working kettle . call desk ask replacement . minute later bellman show nice plate tea bag kettle . bring room , hand entire kettle tray ask leave return new one . ten minute later . 4 . internet dead door nail . call desk , say ' reboot system . still dead . day 3 internet access . 5 . inexplicable reason , plasma tv work fine new room go haywire . remote quit work together . tv 30 channel first day 6 channel . push every button could find luck . complain front desk say ' get fix . return room evening work fine – next morning go . 6 . final morning find housekeeper take shampoo soap leave none room – even half empty day . , bottom line desk people friendly nice nothing work place one seem capable fix anything . bad , could good hotel otherwise . 
