great 	 overall satisfied , lobby make feel expensive hotel . room perfect , however wall thin , neighbour keep knock wall small noise room . hotel huge , morning breakfast area totally crowd - breakfast selection quite ok . 
 Mar 26 2009 	 back heart beat 	 sister stay 8 night satisfied . everyone ( check , concierge ) helpful . hotel facade flashy , lobby nice , room pretty simple clean ( important ! ) par american standard . Tube 500 meter hotel , lot place eat , grocery ( Waitrose Tesco ) close . save we lot ! , love Bugis chinese / singaporean restaurant ... good price sunday buffet . Victoria / Albert / National / Science museum treat - & quot ; free & quot ; walk distance Millennium . lot place walk distance well - Kensington garden , Albert Music Hall , etc . thing like room face street car pass , be quite noisy night . could ask transfered bother . night tired anyway hear anything , LOL ! pay little extra ... 's worth ... ' ve stay hotel ( UK 5 time ) small tight friendly accommodating . next trip London husband , be definitely stay Millennium Gloucester ! 
 Mar 23 2009 	 short stay 2 night ... 	 1st impression good without prompt upgrade Millennium Club floor , , mind mean big room - think . staff good good choice morning fro breakfast - also quick turn - around restaurant - mixture tourist business . event Marriott , 5 minute walk away , ideally locate . good range evening venue wide range food . critism type hotel soul - less - oh , wish hotel would include internet access price , instead muck voucher etc . say would recommend - say tin good location . 
 Mar 22 2009 	 temporary home London 	 choose hotel read traveler review elsewhere . disappointed . beautiful , clean , comfortable place live five day . Close Tube 's bus take we everywhere . lovely french cafe , La Liason , across street breakfast every day . arrive early allow store luggage concierge check - in time . apparently popular airline , nearly every day see flight crew lobby . problem air conditioner resolve , minor issue we weather cool . highly recommend hotel , definitely stay next trip London . 
 Mar 20 2009 	 watch room allocate 	 Agree review . my note caution regard room , initially allocate room second floor .. small , miss bedside cabinet bulbs out . Complained ( nicely ) givena room 4th floor vastly well much modern comfortable . may give first room low rate & quot ; & quot ; Superbreaks & quot ; holiday . so watch ask refurbish room . otherwise , position , cleanliness etc . faulted.ps bother eat hotel breakfast brilliant cafe nearby 
 Mar 12 2009 	 great hotel great location back ! 	 stay hotel last weekend book last minute.com . take note previous review willing take chance hotel due location . firstly , location perfect , minute walk Gloucester road tube station 3- 4 stop west end . also nice area , lovely cafe , restaurant tesco across road . hotel nice foyer , bit date clean . staff always courteous pleasant . room spacious & amp ; always spotlessly clean . trecke around London day pleasant come back comfortable bed & amp ; extremely quiet room , except hum air conditioning ( not bother we ) . disappointment view room . overall , satisfied hotel . 
 Feb 24 2009 	 absolutely fine - word warn leisure traveller 	 good location , great access underground . hotel clean . room spotless little small side . excellent tv . not use hotel bar two three atmospheric pub within 3 minute walk . warn leisure traveller be look London hotel good view sight , hotel ! room little view , live , offer great value money . breakfast good not eat 9.30 . definitely return ! 
 Feb 22 2009 	 great location clean 	 hotel locate small street head low part Gloucester Road , building turn small scale one shop colorful . close Gloucester Road Tube station ( 150 mt ) .Our room clean , although small , much problem , since spend time outside . bathroom normal size clean . air - conditioning / heater bit noisy , need keep night . Buffet breakfast disappoint : poor choice ( french toast average ) . anyway , Waitrose Tesco Express plus number od cafè close , next time breakfast hotel anyway . staff polite , many need meet . last day ealry check - out offer breakfast - box ( could save morinng breakfast anyway ) .We really reccomend hotel . 
 Feb 17 2009 	 Good Tourist Hotel 	 stay hotel three night Thursday Sunday . find hotel good standard . staff friendly professional . room large London standard two double bed , flat screen tv plenty channel , good bathroom plenty toiletry . english breakfast quite good good choice food , hot quickly replenish staff . buffet never crowd even weekend . good location , next tube three different line access central London airport easy . also general area , Gloucester Road low South Kensington load cafe , restaurant pub . 
 Feb 15 2009 	 could well 	 stay twice . fisrt time air conditioning do not work room hot move . second time heating do not work room cold ( housekeeping offer blanket ) . whilst reception staff pleasant , 4 star central reception area decrease mediocre 3 star standard room . location near tube local shop etc good . might try Radison next time road 
 Feb 12 2009 	 stay 	 Booked hotel airmile pleasantly surprised upgrade club room arrive nice lady reception - express lift straight club room find room clean comfortable stay - quiet room - hear noise corridor time- full English Breakfast include stay say excellent - holiday tend go breakfast 9.00 business people problem anything replace buffet reviewer mention . review state massive bonus hotel close proximity Gloucester Road tube station - excellent get west end . train home afternoon concierge store luggage we whilst take trip Harrods - great trip would hesitate stay 
