one 	 stay hotel three night Thanksgiving 2009 . stay frequently Marriott brand hotel hotel many familiar positive attribute Marriott also drawback . doubt will return subseqent Las Vegas trip . check : arrive 9 p.m . wait 7 8 minute check sole person registration speak another guest . front desk representative overly friendly rude unfriendly , not feel warm professional welcome provide . seem rather uninterested check we in . Valet Bell Staff : quite exceptional . car bring timely fashion , always professional friendly . Luggage handle well . room : separate glass shower small separate tub . room moderate size usual great Marriott bed bedding / pillow . carpet already look worn room hallway hotel old . coffee maker / tea / coffee etc . bathroom not lot space room . desk small refrigerator safe moderate size tv one chair , also quite worn . housekeeping : good . ' m particular housekeeping issue please . internet : big disappointment . hard wired Internet , free club level room , locate hotel charge $ 1 per minute use computer internet Club Lounge . first Renaissance hotel stay charge internet computer use club lounge . way price . room rate : good special hotel room good value money spend : Restaurant ( Envy ) : Excellant . although not know would return stay hotel would definitely return restaurant . several friend reside Las Vegas recommend restaurant . birthday celebration service incredibly food extraordinary . Club Lounge : moderate good . charge alcohol , different Marriott Renaissance hotel frequent ( often international location ) lounge look bit wear also . always one attendant lounge quite pleasant , tv blare one trip lounge many young child run around play hide n ' seek make noisy atmosphere . ambience : overall , not find hotel plush great ambience . nothing horrible hotel not find service fantastic . front lobby often fill really loud noisy , sometimes obnoxious sport team member , staff nothing control . prefer Marriott Suites , couple block hotel . location : choose prefer stay strip usually visit family business gambling . location fine next convention center . $ 10 taxi ride main part strip use monorail , stop right next door . pool : small pool main level decent small lounge area . 
 Oct 17 2008 	 nice property 	 trade show next door location perfect . shuttle Wynn across entrance go 8am-8pm every 30 min . Front Desk staff exceptional . concierge help make reservation we country club grill wynn Nobu ; courteous . club lounge exceptional even lox ! ! one morning crave oatmeal one attendant bring . room definitely average quality , normal sized glass encase standup shower separate garden tub marble sink tile floor . internet free executive floor . cab rides strip $ 15'ish $ 8 way back one way street . really enjoy experience . 
 Oct 14 2008 	 treat reunion group wonderfully 	 group 29 people 17 room reunion . plan event since May 2008 wonderful attention group sale catering department . not corporate group , lot individual request room type / sharing / food need meet staff . group look non - casino hotel good transit option strip . hotel meet bill . beautifully - appoint lobby room reasonable rate . addition , easy group congregate Envy Lounge Envy Steakhouse drink and/or meal . 29 participant satisfy aspect hotel . all hotel staff helpful - check - in check . particular bar waitress Adrianne food manager , romanian native whose name get , extremely friendly service - orient . addition , gentleman arrange local transit wonderful . need transportation hotel whole group . without even request , man order vans limos available use Saturday night could transport everyone quickly restaurant far strip . addition , monorail station block away easy we get strip show , etc . staff exemplify service every hotel . would definitely recommend hotel other stay Las Vegas group event individual . 
 Sep 22 2008 	 Nice Quiet Hotel except Knife Sellers Convention 	 wife stay vegas getaway enjoy hotel much . get good deal hotel 's website stay three night pay two . staff wonderful attentive like chocolate olive upon check - in . always get get nice room view strip ( also mean face noisy street ) . love layout room nice detail like separate glass shower wood trim everywhere . bed comfortable . would nice sort complementary breakfast get pretty cheap breakfast every morning E - go Cafe . thing not like large convention & quot ; vector marketing & quot ; aka & quot ; Cutco & quot ; . like anime convention mention previous review folk take build loud night . apparently company recruit college student sell knife place full college age people run hall Friday night try sleep . much quiet hotel . not help ask quiet rude . college student , good time Renaissance would stay . 
 Sep 22 2008 	 outstanding option Las Vegas 	 hotel excellent hotel option Las Vegas . a beautiful facility reasonable price . note : hotel price go , , convention due 's location across street convention center . if Las Vegas buiness place stay . if Las Veas pleasure also good option close monorail system . recent trip check early Flamingo ( dump ) hotel . give come like check stay Four Seasons . the challenge hotel dinner option . it one high end restaurant , envy , one sandwich shop . great money . option spend $ 60 . dinner $ 8.00 dinner . want something else need eat hotel . the club level room nice . club breakfast O.K . crowd . overall great stay . safe travel ! 
 Sep 9 2008 	 Labor Day Weekend experience 	 regularly stay Marriott hotel business , think traveler would agree one good thing Marriotts pretty much know expect arrive . hotel exception . staff friendly , especially employee front desk Envy . room clean , separate shower tub bathroom , room quiet . why important room quiet ? Labor Day weekend , Anime convention hold . mean ? hundred teenager run around full costume . everywhere . lobby . lounge adjacent bar . outside hotel . read reviews pool ( barely sun smoker tend congregate ) , not chance check ! costume guest take entire pool area well , eliminate opportunity relaxation low level hotel . although not complain ( could staff ? ) , surprised management disorganize allow group completely take first floor . definitely reduce enjoyment hotel . that say ... PROS : attentative staff , free envy signature cocktail silver member , clean room , large expect fitness center , restaurant.com offer discount Envy , great location car want strip . con ( besides Anime takeover ) : price , feel food Envy average . pancake design - your - own omlette good , spectacular . ( spectacular , try lemon souffle pancake Stanford Court Marriott San Francisco ! ) similarly , burger prawn appetizer lunch alright . not try steak , not think get value breakfast lunch , would gamble dinner ? overall nice hotel serve purpose nice room strip . likely stay Marriott Rewards member , location suit need , room rate affordable . , probably call first find kind convention schedule make next reservation . 
 Sep 7 2008 	 lack certain something 	 family ( girl 15 , boy 12 ) stay one room 3 night August . we choose hotel away casino . the staff friendly hotel finish high standard . Taxis call come soon want they . there nothing actually wrong place still can not bring give 5 * . maybe clinical lacking personality ... pool good sun - good get shade ! bathroom good - fuffy towel ! room big enough family . ask golf course - side room wil get room view Convention Centre car park ! 
 Aug 2 2008 	 different hotel Vegas ! ! 	 spend 3 nigts Renaissance buisness meeting Copa Room . firstly warm city , soon step plane feel dry heat . the hotel close airport $ 12 taxi ride . check good . 4th floor view city mono rail . ( noise ) room spacious , bed great excellent power shower ( bath ) .We breakfast lunch meeting room excellent . fresh coffee tea readily available soft drink afternoon . gym hotel , usual machine outdoor pool , good ' ve see , buiness hotel resort hotel , mono rail station short walk away hotel porter get taxi minute . Mono rail good value chance see city . hotel chill water available foyer day , night , look . bar hotel never busy , whilst staff often ( annoyingly ) ask want another drink . Las Vegas strip full hotel casino ( famous ) machine everywhere smoke permit , smoke free zone . street full people offer leaflet girl room click card pass early evening late . the hotel strip 5 star look impressive . lot high rise building work go strip . even 11 pm still sticky hot , short order dress . back hotel , shop nearby shop Mall 2 mile away . get taxi ( Boulvard Mall ) Macy 's , JC Penn etc . I ' ve see Las Vegas probably will not back would stay hotel . casino machine smoke free ! ! 
 Jul 31 2008 	 STYLISH stay RENAISSANCE 	 husband stay hotel end June . know soon set foot hotel treat . doorman greet we smile porter take luggage room impeccable politeness friendly fashion . throughout stay , staff could enough we . hotel scrupulously clean area room wonderful view golf course huge green expanse . downside strip , northern end , much fun soar temperature , go walk fifteen minute get Strip , monorail operate area . good cafe inside hotel serve cereal , fruit , etc . hotel restaurant , Envy Steakhouse , lovely experience beautifully cook , mouthwatere food . 
 Jul 25 2008 	 great service nice people strip close monorail 	 go 2 1/2 day business meeting . great service . nice people ( doorman even get change hundred could pay cab ) . room , clean , comfortable serviceable . strip ( like ) minute walk convention centre monorail station . well - equip fitness centre . 
 Jul 22 2008 	 Property so - so 	 wife book Renaissance $ 90 Priceline , seem like great deal overall fair price property . conveniently locate , room ordinary business - hotel room , staff pleasant . I , however , appreciate hotel lack shuttle to / from airport , mean hire cab $ 15 + tip , hotel charge $ 12.99 internet access room lobby . factor quickly diminish value quick inexpensive trip Vegas , over - hype mediocre pool area . 's average hotel pool ( resort style ) , although hotel 's website would make think 's major focal point . I give property 3 star . experience problem , hotel little less anticipated . be probably much appropriate hotel conventioneer tourist . appreciate freedom walk monorail travel $ 11 daily pass . much well rely taxi get strip . 
 Jul 6 2008 	 Loved Hotel . staff check nice . excellent customer serv 	 RENIASSANCE LAS VEGAS MARRIOTTDate : JULY 2008reviewer : TripAdvisor Member CHICAGO IL . hotel NICE . 's beautifully decorate throughout entire hotel . upon arrive hotel greet doorman huge smile welcome we Reniassance Hotel say know enjoy stay we . front desk staff pleasant , not problem check . room nice CLEAN . bathroom spacious . seperate tub shower plenty towel . bathroom CLEAN . bed COMFORTABLE . hotel less 5 minute monorail take strip . straight shot . hotel Casinos great , strip want wind hotel . want gamble middle night , walk Las Vegas Hilton Hotel pretty much next door . 6 minute walk . side monorail . purcase day pass daily pass monorail . price vary . find monorail special actually purchase pass advance go Las Vegas Monorail website .. thing change lot Vegas . expensive EAT LAS VEGAS ... 3.99 buffets ... even McDondald 's expensive . might want time share get free ticket show coupon eat . listen lady concierge desk downstair hotel . know talk come time share . tell 3 hour long . ABSOUTELY true . time share 90 minute . stop one booth strip SIGN ... do not go time share without sign leave nothing 90 minute presentation . know one Flamingo .. stop booth strip . upon check Reniassance Hotel nice check . experience incredible service . lovely hard leave hotel . next time come Las Vegas DEFINITELY stay . 
