Great 	 hotel location great . stay many hotel City must say one one good . location great even middle Time Square normally like view awesome . restaurant bar 8th floor convenient we eat relax enjoy light . room good size , clean comfortable . would definitely stay ! 
 beautiful 	 good hotel ' ve stay . astonishing view , magnificent decor ... truly amazing ! 
 wonderful hotel wondeful location 	 stay husband two teenage child hotel two night . room clean , service excellent , location could well . really enjoy heart Time Square . 
 Feb 27 2008 	 location could not greater 	 stay two night Sister & amp ; 2 nephew . room 2 double bed & amp ; view Times Square . nephew happy toy r Us right across Street . could not ask well location Times Square . room nice , bed comfortable . close subway & amp ; transportation matter . elevator System well .... punch floor & amp ; direct elevator take .. never wait . starbuck Hotel great plus . breakfast buffet little bit pricey not like big breakfast & amp ; not feel worth money . many restaurant choose .. please skip Bubba Gumps Shrimp Co ... food average & amp ; not impressed service . salad ( pay $ 5 extra meal ) come meal & amp ; ask . half price broadway ticket booth temporary locate right property , line start quite early . 
 Feb 26 2008 	 SUPER SERVICE Marriott Marquis 	 stay Marriott Marquis February ' 08 . Booked Marriott Rewards point end top - floor suite regular point award ! ( request room 4422 like high - floor , quiet ! room view Times Square . ) day check go home , realize daughter leave bag full makeup jewelry room . actually one plastic Marriott laundry bag stuff thing . call Lost find fact find ! ask identify jewelry ( good luck monogramme . ) send via DHL overnight express . fabulous service ! highly recommend ! 
 Feb 23 2008 	 NEW YORK NEW YORK ! ! ! ! 	 amazing trip ever take . never NYC , book , sister good friend indiana girl 's weekend . the elevator awesome ... can not understand people not understand system .... never wait elevator . starbuck right hotel , PIZZA everywhere , recommend Lombardi 's , John 's Bella Vita . city street clean , subway clean scary . venture distance side street well never fear safety part town . location prime theatre junkie .... peace Broadway ! explore much city could 3 1/2 day . wil back WTC memorial park finish . city block short distance , even walk several block , not log much distance . staff amazing ... cocolate cover pretzel pillow first night amazing . LOVED hotel , worth every penny spend stay , definitely book . wear walk shoe ... amazing experience ... one would take young chidren , though . unless plan activity accordingly .... would take ..... ' m glad not take first trip city ! shop incredible ... not enough time explore even small percentage .... warrant trip ( 2 5 ) back ! 
 Feb 23 2008 	 Nice hotel great location 	 stay 5 night Jan 08 - cold place ' ve ever be . hotel great , perfect spot explore NY first - time visitor . check - in 8th floor smooth , straight room 42nd floor . Non - Times Sq view , could still see bit view west . good view Square bar 8th floor anyway , good place pre post dinner drink . do not try gym , always look like plenty people elevator zoom past . one handy thing fact could get hotel street different entrance depend approach . 
 Feb 22 2008 	 Tourist Location 	 never NY stay hotel tourist hype . hotel suoer clean good view . def worth $ 300 + night . bar great expensive . basically want romantic trip , go elsewhere . want times square go . 
 Feb 20 2008 	 great location ; glad expensing work 	 lobby bit unconventional - elevator trip necessary reach check - in desk . reach lobby figure elevator system ( essentially enter floor be assign elevator ) , be nice hotel . the location , right Times Square , convenient Broadway show although area touristy . tourist outnumber actual New Yorkers wide margin . 18th floor room surprisingly quiet . could not hear much noise outside room . bedding bathroom standard Marriott - white comforter , marble vanity , etc . eat sushi bar one night find enjoyable , although oddly empty . drink expensive ( Cosmopolitan around $ 14 ) , be NYC 's expect . my room $ 300 ( plus taxis ) due conference group rate . rack rate close $ 600 , would worth . , ' m glad employer pick tab stay . everyone feel way see lot family vacation . 
 Feb 20 2008 	 location ! 	 stay four night 11th Feb location . broadway right doorstep ; Fifth Ave Central Park ten minute walk away . not breakfast hotel , lot small diner around good breakfast dollar . valentine day buffet revolving restaurant top hotel - fab food $ 30 view die - well worth it . bar staff could little rude staff helpful . 
 Feb 18 2008 	 good location Times Square 	 time square location hotel perfectbig room 3 bed without beee crowdedjust grab bag 8 floor reception end wait lot roomif look boutique hotel option ( massive ) stay several time business fun gladly repeatfor inexpensive italian go carmine two block awayi would rather breakfast cafe europa starbuck hotel , do not worth price 
 Feb 14 2008 	 impressive ! 	 sell - out weekend Christmas , expect perfect service experience massive Marriott Marquis . staff -- bellman housekeeping -- exceptional every way . kudo management maintain efficient , pleasant staff enormous hotel middle busy area United States -- Times Square . not visit hotel , definitely time give second look . lobby , elevator , room renovate . layout room fantastic . say enough good thing experience there . a big shout - out Riz , bellman . truly asset hotel staff . keep smile ! 
 Feb 13 2008 	 Best Hotel Planet ! 	 stay hotel 7th 10th feb . absolutely fabulous service . staff courteous friendly . previously book Paramount Hotel across road Marriott read hundred terrible review cancel book marriott . good thing change mind take peek Paramount one day look shabby scaffolding around . previous review marriott state problem elevator problem . straight forward hardly queue . issue hotel meal View Restaurant hotel big let . staff unfriendly , food standard cost huge . would advise people meal elsewhere get well view empire state anyway . overall impressed hotel definitely stay . 
 Feb 11 2008 	 Place Stay Times Square 	 stay Marriott Marquis annual convention January . ' ve come Marquis three year room , service , hotel general consistently great ! elevator take getting use , system wonderfully slick . room large NYC standard , hotel really centrally locate close many subway line . weather blustery , tend walk everywhere love fact Marquis right smack center Times Square . an add benefit , Marquis right next temporary tkts booth right across street permanent booth location . 
 Feb 9 2008 	 fabulous fabulous experience 	 family stay Marriott Marquis two night celebrate husband 's 50th birthday . never forget trip ! drive Maryland drive rainstorm exhausted arrive . arrive , host View Restaurant call cell phone confirm reservation dinner night . assure would window table , wish husband ' happy Birthday' . the valet parking attendant bellman greet we right away , help girl ( 7 10 ) fold blanket promptly whisk car luggage away , smile , direction lobby , small talk daughter understate efficiency . we enter hotel totally awed ! beautiful busy . elevator zoom ( girl compare vacuum chute use drive - in bank send transaction car ) different colored light sight behold ! concierge desk direct we elevator pad , adventure begin . elevator sort reservation system : press floor request pad , letter appear , tell go specific elevator - cool ? girl work system would turn ' call elevator' . we arrive 8th floor , comprise lobby hotel , several restaurant , concierge desk , bell desk , lounge , gift shop travel office ( American Express , ticket office , etc . ) . arrive 3:35 , wait line 5 minute check . girl sit bench near elevator neck crane elevator bank huge circular structure middle hotel . room situate outside ' hallway ' inside hallway give view way first floor way 47th floor . old daughter tell husband could go home , amazed ! check , reservation agent ask business , tell husband 's birthday . immediately give we voucher free breakfast buffet ( $ 60 ) Atrium Lounge ! ? amazing ! Times Square View room ( towards Central Park ) 32nd floor . look like could reach touch ginormous billboard outside open curtain ! luggage arrive within 15 minute arrive room bellhop take time orient we , pointed & amp ; World we , tell we Minskoff Theatre directly across street ( see ' the Lion King ' matinee next day ) tell we amenity hotel . we walk around lobby gawk ( several convention , never felt rush crowded ) . dress dinner take elevator 2nd floor get express elevator 47th floor . view Restaurant exquisitely wonderful , Friday night ! price exactly would expect service , food quality , view experience . prie fixe $ 67.50 per meal ( girl split meal ) , eat well - husband several wait staff se ' happy Birthday ! ' - NAME , total delight girl ! Breakfast Atrium Lounge Saturday morning 9:30 beyond yummy - fabulous service , excellent selection variety , great omelette make order freshly make waffle pancake bring table ! oh , ! room service 4 dinner ( play bicycle rickshaw ride around Central Park ) , food deliver within 25 minute order - Saturday night ? ! overall , travel world - without child - experience Marriott Marquis one lifetime ! already plan next trip ! go Marriott ! ! ! 
