surprised 	 really surprise many great review muse , fact really great ! bellboy great , always help we . say snobbish Front Desk house keeping . stay 5 night , one day give towel , one day miss floor mat . find use towel duvet change bed sheet throughout stay . sorry say house keep standard ! please scruntinise bill check , find mini bar item charge bill daily basis consume anything mini bar . acceptable reputable hotel chain ! location hotel great ! one minute away times square , 10 minute away theater walk distance fifth avenue . hotel across road , may cheaper well ! say money pay , well hotel around . 
 comfy bed world 	 partner stay muse hotel late November 09 . keen stay hotel read great review site . hotel lovely , trendy , modern clean fantastic location ! 30 second times square . hotel lobby beautiful , bar always good relax drink two three . the hotel bellboy always friendly eager help question . reception staff hand quite rude time almost snobbish . not let ruin trip though aspect hotel make stay success . bed room unbelievably comfortable , room spotless , good size modern bathroom maid give we fresh towel bed linen everyday . place one room next building site cause disruption evening , pay fair price hotel not mind . overall good stay . 
 Jun 23 2009 	 Kimpton never fail 	 book Muse base review fact Kimpton property . ' ve always good luck past . , reservation process breeze . bent whatever rule grownup room let book adjoining room ... king husband queen / queen two teenage boy . room lovely . boy ' room enormous ... particularly NYC room even compare standard room city . concern street noise experience past visit request room high floor . dismay assign floor 12 .... right next elevator . know ? noise ! adjoining room additional , lockable foyer door block noise hall whatever street noise completely block high quality insulate window . nice . lovely linen . comfy bed selection pillow . decent toiletry . good lighting bathroom .... . boy disappoint fitness room , not get enough exercise walk we city 's end world . complaint problem electrical relay a / c system ... keep click turn ... even noticible quiet room . mention upon checkout ' m sure be already repair . would rebook heartbeat . 
 Jun 23 2009 	 return 	 husband travel New York summer try fine hotel . fact Muse Kimpton seal deal . always artistic quirky . muse elegant gracious andwe absolutely complaint . allow use room noon , 9 pm happy hour incredible . everyone could not nicer . thank , Trip Advisor Kimpton hotel . 
 Jun 18 2009 	 great location Price ! 	 plan NYC trip , trying find reasonable hotel near Times Square . hotel stone throw away heart Times Square ! staff friendly courteous . drop luggage lock explore city waiting check 3 ( get early morning ) . 4 Star hotel amenity , clean room , great view around even Times Square great price ! complaint possibly even think room small thing consider , not mind whatsoever . 
 Jun 17 2009 	 great location ... Great Hotel ! 	 stay hotel celebrate husband 's 40th birthday great choice . husband want stay near Times Square see two show not want stay megahotel find one Tripadvisor . hotel locate less city block Times Square W. 46th Street . call day prior stay request room top floor ( 19 ) ask come special occasion - get , upgrade mini suite . room decorate black , white , gray - modern . 4 room floor quiet aside occasional police siren be go hear NYC . small tray cookie bottled water deliver room w / a welcome note - nice touch ! not take part wine taste see people sit bar / restaurant look nice . bathroom spacious everything clean . complaint not find room darken shade window 2nd night . wish someone tell we check hide top window shade . front desk friendly helpful . 
 Jun 16 2009 	 almost not want know Muse 's good ! 	 travel NYC business month . stay hotel . use tripadvisor research stay spirit pay forward , write review . however , would like keep Muse secret experience good . travel business take family along . book double room website . choose Muse mostly due price proximity theater district . the room large NYC standard . clean , new look nice . AC work great . lobby funky fun . free wine hour every night popsicle wii kid . Front desk staff friendly efficient . you could not ask anything price range NYC . hope stay muse . 
 Jun 16 2009 	 Awesome ! ! ! ! ! 	 plan night wife 's birthday include play Broadway . Originaly book room 42 St. realizing may far walk Hotel play cancel make last minute reservation MUSE . boy , glad . young lady behind desk polite request early check - in . 1:30 pm room ready , King room give we Executive Suite price . could not believe . 2 room w/ 2 flat screen t.v . 's . arrive back dinner , bottle champagne cookie room . problem A.C. make much noise 1:00 morning get bed fix noise . ever stay overnight Manhattan , DEFINATELY place stay . thank make great stay ! ! ! ! ! ! 
 Jun 15 2009 	 great location top notch service ! 	 want NYC hotel not expensive , close Times Square , clean , decent sized room . hotel ! ! find great deal Orbitz , read Trip Advisor review , decide go Muse . disappoint . room HUGE ! huge room , huge bathroom , impeccably decorate , clean ... great . three us room ( , teenager , 8 year old ) not feel crowded . even though build obviously little bit old , update therefore feel plush inside . benefit include nice lobby area ( free wine reception every evening , two kid tow not partake ) , friendly service , robe , comfy bed , flat screen tv , great bell staff . first night notice something wrong air conditioner room . next morning notify front desk , fix time come back sightseeing . 2 - minute walk ( less ) main bustle Times Square , side street , not notice noise . nice little bit remove action . restaurant site . first day free breakfast , eat good . not day think little budget . main complaint Muse would ' ve handy business center , even computer internet access printer . would ' ve like able access internet printing . otherwise ... perfect ! complaint ! 
 Jun 12 2009 	 Place Awesome ! 	 hotel right Times Square within walk distance Central Park . besides GREAT location customer service receive top notch . always ask need direction / location place want visit . check us flight upon departure . always courteous . wine reception evening always treat . leave dress baggage storage area buy wear first anniversary ( 2 day leave NY head back NC ) ship hotel vacation first anniversary ! arrive hotel Savannah morning anniversary ! impressed outstanding customer service ! 
 Jun 10 2009 	 beautiful hotel great location 	 husband spend three night Muse April 2009 . hotel great , staff wonderful friendly , location wonderful . stay King room front view street beautiful old church . quite room noticeable street noise , decor awesome , bed quite comfy . hotel fun , hip , perfect place relax long day sightseeing . also close Times Square make easy get almost anywhere city complementary wine 5 - 6 pm daily welcome thing run around city day . hard choose hotel New York City , feel lucked get one great one ! 
 Jun 2 2009 	 good hotel road Times Square 	 good hotel 100 yard Times Sq . compementary coffee tea lobby finish 9 - 00am . staff excellant helpfull . room quite spacious , warn get room front hotel 's liable noisy time early hour . this hotel refurmishe business centre , need internet take laptop . free internet access roomsvirtually next door hotel Bar indian chinese restaurant within spitting distance , walk pass several time realise restaurant there . from JFK bus $ 18 taxi $ 45 + $ 5 toll + tip anywhere Manhattan . by way , Saten Island ferry free . 
 may 22 2009 	 Terrific Location Great Hotel 	 second stay Muse favorite NYC hotel . location midtown good shopping walk particularly great go theater : able walk avoid hassle cab . newly renovate restaurant , Nios , adjacent lobby quite pricey breakfast , convenient . quick , take - out alternative , Times Square Bagels 2 block away rival H & amp ; H quality . room big enough , bed bed extremely comfortable , bathroom also big enough ( always true ny ) . would happily return Muse . 
 may 19 2009 	 cool right next Times Square 	 nice hotel , offer complimentary glass wine check , room nice well - decorate . free internet exchange join reward program , giant bathroom ( space could well use part room ) . front door , turn leave be Times Square within couple minute . various pub restaurant way along streeet . friendly staff , great location , could want ? free parking ? New York , likely . : - ) offer valet parking park lot right next door save $ 10 . 
 May 13 2009 	 1st trip NYC -- Glad Stayed Muse ! 	 husband return first - ever visit NYC . quite bit research leave , include alot stay ! settle Times Square mid - town location , go . check numerous hotel review various chain TA , guest Kimpton chain ( DC ) , check see hotel area . Muse Hotel sound terrific . get terrific rate large suite ( Room 1802 ) door shut bedroom & quot ; sit room & quot ; area . nice couple like we one may retire bed early . front desk staff ( cory particular ) door staff top notch , always offer friendly greeting eager help . concierge service good , help we book helicopter flight Manhattan Mother 's Day ( gift idea - far fun brunch , haha -- amazing ! ) . top LOCATION , LOCATION , LOCATION perfect place stay ! Times Square , 6th 7th . could see light Times Square window . definitely return NYC stay Muse Hotel . 
 May 8 2009 	 great boutique hotel - recently revamp 	 ' ve stay Muse several year , even prior Kimpton 's acquisition . room redo past two year , recently unveil completely renovate lobby restaurant . recent stay last week . often greet name front desk staff RARE city like NY . room generally spacious well thought - out . suite generous typically two large flatscreen sizable bath . hotel service ' ve use efficiently pleasantly deliver . food , get bit long tooth , menu - wise old restaurant , District , recently revitalize new restaurant , Nios . ' ve notice even change / update room service menu much regularly use . wire wifi internet , good , free Kimpton InTouch membership . the location stellar . not many exceptional view room ( , though ) , 46th right 6th 7th put heart everything business pleasure . great boutique contrast megahotel rampant NYC . 
