ordinary 	 stay individual room Meliá White House one night . find hotel ordinary . decoration furnish pretentious bit date . the staff reception desk nice chek - in check - out fast . room small , much London standard ; however not even one chair & quot ; table & quot ; room ledge leg , barely 25 cm deep place narrow , poorly - light , aisle - like space ( awkward four - star hotel claim ideal business traveler ; course chair desk room would appear cram ) . tv big bit old . closet look bit shabby . bed comfortable . bathroom up - to - date really tiny ; even shelf toilet bag , small counter around sink . everything clean enough . coffee tea kit ( inside closet , place put ) .There something odd use in - room minibar : note advise customer use minibar cool stuff charge 15 pound . no free internet area hotel . rate 15 pound per 24h . I not breakfast hotel ; would remember price region 20 pound , good breakfast somewhere nearby ( Great Portland St. across street ) .The hotel well locate find plenty well locate hotel London similar cheap rate one does't add special value . in brief , fine 's nothing special . ' ve stay nice hotel London would recommend one get cheap rate . 
 Mar 27 2009 	 convenient tube .... pay anything extra ! ! ! ! 	 HI -- -My sister law , daughter stay 6 day March , 2008 . hotel lovely , however glitter gold . locate busy noisy part London . first night , ambulance go night long . 3 minute walk tube love . breakfast include package certainly adequate something everyone . great way start day . room large compare London standard bathroom fantastic . sheet , however , change every night -- -which one would expect hotel caliber . also clean room ever . however , offensive . call extra towel every day 3 we live . thing bother . check long overnight flight States . get room need make phone call touch base friend . phone would work leave credit card impression check . go wait check line . would think ask checkin ! ! also , charge everything -- movie , computer use room , phone call ( pay 4 pound 30 second call ) , room service expensive drink restaurant . London year charge thing . say , wonderful time hotel fine . would give 3.5 5 . would recommend reservation . would stay -- -maybe . 
 Mar 24 2009 	 great location great staff - upgrade Deluxe room 	 recently return 2nd stay hotel . staff friendly , efficient keen help , chek breakfast , direction call taxis . the hotel overly attractive outside , inside foyer & amp ; breakfast room lovely spacious . Standard room spacious , would expect London hotel room , though would desribe overly cramp . tv old huge thing , work perfectly well . lcd aware . sheet carpet clean , though room lot cup ring mark wooden furniture lift colour making room look little scruffy , though surface spotlessly clean . bathroom expect , clean , though part could use little extra dusting ! bath small , standard size , shower good powerful . standard room overall good , look tired would expect 5 star , would much consider 4 star hotel . thing stain furniture rip wallpaper place ( small ) mean would mark hotel 5 star . however , previously stay much spacious deluxe room , would certainly recommend upgrade - room look well , large less tired standard room . bathroom Deluxe room also large . room quiet decorate quite classically . location wise hotel perfect - central major London attraction . disappointed wi - fi available . I would problem stay - though would opt upgrade . 
 Mar 23 2009 	 Central Hotel 	 husband stay 2 night , 15th 16th March . check - in do within 15 minute really nice staff . room slightly small , hotel , bed huge comfy , think matter . central location shop far away . buffet breakfast superb , every single thing could ask ( one exception , porridge ! ! ) , champagne ! ! 
 Mar 22 2009 	 great value great location 	 stay hoteld two night room less £ 220 double superior room , need use hotel facility bar reception due fantastic location central london delight within 10 - 20 min walk £ 10 taxi ride . the hotel aquiet location plenty coffee shop food shop within 2 minute walk . many reviewer seem go size room , sure usually stay top floor suite delude , superior room adequate bed width three single bed hardly small . the reception staff polite check bit slow , unique hotel hardly show stopper hotel exceptionally clean , close amenity room great value small , unless live wharehouse come oher side Atlantic . stay want great base intend get hotel , stay long price remain level . 
 Mar 20 2009 	 great hotel location 	 real gem odeal spot get around central London . could fault hotel , smart , clean comfortable . room little small side seem norm London day . minute walk tube less 10 minute walk Oxford / Regents Street . would go . 
 Mar 15 2009 	 bad hotel ' ve stay London 	 hotel great location general quaint feel . bad service bad ruin . spend nearly 3 week business would recommend . check check poor ( 30 min ) . internet consistent , could rely business . heating system alternate blast hot air blast cold air vent point bed , spend much time stiff neck . street noise extremely loud single pane window . mostly however Service would bring back . example , twice order room service problem . first time lose order . second time front desk would not approve could not find credit card number . funny room provide card say request answer 15 minute give free night accommodation . yet confront would not pull promise . call day one morning ask copy bill review leave door . next day still not . call . not come . afternoon call third time , & quot ; not sure could do & quot ; , would come get . finally check couple day later , system do could not provide copy bill . promise email hour later . next day return home not , email . summarize poor service remind promise provide free night accommodation request go unanswered . unabashedly unapologetic ignore complaint . overall , bad service ever experience country . 
 Feb 23 2009 	 good location London hotel ' ve visit 	 , hotel fantastic term location , room size & amp ; value . stay hotel central London well find . located right top Great Portland Street 's walkable Camden ( 15 minute ) , Oxford Street ( 10 minute ) , Soho ( 15 minute ) , Leicester Square , etc ( 25 minute ) . hotel room central London usually tiny , reasonable size beautifully decorate ( pay little Superior Room ) . issue check - in , confusion around booking take age staff resolve - get end . Breakfast would expect 4 * , good choice , sometimes busy morning Qs form . would absolutely stay . 
 Feb 23 2009 	 Fabulous definitely stay ! 	 back 2 night stay hotel , beautful . although room little small , immaculate . hotel situate great location close Great Portland Street Tube Station Origional Tour Bus Stop across street . staff hotel extremely pleasent breakfast delicious load choose ( e.g . Cereals , Toast , Crossants , Danish Pastry , Fresh Fruit , Yougharts , Sausages , Eggs , Bacon etc . ) . book superbreak.com get great 2 night rate include full breakfast . request 3 Twin room adjacent one another , although Superbreak could guarentee request grant , hotel make sure 3 adjacent twin room . downside Hotel Bar quite expensive , definately stay . 
 Feb 22 2009 	 Fantastic ! 	 return long weekend hotel , second time stay . fab , yes Great Portland Street tube fantastic ( state previous review ) Regents Park 2 minute walk get right central London . hotel clean , room spotless one staff member would walk without say & quot ; morning & quot ; . shop around rate , hotel website cheap . fantastic , already book stay later year . breakfast good , load choose , even glass blonk chhose ! ( lol ) 
 Jan 22 2009 	 Comfortable well situate London Hotel 	 book standard room Alpha Rooms . the hotel within walk distance Euston station . find hotel clean , comfortable quiet reasonably price - especially full breakfast include . cooked food quite good keep hot enough . lounge bar area pleasant . Nicw cosy chair collapse receive typical London bar bill ! 
 Jan 21 2009 	 Amazing 	 stay long weekend celebrate mother 80th birthday , book executive room decide upgrade arrival junior suite well worth extra money . throughtout stay hotel staff provide we excellent service friendly relaxed manner , nothing much trouble they . the room beautiful spotlessly clean stunning bathroom excellent maid service.breakfast executive lounge exceed expectation provide quality choice . the executive lounge relax place sit chat read enjoy tea coffee alcoholic drink depend time day evening buffet delightful varied selection , staff lounge fantastic provide anything want restriction much want drink . from check staff waiter barman thet exeptionally well train polite friendly many hotel could learn . 
