ideal 	 many previous reviewer chronicle , staff , breakfast , afternoon wine cheese make Library Hotel special place worth bit extra cost big - box location . also appreciate central location * * fact , business district , much traffic street night . possible open window still sleep . rooftop bar lovely , busy happy hour . Grand Central around corner ; go uptown , downtown , crosstown ease . definitely return next nyc visit . 
 Aug 10 2009 	 New Favorite NYC Hotel 	 stay Library Hotel celebrate anniversary August 2009 , blow away experience . hotel one remain great value NYC . locate 42nd street 15 minute walk Times Square theater district . hotel near midtown seem start $ 300.00 , even upgrade room ( Corner Queen Room ) rate $ 277 number ( tax ) . great location reasonable - for - New - York price reason enough stay here . the hotel rather unique physically . tall skinny , room per floor . may guess , whole hotel library theme , theme pull elegant way none ' cheesy - ness ' notice themed property . theme apparent first walk , wall behind check - in desk do appear like card catalog . room decorate base dewy decimal subject correspond room number . room 705 correspond music , featured artwork musician , along 50 - 70 book subject music . room several shelf read material correspond room 's theme . 2nd floor lounge designate ' the Reading Room ' contain several hundred volume assort reading material , grand piano , cookie & amp ; snack 24 hour day . evening , host complementary wine , cheese , reception fantastic selection wine snack , attendant replenish thing keep room tidy ( important , many hotel stay ' wine cheese ' reception tend put small assortment stuff pick 15 minute leave nothing mess ) . morning , wonderful continental breakfast ( attendant ) . top floor feature wonderful top floor bar open public evening , open 24/7 hotel guest . gorgeous , would recommend take breakfast eat . service hotel fantastic . check swift , professional , allow leave bag bellman checkout could explore city hour without lug everything around . facility extremely clean , staff attentive , without hover , seem interested make sure good time scrounge tip . even little detail place . surprised complementary bottle sparkle wine room celebrate anniversary , toiletry high quality ( include sewing kit shoe shiner never seem get anymore ! ) , fantastic robe slipper room use , turn service leave mint well delicious gourmet cookie . finally , small thing , pet peeve mine , Library offer free internet access guest . reason , ' nice ' hotel seem want charge arm leg internet access , Library though , include room , pass local gym wish work stay . around , good hotel ever stay New York city , even outshine significantly expensive property . 
 Aug 2 2009 	 good concept poorly execute 	 initially attract Library Hotel unusual ' library ' concept . true , room loosely theme around section Dewey Decimal system , could easily exploit . book around public area library guest free take room , view front New York Public Library breakfast room , however expect find wall - to - wall book room , rather small bookcase . having say , warmly welcome well - advise question . room small advise standard Manhattan . experience Manhattan hotel , can not verify true . facility clean adequate need free dvd borrow nice touch . would also like extra pillow ( equally not phone reception ask may fair criticism ... ) one area could major improvement breakfast . cheap hotel frank continental breakfast unimaginative skimpy . selection poor , limited bagel danish patrie jam cream cheese boil egg desire . also fresh chop fruit desire . experience , continental breakfast vary certainly satisfy cutomer . note , hotel offer cheese wine reception evening . avail one night go theatre find couple mediocre wine cube uninspire cheese . not bother go . shame could good selling point give price hotel . all , good location explore midtown Manhattan friendly ( young ) staff luxury would expect class hotel minimal badly think . 
 Aug 2 2009 	 simply wonderful 	 stay Library Hotel July year . book hotel base review Trip Advisor proximity Broadway go show . moment arrive staff helpful hotel live review read . bedroom spacious comfortable attention detail . complimentary coffee snack welcome add extra . really can not convey lovely stay . would recommend hotel anyone visit New York . 
 Jul 31 2009 	 amazing time Library Hotel . 	 stay Library Hotel 5 night July . hotel perfect location close many attraction ( 2mins Grand Central Station , Times Sq , Bryant Park , Chrysler build 5 min Empire State . great location Broadway too . ) . arrival greet champagne forth come wedding thoughtful note hotel staff . fantastic hotel , knowledgeable staff , lovely breakfast really comfortable room . perfect . what fabulous hotel extremely helpful front desk staff – especially Billy star . really great service . also must mention Michael well , lot great advice tip stay . less positive note manager believe call Scott make feel like criminal lose credit card fault . Scott also responsible give fiancé really duff information regard watch Macey 's firework display negative occurrence encounter . beautiful surrounding great roof top terrace wonderfully decorate . complimentary cheese wine night great although guest mix , lovely breakfast tranquil room . blissful . need accommodate . would hesitate recommend hotel would come back . 
 Jul 29 2009 	 fantastic hotel perfect location helpful staff . roof bar wonderful ! 	 July 17 - 18 2009 . love Library hotel . book petite single room perfect 2 night stay . location ideal Madison Avenue - walk place grab cab . staff helpful friendly , nothing much trouble . rooftop bar real bonus + wine & amp ; cheese serve 5 - 8 pm . 
 Jul 28 2009 	 incredible staff + thoughtful amenities+ perfect location = one amazing stay ! 	 recently visit Library Hotel four day sister , fight cancer . lovely hotel perfect choice , terrific staff member incredibly helpful every way . breakfast room rooftop garden provide good food quiet spot midtown hubbub . the location convenient museum , shopping , Broadway show . wish bit less pricey , be worth every penny . 
 Jul 22 2009 	 Library Hotel Home away home 	 stay Library Hotel 4 night Independence day weekend . hotel perfect location thevescinity many attraction . book ahead arrival day tour well g Broadway show evening - 15 minute walk theater save bundle taxi . pass every night beautiful Times Square . Saturday Broadway show cancel book day tour Saturday , opportunity enjoy Hotel whole day . let tell guy , minute walk oftaxi , early morning , walk Heaven . come early tour book morning check . staff extremely curtious , beyond Hotels expectation . even would forget anything would remind /ask need reservation suggestion etc . take advantage , put mind ease . normally not mingle commune much hotel employee busy even people front desk indicate stand nothing , fact busy check ensure guest expect accommodate accordingly timely manner much . arrive early morning , luggage store , minute taxi tour . arrive back check aminute accompany room . front desk staff always even bother ask . girl kitchen know look toast roll would every morning help peanut butter ( glass could see well small print ) . first time single vacation little ease , hotel staff make feel comfortable accomadate need , like get taxi finding book , love pamper . could write forever every detail , check . room cozy bed comfortable ever sleep alone big plus long day sight see - s show . love way room design - piece art , oh always find place sit breakfast wine andcheese . extend appreciation Igor , Mike , Billy Hotel Manager . wish know girl ' name kitchen thank much offering help even ask . back home mind still vacation . come back much share talk good time Library Hotel tour show . take week get back reality . oh , smoker , excellent garden terrace 14th floor beautifully decorate landscape , one last thing enjoy play baby grand piano every evening come back theater . 
 Jul 20 2009 	 great service location amenity 	 staff helpful friendly . never feel rush , get we great Broadway ticket give travel advice . the room stylish , well organise , clean compact . good central Mid - Town location , easy get transport shop . the 5 pm complimentary wine cheese great wind - down busy day . the good feature staff . bad ... ? 
 Jul 18 2009 	 good promise 	 choose hotel base largely stand TripAdvisor reviewer , sorry . much say already , will briefly add agree many positive comment . hotel lovely , comfortable , clean , friendly , brilliantly locate . get great fare take advantage pre - pay offer , good bargain well . visit NY often stay variety hotel , budget high luxury . far , Library far favorite , would stay heartbeat . fact , hardly imagine want stay anywhere else . 
 Jul 18 2009 	 wonderful stay 	 boyfriend spend one night Library Hotel July 15th . room clean , bed comfortable super view Madison Avenue . seventh floor … course , little noisy morning , else expect New York City ? look real urban experience hotel well locate , block Broadway , Times Square Central Park . wine cheese reception continental breakfast nice . staff friendly helpful . even ' quite expensive , would definitely recommend hotel . 
