Crowne 	 Amazing hotel . posh pricey wonderful place brilliant view times square . 
 great short break 	 hotel ideal position visit major shopping centre , view get soon go reception door Times Square . we arrive Thursday 5.45pm trouble book queue , book break use point upgrade onto conceige room , corner room view central park distance Times square also include free breakfast save time money use conceige lounge day . the bed extremely comfortable surrounding pleasant . staff efficient parcel deliver hotel arrive keep safe . I would hesitate recommend hotel visit Crowne Plaza would hotel choice . 
 great place 	 nothing complain . great location , friendly staff . nice clean modern room . fantastic 
 fabulous staff great hotel location 	 trip surprise husband birthday , come mixed group set couple , two family child . we arrive soggy Saturday half term , greet large check queue , diminshe swiftly efficient friendly staff .Although room not ready not deter we experience action 1st ever visit NY . go walk arrive back 3.00pm queue check horrific everybody want collect thi key etc . queue dissapate , whilst wait speak lady name Vicky husband priority point , able use surprise , soon see name recognise call make 2 month early ! ! ! ! great service skill , impress even , remember bday treat , good thing ever happen upgrade we King size room overlook Times square . WOWThe hotel comfortable poeple already express view internet charge , drink food , agree , ny .. visit deli etc splash out . all staff always courteuous , helpfull excel area , request room extra pillow etc , meet expectation . I problem return home card use twice bill , apoligetic swiftly refund , thing happen everybody human . to finalise love location hotel simply brilliant , thank Leo always smile nothing much trouble , Teresa sort payment Vicky thank .. asset crowne plaza . 
 Aug 28 2009 	 Fantastic Experience Crowne Plaza Times Square 	 People usually take time complain , thought would take time write positive review great 5 day . family ( teen 14 & amp ; 15 ) Toronto spend August 22 - 26th nyc.upon arrival Saturday 3 pm tell behind would check bag storage . ideal situation fly , big deal . ask bellman request overheard manager name & quot ; Danny & quot ; promptly ask check . tell check room ready , ask surname within 5 minute great renovated room overlook time square . approche we without we even ask ! room recently update new furniture plasa tv . great location , great staff ! 
 Aug 27 2009 	 summer time 	 spend 5 night hotel , 10 day ago . reach N.Y. 22:00 arrive hotel near midnight . give " smoking room " , though reserve , month , " non smoking room " . explanation overbooke first come first serve . although write tell late arrival ' make difference . ask unpack next day transfer " non smoking " room get free breakfast compensation . tell . the next morning waken receptionist remind we unpack . go away day come back 19:00 find transfer non smoking room , third bed make room two . call reception say know soon send . go dinner come back three hour later find bed still miss . make long story short – bed arrive midnight without pillow . ask pillow bellboy go look . come 20 min . later 2 pillow pillowcase . 01:00 lose patient go sleep . compensate , time gratis Internet . think maid see tidy room pillowcase . return evening – still none . decide go Gym . go take towel reception go look Cross Trainer find put light . dark , go back reception ask go , say closing . ' tell we , ask , answer . next day bring pillowcase . day decide take advantage compensational breakfast . bread pastrami . black / green spot pastrami take . night wake vomit . hotel great facility good location ( midst action ) something work . maybe season … 
 Aug 27 2009 	 great hotel 	 hotel nice clean . the room stay great , great view Broadway . room big , unusual NYC . pay $ 200 night great deal . ( AAA get discount ) thing like door bathroom keep gettin stuck , room hotel perfect . downstair leave luggage storage room come pick right leave city ( free , except tip ) restaurant right Broadway pricey recommend get somewhere uptown downtown . 
 Aug 27 2009 	 friendly helpful service 	 get free upgrade top floor room , great view . room big , well appoint great bed spacious bathroom . everything seem clean new . 
 Aug 24 2009 	 amazing ! 	 fantastic location , serivce , room quality , outlook , people , value money luxury 
 Aug 22 2009 	 good hotel great location diving Apple 	 regularly go hotel business trip . long time boarding hotel quieter area ( 3d av / Lex ) , fear crowd Times Square . hotel especially high floor away crowd . room spacious , quiet , well decorate . many renovate lately . staff nice - big hotel quite impersonal . lot traffic . case New York hotel . would ' complain ' long slow line reception - happen often . use hotel service much could comment . much available city , eat drink spend time hotel ... well 's point view . high floor offer great view Times Square Hudson . 
 Aug 19 2009 	 would definitely stay ! 	 hotel wonderful . line check . allow we check luggage 9 am . room big NYC . stayed hotel Times Square much small . corner room 17th floor . room clean . enough room 4 people ! nice view river . right middle everything . restaurant everywhere . like heavy security . Felt safe ask room key entrance hotel elevator . liked get City Sights downtown tour , hotel right around corner . thing not like refrigerator . would nice keep drink cold 90 degree ! ..... hotel perfect . would definitely stay ! 
 Aug 19 2009 	 Exceptionnal ! 	 great location , totally renovate . friendly staff , room spacious view awesome ! 
 Aug 18 2009 	 fantastic girl weekend 	 visit NYC first time wonderful experience . hotel great fantastic location . find staff especially concierge extremely helpful . drink expensive bar think throughout Manhattan . room stay extremely comfortable adequate small amount time stay . think hotel good value money . 
 Aug 18 2009 	 Crowne Plaza pleasantly surprised 	 return 6 night Crowne Plaza . 6 night stay book use reward point pleasantly surprised receive upgrade concierge floor mean gain access lounge . real bonus breakfast provide , good standard & amp ; also afternoon snack include cake & amp ; cheese . the location good tourist attraction , prefer location Intercontinental Hotel stay first three night much relaxed . 13 year old son love location , could old - age catch ! minor gripe chore need queue reception , time seem little ' swamp ' . 
 Aug 18 2009 	 Nice hotel concierge perk good 	 great location , right time square . view hotel nice , river one side time square . full access New York Sports Club gym , huge large variety different machine never see . even though website say pay use gym use hour , true . pool gym 15th floor small lane permanently set . really good child want play pool . as expect downtown manhattan , price expensive . room $ 300 night meal hotel quite expensive . business centre free , cost $ 1 minute use computer in - room wireless $ 20 per day . however , concierge floor ( 44th ) , get free wireless internet stay + free continental breakfast afternoon snack include pop , delicious cookie , fruit , cheese cracker . in room give we , eye mask , lavender linen spray , drape clip . there fridge room . overall hotel nice , overly modern , comfortable , great location . 
 Aug 17 2009 	 Loved Crowne Plaza ... would not stay Times Square ! 	 recently return six night stay Crowne Plaza first ever visit NYC.We love hotel , - beautiful , spotlessly clean room . plenty space we ( family four two teen age 19 & amp ; 17 ) . bed comfortable invite busy day 's sightseeing maid happy leave plenty extra towel / coffee etc we . despite room 14th floor face Broadway , trouble noise busy street . eat breakfast hotel . include price room expensive delicious ! ! ! ( ) return NY would stay directly Times Square , 's choice hotel close action get ! ! ! 
 Aug 17 2009 	 Disappointing Crowne Plaza 	 stay 1 week August 6th room 3822 . book double double 2 adult 2 teenager . adequate , description double double like 2 3/4 bed , result sleep top toe enough room ! grade available apart king size bed camp bed suitable 4 people . room clean modern due recent refurb , location great however end . minor problem week result overall disappointing stay : - constantly ask extra towel due 3 left day , bathroom flood 1 night , deal quickly still something go away . Reason book hotel double double room pool due 2 teenager want relax end day . pool run NYC sport club Crowne Plaza , result misunderstanding want use . need padlock locker must provide , one use suitcase fine however need keep key person pool ! ! ! buy combination lock NYC club , enterprise ! ! inform we start stay . feel want pool due amount people pay use , hotel guest make feel welcome . pool relax , split lane well use New Yorkers constant swimming . first night function bar area table reserve , hotel guest expect sit quiet drink ? bar ! last day luckily check bongo play guest move across corridor decide would good put privacy please sign door play bongo drum heart delight . check return flight home free first 10 minute adequate checkin however not use facility print boarding pass leave airport charge $ 1.50 sheet print 2 phonecall home last 1 minute charge standard rate total cost $ 33.20 . stay Crowne Plaza 's head shoulder one priority club member disappoint . problem encounter never sorry . location hotel great however future would pay extra stay Marriott Marquis Times Square . we eat hotel , New York previously find several place breakfast reasonable . Cafe Edison West 49th Hotel Edison $ 37 4 , Ellen 's Stardust Diner Broadway Crowne Plaza oppposite side street singing waiter / ress $ 60.lunchtime evening place Maxie 's west 48th side Times Square good 3 NYPD officer come always good sign . place eat Times Square busy ok nothing write home about . do not book Broadway show get unless willing queue 2hrs Times Square day discount , use www.entertainment-link.com save around $ 200 4 ticket . Top Rock Rockefeller centre fantastic view Manhattan , be need buy sight card Empire State Building use binocular look sight , need put money look base . 
 Aug 16 2009 	 Exceeded expectation 	 never know be go get Crowne Plaza really good bed . since trip not business bring wife along , little nervous quality would encounter , tell Crowne Plaza 's really great one ! first , location probably good could ask be go midtown Manhattan touristy thing like sightsee , shop take show . walk thing . also multiple subway line walk distance get one end Manhattan . not recommend place intend enjoy bohemian side NYC stay away tourist . property , appear recently remodel . room huge NYC standard . amenity room first rate . also must note view 42d floor breathtake pc Platinums , get great room Times Square view access lounge reward night ! service great ; overly old school stuffy like NYC place overly informal . right . like scotch ( know ) , bar lobby great single malt menu pours & quot ; healthy & quot ; .Overall , would go back heartbeat would recommend place friend go NYC . 
