check 	 not actually stay night clift ' ve many business meeting Red Room . service always excellent & amp ; love decor ! 
 Jun 15 2009 	 worth two trip around block ! ! 	 adore little hotel . although , girlfriend joked hotel sign braille ! circle block twice look , -- tiny little CLIFT sign ; hide plain site . two Justin 's front nice , checkin gal helpful general vibe inside whole place feel uber cool . love funky chair eclectic decor . never meet unfriendly hotel worker entire stay . friendly folk ! ! room 7th floor , far away street noice , long not look ( unless like look hvac ) not bad . like able open widow bit cool night air . room big enough three small town girl get ready fancy girl night theater . walk Daily Grill great Happy Hour menu , plenty time room get ready Wicked , play . play , know finish big night Redwood Room . fun place people watch ! ! conversation difficult , however . music bit loud . never think would get old enough hear say ! ! meanwhile , stair , find bed comfortable enough . starbuck across street , morning , 's easy trip back coffee scone room . location safe , within walk distance Union Square , Market Street , cable car lot lot fun shopping eat explore . oh shopping ! ! would stay , would recommend friend , except pricey drink Redwood Room $ 50 valet parking , complaint . , hey , be San Francisco ! ! may like , come expect ! live ! many , many , many stay crazy city , Clift stand mind one unsual , eclectic , clean comfortable place ' ve . would interested know & quot ; park shop & quot ; special . pro : safe location , close many attraction , clean , cool , quiet eclectic . staff encounter nice . good price thru Hotwire . con : really & quot ; con & quot ; much comment : parking expensive ( be like everywhere SF ) hotel sign hard see , really look , easy be drive SF . hint : be leave side street , locate almost corner . much view room , not & quot ; view . & quot ; 
 Jun 9 2009 	 truly memorable experience definitely stay recommend family friend . 	 colleague mine recommend stay Clift San Francisco last week . well say , everything perfect . I work hotel industry 9 year know much work goes create memorable guest experience . truly memorable , definitely stay absolutely recommend family friend . 
 Jun 8 2009 	 great location interesting decor friendly staff . 	 stay Ciff two night get away Chicago . attentive staff , always open door ask could assistance . location comvient weekend meeting friend drink dinner . would recomend hotel anyone . redwood bar fantastic ! 
 Jun 8 2009 	 worth 	 fantastic location Union Square . minute walk Maceys - open - top - bus tour depart outside Maceys . excellent diner breakfast / lunch across street - & quot ; Davids & quot ; . staff helpful friendly . always taxis outside door . room clean , bathroom small bit date do not mind location clean . problem water temperature shower keep change water pressure change . probably peak showering time morning evening ok . definitely recommend . trendy . 
 Jun 5 2009 	 worth look stay 	 funny one - arrive 3 day stay Saturday morning ask could move & quot ; next door & quot ; Marriott full . return would upgrade suite remain 2 night . agree leave lug baggage cab ( pay ! ) get Marriott 2 street away . return next day , room not ready 3 pm . go come back 6 pm , rang bag take 50 minute arrive ! ! ipod dock TV not work whilst room big ( dinner table set 8 ! ) bathroom small , old tired ( maybe 6 ft 6 ft ) . dread think bathroom like standard room ! disappointing . hotel decor different fun worth visit sit big chair see dark coloured mirror lift . trendy reason staff feel bit . would not rush stay honest experience Bellagio Vegas , Beverly Wilshire LA , trip worst : ( 
 Jun 5 2009 	 DBL Suite - spacious ! ! 	 staff Clift Hotel excellent – always courteous accommodate ! spacious suite make visit memorable . Redwood Room provide excellent atmosphere socialize classy environment overall location hotel amazing – block good shop San Fran ! 
 Jun 3 2009 	 Wonderful Place Stay ! 	 friend one suites double room . suite huge plenty room get comfortable . hotel staff friendly helpful . concierge make reservation we help we navigate huge city . hotel locate couple block one major shopping area block trolley stop . great location , want experience part San Fran ! would definitely recommend hotel anyone head California . 
 Jun 2 2009 	 Loved Loved Loved ! ! ! 	 hotel absolutely beautiful ! took & quot ; girl trip & quot ; agree accomadation wonderful . clift amazing bar restaurant well incredible room . room well do staff quick meet need . never San Francisco find accomadating set dinners/ entertainment . overall , highly reccommend hotel 's convenience , hospitality , funky / fun decor ! 
 Jun 1 2009 	 amazing ... 	 second stay clift , consider home SF . place cool , people always great we . travel time family give we great room really comfortable . service staff amazing , come request , want , even go across road buy stuff want not ( teenage cheek ask ) . bar well , staff onto , atmosphere great , great night . christmas could not think well place away home .... , love Clift ! 
 May 21 2009 	 Best Union Square 	 come back 6 night stay SF . stay Clift Hotel must say completely delighted . everyone nice , doorman always open door , give suggestion place go , etc . read review say place full rude people must say agree . encounter one rude person hotel SF ! ! Redwood Bar awesome , drink pricey , ' m Miami normal price , not surprised . love whole atmosphere hotel , chic , trendy . also read room small disagree , small . get standard room two double bed plenty space . care drawer , really unpack stuff vacay . thing like bother , see hotel like . not get chance eat Asia de Cuba eat Miami location excellent food ! location wise , good place , close many diff place within walking distance . Westfield Mall huge mall 5 block away . Macy 's , Saks fine boutique also nearby . 's Walgreens across street well Starbucks deli ( david 's deli ) . would gladly go back hotel . 
 May 19 2009 	 great place enjoy SF 	 chance stay clift recently , hotel amazing great view downtown SF . staff great , everyone valet front - desk extremely helpful made feel much home . 
 May 18 2009 	 Awesome Hotel ! 	 enjoy incredible stay Clift SF 1 - night business . room great , bed comfortable service fast attentive . also fortunate experience dine Asia de Cuba amazing wine event . overall stay excellent would highly recommend . 
 May 14 2009 	 Funky Modern Contempory hotel 	 hotel funky modern hotel , love stay ..... get hotel greet gentleman door open we every time go hotel fabWe check quick reception staff friendly always happy help , reception area funky big chair . we stay superior king room floor 6 , room really modern funky spacious everything love .... big flat screen , massive bed nice sized bathroom , big closet fridge snack bit pricey room service menu sure food would great stay 4 night happy staying .. eveythe close .... also try bar Saturday night busy really nice go . cocktail nice.i would recommend hotel highly ........ good hotel somebody look modern contempory hotel centrally locate .... 
