Nov 	 not want check ... 	 perfectly situated , reasonably price comfortable apartment ? ! ? gem . back ! 
 Aug 15 2009 	 big league hotel 	 chicago four day catch Phillies Cubbies . read review Trip Advisor book room Sofitel . turn great move . hotel . 's super clean , nice location , staff could well , other state , room fairly large large , well light bathroom . flat screen tv get sixty channel bed could comfortable . concierge friendly , informitive helpful , desk clerk . staff hotel bar outstanding . hotel provide free coffee newspaper morning . eat breakfast hotel perfect . many nearby restaurant chooze . liike Mike Ditkas , locate one block hotel . stumble onto place go McCormick Schmicks afternoon drink run bad bartender universe . sit nearly empty bar twenty minute boozo look everything we . get leave say will minute . never go another & amp ; . anyway go Ditkas , bartender fine . kind bar eat two dinner excellent . Chicago fun city although Sofitel Ditkas make trip A - one . ( plus phillie clean cub clock ) . although take El Wrigley use cab time . Chicago cab driver must train Indy . think cop chase we time . good fast . live long enough return Chicago would stay Sofitel . 
 Aug 12 2009 	 great stay ! 	 15 - year - old daughter go Chicago 2 - day shopping spree . hotel awesome ! block away Magnificent Mile . walk place . beach Lake Michigan 10 minute walk . location fabulous . email hotel week ahead tell special trip daughter . hotel send plate chocolate - cover strawberry first night . daughter think really cool . staff bend backwards help . use valet parking ( $ 47 / day ) , worth ! bathroom huge marble . bed super comfortable feather - top mattress comforter . view beautiful ( look old seminary ) , especially night . one thing not know - not request top sheet , will not get . ask realize not , someone housekeeping bring right away even put bed . great stay great hotel ! ! ! would definitely go back . two thing would like - coffee pot room free coffee somewhere , free internet . 2 thing would change . : - ) 
 Aug 12 2009 	 wow ... not pamper like 	 truly amazing hotel - expensive worth . hotel gorgeous , room fantastic bathroom leave quite spolied . great location , 5 minute walk Magnificent Mile right John Hancock building . service impeccable , especially like fact rain bellman offer umbrella leave hotel , nice touch . be never fun away business , first time would happy stay long ! food also incredible - sure splurge prepare spoil ! 
 Aug 11 2009 	 good overall stay 	 typically stay 4 5 star hotel around world familar Sofitel brand Europe Asia . good point : - location - moment Michigan Ave- room - clean , good amenity would expect 4 / 5 star hotel- Business centre - 3 computer use ( although busy day ) - Gym - small usable fresh fruit water machine- Chic Picnic - Got package give we picnic stay . rain day book kind enough take back basket restock fresh food next daybad point : - check - in - slight confusion booking check - chic picnic package system show . however , sort end- Loyalty perk - platinum ( top tier ) a - club member get benefit . free upgrade ( subject availability ) apparently available . request free ' gift ' arrival qualify , promise something receive anything- bed - far soft . good need support partake ' activity ' ! tips- Booked hotels.com get good rate - book advance - Got restaurant next hotel bfast ( door turn right ) - get early though queue build- go Lincoln park not bother taxi , bus Mich. Ave go straight there- take Chicago food tour- Book lunch John Hancock tower instead pay go . avoid buffet though- 
 Aug 11 2009 	 Loved Sofitel experience ! 	 pleasure spending 6 night Sofitel . say exceed expectation ! staff pleasant helpful . celebrate anniversary stay leave chocolate - dip strawberry room .... plus incredible picnic basket . can not wait stay ! location fantastic ! 
 Aug 11 2009 	 sophisticated great value superb location - Chicago personify 	 book nonrefundable deal hotel direct get great rate junior suite . the room well equip modern , far space experience , expensive alternative . staff helpful indeed restaurant bar destination right . the location spot , short walk Michigan Avenue shopping within easy reach sight nightspot . all one successful choice many year travel . also first hotel stay feel compel review ! 
 Aug 10 2009 	 double bed horrible 	 wife two child stay water tower great three day rate . room bit small overall right . bed however REALLY BAD . one night sleep slant right almost rolling sleeping tell front office staff . show five people & quot ; inspect call lopsided bed & quot ; . see bed wife 's bed bad move we another room top floor ( nice ) . receive type bed ( cruddy ) lopside anymore . complete on - line survey say & quot ; apologize & quot ; poor bed . reason would recommend location Chicago red line public transportation think King bed would well . 
 Aug 9 2009 	 comfortable great location 	 stay 3 night business find hotel live top rating . posh , 24 hour fitness center , good ambiance , good location top notch staff . complaint desk chair . beautiful nice look , be quite functional much low table actually work . use lounge chair not comfortable work . otherwise everything perfect . 
 Aug 9 2009 	 Fabulous friendly french 	 second stay past couple year . thank QuickBook , manage terrific deal room ( 35 % list price ) . stayed & quot ; Superior & quot ; Room , bit small , comfortable enough . room clean quiet , bed comfortable . stand , though , friendliness attention service provide every single employee . seem like go way make sure stay memorable . great look , great location . 
 Aug 5 2009 	 great location clean great service 	 fly 1 night business meeting.faultless , great location minute Michigan Avenue . great staff , great bed . 
 Aug 5 2009 	 Comfort service extraordinaire . 	 husband enjoy time away home relax , sleep , eat sightsee Sofitel Water Tower view Hancock Tower good choice . king bed super comfy housekeeping staff actually heed ' do Disturb ' sign outside . bathroom enormous beautiful shower tub . robe , slipper , mini - bar high quality room service also quick well do . ( morning french press coffee superb . ) service mean something . forget BB charger room . call couriere , actually beat back home . 
 Aug 4 2009 	 Nice hotel 	 pay $ 305 / night think worth . great location , great room , view ok ( wow ) , room clean modern , spotless bath , bed SUPER . nothing excessive though , would pay price . not use gym pool look small picture . $ 50 valet parking ... guess $ 305 Maximum would pay hotel . go Tomo 's cafe next corner , like one review recommend , lousy place ! 
