perfect 	 part group 4 couple stay hotel would recommend highly . the room good size location could better less 5 min walk oxford street bond st tube station.lot restaurant within walk distance . staff hotel helpfull give we lots recommendation restaurant shop , sightseeing etc . the hotel relaxed atmosphere away hustle bustle . 
 Jun 22 2004 	 absolutely terrible ! ! 	 husband pre - booked - pre - pay twin room Millennium Mayfair Hotel . on check 2.40pm ( check 2.00pm ) tell slight problem booking . fact let room another person - even though already pay ! take single - room leave hotel , would provide additional bed ( assure would camp bed ) . anyway camp bed arrive , refuse pay sleep camp bed also room single sized room . we ask additional cup tea coffee facilite room , facility one person . take two hour arrive . ask speak manager never arrive . I go recetion evening tell happy , give two complimentary breakfast next morning . we uncomfortable night , fire alarm , false wake call morning , continue restaurant complimentary breakfast . we check - inform also reception mini bar re - fill previous guest , seal break . inform alright nothing pay checkout . I arrive home two day later invoice arrive £ 17.50 - one cook breakfast , already take money bank account without authorisation . I telephone manager return call , telephone third time tell would look next day - basically tell truth would pay money back account . I also tell thing take time , phone make sure do ? ! wish never hear Millennium Hotel Mayfair - know claim 4 star whatever . really unprofressional operation , think manager deal complaint 24/7 , always seem deal ' an emergency ' 
 Jun 15 2004 	 Nice hotel 	 stay 2 night hotel , bit nervous give somewhat mixed review . yes , hotel not brand new particularly opulent , location great , be still nice hotel , staff friendly accomodating . even though have book standard room , king room become available , staff graciously let move . king room quite nice . european hotel , decor furnishing not new 's experience 4 & amp ; 5 star hotel Europe . comfortable complaint ! ! 
 Jun 1 2004 	 stay next visit 	 ' ve read review not know complaint . stay hotel March 2004 could not pleased . staff professional helpful , room clean , bathroom huge , king size bed unexpected mere $ 95 bid Priceline.com . mind bitter cold snow time year , be look Marriott like hotel near shopping , quiet location affordable price , stay . 
 May 7 2004 	 good hotel fine stay 	 stay hotel eight night Easter . room large , furniture , though show sign wear , good quality , king bed comfortable , decor pleasant . hall carpet bit worn , large gap wall cover opposite room door ( 633 ) work . staff uniformly helpful , repair request attend immediately . problematic area housekeeping -- thorough schedule unpredictable . like take nap afternoon , could never quite figure would . one disappointment price food drink -- £ 20 breakfast . stratospheric . I find security arrangement -- armed police , comcrete barricade , wire fence -- around American Embassy , western end Grosvenor Square , oppressive . America wish could somehow provide need protection grimly visible . 
 Apr 27 2004 	 great sized deluxe room 	 got upgrade deluxe room 2nd floor ( room 255 ) . room massive separate sitting area , king size bed , cable tv , tea make facility , complimentary magazine , minibar . bathroom enormous separate walk shower bath . also separate dressing room contain full length mirror , trouser press , iron board etc . Room always clean thoroughly never disturb housekeeping . standard room high , though view could well ( industrial courtyard Gros Sq ) . 
 Apr 20 2004 	 great location mediocre hotel 	 stay Millennium Mayfair two night August 2003 . location perfect - quiet neighborhood , close beautiful Hyde Park , Park Lane , Buckingham Palace . hotel , lack well word , cramp . need major renovation . lobby small , noisy , welcome place . room small , stuffy , dark , old furniture complete grim picture . view window shaft - like inner yard hotel - also pretty picture . US - type electrical outlet work . breakfast adequate , overpriced ( compare US hotel ) , one morning wait line least 20 minute get . staff friendly accommodate , however , ( except waitress especially waiter breakfast room ) . overall , would recommend location , hotel . 
 Feb 29 2004 	 stay ! 	 good location , need major renovation . also need re - train staff . stay 2 room family . room big nicely renovate bathroom , room need renovation . stay February ( winter ) window one room not close properly air - condition not work room cold ! complain , could not fix problem . day departure , housekeeper knock door 8:00am still sleep knock shortly . try check we check - out time ? unprofessional 4 star hotel ever stay . 
 Jan 28 2004 	 Millennium Mayfair Fair ! 	 return 3 - night stay Millennium Mayfair could please ! actually & quot ; & quot ; bid Priceline stay ( $ 90 usd / night ) get good deal . the hotel ideally locate Mayfair district London . quick walk Bond Street tube station bustle vibrant Oxford Street great shopping neat cafe restaurant ! upgrade deluxe room 7th floor ( club level ) would highly recommend . upgrade cost we approximately $ 40 usd / night ( make overall stay approx . $ 130 usd / night ... bargain know London ! ) . room 7th floor recently remodel simply nice will find elsewhere hotel ( initially give standard room 4th floor deluxe room ready first day ... big difference ! ) . 7th floor brighter , clean appear luxurious floor hotel . plus , room 7th floor give access Millennium Club complimentary light food drink ( include alcohol ) available good part day night . yes , glass french wine Millennium Club night without pay $ 10 - 12 usd downstairs bar ! even champagne available ! short , upgrade 7th floor would well worth effort ! would hesitate stay Millennium Mayfair . 
 Dec 15 2003 	 ok need update 	 stay late November 2004 . booked good rate ( 99 GBP ) . like location , close shop restaurnant . US embassy nearby security arrangement make look quite ugly , nothing do . room stuffy . stuffy point travel companion feel like could not breath well hotel . room size adequate . staff helpful . would return get good deal . 
 Nov 17 2003 	 Great Location 	 sister stay Millennium week Nov. small twin bed room , nice marble bath , not view would nice . daily service room fair , not spend much time always hang club lounge pay extra thought well worth money . private lounge 7th floor . go breakfast morning , overlook city . nice fruit , yogart , great bread roll , juice coffee tea . thing miss egg leave England . afternoon serve tea cake . would head instead small room day walk london . go evening would serve great hord . make world famous chef downstair rest . serve champagne , wine beer free . make small room . go hotel restaraunt dinner one evening ... expensive , yummy . people staff hotel friendly helpful . location great 2 block walk tube . safe pretty location . expensive , everything London find expensive guess average . would stay , get club upgrade . 
 Nov 10 2003 	 return hotel 	 wife recently return London stay 3 night Millenium Mayfair . location grand -- near Oxford Street . however , hotel seem cater tourist guest noisy . addition , guest like congregate small lobby hotel hour time . hotel maintenence staff poor job keep place clean tidy . shall return ! 
 Oct 5 2003 	 great location good room 	 Millenium Mayfair right lovely square , 2 short block Oxford Street -- great location ! hotel blend embassy diplomat ' home . large exec . room well worth additional cost . breakfast expensive worth -- well walk Oxford St. grab bite . neighborhood well light night -- walk , although safe ( tell ) , seem bit spooky . 
 Sep 21 2003 	 Loved Millenium Mayfair Hotel 
 Jul 29 2003 	 Great Location ... fine Hotel ! 
 Jul 8 2003 	 nice hotel 
 Jul 6 2003 	 great hotel convenient neighbourhood ! 
 Jul 5 2003 	 love 
 Jul 5 2003 	 good value 
 Jun 12 2003 	 great experience 
 Apr 17 2003 	 really nice experience 
 Apr 15 2003 	 Great Hotel 
 Feb 22 2003 	 Millennium Mayfair 
 Oct 25 2009 	 hotel de derniere minute 
 oct 18 2009 	 Hotel Millennium Mayfair London - äusserst zentral und gute Adresse 
 Jul 22 2009 	 ? ? ? ? ? 
 Apr 10 2009 	 Séjour très agréable 
 Apr 3 2009 	 Potenziale ancora da sfruttare 
 Mar 17 2009 	 très bon hôtel ! 
 Feb 9 2009 	 Ottimo 
 Jan 5 2009 	 una vera sorpresa 
 Jun 17 2008 	 Bien mais ... 
 Jun 6 2008 	 extraordinaire hotel 
 Dec 28 2007 	 Maravilloso hotel tranquilo 
 Jul 21 2007 	 indimenticabile 
