great 	 third stay London past 12 month continue excellent . Book & quot ; Vista Suite & quot ; get room separate , generously proportion sit area bay window big curve sofa sit read New York Times coffee spectacular view Central Park ( river high enough floor ) . really believe room great value consider size / cost option mid town hotel standard . located couple block park , shop 5th avenue , carnegie hall half block Moma , ideal position long weekend NYC . feel like private apartment . new boutique ( hip ) hotel may eclipse London & quot ; cool factor & quot ; , hotel offer good looking , functional , immaculately clean room ( still smell brand new never smoke ) , quiet . get old want hear thump hotel bar 3:00am London pleasantly peaceful . restaurant food good , especially breakfast selection . gym well equip free WiFi . concierge department helpful doorman remain touch edgy . , go wrong choose London . 
 Oct 14 2008 	 LOVED Hotel ! 	 husband stay London NYC recent trip New York Sept 28 - oct 2 . first time NY book hotel website . hotel gorgeous room huge , especially NY hear hotel room really really small . room separate bedroom french door , great ! eat every morning restaurant food good service good . order room service find really expensive , extra fee not see . not order . hotel awesome location walk central park , time square , 5th avenue , awesome . also pretty close subway , use lot ! lot fabulous restaurant walk distance hotel . concierge great make recommendation . definitely stay hotel make trip ny . 
 Oct 5 2008 	 thoroughly recommend hotel 	 stay hotel recent trip New York City . trip celebrate joint retiral staff become aware , could not please we . indeed night , return room find bottle Champagne nibble ~ wonderful surprise hard day 's shopping ! suite stay comfortable spotlessly clean . attention detail first class . eat Maze ~ Gordon Ramsay restaurant within hotel ~ thrill Gordon Ramsay appear restaurant , chat we invite us kitchen . a memorable weekend . will back ! ! ! 
 Sep 29 2008 	 Luxury half price 	 first let say ' m spoil four Seasons hotel try judge hotel base 4S . say , London great hotel . exceptionally clean , room beautiful spacious , bathroom gorgeous , location can not beat . however , service not great - I not think doorman ever open door . tv not work weekend , never fix , despite repeat phone call front desk . send people see , $ 500 night 2 day ' time , would think could done something . , service not exceptional , literally half price 4S , be great hotel . weekend jaunt , service not important niceness cleanliness room , London deliver . would stay heartbeat . 
 Sep 24 2008 	 well ... service ... ever 	 fortunate stay luxury hotel past decade . past year stay Greenbrier WV Atlantis Bahamas . wife choose London romantic getaway admit bit leery price . duty call ( wife 's choice hotel base research ) say WOW ! usually way well thing write ( likely unread ) review hotel anyone interest London tremendous . first foremost service outstanding ! never meet concierge ( deal several brilliant ) seem wire city astute enough gauge clientele accurately . equally impressive staff housekeeping front desk maintenance . example - as try sort flat screen tv wife say call maintenance ; . figure remote 1 minute later - about 2 minute friendly tech knock . ride elevator housekeeping person look eye , ask room wonder could assist way . could go excellent location , nice gym good bed ever sleep service stand . sorry long London truly special . 
 Sep 23 2008 	 Best ever see NYC 	 beautiful , luxurious hotel right middle action . room beautifully appoint nice view . want eat Gordon Ramsey buy book solid . breakfast good afternoon tea . all aspect service perfect . a minor problem bill take care issue . be cheap , be worth 
 Sep 21 2008 	 favorite NYC hotel 	 London preferred hotel stay NYC . guest room actually suit , spacious , beautifully design decorate . bathroom fabulous ( sure ask room tub , far ) even & quot ; & quot ; get double shower , be still treat . staff wonderful well . obviously since NYC pay luxury ( usually pay $ 690 - $ 790 ) definitely worth . 
 Sep 16 2008 	 want luxury ? place ! 	 stay London 3 night August holiday nyc.bee Australia use spacious hotel room size room London pleasantly surprise we . huge ! lovely layout great natural light window even open fresh air ! stay 34th floor overlook 6th/54th intersection . hotel ooze luxury every level - checkin concierge turn service gym . we dine Restaurant Gordon Ramsey bit expensive well worth money . great night . I highly recommend hotel people visit NYC want something little special . 
 Sep 15 2008 	 good ... need little 	 niece hotel beautiful trendy room . London Bar ea great spot people watch . however , base price enough . wife arrive stroller notify hotel would stay 4 month old , first room try we far small not even bathtub . thank Christopher ( host day ) quick realize error fix chance unpack . new room much expectation . comment would make lobby service . know staff poor training issue , four day wife stay hotel front door hold open use carry baby stroller . main reason give property rating may deserve otherwise . use pay average price , service follow . 
 Sep 13 2008 	 Fantastic 	 nephew city 21st birthday rather stay apartment decide surprise & quot ; suite & quot ; London . the hotel surpass expectation . stay hotel year young girl take weekend trip mother see show stay Rhiga Royal imagine shock London property . absolutely amazing . I think bathroom large apartment . sit area great separate bedroom . highly recomend hotel anyone travel Manhattan . location beat lounge bar fantastic . all employee cater every need , rave enough Hotel . 
 Sep 3 2008 	 Phenomenal 	 let preface say be not bs do not work hotel . company branch NYC travel quite bit . stay least dozen hotel , far away well experience . room beautiful spacious . staff curious knowledgeable . lobby bar fantastic ( comfortable suit sweat ) . search mid - town hotel , look . hotel can not beat . 
 Sep 1 2008 	 Great Boutique New York Hotel 	 stay 2 night business trip . hotel modern chic . hallway little dark , feel add hotel 's calm ambiance . standard room suite ( & quot ; London Suite & quot ; ) , full couch , flat screen tv , desk , coffee table one room , bed flat screen tv . fairly spacious New York hotel room , parlor room would small gather people . room also free internet , ihome iPod docking station , think nice touch . light hotel room could also dim , instead turn completely . bed large comfortable great double - headed shower . lobby bit small , real room sit hang , one give large group problem gather hotel restaurant / bar . bar really great - probably favorite bar hotel ' ve ever stay . give bartender license , will come tasty unique cocktail . food bar alright , room service breakfast disappoint . cold miss item order . apparently restaurant much well Gordon Ramsey actually , not stay ! hotel right middle everything - convenient anywhere want go NYC . walk place - include restaurant broadway show . sleek modern boutique hotel , nice want luxury experience trying avoid major NYC chain . 
 Aug 25 2008 	 good experience 	 back 4 day NYC . good experience London NYC hotel . check room view ask . reception give we hesitation beautiful room view central park one side , river . People reception nice . stay every morning ask everything okay . good personnalised service . go quite lot NYC use stay St Regis . price pay London NYC worth stay rather hotel whih much expensive small room view . as Amex package , breakfast include room , unless additional cost . breakfast dining room ok , good fod , good choice nice staff . for good quality / price recommend hotel , excellent location Central Park , Times Square ! 
 Aug 23 2008 	 can not wait go back ! 	 staying London Hotel 1 week make stay NyC fabulous ! ... room comfy quiet ( exception guest slam door ) location wonderful . hotel staff accommodate , nice sweet ! ... definately hotel choice NYC ! ... short walk Rockefeller Plaza , Colombus Circle , Times Square . eat Carnegie Deli everyday , one block . ( good blintze ever ) bad part stay leave . can not wait check London ! 
