great 	 apart amazing location , hotel charge lot , great experience . everything , mean everything , cost extra . check peasant experience hit large bill 
 good NY hotel experience date 	 spend 2 night mid - Nov , business . hotel conveniently locate , far 5th avenue , close main attraction popular mainstream shop . staff reasonably friendly , helpful professional . hotel ' feel big , nice . like many NY big city hotel , public area salubrious comfortable , unusually also charm character . ' chance visit hotel gym . my room large , well maintain clean , decorate non - offensive slightly bland corporate style . bathroom large , spacious modern , fit good standard . bed comfortable , room well sound insulated . overall , good , functional , business hotel room . however , another reviewer comment , would describe luxury hotel . overall , definitely one good hotel experience NY , usd 400 / night . 
 Sep 2 2008 	 Fabulolus ! 	 ok , start .... well , looking take mum NYC couple day . mother - daughter bond . got tix see Neil Diamond Madison Square Gardens , need place rest weary head ... normally stay Westin , Times Square . nothing wrong Westin , nice hotel , good location , want location nearer Bloomies area . wow ! entrance beautiful , twinkly light , look like chateau . staff check fab . ask room nice view mum . get view 12th floor overlook St Patricks . large room , nice quality furniture . view back , room large . comfy comfy bed - not want get . Molton Brown toiletry , turndown service , bathrobe lay bed , slipper side .... really pleasant staff . forgot toothbrush , concierge one send - Molton Brown box , toothbrush paste , plus small bottle Listerine ! clean room , well maintain . Hairdryer not work one morning , mention maid . see later night , ask fix . gripe lift nearly always full - busy hotel , come back Neil Diamond , charge $ 21 two cappucino lukewarm . complain think 's bit steep . however , could moan . mother law husband due stay NYC week bit later . could not get Palace , get Waldorf Astoria think would equivalent - assume would nice . , therein lie another story ........... 
 Sep 1 2008 	 Fantastic Hotel . love ! 	 round fantastic hotel . clean luxurious room . great location access transport city . staff excellent would highly recommend ' executive lounge ' option book possible food , drink local knowledge adundance . will definately return hotel . great trip ! 
 Aug 26 2008 	 wonderful hotel location service 	 take 9 year old niece 17 year old daughter weekend New York stay first time New York Palace . want close American Girl Shop / Show , well shopping park hotel perfect choice . provide bed niece 's american Girl Doll service , friendliness , helpfulness , employee perfect . room beautiful wonderful view Cathedral . hot weekend , request fan immediately bring we small & quot ; air conditioner & quot ; quiet really help heat . eat breakfast lunch hotel , really expensive , food wonderful . would suggest eat breakfast hotel cost , wonderful cafe next door reasonable . bed comfortable , even though double bed , comfortable two bed . would definately stay . additionally , see Jersey Boys ... awesome ! ! ! 
 Aug 25 2008 	 oh goodness great Value ! 	 New York Palace Hotel ( formerly Helmsley ) Grande Dame Upper East Side . right madison avenue across Saks St. Patrick 's cathedral beautful courtyard front . restaurant Gilt dinner fantastic well Madison Room breakfast . room brand new decent size . two big bed . view church high floor . great value NY ! ! ! ! definatly would go back ! staff concierge extremely helpful friendly ! 
 Aug 25 2008 	 Excellent Location - Superb Service 	 stay NY Palace girlfriend three night Jan 2008.when arrive taxi , little trouble driver since change . bell captain immediately help we pay cab us - fantastic gesture opinion . check - in little inefficent not find reservation first . leader Club privilege grant request room view observe . room huge New York standard , bathroom great furnishing luxurious tasteful . bed soft comfy . concierge staff friendly , professional handle every request good possible manner . always get good table table booking arrange hotel . the bar hotel great . go drink . generally speak excellent mid - town hotel fabulous service - would definitely stay . 
 Aug 24 2008 	 Suberb stay 	 excellent expensive spacious accomodation , efficient service location beat . exceptional value summer weekend rate 275 usd . especially like view st . patrick 's side . 
 Aug 22 2008 	 good hotel 	 book hotel luxury 3 day stay NYC , go onwards elsewhere . disappointed . room sumptuous , hotel interior exude quality hotel live 5 star status . staff service excellent . hotel location Madison Avenue pretty good - 5 minute walk Central Park , 10 minute Broadway Fifth Avenue . City Centre Hotel , Lobby typically , - felt - modestly sized . room outlook , main , wall adjacent building , floor 23 , part view distant street . city hotel however , expect . food restaurant excellent , though minor quibble restaurant lack little ambience . would expect quality , fairly expensive hotel , aware hotel dining pricey . conclude , summary however excellent hotel happy highly recommend 
 Aug 21 2008 	 Best Hotel ever ! 	 hotel gorgeous . beautiful clean spacious room fantastic view city , delicious breakfast , excellent service . 
 Aug 17 2008 	 Great Midtown Hotel 	 great midtown hotel . large comfortable room . breakfast little crowd , Buffet , order everything like diner . 
 Aug 16 2008 	 WOW ! Fabulous Hotel ! 	 family stay NY Palace two night . two adult , two teen double room . can not even describe fabulous hotel ! moment checked treat like royalty . ( get train DC not look like royalty . ) greet warmly , give wonderful room 9th floor . although real high room , directly across St. Patricks cathedral great view many building street . plenty room four people . love ! little noisy morning window open cab honk bad . everything first class , furniture , linen , service , bath product etc ... stay many fine hotel across world truly one nice place ever stay . location great staff snooty nice hotel . bed comfortable , room service really fast food great although expensive . bellman tell we like coffee a.m instead pay room service coffee , call send coffe set , full size coffe maker , silver tray cup , silverware , pitcher cream , sugar course coffee . great tip . also , woman check we tell we cost 15 dollar access internet room , free lobby . need use laptop go lobby plug sit comfortable chair . plenty place sit plug . hotel lovely clean well maintain . thrilled find gem can not wait stay . 
 Aug 16 2008 	 Nice Hotel 	 hotel nicest ever stay . travel lot one trump other . great location , great service , great bed . room spacious , smell little stale . staff friendliest around . wifi way expensive , offer free service first 2 floor lot chair sit . would stay second . 
 Aug 15 2008 	 manhattan holiday 	 parent stay palace 8 day . room 15th floor . shabby . bed comfortable . every night go sleep , view St. Patrick 's Cathedral foreground Rockefeller Plaza background . feel surreal . perhaps good hollywood movie . not go around hotel much since 5th avenue block away ! daytime lot people walk around area . especially along 5th avenue . night become quiet . much . nearby bar lounge chill . since hotel near 5th avenue , good time go around area 8 pm onwards . tourist seem vanish ! ton good restaurant area well . name , gilt , four season , aquavit , le grenouille , fig olive , etc . palace opulence . not expect chic comtemporary hotel . one landmark hotels manhattan . entrance along madison avenue speak volume . bit uptight young people old couple businessman enjoy hotel . comment not provide we complimentary water stay .. overall memorable stay . 
 Aug 11 2008 	 swish ! 	 partner stay New York 4 night en route see brother wife Austin Texas . want stay somewhere central bit luxury find good rate online Palace . not disappointed . first visit New York , Palace good central location : close Central Park , shop Fifth Avenue etc . however hindsight would probably prefer stay Greenwich Village East Village - still central , away noise ( still hear taxi loud clear even 34 floor ! ) hustle bustle Midtown . palace extrememly fancy hotel deserve 5 star . courtyard lobby glamourous front desk staff helpful . room corner standard room extremely large fantastic view St Patrick 's Cathedral double aspect window make really light . decor classic smart - chic trendy like boutique hotel sophisticate . room really well equip cute little clock radio / mp3 player soothe music build . bed comfortable huge ! bathroom little disappointing bit date , still clean well care foor . room also impecably clean housekeeping thorough . even leave really sweet little touch like chocolate pillow free turn service . impressed quality service hotel would recommend . would however recommend take earplug light sleeper traffic New York 's street even 34 floor constant presence night ! 
