would 	 reason stay location . service not great , room so - so amenity average . afford go somewhere else , please . 
 love location room 	 good experience stay hotel , location excellent times square , experience good , would like stay hotel . 
 Great Location Great View 	 stay Millennium Broadway 3 night 22nd November . hotel simple find access 44th 45th street entrance . location could barely well , right next Times Square ( room overlook 30th floor , amazing ! ) close transport link . check quick efficient although need hotel service , appear staff always hand quick helpful . room good , huge bed , large flat screen tv ( room much watch ) good furniture . bathroom character low side bath ( remind 50 horror movie bath , quite charming ) . downside tea coffee make facility although short coffee shop outside hotel ( starbuck every corner ) . good hotel , fantastic location well worth stay . 
 fantastic location quiet safe however room / hotel need update 	 go Macy 's Thanksgiving Parade careful consideration choose hotel due 's location ability book one room family four . location great , step Times Square , yet quiet alley . it also close major attraction include Broadway theater Rockefeller ctr . price reasonable consider fact major holiday ( book Venere.com ) . room small comfortable , tiny , like room NY , 2 bed assume feel much big one bed . big flat screen t.v fairly comfortable ( bit hard ) bed . though clean , carpet stain bathroom need major remodeling fan , old fixture , etc . much housekeeper do . check front desk friendly accommodating , upgrade we premiere room per request , practically room high floor well view . it lobby , character like one review state . coffee room starbuck next door . this perfect hotel someone look clean place good location rest tire day outside . seem favorable family group woman , rightly , since safe ( doorman late hour ) relatively quiet ( ny ! ) . hotel offer concierge service bell man , feel like cater self sufficient tourist like . time use service friendly , helpful , professional . Plaza , crummy little hotel believe Millennium Company decide give face lift deserve price hike accordingly . check Patzzeria Pizza ( incredible ) Margon ( cuban food ) near . 
 great tourist location decent accomodation lack character 	 Millennium serve need well . mainly sightseeing , although event attend Madison Square Garden . locate half block Times Square , hotel also within easy walk distance Rockefeller Center subway . room 34th floor offer view Times Square ball . room comfortable decent size NYC . bathtub need refinish . flat screen television fine -- remote basic without sleep option function expect . bath product restock daily bath robe fan expect premier hotel . not dare open refrigerator fear charge one friend put Coke get elsewhere . I not rude interaction hotel staff . seem somewhat aloof chip shoulder . millennium lobby basically run somewhat narrowly street entrance 44th 45th street . hotel desk , concierge desk , bell desk , restaurant , small seating area . really expect large lobby sit people watch lack . seem lobby passageway lack great character elegance . would stay , location can not beat . 
 good location 	 stay hotel three night attend conference hold nearby hotel . pay conference rate ( $ 269 + taxis per night ) , think reasonable location . room spacious well furnished . 6 - outlet power strip work desk , convenient . king bed comfortable . AC noisy . stain spot carpet housekeeping apparently vacuum room everyday stay . luxury hotel ; tourist hotel opinion . , expect much hotel , would get disappoint . 
 Aug 2 2009 	 great hotel price 	 teen daughter stay four night hotel July . reserve room two bed via Travelzoo special include upgrade " superior " room . arrive midnight receive suite 51st floor instead ( accord clerk last room available ) . although nice , ' feel worth normal room , fine price pay . it separate sitting room two leather chair , coffee table , side chair , desk / chair minibar large tv . also half - bath entry . bedroom one bed , king size decide accept without complaint . bedroom also dresser large tv closet safe two bathrobe . room large window although ' " floor ceiling " describe website . nice little sitting room , would make much sense sofa bed instead chair . main bathroom fairly large , tub / shower combo long counter sink , hairdryer , coffee maker supply ( tea - bag type instant coffee tea ) , room personal item . Shampoo , conditioner , soap & amp ; lotion supply , replenish daily efficient maid service . never bother " disturb " sign , room always clean return . near elevator concern noise , never hear anything . ' many room floor foot traffic minimal . go one floor get ice problem elevator slow . try stair , kind spooky : - ) internet access $ 12.95 / day , Starbucks & amp ; hotspot outside 45th Street hotel entrance . minibar personal item , refrigerator provide available request ( sure fee ) . notice day line extremely long leave luggage bell desk , might want keep mind need . staff encounter helpful & amp ; friendly . the location good want Times Square area . plenty dining choice theater nearby 42nd St. subway station couple block away . nice deli across street 44th Street entrance , ' open 24 - hrs , hot food salad bar offer Sunday . 24 - hr . Duane Reade block away . overall feel great hotel price , ' prefer stay another area next trip . 
 Jul 30 2009 	 Excellent Location Pricey 	 right middle Times Square could not ask well location . use priceline get ticket , use name price feature , able get room half normal price . shock see room actually cost get , range $ 300- $ 600 , nothing mediocre . room bathroom small clean . always long wait elevator set time dinner reservation show would plan accordingly since wait elevator could 10 minute . not car use public transportation , mostly subway , subway station couple block away . hear people hotel complain expensive parking long take valet get car . also price least include free internet . we not spend much time room since NYC much outside perfect place able come back sleep . planning spend time hotel would rather stay somewhere else price . 
 Jul 29 2009 	 nervous first great stay 	 nervous hotel . book hotwire , idea staying deal make . hotel great , lobby never busy spacious . pretty . room great , choice king queen bed . location perfect , right middle . across street deli price meal similar live break bank . complaint remove stuff mthe mini fridge could put bottle water , charge consume drink move put back fridge . although take never pay , obvious see never consume anything ridiculously price fridge . 
 Jul 28 2009 	 excel mediocrity 	 stay Millenium recent July vacation ny . whilst hotel central times square 's good news end . room stains carpet couch . door paint smear lock nightcclub back onto htoel , thud thud thud night keep . concierge joke , wallet steal Macy 's ask concierge check refuse say would waste time . restaurant reccomendation also poor . check walk around corner two non automatic door bag . phone stuff mumble rude . give place wide berth . 
 Jul 24 2009 	 Thank Millennium ! ! ! 	 book Priceline never NYC fly blind little nervous actually get . treat like royalty Maria reservation Rubin front desk . location perfect , room good ' ve ever little touch like Gilchrist Soames toiletry complete experience . back 
 Jul 24 2009 	 central stylish busy snobbish 	 hotel easy find , W 44th Street 7th Avenue . also modern yet unique exterior add charm . unfortunately , enter lobby reception find , opposite . dark cold air conditioning ( even though hot outside , find shiver ) . ( mum , dad , brother ) go check , snap harrasse - look man behind desk wait line , even though guest check time . eventually daine serve we , could hardly speak word English not welcome . not tell we anything hotel facility ( swimming pool , gift shop , spa gym never find ) bark location lift ask be . the lift pretty fast , room average size double room 2 double bed inside . tv good size lcd screen Time Warner Cable , remote tv not obviously come , extra sensor tv not always work . traffic noise constant well , even though 24th floor . bathroom nice clean , toilet bath low , bath shallow . also flush system toilet seem last 10 minute , want get night , wake everyone room . pay $ 120 night room , pay £ 55 almost identical room Holiday Inn Leicester . the cleaning room start 8 am , want make sure not disturb lie - in put Disturb sign door . also day row maids forgot replace coffee / tea cup room drink tea glass ! staff seem pleased help general ( speak good enough english understand ) feel like it . we breakfast every morning Charlotte Lounge , pleasant nicely decorate , dismal lighting lobby . unfortunately book holiday , hotel inform travel agent inclusive buffet available , order pay breakfast every day . room , price guide breakfast say around $ 40 , actually come around $ 60 ( one cook breakfast , plate toast 3 bowl cereal ) . also wait around 20 30 minute meal order , mean long take put cereal bowl ? not even serve milk time , wait even cereal ! also , want juice not orange juice , order food wait amount time ! still expect tip . one server however , must praise . not know name not wear name badge , look spanish mexican decent spikey black hair . serve first morning prompt server . day later , could remember drink want even quick ! worthy man tip anyone . man outside hotel hail taxi , car limos also polite obliging , deserve mention . unfortunately , staff member see fit mill around lobby day ( not even know employ ) stare mercilessly whenever go hotel , though sort prisoner day release , guest ! hate criticise anything stay New York , amazing time , hotel suppose make feel welcome foreign city , actually make feel opposite . people may great time Millennium Broadway , hand , unfortunate . 
 Jul 23 2009 	 Mediocre Hotel 	 would consider 3 star hotel oppose 4 star everything room & amp ; common area pretty plain & amp ; exactly clean . bedding rather uncomfortable & amp ; furniture bit old . plus location amazing & amp ; discount Travelzoo . 
 Jul 16 2009 	 Excellent Location Big room NYC Lived Expectations 	 stay first night Honeymoon NYC , pick mid - range room ( small , suite ) , expect ' nice ' room , necessarily huge world . little expensive side , be right heart NYC , guess 's expect . room quite big , comfy king size bed , 2 chair table , 32 & quot ; LCD TV . charge wifi , aware take laptop . thankfully , NYC , position bum near window , will fine . thank keep internet connection open people ! not live room 24/7 , NYC explore , night day , be nowhere well see Big Apple right Times Square . 's 2 min walk block , , get subway wherever . would recommend explore get breakfast type food . hotel expensive anything eat , 's bagel shop grocery store street local commuter seem stop morning . breakfast morning , mean could explore shop day . if be NYC , would definitely go Top Rock Rockerfeller centre . 's 360 view NYC 3 floor , be MUCH well Empire State Building - since start , SEE Empire State Building NYC skyline . impressive . since be near Broadway , would recomend see show . definitely look Wicked Lottery google want wicked ticket not want pay $ 180 . queue hour 200 people 13 pair ticket , draw hat twice . give second pair ticket back though . want see different show , TKTS booth Time Square 5 minute walk away . nice hotel , well position , fabulous service , ideal explore NYC . not order room service ! cha - ching ! 
 Jul 15 2009 	 great location spacy room 	 dream well location nyc , arrive fun . room quite spacy nyc standard , nice view towards times square . room informed renovate recently , bathroom ( tiny ) wear definitely need renovation . reception staff concierge nice helpful . clean service improve . elevator old working : - ) drink lobby bar expensive . starbuck back entrance . great american style restaurant 44th st opposite main entrance . open mini - bar charge even take nothing , would well order second fridge bring immediately free charge . feel like coffee tea , bring coffee machine free charge . probably come back hotel consider perfect location spacy room . 
 Jul 8 2009 	 good size roo NYC price right 	 book great package deal airfare city amount $ 140 per night . nice clean newly remodle room plasma TV , leather chair awesome King bed . get corner room 24th floor little low may hear Times Square noise bother . think corner room large ( deask clerk tell ) great New York standard . God powerful shower Speakman head make good start . Folger 's coffee & quot ; bag & quot ; ... bring work pot . 
 Jul 6 2009 	 Great Location 3 star Hotel Friendly Staff 	 Fantastic Times Square location good price . clean room , good bar , step action Times Square . great family young adult , teenager . KC 
 Jul 4 2009 	 Average Hotel ... 	 hotel average hotel great location .. room quite large New York standard , do not think much go ... basic average hotel ... think 3.5 star rating hotel generous . 
 Jul 2 2009 	 reservation not mean anything reserve 	 want give little background typical hotel stay . usually stay Hilton Marriott brand hotel . also , last time NYC less month ago stay Westin 43rd street . write review room Hilton 42nd street Times Square . shop around found Millennium Broadway Travelzoo feel like great deal . book Superior Room 6 night stay NYC . couple travel . arrive ( take limo great ) airport hotel really nice outside lobby clean nice well . go check tell Superior Rooms available could either wait later evening chance one would become available could take standard room low floor . honestly , make reservation , 2 month advance , expect room reserve ..... especially credit card information file . feel take less room honestly go . lady desk tell we & quot ; least sure place sleep & quot ; . already frustrate enter find room small hole wall . map shade burn hole . entire room smell strongly rub alcohol . bad part hardness bed . hard bed ever think sleep . call friend also check . also Superior room reserve tell hotel oversell . none room available put tower . instead high floor face Times Sqare ( reservation ) 8th floor face nothing . sound street audible room . also book King Size Room end queen size bed . go downstairs ask another room tell nothing available . however , stand people book room much high floor Superior room . explanation reserve room & quot ; really sure going & quot ; . offer put we waiting list something well come open would move we long luggage pack . our friend tower complain room small could get room cool 79 degree . maintenance people tell really nothing wrong hot outside ( 82 degree day ) .after become frustrated shady character management hotel relent . call street find nice comfortable room Hilton 42nd street . hotel obviously overbook room . addition , able get discount rate treat 3rd class citizen . knock staff , management place . room may nice understand tower well bed . problem not know end . reservation hotel not really mean lot place whatever room floor feel like . take vacation able enjoy stay really think hotel . move different hotel not want deal irritation hotel every single day . in short , location great , management horrible . opinion simply try turn dime service professionalism second . recommend anyone apologize several time friend stay . truly feel bait switch con game . 
 Jul 1 2009 	 wow ! return ! 	 Excellent hotel ! excellent service ! book Superior king room . upon check offer & quot ; suite & quot ; & quot ; tower & quot ; 20th floor free internet seperate living area $ 50 night , turn . mainly sister hubby across street suite 43rd floor Marriott Marquis overlook time square , aim high floor . tell man check we , happy play along assign room 48th floor . room huge course , floor ceiling window nice view glimpse river could even see Empire state building peek behind sea skyscraper . okay , suite , sweet view ! room large flat panel tv , coffee maker , window would open , decorate beautifully . bit noisy could hear almost everything hallway , much bother . only one problem business center , printer work husband print something - concierge direct we Kinko 's nearby able use computer print need . we get great deal $ 159 night , ever back NYC , certainly try get deal . excellent hotel ! 
 Jun 28 2009 	 Tip top ... 	 New York number occasion ' m fairly knowledgeable place , , see et cetera hotel always bite issue . try get good deal always seem bit tricky . however , stay Millennium Broadway 5 night pay less £ 100 per night ! hotel quite literally 45 second walk Times Square absolute bargain . also throw equation room generally market £ 200 per night . the room everything will need , complaint door access swipe card thingy rather choosy would let room . ' m sure appreciate , last thing want ' ve spend day pretend Irish St Patrick 's Day alcohol consume need find escape ! fix though quick call reception . helpful . so , fantastic place . great hotel base unless someone else pay bill , not pay ask price ! ! 
