great 	 hotel gem . like small hotel attentive service , place ! whole staff nice , polite , smile time , front desk housekeeper , breakfst staff etc . Breakfast include good , include good coffee . room clean bit small . but care , NY visit shop , stay room ! location perfect , litterally 2 block Penn station , Macy 's , Empire State building etc . even walk way Times Square , Broadway central park ( need time however ! ) go back recommend anytime ! price make even attractive : app . 250 $ US room 2 double bed ) . 
 Jan 10 2007 	 great location shame hotel 	 wife stay hotel 6 day 30 Dec - 5th Jan 07 . arrive 3 pm due room require cleaning wait hour checkin . request room King size bed , rather one two double bed . the room ( room 502 ) seem fine , clean spacious NYC hotel large comfortable bed ( ' m 6 ' 4 ) , plenty space bag ( well see new year serious shopping ) large bathroom shower / bath combo . breakfast include suprisingly good , typical NY fair , cereal , porridge , boil egg , waffle vairous bready thing well plenty juice tea / coffee . although downside open 7 - 9am late night body clock difficulty adjust may problem get time . the location excellent , area know Garment district . hotel locate 35 west 7th 8th ( useful know get cab ) 10 min walf Times square . subway nearby ( did'nt use ) Macys literally around corner . now downside , third night hotel wake 2 am suddendly notice room get cold . check air con controller switch could see thaat vent still blow cold air room . call reception say someone would minute . 30min later wife get v cold go reception see happen . employee agree look problem . fiddle around another half hour could'nt seem fix problem suggestion put thermostat blow hot air ! ! insist change room ( 3 am ) come back key card room floor disappear , offer help we move luggage . the new room ( 401 ) 2 double bed short due 2 bed room much less spacious , air con seem work properly . the follow day come back room early evening notice clean , rang reception explain request towel , did'nt arrive go reception ask person . on day leave request service car collect we hotel take we airport 4 pm next day . guess 4 am morning get call say car wait ! ! car come correct time charge we $ 69 journey shock since two year previously charge $ 45.overall probably guess would recommend hotel . staff although friendly not provide level service would expect . 
 Jan 9 2007 	 nice ! 	 newly construct hotel major plus . room quiet , clean , roomy consider hotel room Manhattan . even full vanity bathroom great woman traveler along mini - fridge microwave . staff also friendly helpful . go New York event Madison Square Garden , location perfect ... block half away Macy 's half block away . would stay heart beat highly recommend anyone not want stay ultra busy Times Square area . 
 Jan 6 2007 	 excellent location friendly staff clean room 	 review say . would choose stay visit New York . location excellent , lot subway line doorstop . Macys - Herald Square practically next door . walk almost everywhere , Broadway musical , Times Square , Rockefeller , Empire State Building , Madison etc . staff friendly helpful . hotel room big clean . furniture furnishing new , since hotel less 1 year old . hitch breakfast room little small , get super - crowded peak breakfast hour . 
 Jan 5 2007 	 need hotel 	 stay wingate inn 5 day christmas NYE period , recommendation friend . perfect location one block away macys , near shop road quiet loud noise.3 we stay room two double bed , bed comfortable room spacious enough . also nice large bathroom . everything room hotel general good condition , hotel 4 month old . make free breakfast . also free computer , printer , phone ( local call ) basement . staff friendly helpful , critiscms . 
 Dec 29 2006 	 Great Hotel ! 	 enjoy Holiday stay Wingate Inn . front desk staff could nicer efficient . room clean small , nicely appoint ! kid love gym able check email office downstairs . complimentary breakfast wonderful . great location . highly recommend . 
 Dec 13 2006 	 Excellent Hotel 
 Dec 8 2006 	 Small Gem 
 Dec 8 2006 	 Great Hotel Busy Tourists 
 Dec 6 2006 	 Great Weekend 
 Nov 12 2006 	 Great Value 
 Oct 26 2006 	 convenient clean nice . 
 Oct 18 2006 	 comfortablecleanconvenient 
 oct 8 2006 	 great Stay ! 
 Sep 30 2006 	 Brand new good value great location 
 Oct 27 2009 	 Il miglior hotel di NY per qualità / prezzo 
 Sep 9 2009 	 Bruyant 
 Aug 16 2009 	 Buen hotel buen precio 
 Jul 12 2009 	 Viel erwartet - sehr enttäuscht 
 Jun 10 2009 	 ottimo hotel 
 Apr 16 2009 	 Excelente Hotel 
 Apr 14 2009 	 Très sympa 
 Mar 17 2009 	 excelente hotel en Nueva York 
 Mar 15 2009 	 besser geht es nicht ! ! 
 Mar 4 2009 	 Un horrible séjour ! 
 Feb 10 2009 	 idéal et calme 
 Jan 5 2009 	 Moderno e confortevole 
 Dec 1 2008 	 Excelente ! ! ! ! excelente ! ! ! ! 
 Nov 26 2008 	 Super hôtel 
 Oct 28 2008 	 Buona struttura ! 
 Sep 23 2008 	 seconda vacanza al wyndham 
 Sep 2 2008 	 semplicemente perfetto 
 Jul 12 2008 	 großartige Stadthotel I m Herzen Manhattans 
 Jul 6 2008 	 da consigliare ! 
 Jun 19 2008 	 Ruido pésimo desayuno zona muy buena 
 Jun 9 2008 	 Einfach genial 
 Jun 4 2008 	 buona soluzione 
 May 8 2008 	 hôtel calme excellent rapport qualité prix très bien placé 
 Sep 5 2007 	 bon hotel 
 Jul 19 2007 	 veramente ottimo ! ! ! Consiglio tutti ! ! ! 
 Apr 24 2007 	 Bon Hôtel 
 Oct 29 2006 	 ottima posizione ottimo hotel 
