Fantastic 	 back 4 night stay Marriott Eastside . bit hesitant stay Lexington Ave previous trip NYC always stay close Times Square , good location ever . hotel locate less 5 minute walk 5th Ave less 10 minute walk Times Square . staff friendly efficient especially Irish Porter Donegal . pleasant helpful . room service one night could walk day shopping . food service great cost $ 70 dinner two beer tea include . never stay hotel close Times Square , will stay Marriott . concierge great organise ' town car ' we go airport cost $ 75 include toll tip - cheap fare ever pay airport hotel NYC . seventh trip NYC would say good trip ever far fantastic hotel stay . will back ! 
 Aug 3 2004 	 nice stay Marriott East Side 	 good location . clean , comfy , cozy room . thoroughly enjoy stay here . for 8th anniversary , cash reward point book weekend Marriott East Side . first night free second night $ 199 . parking lot 2 block away go cost $ 72 2 day . opt Marriott 's valet parking $ 76 instead . probably put garage 2 block away , not want tow luggage back forth . plus , check - out raining , huge convenience vehicle wait we right front Lexington . room standard king bed 23rd floor , couple door elevator , partial view look south Lexington ( top Chrysler also view ) . really like room . relatively small , cramp ; cute cozy ! king bed comfy ; flank endtable lamp . tv armoire corner near foot bed , well position . soft chair adjacent armoire foot bed , window behind . good - sized work desk phone ample plug port set laptop . able get on - line free 800 number modem dial - up company Marriott charge outgoing 800 call . fridge room stock expensive drink snack , room put thing , read would provide complimentary mini fridge ask . small cool we anyway . decent size bathroom marble granite . nice . Hair dryer equip . iron board slide mirror door closet . not perceive elevator noise whatsoever . street traffic not bad , especially 23 floor . occasional police fire truck siren night , big deal we . AC room strong , shower water pressure good . starbuck station lobby , Starbucks Lexington St throughout midtown . one deli next door , hundred town every up / down / cross street . location 3 block Rockefeller Center . Metro run right Lexington Street , walk everywhere , confine sightseeing low park Lexington Street Times Square . 5 minute walk Rock Ctr 10 minute walk Times Sq Central Park . staff encounter pleasant helpful . would definitely return Marriott East Side . 
 Jul 26 2004 	 great hotel @ Lexington 	 stay hotel 7 night , July 17 - 24 , 2004 . hotel lobby hall clean well light . room fairly good , queen size bed , desk , armchair average sized bathroom . check /out fast , courteous efficient . hotel centrally locate Midtown Manhattan , across Hotel Intercontinental & amp ; Waldorf Astoria . several corner store , small restaurant , shop , liquor store , McDonald 's Lexington Ave . , close hotel . two subway station also nearby - 49th St. Grand Central Terminal . my room view speak 4th floor room - highrise , somewhat dark even midday . time room quiet day night , make good night 's rest middle city . the problem experience : tv set mind 's ; noisy clean staff late night . not recommend staying room next staff clean closet ! overall , much enjoy stay Marriott East Side would definitely stay hotel . 
 Jul 21 2004 	 Great Hotel great location ! 	 Marriott East Side great hotel NY would definently recommend it . the staff friendly helpful whole family . even manage get ticket parent see Chicago & quot ; sell & quot ; . room good size nicely decorate . problem blind window room deal minute call reception . the hotel close main sight city walk anywhere never take long . grand central station block away well . overall great value money great place stay . 
 Jul 16 2004 	 BIG Rooms 	 New York Marriott East Side beautiful . lobby welcoming , front desk employee forever smile . room really spacoius high wall ceiling bed nice comphy . spacoius could fit roll away bed two regular bed . really good view look area . also , pretty close walk rive distance Time Square . ok stay . 
 Jul 15 2004 	 Fourth July 2004 	 stay 3 night love . staff pleasant , accommodate , bunch great people . location wonderful . subway right corner Lexington 51st . amtrak station right street . room clean bed comfortable . walk everywhere take subway never fear life . firework display 4th spectacular hotel concierge helpful provide information holiday festivity anything else need know . would definitely stay . shop within walking distance . St. Patrick 's Cathedral block two away . neighborhood quiet family appreciate yet Times Square also short walking distance away something would like experience . Shelton Grille locate within hotel fabulous . 
 Jul 13 2004 	 good not use minibar ! 	 hotel quiet clean room not impress minibar system . even take soda fridge second look sensor read miss automatically charge credit card . situation fix front desk annoying . room small usually expect NYC . 
 Jul 8 2004 	 M. Maxwell 	 Great hotel , perfect location , friendly door man , slow elevator ... upon check , find $ 85.00 charge rollaway bed never . charge promptly remove hassle attitude staff . get good rate Marriott website $ 169 + taxis ( $ 194 total ) . 
 Jul 4 2004 	 great large room 	 stay several time . love location room . use decent restaurant . security good 
 May 30 2004 	 Beautiful Hotel Nice Price ! ( big NYC ROOM ) 	 Perfect location beautiful hotel . May 2004 . need good breakfast place nearby -- downfall . 
 Apr 26 2004 	 Loved New York Marriott East Side 
 Feb 17 2004 	 good stay Marriott 
 Jan 30 2004 	 enjoyable stay 
 Jan 28 2004 	 quite acceptable really exceptional ... 
 Jan 28 2004 	 New York Marriott East Side 
 Oct 30 2003 	 Loved Hotel ! ! ! 
 Oct 20 2003 	 Lights go City 
 Aug 3 2003 	 guess okay 
 May 8 2003 	 bad choice 
 Feb 20 2003 	 Solid Marriott Offering 
 Jan 10 2008 	 Hotel vieillissant 
