disappointing 	 always hear Cumberland Hotel many visit London never stay despite dine marvelous restaurant bar area within hotel look delightful especially night . tell room would upgrade room extremly small , dark pokey ... could barely move luggage .... maybe 3 m x 3 m . glass divide bath room bedroom hate . complain ask room change aseperate bathroom . arrange also small standrd 4 5 star hotel . spend evening lobby nice part . 
 great location 	 get back great weekend Cumberland . book double twin room checking , receptionist unable find two room floor call manager , upgrade we kingsize . pleasant surprise totally unexpected daughter age 17 12 although would inconvenient different floor we , be not major problem . can not comment food do not eat hotel . location fantastic . round corner tube station opposite Hyde Park Marble Arch . Saturday buy day travel card £ 17 we great value , tube fare London expensive pay journey . Sunday , go shop able leave case hotel , walk Oxford Street walk back . drawback hotel come leave , bit queue front get taxi although queue move fairly quickly , hotel size quality perhaps taxi rank great weekend . one thing , bed comfy ever hotel 
 enjoy trip staff could nice ! 	 daughter book hotel surprise trip . warn expect much way room size & quot ; London room small & quot ; wrong ! ! room right we . build away main hotel , quiet not like glass door not fit bathroom ! staff helpful - book dinner bistro check , find receptionist forget . breakfast arrangement chaotic . staff helpful . want poach egg , go counter order , tell go another one , went tell go back original correct one - one ! ! ! get scramble egg instead ! ! enjoy stay London , would stay hotel would go elsewhere eat return . 
 Aug 24 2009 	 impressive lobby nothing else . 	 stay one night , initial impression trendy long stand lobby area feel like train platform exhibition centre , cold & amp ; harsh wecloming all . the room well , badly design ( kelly hoppen tell , really ? ? ) , mirror loo ( try put make lean toilet pan ) , mirror dressing table ? ? , bed right wall . music club downstairs really bang & amp ; loud 3 am ( stay low floor ) .We rang complain write night sleep . we go request reduction next day checkout massive queue & amp ; 2 staff . breakfast wait 20 min queue table lose live McDonalds breakfast ( yes desperate ) .breakfast area like cafe , hotel . if say anything complimentary bed linen nice & amp ; soft , sadly can not find anything like hotel . 
 Aug 24 2009 	 Think Travelodge W1 postcode ! 	 stay Cumberland trip London two year ago keen stay week ago . first time stay hotel lovely stay second time around totally different hotel ... first impression hotel seem perfect - lobby trendy full sculpture , large airy . look bit close however not feel right - 's huge lobby absolutely full people come go remind airport terminal . people everywhere . be also queue system check remind queue check airport . when first step room shock - could place stay 2 year ago ? ! room look exactly like travelodge ! ! ! tiny double bed , cheap scuffed furniture , one rack 40 cm long hand clothe , dirty tiny cramp bathroom .... list go . honestly , horrified . £ 160 ? ? ? one evening order 2 cappuccino deliver room bill £ 12 ? ? even room service guy apologetic price . basically Cumberland charge 5 * price 3 star experience . save money , not stay ! ! ! ! ! ! ! ! ! ! 
 Aug 23 2009 	 Cumberland - great location ... 's . 	 stay 3 night April 2009 . first impression : foyer feel like museum art exhibit funky lighting , quite dark inviting . wait check despite staff available front desk , attitude cold informal . corridor leading room light blue futuristic lighting - soothe reason remind hospital . specifically ask non - smoking room . get room stank stale cigarette . complain ask change room tell hotel fully book . send someone open window . room small juxtaposition lime green wall pine coloured furniture . bathroom toiletries Elemis . breakfast wide selection - pretty good : cook english breakfast , cereal , fruit , juice . light restaurant horrendous - DARK often eat shadow . hotel seem popular eastern european japanese visitor . would recommend hotel base great location ( Marble Arch tube station literally around corner ) . 
 Aug 23 2009 	 someone party 4 am ... could not sleep 	 nightmare . bad experience , not mean . hotel clean , well locate , staff overall professional polite . room window onto inner courtyard . great , nice quite . . someone party 3:30am , noise revurburate around courtyard , loud music , shout , cheer , whistle . hotel staff ; seem notice . call reception twice address , send security guard room 5 am ' witness ' noise . stop shortly , must work come . whilst guest behaviour hotel fault , 2 hrs LOUD noise time morning spot security staff deal swiftly , can not wait go bed tonight get good night sleep . if be not would reccomende hotel . night receptionist useless . 
 Aug 23 2009 	 Normal 	 want go London shop , shop & amp ; shop .... . use hotel facility can not say anything hotel , however , point think would help traveller.1 . sister stay lovely room , great tv channel , really comfortable bed , however enough storage clothe .... since buy loads.2 . room quite modern love location , view roof top really airy since 7th floor . I quite like room.3 . parent 's room book smoking room bad view ever . look courtyard could actually see people room ... kinda suck coz keep curtain close never get natural light.4 . reception lovely . like art ' statue ' think would much appreciate actually understand art . unfortunately , not therefore comment much it.5 . complain sink one room not work remind reception 3 day finally get fixed.6 . concierge helpful . help we information , look luggage day departure make shopping.7 . absolutley love bar hotel . big chunky decoration cool love ... rather expensive though . hehe . I hope review helpful anyone ... would recommend hotel people , good whole : ) 
 Aug 21 2009 	 stay cumberland hotel 	 recently stay Cumberland Hotel week whilst holiday . lobby hotel modern spacious feel look rather invite . Shame standard maintain throughout hotel narrow claustrophobic hallway upstairs . thing make stay unpleasant include , bad room service , take long time get phone ; cold hostile attitude receptionist . however staff attitude bad girl helpful polite change , look friendly face help look Mira . overall would recommend hotel willing compromise small room convenient location . 
 Aug 20 2009 	 Great Location 	 hotel great location , around corner marble arch tube station oxford street . lobby look bit like museum walk modern one . stay twin room clean modern also spacious bit suprise London hotel room tend quite small . bathroom little small trendy adequate enough we , bath bath lover fine we . 
 Aug 19 2009 	 ok aircon could colder 	 major problem discover . look expensive minimalistic style . food room ok , air conditioner not really give cold air bit disappointing July . note superb view , least clean bed sleep nothing complain . 
 Aug 18 2009 	 not look beneath surface ! 	 surface , Cumberland seem ideal . many reviewer attest , occupy excellent position directly opposite Marble Arch directly tube station name . even scratch surface , Cumberland still appear somewhat exemplary . strike work art space - age furniture dominate spacious foyer , evoke cross airport departure lounge Habitat . add Gary Rhodes ' flagship restaurant well - respect nightclub downstairs Cumberland appear trapping one London 's premium establishment . Penetrate surface ( actually stay ) , however , somewhat different story . step elegant , high - speed lift become apparent much less attention pay towards rest hotel . smell food linger long , shabby corridor . presumably guest take eat room cost food restaurant extortionate ( £ 23 breakfast ! ) . stained towel frequent circulation rarely replace ( will lucky receive one set , even two staying room ) . wake - up call unnecessary hotel due noisy plumbing good luck find plug socket century ! Cumberland noticeably popular middle eastern tourist , , accord one article ( http : //tinyurl.com / lc3kgr ) , & quot ; save London 's summer & quot ; . perhaps popularity allow hotel rest laurel coast along reputation & quot ; arabian home home & quot ; without need make vital improvement . lucky enough find Cumberland one & quot ; Top Secret & quot ; hotel deal lastminute.com . pay , however , tolerance 3 - star mutton dress 4 - star lamb would severely test . Cumberland certainly potential great hotel - not look beneath surface . 
 Aug 18 2009 	 great stay great location 	 read negative review slightly apprehansive place find absolutley spot - on . room clean , well design pretty large central london . pay £ 90 night 2 night stay , august pretty good . I d definitley recommend stay 
 Aug 18 2009 	 nice good location 	 trouble check quick , queue checkout one staff take detail queue say would e mail bill ' hang around , work fine . the location handy hit shop Oxford street . room lovely . breakfast vast lot option 
 Aug 18 2009 	 zoo . definitely luxury experience 	 prepare utter chaos upon check . lobby over - run , lift . come across convention mill high - end hotel . lobby quirky , though would doubt find trendy attractive . corridor tired look like student housing . the room tiny , though fairly clean . one one reason consider place , location . reason need near Marble arch , probably decent choice , though be get deal . & quot ; normal & quot ; rate nearly £ 200 getting shaft , stay 10 well place . £ 100 get good value . would rather stay bit road Grovsenor House though , close thing would want see be London tourist MUCH nice , always expensive . in nutshell , acceptable sterile without soul life . 
 Aug 17 2009 	 ideal location helpful staff lovely room 	 arrive check early , room not ready problem leave bag head Oxford Street . handy tube station , shop open top bus tour link . could lie whilst teenage daughter shop early door ! ! problem noise - room ' inside ' traffic noise view . concierge reception staff polite helpful . room spacious clean wonderfully comfy bed ! ! useful iron ironing board mini bar really like fridge drink except water could put . possible avoid normal check in / out time avoid queue take advantage leave luggage check early left bag another full day city . 
