Hidden 	 3rd visit Hooters . the staff freindly helpful , bed pillow comfortable . cable television complimentary bottle water room . Dan Marinos 9.95 prime rib 24 hrs Hooters hot wing great . price right . 
 cheap weekend getaway 	 get great deal slot club Sat Sun . make nice quick cheap getaway wife . 
 great view Excellent Housekeeping 	 wife really like prime rib special . enjoy breakfast buffet fresh fruit biscuit . the housekeeping service good thoughtful , bring daughter extra sheet w/o ask second night . hooter restaurant waitress friendly helpful . although menu different : price sauce choice minimum . food good beer too . Dixie bar great look lady picture , couple bartender guy . maybe seasonal ? casino girl nice nice looking . machine need update like MGM across street . the room AC old HARD maintain consistant temperature makeing sleep difficult time . loud either hot cold between . although , win $ $ $ , likely return price good . 
 Good Value good location 	 room could use attention peel paint slightly damage drain bathroom . hallway rather dingy feel welcome . casino good . sure , upscale many casino service excellent staff helpful welcoming . gem hotel / casino gym , though could not figure turn light . 
 get pay 	 suckere internet special . casino small relatively clean , room however dirty date . reccomend . 
 great place stay price .... one complaint ! 	 family always stay hooter ! always accomodate every need ! day n age , economics way u can not beat price room hooter ! ! 
 stay anywhere . 	 young man check not helpful , never mention kids area list survey card . hallway the10th floor offensive odor , room carpet tire adequate - certainly nothing write home . elevator ( garage & amp ; room ) frightful - always work . slot machine dirty . security , housekeeping , maintenance helpful pleasant . heat pool . bed comfortable . 
 bad price 	 expect total dump base price pay , pleasantly surpirse . small casino lot penny nickle slot . restraunt , club , show site . food pretty good , drink ( not buy drink , expensive consider sit machine get free . gym pretty good equipment small hotel . pool area cozy fire pit different seat area visit . room typical Howard Johnson equivalent . bed comfortable room clean . however , food tray sit outside someone door eleveator 2 day anoye . walk distance many big hotel nice . would stay not want spend money big hotel . 
 Perfect 	 good location stay south strip . one Vegas small hotel , prefer . it doesn´t take long time get access room . 
 Great Hotel Mates 	 stay five night trip mate UK . overall small friendly hotel mean not take 30 minute get back room forget camera . yes plush hotel , yes fascilitie date need hotel place crash mate place . the staff really friendly helpful , party go day , pool bar excellent , last least hooter bar top class . other review say strip , 100 yard strip ! locate next MGM real good spot get Vegas . would go back , hell yeah , would go Wife , Hell , butu say friend stay next year . 
 Jun 27 2009 	 Fun Place Stay ! 	 boyfriend stay week Memorial Day 2008 . upgrade suite top floor check . beautiful great view . line check . line get player club card long move slow . hooter site par Hooters ! fun place stay budget ! complaint parking garage . stink 's little scary night ! 
 Jun 23 2009 	 dirty Dirty Dirty 	 ok go family , Wife 2 kid ( 5 8 ) ... elevator parking garage hotel stunk vomit cover obscene grafiti ! staff less enthusiastic helping seem make feel though bothersome ask question require assistance . room dirty , inch year worth & quot ; Dust bunny & quot ; dust build completely around entire floorboard corner room . carpet cover Cigarette burn , & quot ; non smoking floor & quot ; , guest would sit hallway , smoke drink blast music though freshman dorm college ! kid like pool , long smell sewage not bother . overall well third world country , review ... got pay ... 
 Jun 15 2009 	 way well expect ! 	 honestly , read review REALLY worry stay . book bungalow room early May really good price . way , call see could get early check ( around 1 pm ) , staff super friendly able get we check around 1 instead normal 4 pm check time . even well instead get bungalow room , upgrade tower room really awesome . room decorate really fun bed comfortable . bathroom so - so . mildew spot tub carpet look slightly greyish , nothing make we cringe ! really pleased stay , really good place stay budget need place stay REALLY easy walk strip , feel like ! really would not listen negative review place really feel like leave people expect place nice MGM something obviously not 3 - star hotel ! bad complaint parking garage little sketchy , waitress ' hooter restaraunt bad breakfast dan marinos tbe well . 
 Jun 10 2009 	 great value well expect 	 choose Hooters 3 - night stay due value ( $ 26 per might ) location ( strip caddy - corner MGM Grand ) . read review prepare mediocre place , think have spend time outside hotel anyway , hotel not matter much . but pleasantly surprise - room fine , plenty pillow , wait registration counter , extra charge , great view mountain , extremely polite housecleaning staff . great value ask ! 's rundown : casino : loud sport - bar - ish , nothing upscale elegant . consider 's hooter , expect ? one drawback ... elevator room far end casino , walk entire casino every time want go room . luckily not huge casino like other , would nice elevator bit convenient . restaurant / bar : eat Hooters restaurant first night . felt like Hooters . go Dixie 's Dam Bar first night also . somewhat strange experience . lot blaring hip - hop music gorgeous dancer clearly employ bar , surround bunch middle aged man stand stare . not stay long . location : fine ... hope easy trip airport , give 's IMMEDIATELY next , cab ride airport still $ 13 , airport shuttle bus ( $ 6.50 per person ) drop hooter last , make long trip . walk strip not hard ... go Tropicana parking lot be strip , elevated walkway take New York New York MGM Grand . pool : look nice seem fairly popular day ... one two hot tub work , pleasant enough one night use it . parking : small parking lot right front , never problem find spot . easily convenient parking hotel visit . cleanliness : little mildew around tub , window little dirty making view quite nice could , otherwise complaint ... certainly clean enough give low price ! service : bad service experience ... actually blow away friendliness maid morning . accidentally lock room bathroom send someone unlock within 10 minute . loudness : couple time people pool pretty loud ( even room 17th floor ) , not bother we . Vegas good time , kid , little bit drunk singing not issue . not go long late , room around we perfectly quiet . overall : give hotel 4 - star rating base value get money ... expensive , rating would probably three . come Vegas fun trip need something cheap , would stay . 
 Jun 10 2009 	 hoot ! 	 really problem hotel finding room ... first check first room allocate noisy , second hada break window chew gum stick table . strike lucky 3rd time get great room view Strip . ( please aware fussy people ! ! ! ) location hotel great , value money good . go group ( 4 Guys , 2 girl ) positive experience Hooters . we eat Dan Marinos food good , esp breakfast . 
 Jun 8 2009 	 good part bed Brandon check bag car . 	 front desk able help without constantly go ask manager help . casino area tiny music way loud . hooter restaurant overprice food nearly good regular restaurant food . Dan Marinos restaurant well deal mush well food . good employee Brandon check deliver luggage room also double duty valet car . 
 Jun 7 2009 	 would stay 	 second time ' ve try hotel . first time move cabana area tower first room overrun ant . time room tower superficially clean . carpet filthy , cellophane wrapper floor , bathroom clean . hotel need thorough top bottom clean new carpet . hotel charge extra $ 6 / day top quote rate ( deceptive advertising internet ) also charge almost $ 9 / day 8 hrs internet connection ( ripoff ) bad one friendly hotel Vegas . 
 Jun 1 2009 	 bed comfy ! ! ! 	 not expect much . place slightly improve . bed super comfy ! be Vegas need bed crash - place ! 
 may 30 2009 	 stay ! 	 place worst bad . dirty run . lot drunk terrible place . pay 3 night thru package deal leave first night get real room MGM . trust .... stay hooter unless scum love rub elbow scumbad dirty wall , fllor furniture . want throw thinking place . 
 may 28 2009 	 complain $ 20 ? 	 stay 2 night 8mo baby . pay $ 20 per night room ( plus $ 5 resort fee ) get fantastic room view towards strip . hooter locate strip , opposite MGM , tourist bus across road . ' ve stay , San Remo seriously can not complain price . room clean , portacrib provide free charge . complaint fridge , could upgrade $ 25 really want one . oh , pay WiFi , be . 
 May 21 2009 	 Vegas Vacation 2008 	 stay Hooters Hotel Casino reserve Bungalow Room check get room go eat . go walk strip since Hooters right . walk wind bad make Tropicana next Hooters look around since drive close 11 hour tired decide get Hooters Famous Wings ( big disappointment ) hooter sever walk - up order bar need buy drink put nipple wing take long fly . 15 - 20 minute wait finally get since sit space available 18 Pack Ice Cold Corona 's room go back eat . maybe think forgot drain wing grease , cup half container wife pass eat settle cold cut french bread bring we . turn 11 pm know 's early 4 am morning drive way tired ! 2:30am woke need take wizard walk bathroom turn light COCKROACHES scatter business wake wife call front desk , say would look , look want dead new room bungalow area close pool attract roach . could wait sleep go front desk . surprisingly guy look another room say try call room answer know sure . another bungalow room turn put we 15th floor tower , lot well away pool roach . I even take one bell hop since thing cool drank couple beer move , discrete next day hook us ticket booze long could drink room cool even bring pizza big calzone night midnight one order get fight check . seem like bad start stay turn right . I can not tell guy name not want get trouble wrong person read this . all well end well . 
 may 21 2009 	 Poor Management 	 one night Vegas get Hooters check , find line back Casino . tell people front line wait 3 hour . dinner time tired spend night wait line . , anything make wait comfortable . ask security personnel line long , give death stare tell computer though personally responsible . finally get room , bathroom disgusting . shampoo drip shower curtain along mildew . obviously clean quite . caulk mildew fall . floor dirty . floor dirty throughout hotel , actually . give free mediocre breakfast buffet trouble . 
 may 20 2009 	 dumpy pass muster 	 ' ve stay 18 hotel Las Vegas , think bad one ' ve stay at . this old hotel purchase Hooters . put Hooters restaurant first floor , put surfboard elevator lobbys , be pretty much . stay , get free breakfast every morning , free show ticket see Mentalist Bobby Slayton ( long perform ) , $ 29 , make tolerable . 
 May 20 2009 	 Smell Pool Rude Staff Computers LINE ! 	 find $ 25 web , non - refundable deal . think need cheap one night stay catch plane next morning ... boy little know come aggravation football field long line rude staff . tell we see line stand , & quot ; computer , three day , go stand line . & quot ; pay online , directly website , take payment , problem . came get room , good luck . stand hour move 5 foot ( , be exxageration ) . Thought would check pool meantime . go outside , smell like something die , garbage pool area . find chair sit , think catch something . ultimately want spend whole night follow morning line , leave . forget $ 25 web special , $ 20 could go LUXOR , 100 time well dive . 
 May 18 2009 	 pleasantly surprised ! . 	 lot minue book bday celebration weekend ; already lot online hotel booking fully satifie . usually budget traveller gaga big hotel . usually want hotel nice location clean room stay long day strip stroll . I pleasantly surprise Hooters . for 100 / nite weekend good value . what really like nice touch room stay . nice queen bed summer decor .. also grant request view strip . usually look nice bed restroom place stay . meet expectation . I m plan stay due location , value service ! 
 may 14 2009 	 dead bug room smell like sewage dirty pool start ! 	 start room dead bug floor ... one many , comforter burn hole , bathroom dirty , try open slide glass door come track almost fall balcony . place smell like sewage ! pool dirty stuff float around . room never service . front desk rude charge we & quot ; resort fee & quot ; day leave ... place opposite resort . Dan Marino Restaurant okay minus slow service . bell boy good thing place . helpful get we ride hold luggage need . could not pay go back ! 
 May 12 2009 	 certainly good Value - Well happy 	 adult son stay room go box match well happy . ok , take wife Vegas would want go somewhere bit ' swanky ' well impressed Hooters price . pay cheap room ( bungalow ) tip reception guy well upgrade end tower room Strip view . couple small mark carpet fault could find room otherwise ideal we . 5 night stay cost we £ 200 less £ 40 night , £ 20 per person . 's value book . casino small Vegas standard one advantage waitress casino floor soon get recognise know be resident , case be well free easy drink . not even actually play table machine will bring whatever ask . Dan Morhino 's Restaurant bit disappointment frankly - nothing average . however , first introduction Hooters Restaurant variety hot chicken wing , fry chilli con carne cheese etc . Delicious ! would definitely go back staff perfectly helpful , albeit not specific problem . great location - right end Strip action directly opposite main entrance MGM Grand , box match . give Hooters 9/10 overall , provide always know be pretty damn cheap be expect treat like royalty price ! 
 May 10 2009 	 so - so room rude personnel 	 Booked Hotel online select Tower room , room spacious acceptable price . registration personnel rude . unreasonable deposit request check - in cover eventual damage room walk around see drunk people figure . 
 Apr 28 2009 	 hooter HOTEL # 1 	 hard find hotel inexpensive strip near strip . serious research find Hooters Hotel next MGM Grand Hotel , right across . sick pay taxi cab Vegas . decide walk hooter anywhere strip fun walk hotel hotel not bad . price super cheap , room comfortable . room always clean , ask queen bed give two . 25 cent wing 12 midnight 5 a.m. Dan Marino 's . wing big bread plus taste awesome . pick Hooters , person complicated hotel walk lot come hooter . vegas goal spend lot time hotel go club check nice hotel use money save club want go . poker room amaze $ 1 - 2 table . sport room small place sporting bet nice meaning . girl work look great , really stand . hooter great headquarters eat sleep go party big hotels club come back relax quiet hotel . find hotels strip come close price hospitality Hooters Hotel . remember hotel small make primary focus . fun card game , offer comp earn . hooter reward coupon sheet give new owl Rewards member awesome . hang talk pretty girl deal card hotel , build coinfidence meet nice lady throughout city , win win situation . plenty free drink gamble nothing lose . reason make Hooters Hotel # 1 . realistic , stay within budget , go spend lot time 4 5 star hotel spend 250 300 dollar night , realize playing check 4 4 5 star hotel leave 11 12 , that s 20 hour 300 dollar mean lose 15 dollar hour go hooter pay 40 80 dollar night work 2 4 dollar hour math . rate Hooters 3.8 5 star . hooter hotel constantly reward customer coupon , comp , inexpensive food inexpensive room rate . 
