dissapointe 	 stay venetian ten day November 2009 , long tire flight UK arrive busy check desk ( busy 24/7 ! ) quickly process find room easily . when open door , could cry ... absolutely fabulous ! bear mind one cheap suite , spotlessly clean , comfortable , flat screen tv 's lounge , bedroom bathroom , mini fridge / bar , safe , write desk internet access , massive comfortable bed usual free goody ! maid efficicient , food within hotel offer wide choice ridiculously expensive affordable basic . if return Vegas , would hesitate stay . enough say ! 
 disappointed 	 wife Vegas several time . make trip little different last add excitement try stay different hotel time . ' ve stay MGM Grand , New York , New York , Wynn . trip first stay Encore two night transfer Venetian take advantage Spa Package deal . wife always want stay mainly light , fragrance smell throughout hotel grand appearance lobby area . read great review hotel excited stay . check easy room we usual 3 pm check - in even though holiday weekend . please advise want strip view cost additional $ 50 per night . venetian like facade view back hotel pleasant . yes , lobby grand beautiful room , although consider & quot ; suite & quot ; hotel , small review lead believe especially compare room Encore , Wynn even suite New York , New York . think furniture old uncomfortable , although bed fine . one comment say dust item room find well . light dusting like not dust quite . especially disappointing noisiness hotel . door room SLAM shut force easily hear door closing hall . holiday weekend imagine annoyance . spa package include $ 50 discount toward spa treatment daily admission gym spa . well , $ 50 not take far Canyon Ranch Spa even 30 min . facial cost $ 100 . man 's spa nice always run fresh drinking water fresh fruit . one occasion find attendant remind refill . poker player must say venetian poker room one good strip . come back play poker far stay hotel will not come back . 
 Beautiful Room ever 	 particular could ask anything . 
 Best Place honeymoon ... get marry Vegas course ! 	 hotel truly unbelievable ! really like live Venetian Palace Venice ! beautiful , service great suite die . check indoor ( really indoor ) Venice outdoor theme experience . will not believe eye ! romantic place actually Venice . 
 lot fun ! ! ! 	 staff kind generous room service cater every need .. 
 second time stay herelove itwill stay every trip Vegas ! 	 Gorgeous hotel , relax , great service , clean , comfortable bed world ! ! staff always friendly accommodating , room large comfortable . lot amenity close . stay would recommend anyone stay Vegas . 
 would good never get beyond Wannabe . 	 way hotel try capture memorable site Venice one cluster area amazing . lobby nothing short grand . everything seem perfect , ... person check we say need pay $ 33 per night want two queen bed . remember specifically request 2 queen book package Continental , alas , much choice , really . get room -- 22 - 238 . like lobby , first look awesome -- spacious . notice CD player dusty . slipper . one set soap shampoo , etc . , toilet room smell like smoke . water taste like chlorine . coffee maker . tiny closet ( especially two woman ) . couch living room area wear . electrical socket loose wall . poor lighting . nothing seem genuine place . 's show . , Vegas , could one expect ? 
 Nov 2 2009 	 dirty room poor service give room key room guest 	 recent stay room 23237 6 night basically mar several occurrence first day.• check , window glass dirty . housekeeping come remedied situation.• night pull back cover , become apparent sheet dirty . one bed bit use toilet paper sheet large " booger " pillow case . second bed , sheet wrinkle crumple sort foreign substance one pillow case . room service come remedied situation , pretty late finish could go bed.• night roughly 3:30 , knock door : " turn Service " wake we tell already asleep.• 10 - 15 minute later party 4 key room come room sleep . upon realize room occupy , left.• time later venetian employee come wake we see room occupied.• next day , venation offer $ 50 room credit issue . reflection seem pretty chintzy later conversation take also meager $ 100 . explanation event offer , merely " normally happen " .• next day also find remnant previous occupant , nothing disgusting night before.• later week , notice several brown spot wall beside toilet . wallpaper brown bit matter ( Feces ? ) camouflage great extent.• check , $ 100 apply bill . check person go back reduce bill 80 + dollar . ask detail exactly happen . pull record , mention housekeeping incident , apparently front desk choose hide double booking incident , material pull . • request general manager contact . say would relay message , could call back later . this later would like hear general manager . recently leave message machine await call . 
 Nov 2 2009 	 pretty darn awful 	 perspective perennial conference attendee dabble gamble intend enjoy pamper mini - vacation : good : entry - level room hulk 600 + sq . foot . nice electronically control shade , recess living room kind cool , marble counter - top lighting pretty . bathroom could use jetted tub , huge nicely appoint . also , give nice coupon slot credit Club Grazie card , manage turn coupon modest profit . everything else SUCKED.Their service stuff nightmare . book three night use Egencia , division Expedia firm use book corporate travel . Venetian erroneously believe book two night . call Egencia fax venetian people receipt clearly state book PREPAID three night , still not get message . talk least three department : front desk , reservation manager , group reservation department , seem mystified . would talk check fax machine , maybe would not confuse . two phone call hotel , one frustrating conversation front desk , yet one phone call home , ' m still wait & quot ; research . & quot ; promise call back , embarrassing show incompetence first oh , four five time explain problem , ' m sort doubtful , ' m get ready dispute charge straight Chase credit card . especially noteworthy : -The front desk agent AWFUL attitude condescend impatient . make seem like fault problem occur , insistent mistake . treat like not know talk make trouble , even though already waste hour life never get back try resolve this.- one seem know Egencia . hello ? Egencia fairly common place corporate booking service . ' ve use quite top game . convince problem Venetian 's end , Egencia 's end . Venetian want bread butter , conventioneer , still appear doorstep every , well get together ! - colleague also conference also get charge extra night . clearly , ' ve get sort datum input problem go on.- 's pervasive Febreeze smell 's overwhelming air everywhere ? smell immediately enter remind public toilet . good classy image be try sell.- finally , love God , need play something sound clip Phantom Opera show elevator . LOVE LOVE LOVE musical , see New York Cleveland , hear mediocre rendition & quot ; Music Night & quot ; one time , ' m go lose it . bottom line : stay away ! plenty similarly price well run option strip , want truly relax experience , try something strip 's non - gaming , like Trump Platinum . least , will not run inebriated slot machine zombie force inhale day - old second hand smoke . 
 Nov 2 2009 	 wonderful experience great hotel 	 stay two night get - a - way kid wonderful time . room amazingly large , separate sit area . love whole look feel hotel . would definitely go back . 
 Nov 1 2009 	 venetian wonderful ! 	 room spacious , clean . bed super comfortable . staff great . would reccomend hotel anyone . anyone time go back Vegas , stay . 
 Nov 1 2009 	 love ventian 	 return 5 night venetian definately return . beautiful hotel ! ! ! suite standard option amazing pay . suite spacious , nicely decorate perfect place rest enjoy fun thing vegas offer . bed comfortable , 3 tv 's suite , 1 bathroom , shower good plenty hot water time . find staff deal friendly attentive . plenty restaurant , bar club within hotel keep entertain duration stay without venture elsewhere ( , not need ) try couple restaurant sushi samba italian square great quick option food court good selection fast food . lavo nice bar & amp ; club . preferred casino palazzo , one ventian fine . drinking bar casino pricey - around 12 - 14 dollar cocktail & amp ; 7 -8 beer . u get free drink ur gamble tho . one thing would absolutely recommend see phantom show every night except sunday . fab ! ! ! ventian theatre build esp show spectacular . love time hotel recommend enough . 
 Nov 1 2009 	 lot hotel money 	 stay 6 night rate £ 85 per night think great value . ( well compare Europe ) lovely view window , suite relax everything want . I find staff helpful friendly . two phone book room cupboard end bed . previous poster must room remove . have lovely dinner restaurant name start letter L. table overlook canal . set price 4 course dinner coffee 39 dollar . well worth it . the side staff try give away free show go see sort time share . Golden Nugget well . also 1 dollar charge make local call . beware sun reach pool time year 1.45 . part pool area sun time day reserve day time night club bright young thing like loud music 20 dollar per day extra charge . 
 Nov 1 2009 	 mixed review 	 stay Venetian not start well , improved get use place . not wait long check , give clear direction get guest elevator ( big , confusing , noisy place first arrive ) . end middle casino suitcase , completely lose . eventually get suite , 26th floor , great view . however , decor look dull dingy , sofa cushion wear , button miss need replacing , room clean . thick layer dust dining table , debris ( beer can / litter / room key ) leave previous guest . two thing dislike awful sickly smell casino shopping mall , poor lighting suite . never stay hotel bedside light double bed control independently . either bedside light , neither . light suite also inadequate . on positive note , bathroom well - light spacious , lot towel toiletry . not see point bathroom TV could not see use bath ! one highlight trip pool area , fantastic , robe wardrobe useful go pool . morning , collect coffee pastry Tintoretto 's Bakery Grand Canal area , take back room . also good meal Grand Lux cafe , serve large portion . the decor venetian great fun , luxurious OTT , see without actually stay . think would look elsewhere somewhere stay return Vegas . 
 Oct 31 2009 	 never ..... 	 visually amazing hotel ever . unfortunatly , positive end . our reservation cancel , pay twice , locked room , repeatedly lie desk staff spend long line line Disneyland . we still owe money refuse refund . not take risk - try one hotel . 
 Oct 30 2009 	 glitz service 	 trip number 4 4 year sister myseff . stay 5days 4 night . always stay first two night Riviera favorite hotel since first time stay . old nice , easy manuver around one get lose . staff friendly room good deal price . spend much time room need fancy . bed pretty hard stay play walk around day fall asleep pretty easily hit room . the food average buffett Kadys coffee shop great steak $ 12.99 put good , big fancy hotel Vegas would win hand . next two night venetian ........ bad two day spend anywhere . room big let ... big look internet everything cram small space . robe hang closet use scratchy not use . high quality , kind like KMart . go stay room watch T.V flatscreen probably heaven three T. V 's suite . bed thing good room . comfortable easy fall asleep fast . we eat restaurant way overprice . machine tight none we anything . play certain area casino right entrance main hall elevator , get offer drink two hour sit machine . fact hostess bring we one would place sit . area sit drink full dirty glass full ashtray look like empty day . staff rude ask direction anywhere hotel , point way go say would someone help we next hallway . would never stay hotel would reccomend anyone plan stayig room sleep whole time Vegas know really people go Vegas ... yea ! ! ! ! ! ! ! ! 
 Oct 30 2009 	 Best Hotel ever ! ! fantastic ROOM ! ! 	 boyfriend get back 5 day stay Ventian . let tell go beyond expectation ! good room I ve ever stay , well worth money . friendly front desk clerk , helpful concierge , great casino ... could go ! ! couple bad thing , really bad simply annoying .... phone book room . need rental car rental car place hotel car , go 45 minute search phone book . also charge dollar per local call think rediculaous consider free local call . really like security , always feel like room safe . good bed ever ! feather comforter pillow , good sleep ' ve ever . loved tv bathroom , seperate room toilet . problem check check . wonderful , stay next trip Vegas ! 
 Oct 29 2009 	 5 star bargain 	 approach venetian nervousness recreation Venice Nevada desert seem pretty silly . still seem pretty silly , bear mind Las Vegas , hard impressed place . completely top interior probably french italian quality stand room public area . combined outstanding service great selection restaurant classy place stay Vegas . absurdly cheap rate offer moment also great value . 
 Oct 29 2009 	 amazing hotel blow away 	 upgrade venezia suite great , hotel huge could spend week hotel alone see , well worth extra money stay vegas , stunning can not help feel amazed every corner , staff wonderfull helpfull come room twice day clean fill bathroom bit night offer turn service . restaurant great would recoment pinot brasserie private dinner , food oh god good . good location strip slap bang middle everything believe not want stick one end strip long walk 
 Oct 29 2009 	 Delightful 	 enjoy stay venetian . basic room huge along bathroom . perfume bit overbear terrible . loved little shop hotel . overall would stay . 
 Oct 29 2009 	 ' m love hotel ! ! good stay ever . 	 book room via travelagency get really good price . arrive , get upgrade bit view . could see Treasure Island , pool area mountain . unfortunately , contruction right front we , not mind . room 22nd floor , view quite good ! hotel huge , everything take long , get b . be vacation , time , not ? oh , scent .. not know , love ! ! could buy shop , not , regret . 's room , soon get hotel , casino shopping area , everywhere . well , love scent , imagine , people might like it . we breakfast go coffee shop 2nd floor . coffee bean tea leaf . good coffee fo agood price . not touch banana yogurt - make expensive right away .. staff great , helpful . concierge great . next time Vegas , defenitely want stay hotel ! way : last night trip stay Ritz LA ( MArina del Ray ) quite disappointing , ' ve .. venitian WOW ! ! ! 
 Oct 29 2009 	 Pleased 	 stay 2nd week October 2009 . please Venetian , seem right money look . booked expedia get ridiculously low rate , also sign Grazie club online get free 15 slot play . room great , sign age wear room parent adjoining room either . bathroom marvelous , bed soft great blanket ( usually problem since husband air conditioning king ) , nice sit area table sofa could plan day . however , not count fridge space , be load expensive alcohol can not move else pay ( sensore tampering ) , not check could get fridge send , not count one room . provide soaps bathroom smell awesome , use ! check provide coupon , use 2 , free slot play free drink Lavo . free slot 30 ? dollar credit win / lose hour cash 15 , can not complain free money ! lavo bar nice classy , show coupon able get 2 drink , leave tip , work easily complain free stuff ? go Grazie desk get free play card , make sure go random time ( late , like 2 ) not want wait line , see line pass go will not stay way . only thing agree complainer smell casino , first arrive thought would choke 2nd/3rd day usto . room not smell not fret ! 
 Oct 28 2009 	 five star virtually every way ! Spectacular Hotel ! 	 wife stay Venetian Hotel Casino Las Vegas , NV October 2009 . hotel absolutely amazing every way . read review , people say big , many room staff really care , petty . trouble staff unless grouch understand Vegas bigger well . suite big clean . bathroom tub glass stand shower , large vanity two sink , toilet separate door . bathroom also small tv come makeup mirror blow dryer . bedroom area wonderfully huge bed amazing sleep wall mount flat screen tv . living room area big couch , coffee table , tv stand another flat screen , mini bar , safe , office area , fax machine , internet access , seat three small dining table . window remote control shade although room window face opposite strip ( could see part roof Shopping area ) , amazing view mountain house light night . Maid service problem , plenty towel , etc . not get room service not use mini bar . mini bar price obviously high ( $ 7 Heineken , $ 5 small Sprite ) . safe convenient able make 4 digit code . offer view Strip upgrade decline want $ 35 extra per night . as Hotel , Casino , shop make seem like entire complex large , really not feel way . get lose minute , plenty worker help find way around . waitress casino always around offer drink house dealer advise need help table game . poker room slot go penny $ 100 per spin . table game like strip casino really not night overly crowd casino ( October ) .The shop part high end price range , willing spend money get great stuff . plenty clothing , jewelry , watch , antique , book , food , etc . also reasonably price item , not shock high end Hotel , clothing store shirt cost $ 300 pair shoe might cost $ 500.there also Gondola ride inside ( outside ) . people stay character guide ride even sing . woman nice voice friendly . ride take 15 minute usually small wait get ride one . also high end nightclub Hotel ( Fri Sat long line get ! ) part hotel Wax Museum visit . nice fun take picture throughout not seem big . go early morning one first people take we less 30 minute go thru whole thing . the restaurant plentiful inside Venetian ( adjoining Palazzo ) . eat Dal Toro 's , Grand Lux Cafe Emeril 's Stadium well bunch little eatery 's like deli 's doughnut place . restaurant price not really high . three name place bill well $ 100 dollar two meal , soda , appetizer ( not get alcohol meal , alcohol expensive anywhere strip ! ! ) .Overall Hotel / complex clean , busy amazingly beautiful . everywhere look , 's sight see column , statue , paint ceiling , wonderful architecture , waterfall , etc . my wife massage Venetian 's Canyon Ranch Spa . love . cost $ 160 50 minute give $ 20 tip . spa stuff high price , virtually everything could want massage , facial , haircut , makeup , wax , etc . also full gym , rock wall , personal trainer additional price . the pool area nice ( believe several pool , visit one ) . ton lounge chair , towel cabana . pool large , go depth 4 foot slide diving . also hot tub . as strip hotel , prepared give everyone tip anything bellhop , waitress , bartender , cabby , dealer , doorman . you always get cab line wait pick soon walk door every store walk people friendly ( obviously want make commission sale ) , none seem pushy . well be take Venetian . would give 5 star every way really major issue . 
