spend 	 stay wife anniversary . check upgrade harbor - view room , find chocolate wait us & quot ; happy anniversary & quot ; note ( tell special occasion make reservation ) . room spacious , spotless , look brand new , quiet - could hear noise room hallway . hotel quiet weekend - 's busy week weekend 's nice place get away . dine hotel 's restaurant pleasantly surprised get free dessert account special occasion - front desk communicate restaurant anniversary . think nice touch . room service breakfast next morning overlook statue liberty ellis island perfect way start day . highly recommend . 
 may 24 2004 	 Perfect Place stay NYC 	 return long weekend NYC Ritz Battery Park . good hotel stay city . upgrade club floor upon arrival beautiful room . wonderful food presentation , unlimited beverage , dvd rental in - room telescope great harbor view ! location great -- near subay want go uptown maddness retreat Battery Park need peace quiet . service well ever -- especially Rory Club Lounge . take care every need -- extra cookie custom list good Soho shopping place . last night stay order pizza eat park -- listen live music amazing view Statue Liberty ! well worth extra money . 
 May 17 2004 	 simply good 	 husband return three day Manhattan stay Ritz Carlton . ' ve NYC many time good hotel ' ve ever stay . staff friendly helpful room beautiful . will not stay anywhere else New York . can not wait return . 
 may 14 2004 	 bad 	 ok , good , decent location nothing else . 
 May 12 2004 	 Luxury 	 spend three night rave place . bed divine , bathroom size average hotel room separate shower bath tub . not time bath butler enjoy drink Rise Bar Sunset . well worth money . 
 May 6 2004 	 Best Luncheon ! ! ! 	 Sat . May 1st Agonian Alumni Association SUNY New Paltz yearly spring buisness luncheon Ritz - Carlton . food , service , location , view .... everything outstanding ! ! ! long time member remark one good . Andrew staff wonderful . planning board understand booking next year . highly recomend Ritz event . 
 May 2 2004 	 Ritz Tip 	 third trip Ritz - Carlton Battery Park . like tip Manhattan area view . hotel mind nice . room wonderful harbor view . bed dream . past especially become keen Concierge , Mr. Eric Sofield however trip find leave hotel . sadden one good concierge ever experience world . seem concierge staff grace . perhaps next trip well . ' yes try see new sky scraper museum building also . Cheery 
 Apr 29 2004 	 wow ! ! ! ! romantic personal 	 wow ! ! ! ! arrive Ritz Carlton 4/24 around 8:00pm ... treat like royalty . husband birthday plan advance Club Level deluxe room , rise petal turn service upon arrival . surprise husband spoil ! ! ! greet Club Level staff minute step elevator personal card , drink offer verbal Happy Birthday husband . enter room , light turn low , romantic music playing , fresh rise petal bed . ice bucket fill champane glass ready go . even offer fill marble tub bubble scent choice .... atmoshere perfect . club level food include hotel stay ... incredible variety food , drink , even different water around world . ( definitely recommend . ) staff wonderful personally remember name thoughout short stay . never feel comfortable hotel ! ! ! food ... delicious ..... will not want leave . Ritz clearly five star hotel ! ! ! ! ! can not wait visit New York . 
 Apr 26 2004 	 Exquisite ! ! ! 	 hotel truly worthy fine review . arrive Ritz immediately wedding treat well moment arrive . upgrade harborview room 9th floor superb surpise bottle champagne chocolate cover strawberry . food cocktail rise 2 west good staff courteous . I get accomodate entire staff . upon request staff deliver room copy Financial Times Wall Street Journal along New York Times . staff also able open business center 1am need catch work . would gladly stay hotel recommend anyone come ny ! 
 Apr 17 2004 	 Outstanding 	 OMMGGGGG hotel wondeful mom stay4ed 3 - 6 3 - 7 wonderfullllllll want early check wait 2 hrs check early check 9 wait mom go breakfast thereeere outstandinnng see WTC time 12 pm come around finally oom upgrade we harbor room caz watie awhile room pppl nice manner evver . there room ar beatuifl bathroomms . Telecscope harbor roomm nd facilite conceirge everything never complain iss great price , , but one thing mini bar hadd high price food $ 5 soda ad 3.50 $ bag & amp ; ms everything great 
 Mar 9 2004 	 WOW ! ! 	 wow ! ! great hotel . book cheap rate available treat like royalty . try check early tell room available , willing wait little , could upgrade we suite . decide wait upgrade glad . room amazing . service hotel also superb . go drink , make reservation bar 14th floor see sunset . beautiful . 
 Mar 1 2004 	 word .... superb ! 	 stay Ritz 02 - 27 02 - 29 truly enjoy stay . upgrade waterfront room ( w/o ask ) lovely ! lauren reception desk polite warm , refreshing . entire staff , bellman housekeep warm welcoming , pretentious ! dine 2 west restaurant ( onsite ) delicious well price . contact housekeeping slipper bring room within 5 minute . maid great job cleaning room day . Taxi 's midtown range 10 - 14 ( way ) include tip . well worth location property lovely . quiet understated elegance . Venice Lacy Chooi Li Loo provide we pleasant surprise upon return room first night . chocolate cover strawberry ( decorate like tuxedo ) place room honor anniversary ! nice touch ! make 10th aniversary one remember . will back ! 
 Feb 25 2004 	 Fantastic Location Service Overall Wonderful 	 without doubt good hotel ever stayed - treat amazingly momment arrive . room new york standard view statue liberty stunning . although bottom manhatten , could get subway upto Midtown Fifth Avenue around 15 - 20 minute small price pay . Turndown service exemplarary . rise Bar also come highly recommend , especially enormous desert . great hotel , Great People . 
 Feb 22 2004 	 far 	 ' ve return stay Ritz , battery park . hotel small quiet . room blandly decorate pay extra harbour view not really worth statue liberty view . location awful - get taxi everywhere . hotel expensive - breakfast 1 adult & amp ; 2 child come $ 96 great . think hotel great business traveller want stay downtown family visit ny . 
 Jan 28 2004 	 nice minor complaint 	 sister stay one quick night concert Madison Square Garden . not able take advantage Ritz offer . however upon check , staff upgrade we waterfront room pleasant deal . go bar 14th ( ? ) floor dessert tea 12:00am although do serve food , nice enough get we chocolate fondue craving . complaint housekeeping clean minibar previous guest , leave food drink ( gross ) large stain carpet next window . , hotel beautiful , staff par Ritz standard , room bed quiet pleasant . would highly suggest pay extra cab fare downtown hotel , bit quieter . 
 Jan 25 2004 	 wonderful experience 
 Jan 20 2004 	 Excellent service great hotel ! 
 Jan 19 2004 	 Fantastic Hotel 
 Jan 2 2004 	 wonderful retreat 
 Sep 16 2003 	 nice excellent everyway . 
 Jul 2 2003 	 lovely hotel 
 May 2 2003 	 love 
 Jan 21 2003 	 nice place ' ve stay NY 
 Dec 8 2002 	 find ! 
 Sep 3 2002 	 one good ! ! 
 Sep 3 2002 	 Top Hotel Top Lage - jederzeit wieder ! 
 Nov 25 2009 	 Tres bonne adresse 
 Nov 18 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Nov 16 2009 	 Très Bon Rapport Qualité Prix 
 Mar 26 2009 	 Ritz - Carlton ? ? ? ? ? ? ? ? ? Ritz - Carlton 
 Dec 14 2008 	 Ruhig und gut 
 Sep 12 2008 	 ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Mar 15 2007 	 Super Aufenthalt 
