boutique 	 special atmosphere , moment welcome friendly professional staff happy help request matter small . Hotel Rex great location near action ambience special load personality character often lack multinational hotel . normal room small , brightly decorate eclectic style . big day San Fran wonderful relax bar glass complimentary wine - Fridays string quartet follow jazz ensemble ! ask room high level senstive traffic noise . 
 Fabulous ! 	 stay Hotel Rex four night early November . check staff extremely helpful friendly find staff high calibre . deluxe double double room find plenty big enough even case lay floor . bed comfy shower wonderful . would ' ve like coffee maker room complimentary tea coffee available bar area morning . also , miss complimentary breakfast . Cafe Andree , next door , serve breakfast quite pricy comparison local restarant . complimentary wine evening great though ! hotel great location , block Union Square cable car station adjoining street . hotel staff great recommend tour restaurant . would recommend Lori 's diner breakfast great coffee Puccini Pinetti dinner . overall , would recommend Hotel Rex stay wonderful city . 
 Aug 22 2009 	 outstanding service Rex Hotel 	 great stay Hotel Rex ! husband travel anniversary gettaway . arrive around noon first day , Renin ( hope spell right ) upgrade Queen Deluxe room quieter large King room . price awesome value , book Trip Advisor website . immediately able check wait room flight . room artfully decorate clean comfortable . glad able use mini fridge leftover throughout stay save food cost . wine reception lovely wine excellent . housekeeper sixth floor amazing job cleaning room , anything extra need provide warm smile . actually , staff super friendly include Max pug dog , kind enough pose we photo . think handle fame well ; - ) think one premier feature hotel excellent location proximity many great restaurant Bart station . love particular area San Francisco live . thank everything , definitely back ! 
 Aug 21 2009 	 great location great free wifi internet access little noisy 	 spend 3 night Hotel Rex San Francisco . book directly hotel website get good rate ( much well find Expedia Booking ) .The hotel ideally locate 1 block Union Square . great first second visit SF , maybe touristic be come business want avoid ton people daily walk Sutter street . we stay room 213 214 ( not remember well ! ) , pretty large comfortable . king - size bed nice flat big tv . bathroom facility ok , little small room . seem preferred give extra size bedroom instead make bathroom wide . would done opposite ! hotel offer complimentary wifi internet access something really appreciate . hate pay ridiculous amount many hotel want charge hour internet access . quality pretty good , speed good enough . room face Sutter street , first floor . window good , lot noise day night . can not stand , would well ask room face interior patio . bad view much quieter . not ask room change . get late night , ( fortunately ) , we sleep quite well , not care much . we not try either breakfast , lunch dinner . many option around hotel , think well idea . starbucks lover , find quite meter hotel . in general , good experience . come back SF 2 - 3 day ... will definitely go back . 
 Aug 20 2009 	 cozy feel not think Rex ' hotel ' . 	 go back Rex year year . 's convenient location , be small & amp ; non - commercial . love lounge . 's great place read paper & amp ; relax . welcome complimentary glass wine bar check , perfect unwind travel . almost important pot complimentary coffee bar morning ! bed comfortable , room 's air condtioner / heater wonderful marble bathroom . free WiFi additional benefit . 's small business center need . staff friendly ! like fact everything small scale . not consider hotel & quot ; trendy & quot ; , perfect . Dick DeBartolo 
 Aug 12 2009 	 highly recommend Hotel Rex 	 stay Hotel Rex San Francisco . book back January able get fantastic rate . room comfortable , staff helpful , location great . even send item back Chicago accidentally leave room . 
 Aug 12 2009 	 really nice place stay great location . 	 room spacious luxurious , really convenient location , near transport shopping , right heart San Francisco . the staff really friendly helpful , really enjoy stay there . when check , room charge include bottle wine definitely consume , girl reluctantly end clearing account . other everything stay really great . 
 Aug 11 2009 	 Outstanding hotel staff 	 Rex one friendly , knowledgeable helpful front desk staff '' see long time ! & quot ; wine & quot ; lounge , bar staff comfortable chair make nice relaxing time . thoroughly enjoy entertainment free newspaper well . 
 Aug 11 2009 	 good deal San Francisco ! 	 great location ! great staff ! great price ! free wine night ! complaint . stay next time be SF . 
 Aug 11 2009 	 Classic small hotel great location 	 stay twice visit San Francisco , well large hotel . location near Union Square exceptional , staff helpful restaurant great , breakfast dinner . room not huge , be big enough . real negative street busy , little noisy . 
 Aug 11 2009 	 swanky little hotel downtown San Francisco 	 really enjoy stay Hotel Rex . remember honeymoon champagne chocolate wait we . room clean , bed comfortable staff excellent job make we feel welcome . 
 Aug 10 2009 	 classy place 	 family stay Rex three night thoroughly impressed room , lobby , service . return next trip San Fransisco . 
 Aug 10 2009 	 could not ask ! 	 excellent hotel convenience location . street ( 1/2 block ) cable car route 3 block away light rail BART station . also right near Union Square Macys , Bloomindales high price retail shop . staff excellent , room nice size tv huge ! stay want stay downtown San Fran ! ! ! 
 Aug 10 2009 	 Great Value 	 throughly enjoy stay Rex . lobby lot seat great place meet friend . staff accomodate friendly . room nice bed confortable . comfortable feeling . enjoy wine hour . location fantastic . around corner Union Square , near chinatown theater . rate reasonable compare hotel area . definitely go back . oh , restaruant outstanging . glad find jewel city . 
 Aug 9 2009 	 San Francisco Jewel 	 Teriffic location ; fantastic bar complimentary wine every afternoon . room adequate ; good , competitive price . 
 Aug 6 2009 	 pleasantly surprised 	 spend 3 night Rex find pleasantly surprised . room small although colorful , comfortable , large screen tv , mini - bar ( price way expensive ) large clean bright bathroom . free breakfast tea / coffee bar simple appropriate . location super couple visitor outa town . staff interact observed client helpful , courteous patient . would stay encourage other . 
 Aug 5 2009 	 could not ask well place stay San Francisco . 	 wife take second trip San Francisco summer stay week Rex . first stay , last . be convenient interest city -- shopping , museum , china town . catch show across street San Francisco Playhouse really love . ' m deliberate selection hotel , flight , etc come travel , say lot would recommend hotel anyone . wife gladly return Rex next chance get visit . entire staff pleasant welcoming . 
 Jul 31 2009 	 Hidden Gem 	 travel San Francisco business regularly recently find Rex . hotel great condition . price right . room adequate size , comparable downtown property . service truly outstanding , friendly staff genuine attitude help . cozy lobby bar library feel wonderful place hang . bar stay open past 10 would perfect . 
 Jul 24 2009 	 best ! 	 stumble upon hotel stay San Francisco teenage daughter ( scout school ) . stay absolute dump street , desperate , walk able get room great rate . fall love . comfortable , great location , great staff . love everything , highly recommend . 
 Jul 24 2009 	 great hotel great location . 	 Rex good area , close good restaurant neighborhood bar . half block Powell St. cable car , also close BART , street car many major bus route . staff friendly attentive . hotel clean efficient . great bar back Cafe Andre next door . 
 Jul 24 2009 	 Nice Hotel . 	 ground floor charm . concert series pleasure . restaurant overprice worth skip . something like staff , also something not like . try overcharge us bill . room group . location great . room quasi - elegant . bathroom worthy roadside motel . decent value , give San Fran real estate price . 
 Jul 24 2009 	 Cool build cool location cool room cool staff . 	 charming hotel , helpful friendly staff . unbeatable location ( 100 yds Union Square ) . Hotel 's restaurant attach , standalone restaurant , would happy eat anytime , even stay . great price . 's regular hotel , whenever ' m San Francisco . 
