absoloutely 	 hotel pefect kid ! kiddie goody include : - color book check - in- fantastic rooftop pool kid - friendly policies- Cartoons elevators- huge ( 500 + sqf ) room plenty room play- close central park zoo playgroundsWe stay SPG point , can not beat ! also love adjacent restaurant ( Seppi 's ) , reasonable price food , especially Sunday brunch ! . 
 great hotel good location 	 second time stay hotel not let ! service always good friendly front desk staff . room spacious average NYC room great view Central Park . Norma 's ( hotel restaurant ) legendary breakfast bit pricey great starbuck directly opposite fab deli nearby . hotel bar lovely serve great prosecco ! burger bar also locate reception infamous , unfortunately not get eat queue always long . hotel concierge service second none , incredibly helpful recommend restaurant aswell book ticket tour . great place stay get good room rate . tip would give avoid room service work pricey , especially many great place eat nearby 
 ask Questions ... beware 	 would not think would ask hotel air conditioning ? 's warmer usual November . hotel warm . check thermostat room say , & quot ; be hot cold , call & quot ; . well , hot . set temperature 69 degree wait wait wait . end finally call . send engineer right . tell we Winter air conditioning hotel ... heat . want room cool open window . ( KIDDING ! ! ) . well , think cold drink mini bar might order . one .. full anything might like . except hotel unplugged ... worry . would willing bring one fee would actually cool drink . room advertise come 32 & quot ; flat screen tv . old Sony Trinitron . good side , midtown hotel terrific location . main desk always crowded elevator seem take forever . next time need midtown hotel , think will try something else . price like four star hotel certainly live billing . 
 Great Location -- Great Place Kids 	 okay .. 2 stay hotel times family ( long weekend time Thanksgiving City ! ! ! ) .. sincerely say GREAT place familie many different reason . # 1 Location , Location , Location . close Central Park , Close Rockefeller Center , Close Times Square , Close shopping list go ... # 2 Indoor pool : okay .. must admit set - up little weird first feel uncomfortable ... get ... INDOOR POOL Manhattan worth kid . Swimming Dinner Pool ... can not beat . # 3 Burger Joint Tons Restaurants close . little one easy meal good food mom dad must . Place Delivers ! . cold beer good burger City ! . pizza delivery Angelo 's Thai food Topaz Thai combine Mac Cheese Room Service great mix . okay -- 5 Stars ? & quot ; french & quot ; attitude staff front desk lack something issue , abilty apologize little lacking ... address issue ( little stuff , like extra pillow , jumble order room service ) not necessarily smile . say , , get way City Le Parker Meridien deliver family Junior Suite nice space family 4 , New York City standard . housekeep pleasant extra tip ever Thanksgiving City -- -Ruth 's Chris Price fixe menu AWESOME . $ 123 family 4 bottle wine ? can not beat ! 
 Better think 	 Hotel nothing special outside check take time , however room nice . see ceiling mold bathroom give old building New York probably expect . nothing personally notice ( husband point ) not affect stay . room quiet well maintain . hotel right behind Carnigie Hall 1 - 2 short block Central Park Madison/5th Avenue shopping . move another hotel half way trip experience two different location , say like Westin Times Square well . 
 Aug 9 2009 	 gem near Central Park ! 	 well - situate Le Parker Meridien good choice business leisure traveler . easy access Subway within walk distance Central Park , Broadway , major museum , tourist attraction . burger joint , hotel restaurant bar bit pricey , good Thai restaurant right next door -- mention plenty eatery nearby . not try room service can not comment . I ' ve stay deluxe king room double room . deluxe king fabulous view Central Park , New York standard , be quite spacious . find firm bed comfortable , like simple , modern decor . bathroom clean nice . double room , come two twin bed , double bed , make unsuitable two people . room also seem small . much like hotel , would not book room need two bed . service friendly efficient . plenty bell staff around help , housekeeping respond swiftly request . small lovely swimming pool near rooftop huge gym , neither able check first two visit . hope next stay ! 
 Aug 6 2009 	 Le Parker disaster 	 splash May great aunt 75th birthday book Le Parker Meridien New York always look grand pass , terrible mistake . hotel reception staff appal , rude unhelpful . room rate double second room would honour good rate guarantee two room room terrible . small , noisy small bed America . great aunt room bad mine , opposite main air conditioning power generator room , unbelievable . never stay . food Norma 's ridiculously expensive , take two hour serve cold . scramble egg suppose one speciality hard . ruin expensive trip . ever stay Le Parker , be complete rip ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Aug 4 2009 	 Excellent experience 	 bid 4 * priceline get Parker Meridien W. 56th street $ 160 total per night . the staff polite helpful . hotel convenient Central Park subway terminal 57th . we 7th floor . much view NYC stay room . room comfortable , cool , dark quiet ( always give NYC hotel . happy hotel would definitely stay again . the hotel awesome burger joint lobby rooftop ( 42nd floor ) pool deck beautiful view city . 
 Aug 4 2009 	 honeymoon - amazing time 3 night stay 	 must say ' ve read many different review stay le parker meridien . however staff really quite helpful anyway . arrive early check early . meet Ari service desk able go top we . personally check see room ready go upstairs . able upgrade room due we state honeymoon . present we view great view central park . definitely great they . Burger Joint good definitely must stop lunch even bite eat . it great location quite part street much go around block away 5th ave lil bit park . away times square chaos . the room great size stylish . it pricy something guess get classn hotel . definitely real treat stay problem ever . 
 Jul 29 2009 	 great location excellent hotel 	 place rat hole , suggest previous review . ' m sure hotel person stay . service outstanding - doorman , front desk attendant , bellman . room stellar view Central Park , room clean , chic comfortable . enjoy pool area outdoor lounge deck , though could lot design outdoor area ( be hopelessly plain , though star attraction view ) . somewhat limited spa menu , though husband love massage . gym fantastic - great group - ex studio , clean , modern equipment . win ! Loved richly decorate / Renaissance theme Nave , delish coffee . husband beer attach Seppi 's enjoy people watch sidewalk table . , yes , return . 
 Jul 24 2009 	 poor service 	 stay sister 5 day Parker Meridien disapointe hotel general . staff tend rude , restaurant serve breakfast clean , breakfast food frozen - fresh advertise . the self address card give rate service return twice , know why . F.S . 
 Jul 23 2009 	 ' m big fan Parker Meridien 	 big fan Parker Meridien . gem within Starwood portfolio New York . like:1 ) service : remember first night , check could not turn tv . call front desk , explained try remote , press power button , etc . still not work . response , & quot ; unbelievable , send someone right away . & quot ; like . also remember observe one bell man 's saying & quot ; yes captain , & quot ; bell captain . like air professionalism.2 ) gym : brand new equipment huge hotel gym . free weight , racketball court , yoga room , lot machine , like ? 3 ) decent restaurant option area , Burger joint lobby actually cool environment , rare hotel joint4 ) room quite large New York5 ) value : lot cheap starwood property nycwhat could improve:1 ) bed : unfortunately heavenly bed2 ) television : room still old CRT television instead fancy new flat panel3 ) Air Conditioning : loud often seem cold room4 ) lounge : starwood Platinums lament ... 5 ) not understand not leave bill door last day , stop front desk way . strange inconvenience business traveler . nonetheless stay four five week straight must get lot right keep go option area . 
 Jul 23 2009 	 one Best Hotels Manhattan 	 stay hotel several occasion excellent experience occasion . truly one good hotel stay Manhattan . SPG Platinum member , staff immediately upgrade suite , give access phenomenal fitness club top story pool . truly know treat guest , particularly frequent traveler . the location heart City , walk access mid - town 's attraction , within block Central Park South , Carnegie Hall , 5th Avenue , numerous attraction . rate hotel tend vary wildly base calendar , careful monitoring rate get good deal truly great hotel premium location . 
 Jul 18 2009 	 terrible rathole 	 look picture speak themselves.aske 2 full bed low floor . place hold contact hotel hanging . upon check tell 2 twin bed daughter would sleep roll bed . say acceptable give Handicap room without tell handicap . never dingy disgusting room hotel . even hall stink like mold . daughter cry 1 hour could sleep dirty sofa husband spinal surgery near future sleep sideways . 
 Jul 16 2009 	 Accepts Pets Pet friendly ! 	 & quot ; accept & quot ; pet , however , feel like inconvenience staff Le Parker bring dog . receive stare repetitive question dog , information previously provide hotel make reservation . never deal unfriendly staff life hotel . check early due family emergency check thing staff say , & quot ; will not get refund . & quot ; well , worth find hotel stay elsewhere return trip . recommend place anyone pet . location Central Park excellent room ok beware sensitive mini bar coffee maker room . starbuck life saver . friendly staff member encounter John D. exchange email , prior arrival . perhaps John training rest staff customer service . thank John ! 
 Jul 14 2009 	 great hotel definite flaw 	 general would agree reviewer great hotel . also get nice discount hotwire pleased location service . health club real gym definitely worth $ 10 / day ; even offer aerobics class giant wii screen . massage therapist spa good worth 60 - minute booking.that say , caveat may may influence decision:1 . curtain sheer room become bright sunrise ( 6am time year ) . can not sleep bright room place you.2 . in - room coffee amenity cost premium rate . example , cost $ 15 press ( launder , press ) one shirt . provide nice iron though . 3 . weight - sensitive mini bar parker meridien seem trouble be worth . hear least three separate complaint incorrect charge wait front desk , charge two bottle liquor never even open refrigerator door ! issue complicated fact stay extra night bill previous three night close could dispute charge . tell someone would call monday let know charge take one ; follow thursday call finance dept person ( mark ? ) say would call back also never . charge finally reverse still consider unprofessional say be go call someone back ( twice ) follow , especially be work four - star hotel . bottom line : not check last minute.that say still give hotel four star would not complain come hotwire booking . still think issue bring light might dealbreaker . 
 Jul 13 2009 	 great staff great hotel 	 book hotel great deal Priceline . last time use Priceline hotel staff seem nice would respond special request even though spend lot money spa golf . the STAFF parker WONDERFUL . mention anniversary upgrade we king bed 38th floor park view . wonderful . room lovely , bed bed fabric clear . deliver ice within minute treat we great . understand might dislike burger smell burger ( wish could try one enough time ) must great since always long line . can not say enough hotel . pool lovely . bar beautiful . room service great . can not wait go back 
 Jul 13 2009 	 Great Location 	 go back forth many time try decide whether stay Times Square . decide happy decision . Le Parker Meridien perfect location business leisure traveler . travel kid 2 block Central Park , 1 block subway station , 2 block FAO Schwartz , important , location quiet , like Times Square - Zoo ! hotel rooftop pool kid cool , plus burger restaurant serve wonderful hamburger . cocktail bar cool look staff friendly . room bit small enough drawer room . stunning view Central Park hotel locate directly across Starbucks Dean DeLuca , mention many top notch restaurant store . great return hotel hustle bustle NYC quiet area . would recommend concierge provide map restaurant locate within 3 block distance . would much easy go map time , decide right front concierge . 
 Jul 13 2009 	 great location great service great experience fun hotel 	 great experience Le Parker Meridien . first , get great rate Priceline . ' couple young child , little concerned get room big enough three . check , Andrew front desk say ' send extra bed even ask . room comfortably fit small rollaway bed . our room expect , give many review – nice Herman Miller chair , fun rotate entertainment cabinet ( old CRT television ) , comfortable bed , chic décor . bathroom clean unremarkable . much view , ' really concern . Burger Joint , secret - that - everyone - know - about , also good expect . charge meal room , despite sign say " cash only . " pool roof nice , spectacular view . the cartoon play elevator daughter ' favorite thing hotel . ' good place kid , despite trendy appearance . on checkout , charm bellman Maurice – really outstanding . service great around . the room ’ wireless internet , ethernet connection . remember ask Ethernet cable front desk , ' one . coffee bar ' brew coffee , espresso drink , option coffee . overall , great place , especially low Priceline rate . 
 Jul 13 2009 	 Nice Choice great location 	 Wife usually stay Essex House , $ 239 / night King room think would give Meridian shot . Native New Yorker , usually tough critic NY hotel . drive NJ bring dog time . parking $ 50 per night typical Midtown price , garage right next door . hotel lobby large busy . 56th Street nice quiet block weekend convienent Central Park , restaurant , theater . great location tourist . room quiet nice simple . good size ny room . bed like rock sheet . tv nice flat panel moveable entertainment stand . tv close bed . dvd player well . plenty room move around , nice view City . Quiet AC noise outside room . complaint bathroom . way small feel like shower sink . actually need move around close door . also could provide bathroom product bar soap shower product . shower water pressure pretty light . otherwise , hotel defitinitely great choice tourist anyone else want smack middle action . nice desk staff welcome dog . still find Essex House room little nicer , $ 239 good value . 
 Jul 9 2009 	 Excellent hotel excellent location ! 	 travel NYC often whenever possible stay Le Parker Meridien . number reason favorite NYC hotel . love comfortable room helpful staff . location great , walk distance great shopping , central park , times square , subway station right block . Norma 's good breakfast visit Norma 's least every trip even not stay hotel . rooftop pool wonderful . great view city central park . pool perfectly heat comfortable . pool experience especially wonderful summer month allow go outside . 
 Jul 7 2009 	 Awesome ! ! ! ! ! 	 much enjoy stay property . check seamless staff professional accommodating . room large NYC standard clean modern decor .. love bed bathroom . comfortable . could see park window . hotel locate block central park near everything , need take taxi subway . food bar downstairs excellent . would highly recommend hotel traveler nyc . 
