excellent 	 first trip New York unsure stay . location really important we since ticket concert Madison Square Gardens ( across road ) , decide Affinia Manhattan . Macy 's couple block away great local eating , thrilled choice . room large add bonus kitchenette make great place stay . can not thank concierge staff enough help ticket , sightseeing etc . local knowledge friendly service help make trip . yes , bathroom small perfectly adequate , yes noisy middle Manhattan - think add experience ! 
 Fabulous stay Affinia 	 stay 5 night Affinia Manhatten studio suite everything great . two comfortable double bed enough three adult . housekeep excellent problem anything need , quick phone call reception sort . room 25th floor noise bad , fire engine street , often . need good diner area good one go back entrance Madison squre garden call Stage door deli , thanksgiven dinner delicious . thank Amy help book , definitely recommend Affinia family friend , can not wait go back . 
 excellent city - great base hotel 	 stay Affinia 23rd 28th November . I do great deal research hotel find one thought would good bet . once get room sort ( change 3 time first one tub second overlook internal courtyard 3 foot away somebody else window ! ) - finally get room 8th floor overlook maddison square garden . great room . could see way times square buzz city life . the Concierge hotel fantastic - Maureen Ashley great ask advice help regard transportation etc buy UGG boot ( thank Ashley ! ) another lady ( sorry can not remember name ) recommend AMAZING Thai restaurant Chelsea - 10 minute walk hotel . food Spice good go twice ! - amazing cocktail , wait staff amazing never felt rush . chance go , go ! bar next door Niles great - reasonably price , great cocktail great service - include great banter bar staff ! ! ! love new york can not wait come back honeymoon although think would stay somewhere else inthe city - not love Affinia would like see something different . 
 love Affinia Manhattan ! 	 love hotel . room great ! room patio 26th floor . husband smoker work well kid hate smoke ! room spacious . bathroom small clean . bedroom great . living room kitchen spacious . problem noise . still hear siren taxi horn ! would recommend hotel family kitchen seperate bedroom . really enjoy first trip New York City ! 
 City Noise 	 teenage daughter stay one night 11/2009 . 17th floor face Madison Square Garden train station . the one negative hotel street noise . hear loud clear . ask room back away street high floor . room clean yes bathroom small planning speding lot time . tv old model , work city look tv . staff friendly helpful . locked room suitacase , room ready . room clean somewaht outdated decor . less $ 200 night 2 queen bed kitchenette well worth money . 
 Hotel need major makeover 	 Hotel book company 's travel agent , upon check realize make mistake , elevator old . arrive floor hall carpet dirty , wallpaper peel wall . continue room upon enter surprised , room big standard room NYC , furniture old . open bathroom killer , shower 3 foot 2feet wide whole bathroom maybe 4 foot wide , stay hotel . 
 warn ! ! ! 	 book 4 - star room Priceline ( first mistake ) . day check , call 1 - 800 reservation number confirm reservation ( base review TA ) request high - floor quiet room ( know well room high floor ) . confirm telephone agent . when check , give room 10th floor . point not match request , informed request note , high floor would extra $ 100 , special gesture , have give $ 50 . refuse pay extra , decide check room offer . room awful , say least . grant , room large ( especially Manhattan hotel ) , obviously date mid-80 good . carpet seem dirty , furniture old beat , overall one would expect two - star motel - 4 - star hotel pay for . I politely , firmly insist front desk manager want move room keep reservation request . move another , admittedly large , room , still calibre . , refuse offer , demand room least somewhat resemble room display hotel 's website ( use term & quot ; false advertizing & quot ; , feel case ) . eventually move room keeping pay , request , see hotel 's website . be warn : Afinia Manhattan renovation . renovate room good deal : large , offer small kitchenette , up - to - date furnishing hotel exceedingly convenient location . unrenovated room old tired . term & quot ; standard room & quot ; Afinia 's euphemism & quot ; dirty , old , decrepit room & quot ; . not accept & quot ; standard & quot ; room , not accept pay supplement renovated room . demand give room match hotel ' advertisement , pay for . business obligation truthful advertising . course , hotel always use photograph show amenity well , display photo update portion hotel expect guest accept less unacceptably misleading . btw , first last time book Priceline - another topic . 
 Sep 27 2009 	 unbelievable traffic noise $ 15 per day internet ! ! ! 	 avoid price poorly update hotel poilce car / ambulance nite poor window noise room hotel sell much stay sale ... fiji bottele water room temp . $ 5.oo 8 & quot ; stuff gorilla $ 19.99 pay per view porno $ 19.99 however bedroom tv volume work whisper level 's max volume level room 2 bathroom last update 60 year ago plastic line tub cover instal incorrectly potentially dangerous tiny kitchen ? ? gas stove 27th floor coffee maker complimentary anything bad enough gangster rapper thug wander street hang around lobby security see anywhere ! ! staff well prepare / rehearse deal wit unsatisfied customer ! 
 Sep 26 2009 	 Staying N.Y. Stay Affinia Manhattan dissappointe . 	 painless checkin - helpful staff - nothing much trouble - great room - comfy bed - add bonus kitchen - excellent location explore N.Y. concierge book we table Niles restaraunt next door highly delighted check review Niles TripAdvisor 
 Sep 22 2009 	 old clean 	 enjoy stay Affinia Mamhatten . room large NY standard . the room , furniture , rug bit old clean . bathroom small clean . vent quite dusty ! bad part sofa bed uncomfortable . like sleep metal cage . would get room pull . 
 Sep 21 2009 	 Fabulous service location amenity 	 Affinia Manhattan good hotel stay NYC . service first class , room spacious kitchen office nice surprise . come back . 
 Sep 17 2009 	 Bad experience 	 Hotel really badly manage bad staff member . room bathroom dirty attempt make staff get fix complain multiple time . 
 Sep 16 2009 	 great choice want suite rather room 	 well - price ; get deluxe 1br suite 2 bath use LR second bedroom ; fold couch fine ; tv room help . kitchen clean nice . & quot ; deluxe & quot ; 1 BR suit 2 bath , one one bedroom rather central location , beware sure get 2 bath want- one central rather bedroom . totally wierd website explain none price three option identical ! go figure . staff helpful , quite cheery . stay opn 22d floor , essentially eliminate street noise Penn Station across street madison Square garden 1 block North . could walk easily Chelsea Time Square area . subway 1 short block hotel . Dunkin Doughnuts cheap breakfast , great coffeee outside side street entrance ( 32d street ? ) 
 Sep 15 2009 	 Excellent hotel = comfortable room great location 	 love Affinia Manhattan . room 10th floor spacious meticulously clean . kitchenette useful breakfast snack . noise problem sleep like baby ! staff helpful pleasant check - in receptionist concierge , bellhop clean staff . would definitely stay visit New York City . Joan Bhabha , Canada 
 Sep 13 2009 	 great location clean old room bit noisey- satisfied overall 	 book 150 dollar per night double room . excellent location every subway line , across Penn station . helpful staff , impressive lobby . our room 27th floor , near elevator ( ask one ) , spacious kitchen , small fine bathroom . room bit old , noisey A / C , siren nearby Fire station center Manhattan ... would recomment good price 
 Sep 12 2009 	 Great Location - Times Square door step ! 	 's situate 7th Avenue ( aka Fashion Avenue ) 31st & amp ; 30th street west opps Madinson Square , idea spot sightseeing shopping . alot walk every , place want see within walk distance ie Emprire State Building , Macey 's & amp ; Times Square . the room good size include mini kitchen ( handie ) , bed big comfortable , staff friendly & amp ; helpful . 
 Sep 9 2009 	 Excellent hotel ! ! ! ! 	 stay hotel 40th birthday treat . complement pay staff , friendly helpful . our room studio suite two double bed comfortable ever sleep hotel . the room clean 16th floor ` suffer noise problem . the bathroom small functional clean high standard . the location excellent . I love New York return family next time stay value money Hotel . thank staff provide thi excellent service . 
 Sep 9 2009 	 thrill 	 Excellent location , corner 7th 31st . clean spacious room although tiny bathroom clean functional . helpful , friendly staff . would not hesitate stay 
 Sep 8 2009 	 Location Location Location 	 friend book hotel part girl 's getaway package . part , love hotel . location can not beat ! 's right Madison Square Garden . staff friendly helpful . easily get recommendation reservation dinner via concierge . , NYC , great value . room so - so . ' ve stay Waldorf W hotel NYC . , maybe ' m bit spoiled . , seem like apartment conversion big kitchen , small bathroom , etc . furniture date seem run - down . lobby seem grand , room . be look luxury , keep look . 
 Sep 6 2009 	 superb 	 spacious room king size bed t.v . kitchen huge fridge / freezer cooker allow we eat want . shower superb . staff friendly helpfull . good value money . wait return NYC hopefully book Affinia . 
 Sep 5 2009 	 excellent quality hotel big enough family 4 centrally locate 	 real gem anyone family three four trying stay Manhattan reasonable price . reasonable , mean one - bedroom ( sleep 4 ) midweek $ 220 per night . one bedroom know two bathroom ( one shower , shower / tub ) functional kitchen . door bedroom living room actually close , mean two totally separate space ; hideaway full size bed living room , sizable . family four ( kid 14 11 ) feel comfortable hotel . hotel across street Madison Square Garden Penn Station 1 1/2 block south Macy 's . other describe walk Times Square two minute ; be accurate ; 's 10 - 14 block like 10 + minute . , still close , subway nearby convenient go Times Square Battery Park jump Statue Liberty / Ellis Island . 19th floor , problem traffic noise . full size fridge stove mean significant saving food family ability de - compress room eat long day tour go theater . internet free hotel Dunkin Donuts ground floor hotel , Starbucks across street Burger King one block . 
 Sep 4 2009 	 Highly Reccommend ..... Awesome Location 	 Stayed partner dec 15th - 20th 08 . hotel easy find ! ask Madison Square Garden literally right opposite . 2 min times square . check go room high floor . spotless room big bedroom , big living area decent kitchen toilet tiny mean TINY ! not bath really small shower area . ask guy reception could get room bath say room low floor would rather locate we high floor ( less street noise ) willing wait extra day promise we room would lovely . opt wait high floor arrive back day 2 day assign new room already luggage move staff . room fab ! ! extra charge , massive bedroom ensuite , massive bathroom . could ask ! ! highly reccomme hotel . clean , helpful , good value , Spaciousand central . 
 Sep 3 2009 	 brilliant location helpful staff . 	 hotel great location opposite Madison Sq Garden 1 block macey 's . penn station rd 's really easy use subway bus . staff hotel really helpful . room really good size everything need . could maybe modernize . we would definitely stay really good value . 
 Aug 31 2009 	 Perfect family stay superb location 	 fantastic proximity Penn Station room sooooooo clean . brand new carpet two wonderfully clean stylish bathroom . true siren fire truck noisy hey- central Manhattan ocean retreat ! kitchen really handy eat take away . two lovely bakery cafe one right opposite one next block call Europa Cafe .Fab breakfast snack . find staff friendly efficient . King Kong cuddly toy bed nice touch realise cost $ 20 - we leave . 23rd floor kid love , request it . be really concerned report read experience wonderful love space place offer retreat full experience New York . pay WiFi rotten hidden charge personally resent many really low cost place manage include room cost . Hope Mr Affina read . 
 Aug 29 2009 	 almost great hotel 	 book hotel rank much high ta , around 20 - 30 NYC ( 66th ) . honest , see fallen ranking slightly . do not get wrong , enjoy stay . lobby area impressive , room spacious complete small kitchen . restaurant cheap equally overly expensive ny standard , breakfast good service . location also good ( near MSG Penn Station ) could walk pretty much everywhere Manhattan , time get bus visit Liberty Island . however , noisy . constant siren outside room time difficult sleep ( night arrive , bomb go Times Square ! ) . one concierge staff also seem rather haughty , book ticket Broadway show give impression almost we favour , quite pushy get we spend money . make we feel slightly uncomfortable approach Concierge desk not duty . while would stay require price unreasonable ( around £ 600 5 night ) , think ever visit NYC look something well . 
 Aug 28 2009 	 Loved ! 	 ' ve take two child trip city day usually not stay overnight expensive . able get great rate hotel priceline decide stay two night . hotel excellent value - not think beat . staff great front desk ( Amanda one remember ) plus people concierge desk excellent . able buy tix American Museum Natural History save lot time online arrive . kitchen room great go little grocery store one door get milk ( cereal morning ) yogurt . not use stove microwave eat lunch dinner would great kitchen long stay . I think hotel good condition . yes , go elsewhere get brand new carpeting fancy bedspread furniture pay lot . hardly spend time room happy quality accommodation . really love hotel would definitely stay ! 
 Aug 28 2009 	 large room good customer service 	 recently stay hotel successfully bid room Priceline . room large NY standard , sit area small kitchenette . bed comfortable . mix return hotel excursion western NY several day . arrive late night , call give notice late arrival , room available reach hotel . great customer service , staff manage situation well send we Affinia Dumont stay , also comfortable facility room adequate . 
 Aug 28 2009 	 Excellent location shame room 	 stay honeymoon look impressive website decide place we . book room planning see relative well usual sight . despite pretty lobby friendly staff needless say disappointed room . small , quite tatty carpet see well day decor . whilst appreciate have not book suite ' posher ' room disappoint spend money basic room . quite simply pay location . would go back hotel however would recommend book well room . 
 Aug 28 2009 	 outstanding value service good price 	 stay one night Affinia Manhattan 's close Penn Station early train . literally stand train platform within 5 minute leave room morning . can not beat location . I amaze large size room , suite complete separate kitchen . room comfortable , clean , update . also drink bar downstairs , friendly stylish ... stylish something find lot Madison Square Garden district . but real plus accidentally leave beautiful leather agenda book room , not realize 2 - 3 day leave . call housekeeping , say , give fedex number , ship immediately . receive two day later , cash still inside leave emergency . thrilled level service , say highly recommend hotel . thank much Affinia ! 
 Aug 26 2009 	 Nice Lobby - OK room 	 stay night Affinia Manhattan . great location right across Penn Station . lobby impressive room little & quot ; worn & quot ; . update bedding furniture carpet see well day window a / c loud . kitchen ( not use ) would useful long trip . annoyance squealing noise come bathroom vent - call front desk say would take care persist . evening attempt management leave note message . 
 Aug 25 2009 	 love wifi love fedora . 	 ' m return visitor Affinia Manhattan like place . fact , know first name four doorman dare walk entrance , will yell across street . I get well wifi coverage hotel expect time . good enough full session Online Meeting Rooms ( synchronous full - duplex video ) also strong enough support Qik outside front door too . I also figure quiet room 10th floor , around corner bank elevator . room 1614 offer sound sleep , much appreciate long expect trip Ireland . 
 Aug 23 2009 	 Pros con 	 stay hotel least dozen time past 10 year busine . would choice , business colleague wish stay . however , good bad say hotel . first , good : location excellent , hotel across street Penn Station Madison Square Garden . easy access train subway . take subway time ; perfectly safe , expensive . subway get crowd . bed extremely comfortable . nice kitchen area full size refierator store snack leftover , keep beverage cold . walk Times Square , take take subwaynow bad : area noisy , window old window air conditioning unit . high 17th floor , still hear honk siren night . also , room maintenance issue . ( example , one recent trip , window room shade . ) 
 Aug 21 2009 	 not use parking ! 	 spend long weekend Affinia Manhattan celebrate wedding anniversary . hotel 's suggestion use valet parking . get car back bumper severely gouge . course Affinia 's garage deny cause damage . intend sue , even travel 4 hour back New York ! hotel ? aside garage , generally helpful , hotel could really use renovation . breakfast restaurant mediocre overprice . I give hotel 1 star cause several hundred dollar damage car refuse . 
 Aug 18 2009 	 never back 	 nice hotel mess awful management . book Luxe twin room 2 double bed half year travel date . check , find 1 bed 4 people . go reception black lady tell we twin room fully book . tell book room 6 month ago pay twin room 4 people . could not room we ? stand not apology rude tell we & quot ; twin room & quot ; even not show help . ask see manager . lady say manager check booking tell we twin room arrange . apologize , compensation say give sinlge rollaway bed . pay US $ 250 night one person sleep floor . our dream New York become nightmare . not understand New York people callous , unfriendlyand rude ? never go New York never stay Affinia brand ! 
