great 	 stay 5 night dad November 14th-20th . check quick easy , give room 10th floor view Empire State Building . room good size , twin bedroom pleased size . also electronic safe cupboard free use room clean everyday . breakfast fine - thought would probably go buy breakfast continental plenty choice always enough food go around . buffet style breakfast muffin , cereal , toast , youghurt , bagel etc tea coffee could help throughtout day night . hotel great location wise - road macy 's empire state 5 - 10 minute walk time square . beware though city never sleep - not think night sleep straight without woken binman 3 be noisy people come back hotel . window also break first night mean noise awful staff fix straight away next day complaint that . the hotel also sell ticket attraction exactly price attraction themseleve handy mean queue ! ! staff friendly really helpful , reccommended boat trip not even know fantastic . main attraction walk . People quick tell get taxi get everywhere walk 10 minute ! ! walk central park hotel John Lennon 's old house people could not understand walk 20 minute get ... place get underground Ground Zero walk Statue Liberty dock around ten minute that . when get give map everything seem really far away ... 's . save money walk , really not take long much traffic road 's worth get taxi . the security immense prepare prod poke ! 's good consider everything happen make think Britain . Top Rock , Empire Statue Liberty get search go metal detector etc go , understandable make feel secure plus not actually take long . come airport book Supershuttle.com go . excellent service , tip book ( tip huge thing place go eat actually add tip .. ask want leave anymore ! ! ) . share ride 4 couple take hour get hotel give we time take sight sound not mind . going home last get pick ride take 20 min ! 's cheap get taxi flat rate $ 43 one way . one final thing ... reccommend Keen 's steak house . literally round block hotel good meal ' ve ! ! expensive well worth . not go around 5/6pm though businessman go dinner get stupidly busy . go Sunday quiet . lovely place , excellent staff fab food . 
 May 14 2009 	 Good Location 	 Hotel Metro good location , one block away Macys . great view Empire State Building night roof terrace . good selection breakfast item , include price room . 
 May 10 2009 	 Pretty good ! 	 book base Australia base review Tripadvisor . the location fantastic other say big draw - card nearby hotel . breakfast great ( free ) although be continental , would not agree & quot ; limited & quot ; tag other give provide fruit , cereal , toast , bagel , danish , juice , coffee , tea , yogurt , cheese etc etc ! free internet business room bonus , time , check : ) hallway room bit grubby 's housekeeper fault , need face - lift . hallway representative lovely ( big ) room good sized bathroom . room 1010 high floor ( less noise ) view Empire State Building . the lift not slow other say ! ! ask receptionist call & amp ; confirm transfer get feel not ... well tell switch board can not tie phone long . admittedly call hold ( probably 5 minute ) think bit rude line think hotel think would service would provide other trip . actually hotel offer call transfer we . housekeeper really wonderful job . room always clean great detail . also - shampoo & amp ; conditioner bathroom fantastic ! ! ! would stay next trip NYC room great , breaky free plentiful location can not beat . 
 may 4 2009 	 Spring break New York 	 spend week New York Metro late April 2009 . pick great week temperature high 80 's . hotel paper look ideal we great position / value decide retro New York look bar / grill side . overall impression match expectation . gripe excellent buffet breakfast could turn bit chaotic messy . 
 May 3 2009 	 Round Fab Hotel : 	 stay Hotel Metro April 28th - May 2nd Mom & amp ; Friend first trip New York would agree would definately use Hotel Metro next visit ! break experience follow ... room : room good size basic decor , clean & amp ; large window love . alarm clock docking station IPod , mini bar , iron , hairdryer etc alot hotel do not supply make comfortable stay . also duvet & amp ; pillow comfortable . ( one thing mention maybe sleep window open night get bite time leg ! ) amenity : breakfast great ! available 6:30 - 11 am . include fresh coffee & amp ; juice , choice fruit , yogurt , bagel , toast , muffin , croissant & amp ; cereal . coffee also available guest 24/7 believe nice long day walk & amp ; sightseeing ! ( find hard get decent coffee ny suprisingly - starbuck worst ! ) negative thing would say get quite busy downstairs eat room & amp ; eat area sofas & amp ; coffee table awkward eat . allow take food room prefer . Service / Staff : great , can not fault : ) always someone desk & amp ; help we book tour , tell we could catch coach , arrange transport back airport etc . also friendly , include cleaner . location : FAB ! literally walk end road subway station & amp ; across road Macy 's , right Empire State & amp ; also bring straight onto Broadway ideal alot location tour pick - up / drop - off , Times Square , 5th & amp ; 6th Av etc . thing find quite noisy night , ' m sure siren rubbish lorry whatever wake couple time , may sleep window open & amp ; guess NYC busy city ! overall great hotel & amp ; would definately come back , think location & amp ; breakfast sell : ) 
 Apr 26 2009 	 Good Hotel Manhattan - Avoid Metro Grill Bar 	 reviewer say excellent midtown location easy access Penn Station ( quick & amp ; cheap LIRR / AirTrain link JFK ) 34th 33rd Street metro station ( uptown / downtown Manhattan ) . room ( Sup Queen ) small quiet , clean & amp ; firm bed . even small bathroom tiny bath excellent power shower ( care require temp control sensitive - slight touch go freeze cold boiling hot second ) . complimentary continental breakfast ( standard food & amp ; drink ok ) let use paper cup , plastic plate utensil . we little direct contact hotel staff seem polite efficient . however , would say avoid Metro Grill Bar - service poor ( serve multiple client one time emphasize speed customer service ) , tell gratuity compulsory bar staff refuse remove bill . price shocking ; expect little civility price . ( favorite bar Bleeker St West Village - Brooklyn IPA nice ) .In summary , good base explore New York hotel spend much time otherwise . 
 Apr 21 2009 	 Impressed ! 	 stay 5th April 12th April , 8th Floor , Family Room . difficult find major area complaint . two : restaurant morning could overflow around 8.30/9am . would like closet space four adult make party . two apart , be think ! front desk welcome efficient . room spacious , well maintain keep clean visit . hotel staff always helpful particularly get tourist spot around city change traveller cheque . although breakfast " continental " must admit lot well expect . choice include Fruit Juice , Coffee Tea , several cereal , yogurt , toast , bagel muffin along fruit , butter , jam cheese . coffee tea available 24/7.as base visit NYC ideal . central subway 100 yard away . Macy ' , Times Square , 5th Avenue , etc , course , Empire State Building , close . would go back Metro ( rather ! ) return New York ? yes ! slightly point . people think New Yorkers unfriendly , rude , unhelpful , etc . well , not find . fact , exact opposite . several occasion , without ask , give advice friendly pleasing manner . thank New Yorkers ! 
 Apr 21 2009 	 good value hotel disappoint 	 partner stay Metro five night April 2009 , impress Metro . superior queen double room , although bit small , clean comfortable . complimentary breakfast appreciate , good tea coffee facility available 24/7 . would stay Metro . 
 Apr 19 2009 	 brilliant little Art Deco jewel 	 love time - great staff , great view Empire State building top floor , great ( free ! ! ) breakfast , tea coffe tap 24/7 , lovely room : perfect little place . can not recommend highly enough ! be New York stay , ! ! 
 Apr 19 2009 	 good hotelgood loaction 	 stye hotel couple time . locate 35th street 5th Avenue , 2 min walk Empire State Building . street relatively quiet compare street New York . location ideal , pretty much middle Manhatten ( macy 's round corner ) , cab hail easily outside hotel . hotel art deco style room little bit date . room ok verything work etc , quite small usual hotel new york . Breakfast provide consisit bagel , pastry , cereal tea coffee etc good enough get start start day NYC . staff helpful friendly . price good , book direct hotel much cheap anything else could find Manhatten . rooftop bar well worth check open ! 
 Apr 14 2009 	 Ideal Family room two seperate bedroom 	 stay Hotel Metro 8th 12th April 09 impressed . find somewhere two bedroom Hotel Metro come trump . both bedroom spacious , closet safe , small area incude sink mini bar bathroom bath / shower . shower fantastic , absolutely red hot . the hotel location good , 10 min walk Times Sq Penn Station , 1 block esb , subway station nearby , Macey 's short walk west 5th avenue east . a simple adequate breakfast include tea coffee available day , pleasant lounge relax in . there attach Bar Grill although not eat often start night drink Bar . the roof terrace give great vew ESB bar area although still close would great place drink two summer . overall impressed Sinatra era music play lounge make mum - in - law feel right home ... 
 Apr 10 2009 	 Metro Hotel great location friendly staff 	 stay 5 night end March . comfy room , small shower room everything need . breakfast add bonus , plenty choice great tea coffee available day free . great location , yard subway , great view Empire State Building within walkin distance Central Park , TOTR , Times Square , Flatiron Building . 
