nice 	 take kid NYC Thanksgiving holiday nice stay Belvedere . staff helpful room nice size four people . hotel locate couple block Times Square , Rock , Macy be got see sty midtown . rate reasonable compare hotel area . would recommend hotel look reasonably price , well cared hotel . 
 GREAT ! ! ! ! 	 nothing negative hotel bad good .. could way soft ... .. Location AWESOME .. 2 - 3 minute Time Square ( walk ) .. clean big room , nice Bathroom , quit .. place we next elevator bit loud .. go 10 minute get another room without problem , Valet parking reasonable 43 usd .. great experience .. sure return . 
 May 11 2008 	 Great Hotel 	 stay Belvedere husband 30th , think hotel excellent value money . one big room ever stay New York , 16th Floor excellent view East Manhattan . small kitchen area , decent size bathroom , safe wardrobe . we book breakfast , go Olympic Diner every morning spot on . we major issue lift staff excellent , polite helpful time , excellent location Theater District , Times Square . mexican restaurant corner spot , far many restaurant , bar etc . 
 May 4 2008 	 ! 	 love ! go Tigers vs Yankees game . stay 2 night . great room , great location staff helpful . walk Times Square , go grocery shopping & quot ; Social & quot ; around corner great price week . wonderful Tigers boot ! lindaLivonia , MI 
 May 4 2008 	 love room nothing else ! 	 husband stay mid April 2008 follow recommendation friend . frequent visitor New York usually stay 6th Avenue . the room beautiful lovely furniture small kitchenette area include fridge microwave . however bathroom absolutely tiny corridoor quite grubbystaff friendly though . location wise , least 10 -15 minute walk 5th 6th Avenue though pass pretty dirty / smelly street . would not like dark . the fire station street pretty noisy night ! ! buffet breakfast bad hotel breakfast ever average price hotel . orange juice come machine taste like make powder water . coffee disgusting . 2nd night 3 people check room next door 2am.soon afterwards lot other join begin party ! however hotel staff deal situation pretty quickly . I realise tha something could occur hotel . though room lovely would stay . 
 May 2 2008 	 Great Value 	 hotel centrally locate . room clean good size . would recommend good bargain money 
 May 1 2008 	 good all - rounder 	 second visit NYC . choose Belvedere part town not stay ( midtown / theatre district ) get pretty good wrap Trip Advisor . we stay Belvedere 7 night . arrive , surprised size room ( large thinking ) amenity ( little kitchen area ) . decor / setup room little date not matter - everything work fine . plus able get double room twin King bed without problem . room bathroom clean . Checkin / checkout pleasant get - queue issue . minor gripe - main bank elevator little slow , circumvent go one elevator end corridor . it location really make stay fantastic . 's relatively quiet spot ( mayem Broadway short block away ) dozen great restaurant around - not realise go right near Hell 's Kitchen . so term balance price / convenience / location / quality , hit target would happy stay next trip NYC . 
 Apr 29 2008 	 Convenient hotel Times Square 	 friend stay Belvedere three night . hotel convenient Times Square , TKTS office ( cheap theatre ticket ) major theatre couple block away mean 5 - 10 minute walk , Hell 's Kitchen , Grayline Loops bus tour ( ticket office around corner two minute walk away ) , Rockerfeller Centre , Central Park . empire State building 5th Avenue shopping 25 - 30 minute walk away . 11th floor face front hotel . we , high enough hear traffic . bell hop doormen friendly could not enough help , say front desk staff , friendly , polite efficient . make use free safety deposit box access via front desk staff . room two double bed ( lovely comfortable , friend want ship back UK ! ) . make use fridge room , not use microwave coffee maker . small ( small ) criticism bathroom tile grout see well day could freshen . would also like full length mirror room . would recommend hotel short break want near theatre district . 
 Apr 29 2008 	 love Belvedere 	 second stay Belvedere , get refurbish room great view . NY1 package time include scrumptious breakfast . staff without exception pleasant helpful hotel great location . the little kitchen guest laundry add bonus travel kid long trip , would definetely stay . 
 Apr 22 2008 	 good hotel great location 	 close Broadway show . walk Central Park . great restaurant Hell 's Kitchen . double decker bus night . room ok , be ny , go explore . neighborhood great . 
 Apr 21 2008 	 impressed 	 first trip manhattan wife belvedere turn great choice . booked & quot ; ny1 special & quot ; include breakfast ( fabulous , way ) . nice room , staff make trip extraordinary . weather rainy desk clerk loan we umbrella . ask jazz club , concierge reccommended & quot ; birdland & quot ; make reservation ( block away wonderful evening ) . everyone talk location ... never use cab subway entire stay . definitely use belvedere . 
 Apr 20 2008 	 Great Hotel 	 return week Belvedere Hotel New York City . check Trip Advisor chose hotel review good make booking . hotel excellent location 2 block Times Square one block subway station short walk Central Park . quiet night though quite warm room need air conditioning night . room 10th floor clean comfortable small kitchen area . staff efficient quickly attend small problem . porter give excellent local advice eat etc friendly child impress get bag take taxi put gold trolley take room ! often completely happy hotel definitely one would return recommend other . 
 Apr 19 2008 	 good choice hotel ! ! 	 stay Belvedere March bit worried mixed review lot well expect . initially 5th floor back hotel really quiet night . High School Group check quite noisy ask move put 12th floor . room fine nice comfy bed decent bathroom . all staff really friendly helpful , particularly Chris Concierge lot local knowledge . the location hotel great , within walk / subway distance main attraction . especially good school age child . would definitely stay Belvedere . 
 Apr 17 2008 	 highly recommend 	 daughter return six night stay Belvedere fantastic holiday . first visit New York everything could hope ! ! city buzz people friendly helpful . reservation hotel base previous review overall experience hotel extremely positive . complaint internet use expensive keep crash although staff quick reimburse credit future use . the reception staff welcome efficient allow we extend stay late flight . without extra cost . experience problem lift other complain about . the location perfect Times Square , Broadway Theatre District . room spacious two queen size bed nice bathroom small kitchenette . we breakfast hotel visit Pigalle Brasserie corner W48 st/8th Ave highly recomme previous review do . there much see enough time sure return distant future return Belvedere without reservation . 
 Apr 16 2008 	 great hotel 	 stay hotel twice previously . check quick easy . double double room 11th floor . room front face quite bit loud room I ve previously backwards face . school opposite hotel create quite bit noise , however unbearable noise . this room definately date , safe break could open stick little finger small hole drag door open . radiator leak make carpet little damp . bearable problem do not bother , bother partner slightly . second morning toilet block go reception make aware problem , lady helpful explain do not double double available evening could pack stuff put storage check new room later day . explain do not need double double book one cheap internet king size , give we king room 14th floor straight away . promptly go throw belonging suitcase move room . second room excellent , good bed ever sleep ( look forward go bed could lay ) room still size backwards face noise reduce . problem really enjoy central location hotel . the staff friendly helpful , conceige book us town car return airport . pleased would hesitate stay . 
