great 	 Location -- wonderful walking , shopping , dining go outservice -- extremely warm , friendly & amp ; helpfulatmosphere -- historic , elegant , uniqueroom -- modern , comfortable , spotlessly clean 
 May 26 2006 	 horrible service 	 book block room hotel wedding ( 15 room ) . however , could get single thing correct . first , give we cutoff date rate would not guarenteed . family member call day , would grant discount rate . husband call say suppose would try give discount rate not fault train new people . ( fault ? ? ) . give we nothing make . next , suppose room get ready wedding . however none staff would help we carry stuff . iron room promise . nothing hang clothe , wedding dress lay floor . tell order food , order sandwich tell would least 45 minute . finally eat , food mediocre good . ready leave , , , could find anyone help we carry stuff parent old relative friend get stuck carry bag box stuff . promise strawberry champagne suite , however ( surprise surprise ) not show ! room ok , definitely worth price . disappoint service . would strongly recommend stay away ! ! 
 May 8 2006 	 bump Hotel . 	 book stay 2 night 3/5/06 5/506 Hotwire . arrive Hotel long Journey 20.00 hour greet room , book transfering & quot ; Gold Coast Hotel & quot ; Taxi driver say never hear Hotel say take we addresson arrival day Inn star dump 4 star booked hotel , return Ambassador tell circumstance go stay , keep tell we thst Hotels available due big conference City , say would sleep lounge advertise plight , low behold suddenly find we room IDIGO HOTEL around corner , leave doubt arrival Inigo dream , staff great , room fabulous Ambassador give we option stay 2 night return next day grade way go return , ment check 12.00 . check 3.00 would ruin complete day . the Ambassador Hotel sell empty room week early Hotwire Big Conference came decide Bump Hotwire guest ( approx 56 ) day Inn cash Rates Delegates Companys . hotwire kindly refunded cost hope never use Ambassador again . the outcome Greedy Ambassador Hotel regard people book Hotel good faithThe good thing come INDIGO HOTEL Fab.we would recommend Hotel all.regards Alan & amp ; Gwen Moran 88 Delph Park Ave . Aughton , Lancs L39 5DQ U.K. e - mail 2more @ moran3.wanadoo.co.uk 
 Apr 8 2006 	 yes be old ...... 	 definitely character . spend week , last week . could not happy . see negative review , bit worried . pay $ 100 / night Priceline , figure would get short end stick . could not wrong . check Oumania , behind counter , great start . talk Mark , security guy , be sport . fill favorite favorite player come thru town . doorman , friendly . Sox fan North town . could not nicer . ok , room carpet bit worn , one wall crack , tub paint peel around drain . not dirty moldy , like ' ve read . one BIG negative ...... not care room coffee . oh , not coffee water . change bottle water , great . housekeeping take worn bathrobe ( yes , bathrobe ) not replace . wife call , within 10 min . king bed comfortable , ton pillow . be close & quot ; L & quot ; ... 4 block . 2 block away Lakeshore Dr. bar restaraunt Division . bit north Wells Old Town great atmosphere old neighborhood . drink Pump Room , great atmosphere . would back ! 
 Apr 6 2006 	 Lovely Old Hotel Nice Staff 	 reserve two room three night Ambassador East Chicago use Hotwire get terrific price $ 101 / room / night . think wonderful , Chicago & quot ; Gold Coast & quot ; hotel . hotwire , know name hotel till pay money . really concerned read unfavorable trip Advisor review . say lovely visit . hotel old , charming staff polite helpful . room large great bed linen bath product . surround neighborhood really lovely , walk shopping restaurant pleasant . even walk Art Institute , though long way . charge alot valet parking ( $ 36 / night ) -- hotel big - city - downtown area . since travel teenager , dine Pump Room . great restaurant within easy walk distance Ambassador -- price range style . highly recommmend hotel , people appreciate old - world charm , want enjoy lovely big - city neighborhood , easy access Magnificent Mile shopping . 
 Apr 3 2006 	 Fabulous ! 	 love Ambassador ! great hotel . 's really beautiful , room absolutely striking , classic elegant . everything do really well : staff treat like regular . top - notch hotel , good place ' ve stay long time . complaint wish Mile , 's . 
 Mar 31 2006 	 Great Deal Great Location Great Staff 	 family four get deal Priceline Ambassador East three night , 3/27 - 3/30 , sound like nice hotel review little worried . great . staff professional helpful , not make we feel like second class citizen Priceline deal ( $ 90 night . ) not realize Priceline not guarantee two bed , worry . give we room two double bed , nonsmoking , request , see boy ( 12 16 ) & quot ; pretty big & quot ; give we upgrade large room two bed fold sofa . boy delight not share bed ! terrific extra space not nightlife usually back hotel , full day museum , nightfall , space hang . yes , bathroom small , old - fashioned deep bathtub terrific soak hard day sightseeing ! nice neighborhood within easy walk distance , everybody say , subway restaurant work great . yes , hotel old , furniture bit worn , tv reception not great , bed new , comfortable , deal like , not complain ! leave generous tip maid day room always make promptly & quot ; showered & quot ; extra towel . good part ? check -no surprise extra charge fee upgrade & quot ; extra people & quot ; - exactly tell beginning . ' ve hotel think & quot ; get deal & quot ; get hit surprise fee charge check . ! happy stay delighted give we upgrade . give try . 
 Mar 29 2006 	 Ambassador East 	 fantastic stay Ambassador East . stay March 11 16/06 . within 1/2 hour walk attraction north river . 5 minute walk Lake Michigan . 10 minute subway . lot great retaurant within 10 minute . Valet parking little expensive ( ~ US $ 36 per day ) . pump Room ( house restaurant ) require & quot ; dressing & quot ; dinner . 
 Mar 28 2006 	 great hotel 
 Mar 27 2006 	 wonderful hotel 
 Mar 26 2006 	 AE rate 
 Mar 20 2006 	 DUMP 
 Mar 16 2006 	 wonderful hotel experience ! 
 Mar 13 2006 	 great hotel super service staff . 
 Feb 26 2006 	 ok discount price 4 - star hotel 
 Feb 16 2006 	 bad ; four - star 
 Jan 29 2006 	 Oldie Goodie 
 Jan 18 2006 	 need 
