stay 	 go 8th time Vegas , stay new hotel visit . however , friend Vegas newbie narrow - minded plan spend time lounge pool . sister advise we book stay Hard Rock Hotel . since yet try destination party atmosphere , concede suggestion . plan trip span Thursday Monday ensure would poolside Sunday Rehab party , still advertise prominent event website , though already enter Fall season . we arrive schedule Thursday afternoon confront lengthy check - in line . die get settle start trip , allow check prior 3 pm time . tell room ready await approval housekeeping manager , take one hour . drag luggage Pink Taco restaurant grab tasty mexican salad ( see separate review ) enjoy sun patio . return check desk hour later tell room still await approval , could immediately settle room low floor . point , eager get pool , agree less room , wound provide hideous view parking garage ! room funky wallpaper , spacious bathroom , iPod dock speaker , large flat - screen television . mixed feeling regard stay . first , website mention Sunday Rehab party season pool heat . , basically , everyone relax poolside 80 - degree weather , nowhere properly cool . regard crowd , friend think back home among Jersey shore guido . fist pump definitely scene ... final note pool waitress extremely friendly Thursday afternoon , become snooty pretentious weekend . try exude & quot ; cool & quot ; vibe rowdy Saturday - Sunday crowd . pretentiousness discourage impressive . additionally , hotel 's free shuttle Strip arrive every hour even stop anywhere close Las Vegas Boulevard . wind opt taxi service instead , save time cost $ 10 way . also annoy $ 20 day fee use fitness center , attach spa rather part hotel . large room pack equipment would perfect way counteract extravagant dinner evening cocktail , refuse pay & quot ; amenity & quot ; .The main reason stay Hard Rock crazy atmosphere , terrific nightlife option , large pool grotto . however , many thing negligible find property . would recommend stay Strip instead . 
 40 th birhtday getaway 	 Loved ... music great upbeat .. find singing time . staff could friendly helpful . book pink jeep Grand Canyon consierge fantastic . leave imp . paper safe ... already checked not realize several hour later ... go back hotel safe ... secruity . safe front desk server maid wonderful . miss bottle opener .. call desk minute . location couple block strip really enjoy ... access easy price definetly well place stirp . love small accessible . like either club .. high expectation read good . people firont desk say going put new club ... also ... sad able swim ... say consider pool open year round 
 hotel terrible ! ! ! stay far away . 	 begin .... 1 ) room single glass anywhere find . drink hand . several dirty glass sit floor outside door arrive check next day.2 ) television signal . zero channels.3 ) huge moth sheet . discover crawl leg get bed.4 ) room coffee pot.5 ) construction begin 8 room directly mine ( hotel less half full judging registration desk , put room construction ? ) .6 ) staff impolite.7 ) hotel charge $ 8 item mini - bar , not touch . know item never begin . 8 ) music registration desk loud ( casino floor ) can not hear employee say behind counter . as frequent business traveler stay lot hotel ( ' ve fly 50,000 air mile around US last 6 month business travel ) Las Vegas Hard Rock , without question , worst ! ' ve stay Best Westerns middle nowhere preferable . I ' ve also stay Hard Rock Hotel Biloxi find vastly superior amazed Hard Rock ' brand ' would allow disgusting property operate Las Vegas . do favor . be travel Vegas , avoid Hard Rock cost . will not sorry like . 
 Aug 30 2009 	 HRH 16 Aug 21 Aug ( never ) 	 due poor customer service Hard Rock Hotel trip August 2008 , write letter make aware shortcoming customer service . response offer we free night valid till September 2009 . always go return Las Vegas August 2009 , take offer . decide stay four night HRH instead move another hotel previously plan . advise lady offer free night arrive HRH 2.00pm 12 hour flight New Zealand hour flight San Francisco . say would put note system could guarantee anything check Sunday 4.00pm . Sunday 16 August : Southwest flight SFO time arrive HRH 1.30pm . stand registration line 35 minute , get counter , lady advise go next door vip check ( thing look ! ! ) . go vip check , take usual credit card imprint advise would call room ready . Lunch Mr Lucky ' . good meal service ( wife cheeseburger slider , buffalo chicken ) .wife go vip check ask much long room . rudely tell check 4.00pm ( 3.45pm already ) . 4.30pm we go vip check . tell room getting make right speak . get room 5.10pm . enter room ( 540 ) overcome strong paint smell . DW call VIP desk advise . say vip room freshly paint carpet clean . stay room last year vip room . DW advise desk , tell request room deal . DW insist way stay room even short time get headache sore throat , lady advise someone key another room . mean time fruit platter deliver room . room service guy deliver platter agree we smell paint strong . 30 minute still key arrive , DW make way vip desk . insist key send basically call liar . give key room 538 . move 538 . smell paint room except come clothe . time phone expedia see cancel four night book free night . hear loud knock door room 540 . open door . porter key room 538 . trouble explain ' need key 538 already . rude upset trip 5th floor waste one . Lady expedia hear conversation comment rudeness . cut long story short , would lose much money cancel 4 night book expedia plan sleep hour per night decide remain HRH.As flight Vegas 5.00pmon Friday , decide ask late checkout ( extend 1.00pm 11.00am ) . Thursday afternoon ask vip desk possibility late check . tell check VIP desk Friday morning . on Friday morning visit vip desk ask check 1.00pm . would think problem get room would let we check 1.00pm . , tell room vacate midday . much vip service ! wife make 25 overseas trip last 3 half year stay 30 hotel feel reasonably well qualified comment hotel customer service . never encounter rude , poor arrogant service hotel . favourite hotel , safely say return HRH Las Vegas . realise hotel may want project " hip / edgy / rock star " image feel staff take far start behave like rock star think important guest . advise lady arrange free night issue check time fact wait long room ready guest , response offer we free breakfast ( refuse ) . stay HRH . 
 Aug 29 2009 	 Paradise Hard Rock 	 get back another great stay Hard Rock . get stay new paradise tower room awesome , love ! great time play blackjack slot , good money . love place , probably 13th time stay usually visit Vegas twice year get good comp stay . nice dinner Ago late night snack Lucky 's . not get chance eat Rare 120 pink Taco trip . everyone encounter check - in , dealer , security waitstaff friendy fun . ' ve never problem ! vibe good Vegas , casino Vegas compare imo . be always nice walk strip day come back Hard Rock away craziness strip . addition Paradise Towers place keep get well , be new Hard Rock , remixe love ! 
 Aug 28 2009 	 good bad ugly 	 good : - bed linen comfortable make sleep like baby.- pink taco & quot ; tex - mex & quot ; restaurant HRH offer large portion , great flavor quick friendly service.- Pool shape like guitar ... nice ! bad : -HRH shuttle run 11am-10pm every 30min leave near MGM . exactly ideal stop time.-casino small lifeless , casino along strip pack full lifethe ugly : -i room pool view , sound nice right ? take look leave will see construction worker yard room , definitely hear 6 am morning.-walls isolate noise . could hear every single conversation , cough , sneeze adjacent room . go nearby cvs buy pair ear plug ... wear every time sleep . 
 Aug 26 2009 	 bad hotel staff ' ve ever encounter 	 girlfriend stay hotel would not wait long line Rehab pool party Sunday . get Rehab problem bed room comfortable room dirty dusty find item people stay room we . also put four name hotel room ask four towel instead two towel every day . hotel inside disgusting - people smoke EVERYWHERE , include inside casino every hallway . worried would get burn cigarette walk , mention stench leave clothe hair . four day stay Hard Rock , one girl leave wallet room little short time money steal wallet . security tell would get back investigate 3 week later , still phone call . also , one friend assault group guy inside casino right front security guard nothing help we . speak , call another security guard show 10 minute later . identify guy security guard go talk & quot ; warn & quot ; . not get name , not ask stay hotel not ask see id . security tell we can not anything warn thing press charge police , make sure point would wait 2 - 3 hour police arrive statement would public record would name , address ssn guy would able look get information . speak security night tell saw group guy casino speak still not ask id name ! management completely dismissive insensitive situation . keep pass different people administration , one call back like promise . say happen hotel not responsibility , even though staff security not react properly . get home trip , find one coworker also go Las Vegas stay Hard Rock tell watch extra careful casino security will not help tell hear thing people ! seem ridiculous hotel chain popular would treat guest badly , dirty room , & quot ; security & quot ; not keep anyone secure . never stay Hard Rock property . 
 Aug 26 2009 	 ok place stay 	 would not stay kid . room ok , bathroom horrible . Shower head low , bend spray . walk ice drink machine , whole area flood . pros- young person hang , lot pretty lady , access rehab Sunday , decent restaurant . Cons- Music blarre poolside 8 am Sunday morning , 3 hour pool open . clean pool area rehab hear power washer 9 pm 1 pm . WTF ? even hear door close . far strip . overall pretty rundown hotel , stay original wing . would go back , depend send comp . 
 Aug 26 2009 	 thank ... 	 thank top everything ... hard rock fun crazy ans beautiful love waste space ... able make anything possible hotel ... oxoxox 
 Aug 26 2009 	 Beautiful New Tower 	 stay Paradise Tower Hard Rock Hotel Casino , bed pillow comfortable , room clean . large shower , room quite oversized , large flat screen t.v . check busy concert night however line move fast associate helpful responsive . upgrade corner room , window view strip . say hear anything night , room quiet people stay floor . probably go without say family hotel , people come party , well . like we like party like little peace quiet go sleep go paradise tower . also check Pink Taco 's happy hour , service great food drink . 
 Aug 25 2009 	 Rehab Sunday Stinks ! stay Strip instead . 	 first time guest Hard Rock Hotel Casino Las Vegas , write review express dissatisfaction recent stay August 21 August 24 . much research , two friend book stay Hard Rock Orbitz celebrate bachelorette party despite location away strip . hotel casino certainly festive exciting , find hotel room far expectation . room quite dingy , stain carpet , old tv remote work , two towel three register guest . perhaps big disappointment come Rehab Sunday , much anticipation event , shock find hour line enter pool area . even surprising fact line make people even stay hotel . register hotel guest , give priority entrance access wristband ahead time . travel extensively work , never experience disregard hotel guest . would appreciate response management explain poor policy . 
 Aug 20 2009 	 think want stay 	 commute Vegas week work , , stay almost hotel Las Vegas ( include Hard Rock ) . opinion , someone going pick Hard Rock hotel , need specific reason ( i.e . entrance Rehab Sundays ) – otherwise , stay somewhere else . room really nothing brag ( though stay new Paradise Tower , slightly nice casino portion ) , service atrocious ( even bad party hotels Palms ) , food choice pretty bad ( really three great restaurant ) , club see well day ( body English ' use ) . fact , ' even go far say stay night want , rest time , stay anywhere else . Hard Rock ' cheap , price charge , really give much more . also , take note hotel ' draconian policy . instance , want late check - out , late ever get free noon ( fight , regardless occupancy day ' planning check ) . take note , ' late check , expect $ 100 charge PER HOUR levy room ( ' term agree check ) . addition , make sure add $ 7.84 per night ( $ 7 plus taxis ) room rate " resort charge . " provide , ' really sure since ' still pay internet , gym , basically anything else hotel Vegas charge ' make pay stupid fee . 
 Aug 10 2009 	 lose everything Cool Hard Rock 	 stay 12 year . hotel sell two year ago go hill . continue stay give room free . week put new tower , open . room small , shower design bad shocked hard work get thing get water turn . back day Peter own place understand customer service , day . 23 year music industry vet . tell hip kid stay Wynn . 
 Aug 7 2009 	 Felt like rock star ! 	 many vegas trip , love hotel . small enough not get lose casino , big enough can not forget vegas . room incredible hip . hotel energy . pool amazing ! spend lot time . restaurant try - Pink Taco , Lucky 's ( ask gambler special ) , Rare 120 great , ' m huge foodie ! 
 Aug 6 2009 	 not 	 Far strip , front desk staff slooowwwww unfriendly , construction everywhere , casino would fit basement . rent cabana pool nice , worker rolling wheel barrel full concrete debris jackhammer pound around we . music awesome , play loudly time . nothing hotel immediately surround really inconvenient unless not mind walk 20 minute 110 degree heat pay $ 11.00 buck cab everytime get strip . either way deal construction along way . want total Las Vegas experience stay . stay strip . be actually cheap will not spend near money cab . hotel negative trip . 
 Aug 6 2009 	 Brand New Tower ! ! ! 	 read alot review place seem say room run down . so guess build new tower keep hotel . we stay Paradise tower really really nice ! stay Wynn right it . for price pay $ 67 night steal ! ! negative thing say hard rock check wait front desk . they defently need nice people ! ! also hotel attract young crowd . also town check Peepshow Holly Madison funny hot chick everywhere ! ! ! 
 Aug 1 2009 	 Brilliant 	 stay 4 night . staff brilliant help ful even drunk like 0530 . good night club . like rock waste Space Body english place . besides , nice girl come centre bar . HR Rocks ! 
 Jul 25 2009 	 Uhhh ... run expensive lackluster 	 Got say ... Hard Rock Las Vegas rest 's past performance name alone . far , far good venue Vegas matter look . acknowledge something say vintage , wear worthy performance ( think 60 's 70 's rock band revival tour ) . come age , mellowing , non - stop attention audience relevant time . Hard Rock LV do none . might continue book decent band - need judge concert venue alone . hotel run lack personal attention detail find hotel . give sense anywhere exciting Red Roof Inn . blah .... blah .... blah .. Dark , sparkle ( not mean rhine - stoney kind - give vibrancy staff ..... energy level .... something ! ) thing going still seem attract young 20 ' something crowd bring energy beauty ( okay superficial beauty , none less be something ) otherwise unimpressive environment . room huge dissapointment - flat nothing special . dining = $ $ ..... ( yawn ) . $ 13 charge internet connection ( complimentary hotel ) - extra guest pool ( $ 20 ) /per - get . Ya be not & quot ; & quot ; .Step game Hard Rock . want , ( ) find less . check go elsewhere . 
 Jul 22 2009 	 HRH getting run . 	 past weekend 4th-5th stay HRH last 12 year place would normally stay Vegas . ' ve always enjoyed stay cool , lay back vibe . 40th birthday get great deal Expedia air Detroit 3 night hotel $ 550 person . usually whenever look HRH rate , way pricey . excited show friend hotel right away start notice place start feel tired run . toilet paper holder hang bathroom , scuff mark ceiling , paint hallway look old , poker machines center bar filthy , etc , etc . even famous Hard Rock store barren . instead 20 tee shirt make Hard Rock household name , may 5 selection instead sell 20 kind jean ! ! surprised sit buddy center bar 11:30 group 15 construction worker hotel sit start drink . know bandana wear , grunge look & quot ; rock roll & quot ; orange safety vest , miss tooth sweaty tee , kind surprised see . one buddy think strange hotel would let employee - construction otherwise - drink main bar . place still rock every night guest , probably stay elsewhere future . 
 Jul 3 2009 	 do not sleep 	 request recieved room next elevator face pool . room nice nothing special . however next elevator face pool mistake . elevator make loud vacume clean like noise echo room . Fri - Sun pool blast music @ 10 am , 8 am 9 am Sun . ' m late night good time go sleep @ 5 am do not want wake 10 K watts G & amp ; R. Thier comp system bad ' ve encounter date ( ' ve play country ) friend high rooler drop close 30 K 7 day would'nt pick dime one 3,600 room charge . poor ! ! hotel far strip . look 20 buck round trip strip . get expensive quick . 
 Jul 2 2009 	 overprice overrated 	 hotel flat - out rip type good faith warn other may treat stay . overprice , overrated & amp ; overhype ! first , go pool party Sundays call ' rehab ' girlfriend ask menu eat & amp ; drink . price $ 11 regular drink $ 18 drink souvenir cup . waitress decide bring we drink souvenir cup … never ask , deal , big deal fresh cut pineapple 45 minute late warm , ' tourist guess . check arrive , drink price actually whop $ 22 ( without souvenir cup keep ) waitress say menu wrong say $ 22 standard drink , yet never mention tell ' set price . bring menu ? ? ? feel like ' take ' , check want leave 15 minute try , yet Manager ' Randy ' ' meet would honor let leave without charge $ 300 first night stay . mention Hard Rock check less room ' pay ? hotel phone work . toilet paper dispenser would stay door barely shut . fact , drunken girl come room phone hotel tell want room treat . in addition , place run amok loud & amp ; drunk fratboy ' act ' hardcore ' wear goofy Ed Harding clothing try impress act like actually money . what happen ? go usually stay , Caesar ' Palace , ( usual ) room , customer service respectful class top notch . 
